c Maximal rule for r=c:ab; ar,br,c,dr; a,r,c,d
C name=15.vlp, rows=22, cols=99, objs=33
C vertices=47, facets=2297368
[ , , , , , , , , , , ] + [ , , , , , , , , ,1, ] <= [ , , , , , , , , ,1, ]
[ , , , , , , , , , , ] + [ , , , , , , ,1, , , ] <= [ , , , , , , ,1, , , ]
[ , , , , , , , , , , ] + [ , , , , , ,1, , , , ] <= [ , , ,1, , , , , , , ]
[ , , , , , , , , , , ] + [ , ,1, , , , , , , , ] <= [ ,1,1, , , , , , , , ]
[ , , , , , , , , , , ] + [ ,1, , , , , , , , , ] <= [ ,1,1, , , , , , , , ]
[ , , , , , , , , , ,1] + [ , , , , , , , , , ,1] <= [ , ,1, , , , , , , ,1]
[ , , , , , , , , , ,1] + [ , , , , , ,1, , , , ] <= [ , , ,1, , , , , , ,1]
[ , , , , , , , , , ,1] + [ , , ,1, , , , , , , ] <= [ , , ,1, , , , , , ,1]
[ , , , , , , , ,1, , ] + [ , , , , , , , , , , ] <= [ , ,1, , , , , ,1, , ]
[ , , , , , , , ,1, ,1] + [ , , , , , , , , , ,1] <= [ , ,1, , , , , ,1, ,1]
[ , , , , , , ,1, , , ] + [ , , ,1, , ,1, , , , ] <= [ , , ,1, , , ,1, , , ]
[ , , , , , , ,1, , ,1] + [ , , ,1, , ,1, , , , ] <= [ , , ,1, , , ,1, , ,1]
[ , , , , , ,1, , , , ] + [ , , , , , ,1, , , , ] <= [ , , , , , ,1, , , , ]
[ , , , , ,1, , , , , ] + [ , , , , , , , , , , ] <= [ , , , , ,1, , , , , ]
[ , , , ,1, , , , , , ] + [ , , , , , ,1, , , , ] <= [ , , ,1,1, , , , , , ]
[ , , , ,1, , , , , , ] + [ , , , , , ,1, , , , ] <= [ ,1, , , , ,1, , , , ]
[ , , , ,1, , , , , , ] + [ , , , , , ,1, , , ,1] <= [ , ,1,1,1, , , , , , ]
[ , , , ,1, , , , , , ] + [ , , , , , ,1, ,1, , ] <= [ ,1,1, , , ,1, ,1, , ]
[ , , , ,1, , , , , , ] + [ , , , , , ,1, ,1, ,1] <= [ , ,1,1,1, , , , ,1, ]
[ , , , ,1, , , , , , ] + [ , , , , ,1, , , , , ] <= [ ,1, , , ,1, , , , , ]
[ , , , ,1, , , , , , ] + [ , , , ,1, , , , , , ] <= [ , ,1, ,1, , , , , , ]
[ , , , ,1, , , , , , ] + [ , , ,1, , ,1, ,1, , ] <= [ ,1, ,1, ,1, ,1, , , ]
[ , , , ,1, , , , , , ] + [ , , ,1, , ,1, ,1, ,1] <= [1,1,1,1, , , , , , , ]
[ , , , ,1, , , , , , ] + [1, , , , , , , , , , ] <= [1,1,1, , , , , , , , ]
[ , , , ,1, , , , , ,1] + [ , , , , , ,1, ,1, ,1] <= [ , ,1,1,1, , , , ,1,1]
[ , , , ,1, , , , , ,1] + [ , , , , , ,1, ,1, ,1] <= [ ,1,1, , , ,1, ,1, ,1]
[ , , , ,1, , , , , ,1] + [ , , ,1, , ,1, ,1, , ] <= [ ,1, ,1, ,1, ,1, , ,1]
[ , , , ,1, , , , , ,1] + [ , , ,1, , ,1, ,1, ,1] <= [1,1,1,1, , , , , , ,1]
[ , , , ,1, , , , ,1, ] + [ , , , , , ,1, , , ,1] <= [ , ,1,1,1, , , , ,1, ]
[ , , , ,1, , , , ,1,1] + [ , , , , , ,1, , , ,1] <= [ , ,1,1,1, , , , ,1,1]
[ , , , ,1, , ,1, , ,1] + [1, , , , , ,1, , , , ] <= [ ,1,1, , , ,1,1,1, ,1]
[ , , , ,2, , ,1, ,1, ] + [1, , , , , ,2, , , , ] <= [ ,1,2,1,1, ,1,1,1,1, ]
[ , , ,1, , , , , , , ] + [ , , ,1, , , , , , , ] <= [ , , ,1, , , , , , , ]
[ , , ,1,2, , , , ,1, ] + [1, , , , , ,1, , , , ] <= [ ,1,2,1,1, ,1, ,1,1, ]
[ , , ,1,2, , , , ,1,1] + [1, , , , , ,1, , , ,1] <= [ ,1,2,1,1, ,1, ,1,1,1]
[ , ,1, , , , , , , , ] + [ , , , , , , , , , , ] <= [ , ,1, , , , , , , , ]
[1, , , , , , , , , , ] + [ , , ,1, , ,1, , , ,1] <= [1, ,1,1, , , , , , , ]
[1, , , , , , , , , , ] + [ , ,1, , , ,1, , , ,1] <= [ , ,2,1,1, , , , ,1, ]
[1, , , , , , , , , , ] + [ ,1, , , , ,1, , , ,1] <= [ , ,2,1,1, , , , ,1, ]
[1, , , , , , , , , ,1] + [ , , ,1, , ,1, , , ,1] <= [1, ,1,1, , , , , , ,1]
[1, , , , , , , , , ,1] + [ , ,1, , , ,1, , , ,1] <= [ , ,2,1,1, , , , ,1,1]
[1, , , , , , , , , ,1] + [ ,1, , , , ,1, , , ,1] <= [ , ,2,1,1, , , , ,1,1]
