c Maximal rule for r=a:bc; ar,br,c,dr; a,r,c,d
C name=16.vlp, rows=22, cols=99, objs=33
C vertices=46, facets=1815297
[ , , , , , , , , , , ] + [ , , , , , , , , , ,1] <= [ ,1, , , , , , , , , ]
[ , , , , , , , , , , ] + [ , , , , , , , , ,1, ] <= [ , , , , , , , , ,1, ]
[ , , , , , , , , , , ] + [ , , , , , , , ,1, , ] <= [ , , ,1, , , , ,1, , ]
[ , , , , , , , , , , ] + [ , , , , , , , ,1, ,1] <= [ ,1, , , , , , , ,1, ]
[ , , , , , , , , , , ] + [ , , , , , , ,1, , , ] <= [ , , , , , , ,1, , , ]
[ , , , , , , , , , , ] + [ ,1, , , , , , , , , ] <= [ ,1, , , , , , , , , ]
[ , , , , , , , , , ,1] + [ , , , , , , , , , ,1] <= [ , , , , , , , , , ,1]
[ , , , , , , , ,1, , ] + [ , , , , , , , , , , ] <= [ , , , , , , , ,1, , ]
[ , , , , , , ,1, , , ] + [ ,1, , , , ,1, , , , ] <= [ ,1, , , , , ,1, , , ]
[ , , , , , , ,1, , ,1] + [1, , , , , , , , , , ] <= [ , , ,1, , , ,1,1, ,1]
[ , , , , , ,1, , , , ] + [ , , , , , ,1, , , , ] <= [ , ,1, , , ,1, , , , ]
[ , , , , ,1, , , , , ] + [ , , , , , , , , , , ] <= [ , ,1, , ,1, , , , , ]
[ , , , ,1, , , , , , ] + [ , , , , , , , ,1, ,1] <= [ , , ,1, , , , ,1, ,1]
[ , , , ,1, , , , , , ] + [ , , , , , ,1, ,1, ,1] <= [ ,1,1, ,1, , , , ,1, ]
[ , , , ,1, , , , , , ] + [ , , , ,1, , , , , , ] <= [ , ,1, ,1, , , , , , ]
[ , , , ,1, , ,1, , , ] + [1, , , , , , , , , , ] <= [ , , ,1, , , ,1,1, ,1]
[ , , ,1, , , , , , , ] + [ , , ,1, , , , , , , ] <= [ , ,1,1, , , , , , , ]
[ , , ,1, , , , , , , ] + [ , ,1, , , , , , , , ] <= [ , ,1,1, , , , , , , ]
[ , , ,1, , , , , , , ] + [ ,1, , , , , , , , , ] <= [ ,1, ,1, , , , , , , ]
[ , , ,1,1, , , , , , ] + [ , , , , , ,1, ,1, ,1] <= [ , ,1,1, , ,1, ,1, ,1]
[ , , ,1,1, , , , , , ] + [ ,1, , , , ,1, ,1, ,1] <= [ ,1, ,1, , , ,1,1, ,1]
[ , , ,1,1, , , , , , ] + [ ,1, , , , ,1, ,1, ,1] <= [1,1,1,1, , , , , , , ]
[ , , ,1,1, , , , , , ] + [ ,1, , , ,1, , , , , ] <= [ ,1,1,1, ,1, , , , , ]
[ , , ,1,1, , , , , , ] + [1, , , , , , , , , , ] <= [ , , ,1, , , ,1,1, ,1]
[ , , ,1,1, , , , , , ] + [1, , , , , , , , , , ] <= [1, ,1,1, , , , , , , ]
[ , , ,1,1, , , , ,1, ] + [ ,1, , , , ,1, , , ,1] <= [ ,1,2,1,1, , , , ,1, ]
[ , , ,1,1, , , , ,1, ] + [1, , , , , , , , , , ] <= [ , ,2,2,1, , , ,1,1, ]
[ , , ,1,1, , ,1, , , ] + [1, , , , , ,1, , , , ] <= [ , ,1,1, , ,1,1,1, ,1]
[ , , ,1,2, , , , ,1, ] + [1, , , , , , , , , ,1] <= [ , ,2,2,1, , , ,1,1,1]
[ , , ,2,2, , , , ,1, ] + [1, , , , , ,1, , , ,1] <= [ , ,3,2,1, ,1, ,1,1,1]
[ , ,1, , , , , , , , ] + [ , , , , , , , , , , ] <= [ , ,1, , , , , , , , ]
[1, , , , , , , , , , ] + [ , , ,1, , ,1, , , ,1] <= [ ,1,2, ,1, , , , ,1, ]
[1, , , , , , , , , , ] + [ , , ,1,1, , , , , ,1] <= [ ,1,2, ,1, , , , ,1, ]
[1, , , , , , , , , , ] + [ , ,1, , , ,1, , , ,1] <= [ ,1,2, ,1, , , , ,1, ]
[1, , , , , , , , , , ] + [ , ,1, ,1, , , , , ,1] <= [ ,1,2, ,1, , , , ,1, ]
[1, , , , , , , , , , ] + [ ,1, , , , ,1, , , ,1] <= [1,1,1, , , , , , , , ]
[1, , , , , , , , , , ] + [ ,1, , , ,1, , , , ,1] <= [ ,2,1, , ,1, , , ,1, ]
[1, , , , , , , , ,1, ] + [ ,1, , , , ,1, , , ,2] <= [ ,2,2, ,1, , , , ,2, ]
[1, , , ,1, , , , , , ] + [ ,1, , , ,1,1, , , ,1] <= [ ,2,2, ,1,1, , , ,1, ]
[1, , , ,1, , , , ,1, ] + [ ,1, , , , ,2, , , ,2] <= [ ,2,3, ,2, , , , ,2, ]
