C applying double rule 38.txt for ineq.txt
recalculate_facet: numerical instability at facet 1, coord 0 (1.45435e-06)
recalculate_facet: numerical instability at facet 1, coord 3 (-1.16332e-06)
recalculate_facet: numerical instability at facet 2, coord 0 (-1.50035e-06)
recalculate_facet: numerical instability at facet 2, coord 3 (1.38826e-06)
I    5.00] Elapsed: 5.00, vertices: 212, facets final: 48, pending: 6898, pool: 196
I   10.06] Elapsed: 10.06, vertices: 284, facets final: 87, pending: 8862, pool: 243
I   15.12] Elapsed: 15.12, vertices: 333, facets final: 106, pending: 9981, pool: 268
recalculate_facet: numerical instability at facet 8322, coord 3 (-1.12538e-06)
I   20.18] Elapsed: 20.18, vertices: 376, facets final: 127, pending: 10822, pool: 278
I   25.28] Elapsed: 25.28, vertices: 413, facets final: 158, pending: 12130, pool: 299
I   30.44] Elapsed: 30.44, vertices: 445, facets final: 171, pending: 13004, pool: 294
recalculate_facet: numerical instability at facet 11, coord 3 (-2.04325e-06)
recalculate_facet: numerical instability at facet 11, coord 8 (-1.26023e-06)
I   35.52] Elapsed: 35.52, vertices: 475, facets final: 198, pending: 13673, pool: 298
I   40.56] Elapsed: 40.56, vertices: 504, facets final: 221, pending: 14254, pool: 300
I   45.59] Elapsed: 45.59, vertices: 531, facets final: 232, pending: 14930, pool: 300
I   50.65] Elapsed: 50.65, vertices: 558, facets final: 242, pending: 15313, pool: 300
I   55.73] Elapsed: 55.73, vertices: 585, facets final: 266, pending: 16164, pool: 300
I   60.78] Elapsed: 1:01, vertices: 610, facets final: 277, pending: 16741, pool: 300
I   65.88] Elapsed: 1:06, vertices: 633, facets final: 287, pending: 17229, pool: 299
I   71.08] Elapsed: 1:11, vertices: 655, facets final: 300, pending: 18209, pool: 299
recalculate_facet: numerical instability at facet 8322, coord 3 (1.12538e-06)
I   76.11] Elapsed: 1:16, vertices: 675, facets final: 312, pending: 18623, pool: 300
I   81.18] Elapsed: 1:21, vertices: 696, facets final: 319, pending: 19381, pool: 300
I   86.25] Elapsed: 1:26, vertices: 716, facets final: 323, pending: 20298, pool: 300
I   91.26] Elapsed: 1:31, vertices: 734, facets final: 334, pending: 20978, pool: 300
I   96.32] Elapsed: 1:36, vertices: 752, facets final: 343, pending: 21395, pool: 300
I  101.63] Elapsed: 1:42, vertices: 770, facets final: 364, pending: 21554, pool: 300
I  106.75] Elapsed: 1:47, vertices: 788, facets final: 375, pending: 21901, pool: 298
I  111.95] Elapsed: 1:52, vertices: 806, facets final: 384, pending: 22403, pool: 300
I  116.99] Elapsed: 1:57, vertices: 823, facets final: 387, pending: 22615, pool: 300
I  122.08] Elapsed: 2:02, vertices: 840, facets final: 395, pending: 22871, pool: 299
I  127.27] Elapsed: 2:07, vertices: 857, facets final: 404, pending: 22981, pool: 300
I  132.53] Elapsed: 2:13, vertices: 874, facets final: 417, pending: 23301, pool: 300
I  137.54] Elapsed: 2:18, vertices: 890, facets final: 427, pending: 23453, pool: 300
I  142.69] Elapsed: 2:23, vertices: 906, facets final: 434, pending: 23691, pool: 299
I  147.71] Elapsed: 2:28, vertices: 922, facets final: 444, pending: 24045, pool: 300
I  152.88] Elapsed: 2:33, vertices: 938, facets final: 448, pending: 24508, pool: 298
I  158.27] Elapsed: 2:38, vertices: 953, facets final: 451, pending: 24830, pool: 300
I  163.36] Elapsed: 2:43, vertices: 967, facets final: 460, pending: 24940, pool: 300
I  168.58] Elapsed: 2:49, vertices: 982, facets final: 464, pending: 25054, pool: 300
I  173.87] Elapsed: 2:54, vertices: 997, facets final: 481, pending: 25142, pool: 300
I  178.93] Elapsed: 2:59, vertices: 1011, facets final: 487, pending: 25404, pool: 299
I  184.07] Elapsed: 3:04, vertices: 1025, facets final: 493, pending: 25807, pool: 300
I  189.42] Elapsed: 3:09, vertices: 1040, facets final: 519, pending: 25773, pool: 300
I  194.45] Elapsed: 3:14, vertices: 1054, facets final: 530, pending: 25935, pool: 300
I  199.70] Elapsed: 3:20, vertices: 1069, facets final: 537, pending: 26018, pool: 300
I  204.76] Elapsed: 3:25, vertices: 1083, facets final: 545, pending: 26181, pool: 300
I  209.84] Elapsed: 3:30, vertices: 1098, facets final: 557, pending: 26542, pool: 300
I  215.09] Elapsed: 3:35, vertices: 1113, facets final: 568, pending: 26777, pool: 300
I  220.14] Elapsed: 3:40, vertices: 1128, facets final: 580, pending: 27003, pool: 300
I  225.18] Elapsed: 3:45, vertices: 1142, facets final: 583, pending: 27221, pool: 300
I  230.23] Elapsed: 3:50, vertices: 1156, facets final: 591, pending: 27392, pool: 300
I  235.65] Elapsed: 3:56, vertices: 1170, facets final: 602, pending: 27465, pool: 300
I  240.96] Elapsed: 4:01, vertices: 1183, facets final: 617, pending: 27878, pool: 299
I  246.09] Elapsed: 4:06, vertices: 1196, facets final: 626, pending: 28363, pool: 300
recalculate_facet: numerical instability at facet 9302, coord 0 (1.12702e-06)
I  251.10] Elapsed: 4:11, vertices: 1208, facets final: 631, pending: 28567, pool: 300
I  256.32] Elapsed: 4:16, vertices: 1220, facets final: 646, pending: 28758, pool: 300
I  261.65] Elapsed: 4:22, vertices: 1233, facets final: 658, pending: 28974, pool: 300
I  266.66] Elapsed: 4:27, vertices: 1245, facets final: 665, pending: 29344, pool: 300
I  272.11] Elapsed: 4:32, vertices: 1257, facets final: 675, pending: 29554, pool: 300
I  277.51] Elapsed: 4:38, vertices: 1270, facets final: 688, pending: 29822, pool: 300
I  282.77] Elapsed: 4:43, vertices: 1282, facets final: 693, pending: 29951, pool: 299
I  288.11] Elapsed: 4:48, vertices: 1293, facets final: 701, pending: 30104, pool: 300
I  293.73] Elapsed: 4:54, vertices: 1306, facets final: 708, pending: 30261, pool: 300
I  298.92] Elapsed: 4:59, vertices: 1317, facets final: 714, pending: 30513, pool: 300
I  304.04] Elapsed: 5:04, vertices: 1328, facets final: 727, pending: 30626, pool: 300
I  309.17] Elapsed: 5:09, vertices: 1339, facets final: 734, pending: 30634, pool: 300
I  314.20] Elapsed: 5:14, vertices: 1351, facets final: 749, pending: 30862, pool: 300
I  319.65] Elapsed: 5:20, vertices: 1363, facets final: 753, pending: 30946, pool: 300
I  324.87] Elapsed: 5:25, vertices: 1375, facets final: 767, pending: 31076, pool: 299
I  330.01] Elapsed: 5:30, vertices: 1387, facets final: 781, pending: 31231, pool: 300
I  335.27] Elapsed: 5:35, vertices: 1398, facets final: 793, pending: 31539, pool: 300
I  340.49] Elapsed: 5:40, vertices: 1409, facets final: 801, pending: 31524, pool: 300
I  345.71] Elapsed: 5:46, vertices: 1420, facets final: 818, pending: 31487, pool: 300
I  350.96] Elapsed: 5:51, vertices: 1432, facets final: 832, pending: 31772, pool: 300
I  356.02] Elapsed: 5:56, vertices: 1444, facets final: 839, pending: 32049, pool: 300
I  361.09] Elapsed: 6:01, vertices: 1455, facets final: 851, pending: 32204, pool: 299
I  366.22] Elapsed: 6:06, vertices: 1465, facets final: 867, pending: 32315, pool: 299
I  371.76] Elapsed: 6:12, vertices: 1475, facets final: 871, pending: 32317, pool: 300
I  377.24] Elapsed: 6:17, vertices: 1487, facets final: 882, pending: 32495, pool: 300
I  382.63] Elapsed: 6:23, vertices: 1500, facets final: 884, pending: 32664, pool: 300
I  387.89] Elapsed: 6:28, vertices: 1511, facets final: 896, pending: 32734, pool: 300
I  393.31] Elapsed: 6:33, vertices: 1523, facets final: 907, pending: 32848, pool: 300
I  398.39] Elapsed: 6:38, vertices: 1533, facets final: 913, pending: 33069, pool: 300
I  403.82] Elapsed: 6:44, vertices: 1545, facets final: 928, pending: 33168, pool: 300
I  409.13] Elapsed: 6:49, vertices: 1556, facets final: 940, pending: 33156, pool: 300
I  414.35] Elapsed: 6:54, vertices: 1567, facets final: 948, pending: 33304, pool: 300
I  419.49] Elapsed: 6:59, vertices: 1578, facets final: 952, pending: 33379, pool: 300
I  424.59] Elapsed: 7:05, vertices: 1588, facets final: 960, pending: 33639, pool: 299
