C applying double rule r=a:bc;s=a:bdr;a.r.c.d;ar.br.c.dr for ineq.txt
I    5.00] Elapsed: 5.00, vertices: 174, facets final: 1004, pending: 6344, pool: 142
I   10.00] Elapsed: 10.00, vertices: 262, facets final: 1596, pending: 15904, pool: 265
I   15.05] Elapsed: 15.05, vertices: 299, facets final: 1649, pending: 25383, pool: 300
I   20.10] Elapsed: 20.10, vertices: 330, facets final: 1664, pending: 32519, pool: 300
I   25.14] Elapsed: 25.14, vertices: 355, facets final: 1675, pending: 39007, pool: 300
I   30.35] Elapsed: 30.35, vertices: 378, facets final: 1679, pending: 44333, pool: 300
I   35.58] Elapsed: 35.58, vertices: 395, facets final: 1681, pending: 48031, pool: 300
I   40.75] Elapsed: 40.75, vertices: 413, facets final: 1684, pending: 52391, pool: 300
I   46.15] Elapsed: 46.15, vertices: 428, facets final: 1686, pending: 55905, pool: 300
I   51.25] Elapsed: 51.25, vertices: 442, facets final: 1688, pending: 60203, pool: 300
I   56.25] Elapsed: 56.25, vertices: 454, facets final: 1692, pending: 63485, pool: 300
I   61.37] Elapsed: 1:01, vertices: 467, facets final: 1694, pending: 65976, pool: 300
I   66.48] Elapsed: 1:06, vertices: 479, facets final: 1694, pending: 69114, pool: 300
I   71.74] Elapsed: 1:12, vertices: 491, facets final: 1698, pending: 71662, pool: 300
I   77.13] Elapsed: 1:17, vertices: 502, facets final: 1699, pending: 75136, pool: 300
I   82.69] Elapsed: 1:23, vertices: 513, facets final: 1700, pending: 76981, pool: 300
I   88.10] Elapsed: 1:28, vertices: 524, facets final: 1701, pending: 80309, pool: 300
I   93.40] Elapsed: 1:33, vertices: 535, facets final: 1701, pending: 82600, pool: 300
I   98.58] Elapsed: 1:39, vertices: 544, facets final: 1702, pending: 85158, pool: 300
I  103.72] Elapsed: 1:44, vertices: 552, facets final: 1703, pending: 87261, pool: 300
I  109.63] Elapsed: 1:50, vertices: 562, facets final: 1707, pending: 88916, pool: 300
I  115.27] Elapsed: 1:55, vertices: 572, facets final: 1709, pending: 90719, pool: 300
I  121.05] Elapsed: 2:01, vertices: 581, facets final: 1710, pending: 93384, pool: 300
I  126.60] Elapsed: 2:07, vertices: 590, facets final: 1710, pending: 95416, pool: 300
I  131.67] Elapsed: 2:12, vertices: 597, facets final: 1710, pending: 97275, pool: 300
I  137.04] Elapsed: 2:17, vertices: 606, facets final: 1712, pending: 99805, pool: 300
I  142.54] Elapsed: 2:23, vertices: 615, facets final: 1714, pending: 101785, pool: 300
I  147.81] Elapsed: 2:28, vertices: 621, facets final: 1714, pending: 103715, pool: 300
I  153.10] Elapsed: 2:33, vertices: 629, facets final: 1715, pending: 105186, pool: 300
I  159.24] Elapsed: 2:39, vertices: 636, facets final: 1715, pending: 106615, pool: 300
I  164.61] Elapsed: 2:45, vertices: 643, facets final: 1715, pending: 108692, pool: 300
I  169.91] Elapsed: 2:50, vertices: 651, facets final: 1715, pending: 110608, pool: 300
I  175.39] Elapsed: 2:55, vertices: 658, facets final: 1715, pending: 112196, pool: 300
I  180.80] Elapsed: 3:01, vertices: 662, facets final: 1716, pending: 113308, pool: 300
I  186.27] Elapsed: 3:06, vertices: 667, facets final: 1717, pending: 114862, pool: 300
I  191.27] Elapsed: 3:11, vertices: 673, facets final: 1717, pending: 116873, pool: 300
I  196.42] Elapsed: 3:16, vertices: 679, facets final: 1717, pending: 117773, pool: 300
I  202.33] Elapsed: 3:22, vertices: 685, facets final: 1719, pending: 119924, pool: 300
I  207.40] Elapsed: 3:27, vertices: 690, facets final: 1719, pending: 120776, pool: 300
I  212.77] Elapsed: 3:33, vertices: 696, facets final: 1720, pending: 121868, pool: 300
I  218.69] Elapsed: 3:39, vertices: 702, facets final: 1720, pending: 123657, pool: 300
I  224.44] Elapsed: 3:44, vertices: 708, facets final: 1720, pending: 124819, pool: 300
I  229.58] Elapsed: 3:50, vertices: 714, facets final: 1721, pending: 125600, pool: 300
I  234.99] Elapsed: 3:55, vertices: 719, facets final: 1721, pending: 126240, pool: 300
I  240.52] Elapsed: 4:01, vertices: 726, facets final: 1721, pending: 127625, pool: 299
I  246.29] Elapsed: 4:06, vertices: 731, facets final: 1721, pending: 129186, pool: 300
I  252.12] Elapsed: 4:12, vertices: 735, facets final: 1721, pending: 130821, pool: 300
I  258.29] Elapsed: 4:18, vertices: 740, facets final: 1721, pending: 132244, pool: 300
I  264.94] Elapsed: 4:25, vertices: 745, facets final: 1721, pending: 134200, pool: 300
I  270.77] Elapsed: 4:31, vertices: 749, facets final: 1721, pending: 134888, pool: 300
I  277.00] Elapsed: 4:37, vertices: 754, facets final: 1721, pending: 136402, pool: 300
I  283.20] Elapsed: 4:43, vertices: 759, facets final: 1721, pending: 137443, pool: 300
I  289.23] Elapsed: 4:49, vertices: 764, facets final: 1721, pending: 137831, pool: 300
I  295.12] Elapsed: 4:55, vertices: 768, facets final: 1721, pending: 138604, pool: 300
I  300.92] Elapsed: 5:01, vertices: 772, facets final: 1722, pending: 138967, pool: 300
I  306.26] Elapsed: 5:06, vertices: 778, facets final: 1722, pending: 140508, pool: 300
