C applying double rule r=a:bc;s=b:adr;a.r.c.d;ar.br.c.dr for ineq.txt
I    5.00] Elapsed: 5.00, vertices: 178, facets final: 656, pending: 10769, pool: 142
I   10.03] Elapsed: 10.03, vertices: 232, facets final: 828, pending: 18790, pool: 298
I   15.03] Elapsed: 15.03, vertices: 274, facets final: 842, pending: 26927, pool: 299
I   20.13] Elapsed: 20.13, vertices: 309, facets final: 856, pending: 31359, pool: 300
I   25.25] Elapsed: 25.25, vertices: 340, facets final: 865, pending: 35487, pool: 300
I   30.37] Elapsed: 30.37, vertices: 367, facets final: 876, pending: 39610, pool: 300
I   35.52] Elapsed: 35.52, vertices: 391, facets final: 882, pending: 43455, pool: 300
I   40.66] Elapsed: 40.66, vertices: 413, facets final: 883, pending: 46570, pool: 300
I   45.77] Elapsed: 45.77, vertices: 433, facets final: 884, pending: 48509, pool: 300
I   50.96] Elapsed: 50.96, vertices: 455, facets final: 888, pending: 51215, pool: 300
I   56.17] Elapsed: 56.17, vertices: 475, facets final: 892, pending: 52494, pool: 300
I   61.29] Elapsed: 1:01, vertices: 493, facets final: 896, pending: 55996, pool: 299
I   66.44] Elapsed: 1:06, vertices: 510, facets final: 896, pending: 57668, pool: 300
I   71.55] Elapsed: 1:12, vertices: 527, facets final: 899, pending: 60217, pool: 300
I   76.56] Elapsed: 1:17, vertices: 541, facets final: 899, pending: 62582, pool: 300
I   81.69] Elapsed: 1:22, vertices: 556, facets final: 904, pending: 64836, pool: 300
I   86.81] Elapsed: 1:27, vertices: 569, facets final: 905, pending: 65592, pool: 300
I   91.81] Elapsed: 1:32, vertices: 582, facets final: 905, pending: 66859, pool: 300
I   97.13] Elapsed: 1:37, vertices: 596, facets final: 907, pending: 69236, pool: 300
I  102.35] Elapsed: 1:42, vertices: 609, facets final: 911, pending: 70876, pool: 300
I  107.37] Elapsed: 1:47, vertices: 621, facets final: 912, pending: 73070, pool: 300
I  112.65] Elapsed: 1:53, vertices: 634, facets final: 912, pending: 74978, pool: 300
I  117.73] Elapsed: 1:58, vertices: 646, facets final: 913, pending: 76767, pool: 300
I  122.89] Elapsed: 2:03, vertices: 657, facets final: 914, pending: 78107, pool: 300
I  127.98] Elapsed: 2:08, vertices: 668, facets final: 915, pending: 79791, pool: 300
I  133.22] Elapsed: 2:13, vertices: 680, facets final: 917, pending: 81401, pool: 300
I  138.41] Elapsed: 2:18, vertices: 690, facets final: 918, pending: 82312, pool: 300
I  143.73] Elapsed: 2:24, vertices: 703, facets final: 920, pending: 84228, pool: 300
I  148.94] Elapsed: 2:29, vertices: 712, facets final: 924, pending: 85553, pool: 299
I  154.27] Elapsed: 2:34, vertices: 722, facets final: 924, pending: 87408, pool: 300
I  159.74] Elapsed: 2:40, vertices: 730, facets final: 925, pending: 88724, pool: 300
I  165.01] Elapsed: 2:45, vertices: 740, facets final: 925, pending: 89599, pool: 300
I  170.34] Elapsed: 2:50, vertices: 750, facets final: 929, pending: 91470, pool: 300
I  175.36] Elapsed: 2:55, vertices: 758, facets final: 930, pending: 92958, pool: 300
I  180.65] Elapsed: 3:01, vertices: 765, facets final: 931, pending: 93532, pool: 300
I  186.01] Elapsed: 3:06, vertices: 774, facets final: 932, pending: 95189, pool: 300
I  191.22] Elapsed: 3:11, vertices: 784, facets final: 935, pending: 96369, pool: 300
I  196.44] Elapsed: 3:16, vertices: 793, facets final: 935, pending: 98069, pool: 300
I  201.82] Elapsed: 3:22, vertices: 802, facets final: 936, pending: 99527, pool: 300
I  207.25] Elapsed: 3:27, vertices: 811, facets final: 938, pending: 99413, pool: 300
I  213.24] Elapsed: 3:33, vertices: 821, facets final: 941, pending: 100609, pool: 300
I  218.33] Elapsed: 3:38, vertices: 829, facets final: 942, pending: 102413, pool: 300
I  223.80] Elapsed: 3:44, vertices: 836, facets final: 942, pending: 103566, pool: 300
recalculate_facet: numerical instability at facet 158, coord 0 (-1.3946e-06)
recalculate_facet: numerical instability at facet 158, coord 4 (1.34799e-06)
I  229.12] Elapsed: 3:49, vertices: 845, facets final: 944, pending: 104740, pool: 300
I  234.52] Elapsed: 3:55, vertices: 855, facets final: 945, pending: 105693, pool: 300
I  240.22] Elapsed: 4:00, vertices: 863, facets final: 946, pending: 106823, pool: 300
I  245.68] Elapsed: 4:06, vertices: 871, facets final: 948, pending: 108194, pool: 300
I  251.11] Elapsed: 4:11, vertices: 878, facets final: 948, pending: 109078, pool: 300
I  256.19] Elapsed: 4:16, vertices: 884, facets final: 948, pending: 109289, pool: 300
I  261.33] Elapsed: 4:21, vertices: 890, facets final: 950, pending: 110704, pool: 300
I  266.90] Elapsed: 4:27, vertices: 898, facets final: 951, pending: 110984, pool: 300
I  272.92] Elapsed: 4:33, vertices: 906, facets final: 952, pending: 111747, pool: 300
I  277.99] Elapsed: 4:38, vertices: 913, facets final: 952, pending: 110783, pool: 300
I  283.33] Elapsed: 4:43, vertices: 920, facets final: 952, pending: 111932, pool: 300
I  288.73] Elapsed: 4:49, vertices: 926, facets final: 952, pending: 112747, pool: 300
I  293.87] Elapsed: 4:54, vertices: 931, facets final: 953, pending: 113412, pool: 300
I  299.21] Elapsed: 4:59, vertices: 938, facets final: 953, pending: 113992, pool: 299
I  304.69] Elapsed: 5:05, vertices: 944, facets final: 953, pending: 114269, pool: 300
I  310.61] Elapsed: 5:11, vertices: 951, facets final: 953, pending: 115589, pool: 300
I  315.72] Elapsed: 5:16, vertices: 957, facets final: 953, pending: 116699, pool: 300
I  321.15] Elapsed: 5:21, vertices: 964, facets final: 953, pending: 117128, pool: 300
I  326.34] Elapsed: 5:26, vertices: 969, facets final: 953, pending: 117364, pool: 300
I  331.46] Elapsed: 5:31, vertices: 977, facets final: 953, pending: 118524, pool: 300
