C applying double rule rs=cd:ab;a.r.c.d;r.b.c.d for ineq.txt
I    5.00] Elapsed: 5.00, vertices: 168, facets final: 60, pending: 9566, pool: 299
I   10.03] Elapsed: 10.03, vertices: 278, facets final: 103, pending: 15179, pool: 299
I   15.06] Elapsed: 15.06, vertices: 363, facets final: 137, pending: 18149, pool: 300
I   20.12] Elapsed: 20.12, vertices: 439, facets final: 175, pending: 20694, pool: 299
I   25.12] Elapsed: 25.12, vertices: 505, facets final: 207, pending: 22493, pool: 300
I   30.15] Elapsed: 30.15, vertices: 571, facets final: 243, pending: 22901, pool: 299
I   35.19] Elapsed: 35.19, vertices: 636, facets final: 270, pending: 24007, pool: 300
I   40.21] Elapsed: 40.21, vertices: 697, facets final: 317, pending: 24487, pool: 300
I   45.25] Elapsed: 45.25, vertices: 755, facets final: 351, pending: 25421, pool: 300
I   50.28] Elapsed: 50.28, vertices: 813, facets final: 389, pending: 26682, pool: 300
I   55.28] Elapsed: 55.28, vertices: 870, facets final: 424, pending: 27002, pool: 300
I   60.30] Elapsed: 1:00, vertices: 925, facets final: 473, pending: 27379, pool: 300
I   65.31] Elapsed: 1:05, vertices: 980, facets final: 528, pending: 27169, pool: 299
I   70.35] Elapsed: 1:10, vertices: 1036, facets final: 589, pending: 27407, pool: 299
I   75.39] Elapsed: 1:15, vertices: 1090, facets final: 635, pending: 26928, pool: 299
I   80.46] Elapsed: 1:20, vertices: 1144, facets final: 696, pending: 27709, pool: 299
I   85.52] Elapsed: 1:26, vertices: 1198, facets final: 735, pending: 27467, pool: 299
I   90.58] Elapsed: 1:31, vertices: 1252, facets final: 795, pending: 27784, pool: 299
I   95.59] Elapsed: 1:36, vertices: 1306, facets final: 845, pending: 27539, pool: 300
I  100.59] Elapsed: 1:41, vertices: 1361, facets final: 916, pending: 27215, pool: 299
I  105.65] Elapsed: 1:46, vertices: 1418, facets final: 984, pending: 27064, pool: 300
I  110.68] Elapsed: 1:51, vertices: 1473, facets final: 1067, pending: 27383, pool: 299
I  115.69] Elapsed: 1:56, vertices: 1526, facets final: 1158, pending: 27202, pool: 300
I  120.75] Elapsed: 2:01, vertices: 1580, facets final: 1250, pending: 26960, pool: 300
I  125.81] Elapsed: 2:06, vertices: 1636, facets final: 1338, pending: 26698, pool: 300
I  130.81] Elapsed: 2:11, vertices: 1688, facets final: 1437, pending: 26944, pool: 300
I  135.82] Elapsed: 2:16, vertices: 1740, facets final: 1547, pending: 27139, pool: 300
I  140.84] Elapsed: 2:21, vertices: 1789, facets final: 1637, pending: 27062, pool: 300
I  145.89] Elapsed: 2:26, vertices: 1836, facets final: 1721, pending: 27374, pool: 300
I  150.91] Elapsed: 2:31, vertices: 1884, facets final: 1835, pending: 27264, pool: 299
I  155.97] Elapsed: 2:36, vertices: 1930, facets final: 1914, pending: 27487, pool: 300
I  161.02] Elapsed: 2:41, vertices: 1975, facets final: 2041, pending: 27583, pool: 300
I  166.07] Elapsed: 2:46, vertices: 2017, facets final: 2117, pending: 28315, pool: 300
I  171.11] Elapsed: 2:51, vertices: 2061, facets final: 2185, pending: 29057, pool: 300
I  176.38] Elapsed: 2:56, vertices: 2100, facets final: 2239, pending: 29467, pool: 300
I  181.42] Elapsed: 3:01, vertices: 2138, facets final: 2296, pending: 30496, pool: 300
I  186.44] Elapsed: 3:06, vertices: 2173, facets final: 2346, pending: 31781, pool: 300
I  191.45] Elapsed: 3:11, vertices: 2207, facets final: 2393, pending: 32829, pool: 299
I  196.54] Elapsed: 3:17, vertices: 2241, facets final: 2424, pending: 33888, pool: 299
I  201.75] Elapsed: 3:22, vertices: 2271, facets final: 2467, pending: 35031, pool: 300
I  206.85] Elapsed: 3:27, vertices: 2303, facets final: 2497, pending: 36219, pool: 300
I  211.91] Elapsed: 3:32, vertices: 2334, facets final: 2541, pending: 36593, pool: 300
I  216.91] Elapsed: 3:37, vertices: 2364, facets final: 2576, pending: 37353, pool: 299
