C applying double rule rs=cd:ab;a.r.c.d;ar.br.c.dr for ineq.txt
I    5.01] Elapsed: 5.01, vertices: 301, facets final: 92, pending: 7557, pool: 284
I   10.01] Elapsed: 10.01, vertices: 424, facets final: 134, pending: 13537, pool: 299
I   15.03] Elapsed: 15.03, vertices: 511, facets final: 147, pending: 18294, pool: 300
I   20.12] Elapsed: 20.12, vertices: 575, facets final: 161, pending: 23354, pool: 300
I   25.17] Elapsed: 25.17, vertices: 624, facets final: 166, pending: 27958, pool: 300
I   30.28] Elapsed: 30.28, vertices: 664, facets final: 170, pending: 31657, pool: 300
I   35.29] Elapsed: 35.29, vertices: 698, facets final: 176, pending: 35209, pool: 300
I   40.34] Elapsed: 40.34, vertices: 729, facets final: 181, pending: 39295, pool: 300
I   45.45] Elapsed: 45.45, vertices: 754, facets final: 181, pending: 42582, pool: 300
I   50.47] Elapsed: 50.47, vertices: 780, facets final: 182, pending: 46012, pool: 300
I   55.86] Elapsed: 55.86, vertices: 803, facets final: 184, pending: 50271, pool: 300
I   60.86] Elapsed: 1:01, vertices: 820, facets final: 187, pending: 53053, pool: 300
I   66.14] Elapsed: 1:06, vertices: 840, facets final: 188, pending: 55595, pool: 300
I   71.23] Elapsed: 1:11, vertices: 854, facets final: 189, pending: 57758, pool: 300
I   76.37] Elapsed: 1:16, vertices: 867, facets final: 190, pending: 60100, pool: 300
I   81.37] Elapsed: 1:21, vertices: 880, facets final: 190, pending: 62983, pool: 300
I   86.51] Elapsed: 1:27, vertices: 895, facets final: 192, pending: 64931, pool: 300
I   91.54] Elapsed: 1:32, vertices: 907, facets final: 193, pending: 67874, pool: 300
I   96.71] Elapsed: 1:37, vertices: 918, facets final: 194, pending: 69568, pool: 300
I  102.09] Elapsed: 1:42, vertices: 928, facets final: 195, pending: 71639, pool: 300
I  107.48] Elapsed: 1:47, vertices: 940, facets final: 195, pending: 74541, pool: 300
I  112.61] Elapsed: 1:53, vertices: 951, facets final: 196, pending: 76256, pool: 300
I  117.82] Elapsed: 1:58, vertices: 962, facets final: 196, pending: 77978, pool: 299
I  123.11] Elapsed: 2:03, vertices: 973, facets final: 196, pending: 79945, pool: 300
I  128.92] Elapsed: 2:09, vertices: 982, facets final: 199, pending: 82015, pool: 300
I  134.37] Elapsed: 2:14, vertices: 992, facets final: 199, pending: 83845, pool: 300
I  139.53] Elapsed: 2:20, vertices: 1003, facets final: 199, pending: 85423, pool: 300
I  145.40] Elapsed: 2:25, vertices: 1015, facets final: 199, pending: 87232, pool: 300
I  150.90] Elapsed: 2:31, vertices: 1024, facets final: 200, pending: 89295, pool: 300
I  156.13] Elapsed: 2:36, vertices: 1034, facets final: 201, pending: 90572, pool: 300
I  161.39] Elapsed: 2:41, vertices: 1044, facets final: 201, pending: 91491, pool: 300
I  166.52] Elapsed: 2:47, vertices: 1050, facets final: 202, pending: 92321, pool: 300
I  172.09] Elapsed: 2:52, vertices: 1055, facets final: 202, pending: 93294, pool: 300
I  177.77] Elapsed: 2:58, vertices: 1062, facets final: 202, pending: 93847, pool: 300
I  183.83] Elapsed: 3:04, vertices: 1071, facets final: 202, pending: 95491, pool: 300
I  188.94] Elapsed: 3:09, vertices: 1077, facets final: 202, pending: 96886, pool: 300
I  195.32] Elapsed: 3:15, vertices: 1084, facets final: 202, pending: 98488, pool: 300
I  200.79] Elapsed: 3:21, vertices: 1091, facets final: 203, pending: 99599, pool: 300
I  205.84] Elapsed: 3:26, vertices: 1097, facets final: 203, pending: 101346, pool: 300
I  211.33] Elapsed: 3:31, vertices: 1101, facets final: 203, pending: 102826, pool: 300
I  216.79] Elapsed: 3:37, vertices: 1109, facets final: 203, pending: 103736, pool: 300
I  222.70] Elapsed: 3:43, vertices: 1117, facets final: 203, pending: 104962, pool: 300
I  227.85] Elapsed: 3:48, vertices: 1123, facets final: 203, pending: 105790, pool: 300
I  232.98] Elapsed: 3:53, vertices: 1128, facets final: 203, pending: 106923, pool: 300
I  238.23] Elapsed: 3:58, vertices: 1132, facets final: 203, pending: 108028, pool: 300
I  243.50] Elapsed: 4:04, vertices: 1139, facets final: 203, pending: 109102, pool: 300
I  249.24] Elapsed: 4:09, vertices: 1144, facets final: 203, pending: 110530, pool: 300
I  256.14] Elapsed: 4:16, vertices: 1153, facets final: 203, pending: 112107, pool: 300
I  261.32] Elapsed: 4:21, vertices: 1159, facets final: 203, pending: 112837, pool: 300
I  267.36] Elapsed: 4:27, vertices: 1166, facets final: 203, pending: 114051, pool: 300
I  273.05] Elapsed: 4:33, vertices: 1172, facets final: 203, pending: 114855, pool: 300
I  280.09] Elapsed: 4:40, vertices: 1182, facets final: 203, pending: 116125, pool: 300
I  285.09] Elapsed: 4:45, vertices: 1189, facets final: 203, pending: 116786, pool: 300
I  290.62] Elapsed: 4:51, vertices: 1194, facets final: 203, pending: 118229, pool: 300
I  296.22] Elapsed: 4:56, vertices: 1200, facets final: 203, pending: 119587, pool: 300
I  301.68] Elapsed: 5:02, vertices: 1208, facets final: 203, pending: 120618, pool: 300
I  310.03] Elapsed: 5:10, vertices: 1215, facets final: 203, pending: 121070, pool: 300
I  315.24] Elapsed: 5:15, vertices: 1221, facets final: 203, pending: 122383, pool: 300
I  321.08] Elapsed: 5:21, vertices: 1227, facets final: 205, pending: 123959, pool: 300
I  326.67] Elapsed: 5:27, vertices: 1232, facets final: 205, pending: 124692, pool: 300
I  332.75] Elapsed: 5:33, vertices: 1237, facets final: 207, pending: 126281, pool: 300
I  339.27] Elapsed: 5:39, vertices: 1244, facets final: 208, pending: 127278, pool: 300
I  344.69] Elapsed: 5:45, vertices: 1250, facets final: 208, pending: 127791, pool: 300
I  351.02] Elapsed: 5:51, vertices: 1255, facets final: 208, pending: 128698, pool: 300
I  357.74] Elapsed: 5:58, vertices: 1261, facets final: 208, pending: 128871, pool: 300
I  362.81] Elapsed: 6:03, vertices: 1268, facets final: 208, pending: 129911, pool: 299
I  368.04] Elapsed: 6:08, vertices: 1272, facets final: 209, pending: 130277, pool: 300
I  373.83] Elapsed: 6:14, vertices: 1278, facets final: 210, pending: 130953, pool: 300
I  380.25] Elapsed: 6:20, vertices: 1282, facets final: 210, pending: 132391, pool: 300
I  385.61] Elapsed: 6:26, vertices: 1287, facets final: 211, pending: 133362, pool: 300
I  392.03] Elapsed: 6:32, vertices: 1294, facets final: 211, pending: 134006, pool: 300
I  397.41] Elapsed: 6:37, vertices: 1300, facets final: 212, pending: 134333, pool: 300
I  402.78] Elapsed: 6:43, vertices: 1306, facets final: 212, pending: 134811, pool: 300
I  407.94] Elapsed: 6:48, vertices: 1310, facets final: 213, pending: 134954, pool: 300
I  412.99] Elapsed: 6:53, vertices: 1315, facets final: 214, pending: 135485, pool: 300
I  418.49] Elapsed: 6:58, vertices: 1321, facets final: 215, pending: 136319, pool: 300
I  424.68] Elapsed: 7:05, vertices: 1326, facets final: 215, pending: 136908, pool: 300
I  429.91] Elapsed: 7:10, vertices: 1332, facets final: 215, pending: 137424, pool: 300
I  436.23] Elapsed: 7:16, vertices: 1335, facets final: 216, pending: 138705, pool: 300
I  441.65] Elapsed: 7:22, vertices: 1341, facets final: 216, pending: 139455, pool: 300
I  446.66] Elapsed: 7:27, vertices: 1347, facets final: 216, pending: 140244, pool: 300
