C applying double rule rs=cd:ab;a.r.c.d;ar.br.cr.d for ineq.txt
I    5.03] Elapsed: 5.03, vertices: 151, facets final: 93, pending: 13022, pool: 300
I   10.03] Elapsed: 10.03, vertices: 230, facets final: 99, pending: 19375, pool: 299
I   15.11] Elapsed: 15.11, vertices: 293, facets final: 104, pending: 23306, pool: 300
I   20.18] Elapsed: 20.18, vertices: 346, facets final: 111, pending: 27108, pool: 300
I   25.27] Elapsed: 25.27, vertices: 391, facets final: 116, pending: 31039, pool: 300
I   30.29] Elapsed: 30.29, vertices: 429, facets final: 123, pending: 33618, pool: 300
I   35.42] Elapsed: 35.42, vertices: 467, facets final: 132, pending: 35538, pool: 300
I   40.50] Elapsed: 40.50, vertices: 503, facets final: 140, pending: 38068, pool: 300
I   45.64] Elapsed: 45.64, vertices: 536, facets final: 147, pending: 40158, pool: 300
I   50.74] Elapsed: 50.74, vertices: 569, facets final: 152, pending: 41538, pool: 300
I   55.75] Elapsed: 55.75, vertices: 601, facets final: 162, pending: 42230, pool: 300
I   60.86] Elapsed: 1:01, vertices: 632, facets final: 164, pending: 44288, pool: 300
I   65.90] Elapsed: 1:06, vertices: 661, facets final: 168, pending: 45345, pool: 300
I   71.08] Elapsed: 1:11, vertices: 691, facets final: 174, pending: 46576, pool: 300
I   76.19] Elapsed: 1:16, vertices: 719, facets final: 179, pending: 47825, pool: 299
I   81.28] Elapsed: 1:21, vertices: 747, facets final: 184, pending: 48488, pool: 300
I   86.41] Elapsed: 1:26, vertices: 774, facets final: 189, pending: 49036, pool: 300
I   91.52] Elapsed: 1:32, vertices: 800, facets final: 191, pending: 49314, pool: 300
I   96.52] Elapsed: 1:37, vertices: 825, facets final: 193, pending: 49309, pool: 300
I  101.66] Elapsed: 1:42, vertices: 853, facets final: 196, pending: 50581, pool: 300
I  106.77] Elapsed: 1:47, vertices: 881, facets final: 200, pending: 50900, pool: 298
I  112.01] Elapsed: 1:52, vertices: 906, facets final: 208, pending: 50991, pool: 300
I  117.15] Elapsed: 1:57, vertices: 931, facets final: 211, pending: 51908, pool: 300
I  122.21] Elapsed: 2:02, vertices: 957, facets final: 214, pending: 52309, pool: 300
I  127.37] Elapsed: 2:07, vertices: 983, facets final: 216, pending: 52467, pool: 300
I  132.63] Elapsed: 2:13, vertices: 1010, facets final: 218, pending: 52939, pool: 300
I  137.72] Elapsed: 2:18, vertices: 1034, facets final: 223, pending: 53835, pool: 300
I  142.88] Elapsed: 2:23, vertices: 1056, facets final: 229, pending: 53589, pool: 300
I  147.97] Elapsed: 2:28, vertices: 1076, facets final: 231, pending: 53672, pool: 300
I  153.04] Elapsed: 2:33, vertices: 1098, facets final: 240, pending: 53912, pool: 300
I  158.13] Elapsed: 2:38, vertices: 1121, facets final: 244, pending: 54700, pool: 300
I  163.21] Elapsed: 2:43, vertices: 1142, facets final: 251, pending: 54824, pool: 300
I  168.51] Elapsed: 2:49, vertices: 1163, facets final: 257, pending: 55504, pool: 300
I  173.66] Elapsed: 2:54, vertices: 1186, facets final: 262, pending: 56061, pool: 300
I  178.85] Elapsed: 2:59, vertices: 1209, facets final: 266, pending: 56330, pool: 300
I  183.85] Elapsed: 3:04, vertices: 1229, facets final: 275, pending: 57301, pool: 299
