C applying double rule rs=cd:ab;a.r.c.d;ar.br.cr.dr for ineq.txt
I    5.02] Elapsed: 5.02, vertices: 191, facets final: 15, pending: 11475, pool: 300
I   10.03] Elapsed: 10.03, vertices: 279, facets final: 23, pending: 17656, pool: 300
I   15.07] Elapsed: 15.07, vertices: 349, facets final: 25, pending: 22563, pool: 300
I   20.12] Elapsed: 20.12, vertices: 401, facets final: 31, pending: 26219, pool: 300
I   25.19] Elapsed: 25.19, vertices: 449, facets final: 34, pending: 29149, pool: 300
I   30.25] Elapsed: 30.25, vertices: 493, facets final: 38, pending: 31710, pool: 300
I   35.35] Elapsed: 35.35, vertices: 533, facets final: 41, pending: 33855, pool: 300
I   40.35] Elapsed: 40.35, vertices: 573, facets final: 45, pending: 36254, pool: 300
I   45.36] Elapsed: 45.36, vertices: 608, facets final: 47, pending: 38274, pool: 300
I   50.45] Elapsed: 50.45, vertices: 643, facets final: 51, pending: 39950, pool: 300
I   55.49] Elapsed: 55.49, vertices: 676, facets final: 55, pending: 41524, pool: 300
I   60.61] Elapsed: 1:01, vertices: 708, facets final: 62, pending: 43301, pool: 300
I   65.61] Elapsed: 1:06, vertices: 737, facets final: 66, pending: 44570, pool: 300
I   70.66] Elapsed: 1:11, vertices: 768, facets final: 71, pending: 45924, pool: 299
I   75.70] Elapsed: 1:16, vertices: 797, facets final: 76, pending: 47163, pool: 300
I   80.73] Elapsed: 1:21, vertices: 825, facets final: 77, pending: 48792, pool: 299
I   85.81] Elapsed: 1:26, vertices: 853, facets final: 84, pending: 49994, pool: 300
I   90.98] Elapsed: 1:31, vertices: 880, facets final: 87, pending: 51001, pool: 300
I   96.10] Elapsed: 1:36, vertices: 905, facets final: 88, pending: 52027, pool: 300
I  101.15] Elapsed: 1:41, vertices: 931, facets final: 92, pending: 52712, pool: 300
I  106.19] Elapsed: 1:46, vertices: 954, facets final: 93, pending: 53974, pool: 300
I  111.30] Elapsed: 1:51, vertices: 978, facets final: 95, pending: 54289, pool: 300
I  116.47] Elapsed: 1:56, vertices: 1004, facets final: 99, pending: 54854, pool: 300
I  121.64] Elapsed: 2:02, vertices: 1026, facets final: 107, pending: 55758, pool: 300
I  126.70] Elapsed: 2:07, vertices: 1047, facets final: 112, pending: 56792, pool: 300
I  131.95] Elapsed: 2:12, vertices: 1069, facets final: 113, pending: 57333, pool: 300
I  137.20] Elapsed: 2:17, vertices: 1088, facets final: 115, pending: 57533, pool: 300
I  142.20] Elapsed: 2:22, vertices: 1108, facets final: 118, pending: 57992, pool: 300
I  147.37] Elapsed: 2:27, vertices: 1128, facets final: 121, pending: 58659, pool: 300
I  152.41] Elapsed: 2:32, vertices: 1149, facets final: 126, pending: 59002, pool: 300
I  157.66] Elapsed: 2:38, vertices: 1170, facets final: 134, pending: 59309, pool: 300
I  162.96] Elapsed: 2:43, vertices: 1192, facets final: 137, pending: 59806, pool: 300
I  167.98] Elapsed: 2:48, vertices: 1212, facets final: 142, pending: 60015, pool: 300
I  173.14] Elapsed: 2:53, vertices: 1233, facets final: 145, pending: 60686, pool: 300
I  178.35] Elapsed: 2:58, vertices: 1253, facets final: 150, pending: 61514, pool: 300
I  183.38] Elapsed: 3:03, vertices: 1273, facets final: 153, pending: 62324, pool: 300
I  188.43] Elapsed: 3:08, vertices: 1291, facets final: 158, pending: 63664, pool: 300
I  193.43] Elapsed: 3:13, vertices: 1309, facets final: 163, pending: 64243, pool: 300
I  198.51] Elapsed: 3:19, vertices: 1327, facets final: 166, pending: 65071, pool: 299
I  203.51] Elapsed: 3:24, vertices: 1346, facets final: 170, pending: 65342, pool: 300
I  208.53] Elapsed: 3:29, vertices: 1363, facets final: 170, pending: 66217, pool: 300
I  213.69] Elapsed: 3:34, vertices: 1382, facets final: 174, pending: 66971, pool: 300
I  218.76] Elapsed: 3:39, vertices: 1400, facets final: 175, pending: 68087, pool: 300
I  223.98] Elapsed: 3:44, vertices: 1419, facets final: 177, pending: 68937, pool: 300
I  229.21] Elapsed: 3:49, vertices: 1436, facets final: 180, pending: 69626, pool: 300
I  234.44] Elapsed: 3:54, vertices: 1454, facets final: 185, pending: 70213, pool: 300
I  239.62] Elapsed: 4:00, vertices: 1472, facets final: 187, pending: 71262, pool: 300
I  244.81] Elapsed: 4:05, vertices: 1491, facets final: 191, pending: 72332, pool: 300
I  249.91] Elapsed: 4:10, vertices: 1509, facets final: 192, pending: 73382, pool: 300
I  255.06] Elapsed: 4:15, vertices: 1526, facets final: 194, pending: 74089, pool: 300
I  260.22] Elapsed: 4:20, vertices: 1543, facets final: 196, pending: 74704, pool: 300
I  265.48] Elapsed: 4:25, vertices: 1558, facets final: 197, pending: 75025, pool: 300
I  270.66] Elapsed: 4:31, vertices: 1575, facets final: 198, pending: 75881, pool: 300
I  275.90] Elapsed: 4:36, vertices: 1592, facets final: 202, pending: 76599, pool: 300
I  281.22] Elapsed: 4:41, vertices: 1608, facets final: 207, pending: 77415, pool: 300
I  286.22] Elapsed: 4:46, vertices: 1622, facets final: 211, pending: 77814, pool: 300
