C applying double rule r=c:ab;s=a:bdr;a.r.c.d;r.b.c.d for ineq.txt
I    5.02] Elapsed: 5.02, vertices: 168, facets final: 70, pending: 10560, pool: 279
I   10.02] Elapsed: 10.02, vertices: 256, facets final: 96, pending: 17163, pool: 299
I   15.03] Elapsed: 15.03, vertices: 328, facets final: 110, pending: 21000, pool: 300
I   20.07] Elapsed: 20.07, vertices: 389, facets final: 124, pending: 24666, pool: 300
I   25.12] Elapsed: 25.12, vertices: 441, facets final: 133, pending: 27250, pool: 300
I   30.12] Elapsed: 30.12, vertices: 487, facets final: 139, pending: 30590, pool: 300
I   35.23] Elapsed: 35.23, vertices: 527, facets final: 145, pending: 34207, pool: 300
I   40.31] Elapsed: 40.31, vertices: 567, facets final: 154, pending: 36242, pool: 299
I   45.32] Elapsed: 45.32, vertices: 602, facets final: 159, pending: 38669, pool: 299
I   50.34] Elapsed: 50.34, vertices: 634, facets final: 168, pending: 39907, pool: 299
I   55.61] Elapsed: 55.61, vertices: 666, facets final: 173, pending: 41502, pool: 300
I   60.65] Elapsed: 1:01, vertices: 696, facets final: 177, pending: 43170, pool: 299
I   65.68] Elapsed: 1:06, vertices: 725, facets final: 188, pending: 44502, pool: 300
I   70.83] Elapsed: 1:11, vertices: 755, facets final: 196, pending: 45916, pool: 300
I   75.85] Elapsed: 1:16, vertices: 781, facets final: 202, pending: 47248, pool: 300
I   81.00] Elapsed: 1:21, vertices: 807, facets final: 205, pending: 48820, pool: 300
I   86.21] Elapsed: 1:26, vertices: 832, facets final: 212, pending: 49760, pool: 300
I   91.41] Elapsed: 1:31, vertices: 859, facets final: 220, pending: 50657, pool: 300
I   96.41] Elapsed: 1:36, vertices: 881, facets final: 228, pending: 52131, pool: 299
I  101.58] Elapsed: 1:42, vertices: 903, facets final: 234, pending: 52706, pool: 300
I  106.59] Elapsed: 1:47, vertices: 927, facets final: 239, pending: 53148, pool: 299
I  111.85] Elapsed: 1:52, vertices: 949, facets final: 246, pending: 53403, pool: 299
I  117.11] Elapsed: 1:57, vertices: 972, facets final: 248, pending: 53875, pool: 300
I  122.12] Elapsed: 2:02, vertices: 994, facets final: 255, pending: 54074, pool: 300
I  127.21] Elapsed: 2:07, vertices: 1017, facets final: 260, pending: 53878, pool: 300
