C applying double rule r=c:ab;s=a:bdr;a.r.c.d;ar.br.c.dr for ineq.txt
I    5.04] Elapsed: 5.04, vertices: 166, facets final: 17, pending: 11639, pool: 300
I   10.09] Elapsed: 10.09, vertices: 243, facets final: 17, pending: 20046, pool: 299
I   15.16] Elapsed: 15.16, vertices: 297, facets final: 20, pending: 25334, pool: 300
I   20.17] Elapsed: 20.17, vertices: 338, facets final: 21, pending: 29988, pool: 300
I   25.23] Elapsed: 25.23, vertices: 374, facets final: 22, pending: 31109, pool: 300
I   30.24] Elapsed: 30.24, vertices: 411, facets final: 22, pending: 32457, pool: 300
I   35.25] Elapsed: 35.25, vertices: 443, facets final: 24, pending: 34184, pool: 299
I   40.38] Elapsed: 40.38, vertices: 476, facets final: 24, pending: 38104, pool: 300
I   45.38] Elapsed: 45.38, vertices: 505, facets final: 24, pending: 41718, pool: 299
I   50.50] Elapsed: 50.50, vertices: 532, facets final: 28, pending: 44257, pool: 299
I   55.58] Elapsed: 55.58, vertices: 558, facets final: 33, pending: 46458, pool: 300
I   60.69] Elapsed: 1:01, vertices: 577, facets final: 33, pending: 46898, pool: 300
I   65.71] Elapsed: 1:06, vertices: 600, facets final: 36, pending: 47229, pool: 300
I   70.83] Elapsed: 1:11, vertices: 624, facets final: 38, pending: 49590, pool: 300
I   75.93] Elapsed: 1:16, vertices: 646, facets final: 41, pending: 51735, pool: 300
I   81.17] Elapsed: 1:21, vertices: 668, facets final: 43, pending: 54132, pool: 300
I   86.25] Elapsed: 1:26, vertices: 687, facets final: 46, pending: 56124, pool: 300
I   91.41] Elapsed: 1:31, vertices: 706, facets final: 47, pending: 56689, pool: 300
I   96.41] Elapsed: 1:36, vertices: 723, facets final: 48, pending: 58592, pool: 300
I  101.59] Elapsed: 1:42, vertices: 741, facets final: 49, pending: 60249, pool: 300
I  106.91] Elapsed: 1:47, vertices: 758, facets final: 49, pending: 61898, pool: 300
I  112.25] Elapsed: 1:52, vertices: 774, facets final: 49, pending: 64672, pool: 300
I  117.52] Elapsed: 1:58, vertices: 789, facets final: 49, pending: 66748, pool: 300
I  122.72] Elapsed: 2:03, vertices: 798, facets final: 49, pending: 67823, pool: 300
I  127.89] Elapsed: 2:08, vertices: 812, facets final: 50, pending: 69620, pool: 300
I  133.05] Elapsed: 2:13, vertices: 828, facets final: 51, pending: 70873, pool: 300
I  138.09] Elapsed: 2:18, vertices: 842, facets final: 51, pending: 72864, pool: 300
I  143.21] Elapsed: 2:23, vertices: 854, facets final: 51, pending: 74753, pool: 300
