C applying double rule r=c:ab;s=a:bdr;a.r.c.d;ar.br.cr.dr for ineq.txt
I    5.01] Elapsed: 5.01, vertices: 175, facets final: 37, pending: 10507, pool: 298
I   10.03] Elapsed: 10.03, vertices: 266, facets final: 60, pending: 17582, pool: 299
I   15.03] Elapsed: 15.03, vertices: 333, facets final: 70, pending: 22140, pool: 300
I   20.09] Elapsed: 20.09, vertices: 389, facets final: 73, pending: 26078, pool: 300
I   25.12] Elapsed: 25.12, vertices: 437, facets final: 83, pending: 28936, pool: 299
I   30.19] Elapsed: 30.19, vertices: 480, facets final: 89, pending: 31371, pool: 300
I   35.28] Elapsed: 35.28, vertices: 519, facets final: 95, pending: 34717, pool: 299
I   40.38] Elapsed: 40.38, vertices: 556, facets final: 100, pending: 36787, pool: 300
I   45.38] Elapsed: 45.38, vertices: 588, facets final: 107, pending: 39120, pool: 300
I   50.41] Elapsed: 50.41, vertices: 617, facets final: 111, pending: 41907, pool: 300
I   55.54] Elapsed: 55.54, vertices: 647, facets final: 114, pending: 45064, pool: 300
I   60.54] Elapsed: 1:01, vertices: 673, facets final: 116, pending: 47342, pool: 300
I   65.72] Elapsed: 1:06, vertices: 697, facets final: 117, pending: 49038, pool: 300
I   70.88] Elapsed: 1:11, vertices: 721, facets final: 118, pending: 50739, pool: 300
I   76.04] Elapsed: 1:16, vertices: 744, facets final: 120, pending: 52741, pool: 300
I   81.19] Elapsed: 1:21, vertices: 765, facets final: 121, pending: 55330, pool: 300
I   86.35] Elapsed: 1:26, vertices: 787, facets final: 124, pending: 57118, pool: 300
I   91.62] Elapsed: 1:32, vertices: 805, facets final: 124, pending: 59253, pool: 300
I   96.80] Elapsed: 1:37, vertices: 823, facets final: 125, pending: 61346, pool: 300
I  101.97] Elapsed: 1:42, vertices: 842, facets final: 129, pending: 63215, pool: 300
I  107.02] Elapsed: 1:47, vertices: 860, facets final: 130, pending: 65138, pool: 299
I  112.21] Elapsed: 1:52, vertices: 876, facets final: 131, pending: 66510, pool: 300
I  117.45] Elapsed: 1:57, vertices: 892, facets final: 133, pending: 68799, pool: 300
I  122.48] Elapsed: 2:02, vertices: 905, facets final: 133, pending: 69895, pool: 300
I  127.61] Elapsed: 2:08, vertices: 920, facets final: 134, pending: 71805, pool: 299
I  133.16] Elapsed: 2:13, vertices: 932, facets final: 134, pending: 73437, pool: 300
I  138.44] Elapsed: 2:18, vertices: 948, facets final: 138, pending: 75145, pool: 300
I  143.49] Elapsed: 2:23, vertices: 961, facets final: 140, pending: 76615, pool: 300
I  149.17] Elapsed: 2:29, vertices: 973, facets final: 142, pending: 79180, pool: 300
I  154.24] Elapsed: 2:34, vertices: 985, facets final: 142, pending: 80396, pool: 300
I  159.37] Elapsed: 2:39, vertices: 997, facets final: 144, pending: 82228, pool: 299
I  164.71] Elapsed: 2:45, vertices: 1009, facets final: 144, pending: 83847, pool: 300
I  170.46] Elapsed: 2:50, vertices: 1019, facets final: 144, pending: 85144, pool: 300
I  175.87] Elapsed: 2:56, vertices: 1027, facets final: 145, pending: 85672, pool: 300
I  181.81] Elapsed: 3:02, vertices: 1038, facets final: 145, pending: 86928, pool: 300
I  187.10] Elapsed: 3:07, vertices: 1049, facets final: 147, pending: 87632, pool: 300
I  192.63] Elapsed: 3:13, vertices: 1059, facets final: 147, pending: 88612, pool: 300
I  198.25] Elapsed: 3:18, vertices: 1070, facets final: 148, pending: 89659, pool: 300
I  203.36] Elapsed: 3:23, vertices: 1080, facets final: 148, pending: 90609, pool: 300
I  208.47] Elapsed: 3:28, vertices: 1089, facets final: 148, pending: 91189, pool: 300
I  213.79] Elapsed: 3:34, vertices: 1099, facets final: 149, pending: 92323, pool: 300
I  218.80] Elapsed: 3:39, vertices: 1110, facets final: 150, pending: 93196, pool: 300
I  224.23] Elapsed: 3:44, vertices: 1119, facets final: 150, pending: 93771, pool: 299
I  229.27] Elapsed: 3:49, vertices: 1125, facets final: 151, pending: 94503, pool: 300
I  234.59] Elapsed: 3:55, vertices: 1132, facets final: 151, pending: 95730, pool: 300
I  239.73] Elapsed: 4:00, vertices: 1142, facets final: 151, pending: 96830, pool: 300
I  245.13] Elapsed: 4:05, vertices: 1152, facets final: 151, pending: 97981, pool: 300
I  250.87] Elapsed: 4:11, vertices: 1159, facets final: 151, pending: 99523, pool: 300
I  256.08] Elapsed: 4:16, vertices: 1167, facets final: 152, pending: 99831, pool: 300
I  261.33] Elapsed: 4:21, vertices: 1175, facets final: 152, pending: 100286, pool: 300
I  266.46] Elapsed: 4:26, vertices: 1185, facets final: 152, pending: 100710, pool: 300
I  271.73] Elapsed: 4:32, vertices: 1195, facets final: 152, pending: 101411, pool: 300
I  276.90] Elapsed: 4:37, vertices: 1203, facets final: 152, pending: 102683, pool: 300
I  282.50] Elapsed: 4:43, vertices: 1213, facets final: 153, pending: 103753, pool: 300
I  287.55] Elapsed: 4:48, vertices: 1221, facets final: 157, pending: 105328, pool: 299
I  292.67] Elapsed: 4:53, vertices: 1228, facets final: 158, pending: 106706, pool: 300
I  297.91] Elapsed: 4:58, vertices: 1234, facets final: 161, pending: 108057, pool: 300
I  303.36] Elapsed: 5:03, vertices: 1242, facets final: 161, pending: 109579, pool: 300
I  309.16] Elapsed: 5:09, vertices: 1252, facets final: 162, pending: 110402, pool: 300
I  314.49] Elapsed: 5:14, vertices: 1259, facets final: 162, pending: 111334, pool: 300
I  320.17] Elapsed: 5:20, vertices: 1267, facets final: 163, pending: 112353, pool: 300
I  325.37] Elapsed: 5:25, vertices: 1276, facets final: 163, pending: 113511, pool: 300
I  331.34] Elapsed: 5:31, vertices: 1283, facets final: 164, pending: 115069, pool: 300
I  336.63] Elapsed: 5:37, vertices: 1289, facets final: 164, pending: 116085, pool: 300
I  341.86] Elapsed: 5:42, vertices: 1297, facets final: 164, pending: 116762, pool: 300
I  347.06] Elapsed: 5:47, vertices: 1303, facets final: 166, pending: 117650, pool: 300
I  352.54] Elapsed: 5:53, vertices: 1308, facets final: 167, pending: 118247, pool: 300
I  357.87] Elapsed: 5:58, vertices: 1315, facets final: 167, pending: 119205, pool: 300
I  363.52] Elapsed: 6:04, vertices: 1320, facets final: 168, pending: 120953, pool: 300
I  369.03] Elapsed: 6:09, vertices: 1328, facets final: 168, pending: 121988, pool: 300
I  374.47] Elapsed: 6:14, vertices: 1334, facets final: 168, pending: 122926, pool: 300
I  380.35] Elapsed: 6:20, vertices: 1341, facets final: 168, pending: 124693, pool: 300
I  385.50] Elapsed: 6:26, vertices: 1347, facets final: 169, pending: 125543, pool: 300
I  391.72] Elapsed: 6:32, vertices: 1353, facets final: 169, pending: 127974, pool: 300
I  397.11] Elapsed: 6:37, vertices: 1358, facets final: 170, pending: 129050, pool: 300
I  402.26] Elapsed: 6:42, vertices: 1361, facets final: 170, pending: 128241, pool: 300
I  408.69] Elapsed: 6:49, vertices: 1368, facets final: 170, pending: 128908, pool: 300
I  414.29] Elapsed: 6:54, vertices: 1373, facets final: 170, pending: 129950, pool: 300
I  420.86] Elapsed: 7:01, vertices: 1379, facets final: 170, pending: 131328, pool: 300
I  426.24] Elapsed: 7:06, vertices: 1384, facets final: 170, pending: 131800, pool: 300
I  431.92] Elapsed: 7:12, vertices: 1389, facets final: 170, pending: 132832, pool: 300
I  437.72] Elapsed: 7:18, vertices: 1395, facets final: 171, pending: 133601, pool: 300
I  443.59] Elapsed: 7:24, vertices: 1400, facets final: 171, pending: 134978, pool: 300
I  448.59] Elapsed: 7:29, vertices: 1406, facets final: 172, pending: 135652, pool: 300
I  454.62] Elapsed: 7:35, vertices: 1412, facets final: 173, pending: 136711, pool: 300
I  460.45] Elapsed: 7:40, vertices: 1417, facets final: 173, pending: 137299, pool: 300
I  467.26] Elapsed: 7:47, vertices: 1421, facets final: 174, pending: 137402, pool: 300
I  474.41] Elapsed: 7:54, vertices: 1427, facets final: 174, pending: 138451, pool: 300
I  479.78] Elapsed: 8:00, vertices: 1433, facets final: 174, pending: 139530, pool: 300
I  484.84] Elapsed: 8:05, vertices: 1438, facets final: 174, pending: 140507, pool: 300
I  490.27] Elapsed: 8:10, vertices: 1443, facets final: 174, pending: 141240, pool: 300
I  496.43] Elapsed: 8:16, vertices: 1448, facets final: 174, pending: 142090, pool: 300
I  501.51] Elapsed: 8:22, vertices: 1454, facets final: 174, pending: 142665, pool: 300
I  507.29] Elapsed: 8:27, vertices: 1461, facets final: 174, pending: 143853, pool: 300
I  513.06] Elapsed: 8:33, vertices: 1467, facets final: 174, pending: 143885, pool: 300
I  518.16] Elapsed: 8:38, vertices: 1473, facets final: 174, pending: 144505, pool: 300
I  523.19] Elapsed: 8:43, vertices: 1477, facets final: 174, pending: 145024, pool: 300
I  528.40] Elapsed: 8:48, vertices: 1483, facets final: 174, pending: 145290, pool: 300
I  534.13] Elapsed: 8:54, vertices: 1488, facets final: 174, pending: 146406, pool: 300
I  539.81] Elapsed: 9:00, vertices: 1495, facets final: 174, pending: 146848, pool: 300
I  545.57] Elapsed: 9:06, vertices: 1502, facets final: 174, pending: 148157, pool: 300
I  550.68] Elapsed: 9:11, vertices: 1508, facets final: 175, pending: 148212, pool: 300
I  555.73] Elapsed: 9:16, vertices: 1514, facets final: 175, pending: 148662, pool: 300
I  562.07] Elapsed: 9:22, vertices: 1519, facets final: 176, pending: 150339, pool: 300
I  567.93] Elapsed: 9:28, vertices: 1525, facets final: 176, pending: 151377, pool: 300
I  573.02] Elapsed: 9:33, vertices: 1528, facets final: 176, pending: 151621, pool: 300
I  579.85] Elapsed: 9:40, vertices: 1535, facets final: 176, pending: 152559, pool: 300
I  585.33] Elapsed: 9:45, vertices: 1539, facets final: 176, pending: 153632, pool: 300
I  590.62] Elapsed: 9:51, vertices: 1541, facets final: 176, pending: 154491, pool: 300
I  595.69] Elapsed: 9:56, vertices: 1546, facets final: 177, pending: 155010, pool: 300
I  601.98] Elapsed: 10:02, vertices: 1551, facets final: 179, pending: 155898, pool: 300
I  608.02] Elapsed: 10:08, vertices: 1555, facets final: 179, pending: 156354, pool: 300
I  613.66] Elapsed: 10:14, vertices: 1561, facets final: 179, pending: 156917, pool: 300
I  619.57] Elapsed: 10:20, vertices: 1565, facets final: 179, pending: 157414, pool: 300
I  625.54] Elapsed: 10:26, vertices: 1569, facets final: 179, pending: 158418, pool: 300
I  630.94] Elapsed: 10:31, vertices: 1574, facets final: 180, pending: 158728, pool: 299
I  636.43] Elapsed: 10:36, vertices: 1577, facets final: 180, pending: 159140, pool: 300
I  646.36] Elapsed: 10:46, vertices: 1582, facets final: 180, pending: 160663, pool: 300
I  652.96] Elapsed: 10:53, vertices: 1586, facets final: 180, pending: 161385, pool: 300
I  658.47] Elapsed: 10:58, vertices: 1589, facets final: 180, pending: 162618, pool: 300
I  665.37] Elapsed: 11:05, vertices: 1593, facets final: 180, pending: 163294, pool: 300
I  670.79] Elapsed: 11:11, vertices: 1598, facets final: 180, pending: 163653, pool: 300
I  677.35] Elapsed: 11:17, vertices: 1602, facets final: 180, pending: 164454, pool: 300
I  683.22] Elapsed: 11:23, vertices: 1607, facets final: 181, pending: 165533, pool: 300
I  688.64] Elapsed: 11:29, vertices: 1613, facets final: 181, pending: 166030, pool: 300
I  694.30] Elapsed: 11:34, vertices: 1618, facets final: 181, pending: 166716, pool: 300
I  700.17] Elapsed: 11:40, vertices: 1624, facets final: 181, pending: 167566, pool: 300
I  708.32] Elapsed: 11:48, vertices: 1629, facets final: 181, pending: 167683, pool: 300
I  715.42] Elapsed: 11:55, vertices: 1633, facets final: 181, pending: 168934, pool: 300
I  720.99] Elapsed: 12:01, vertices: 1638, facets final: 181, pending: 169202, pool: 299
I  726.31] Elapsed: 12:06, vertices: 1643, facets final: 181, pending: 170012, pool: 300
