C applying double rule rs=cd:ab;ar.br.cr.dr;a.b.c.dr for ineq.txt
I    5.02] Elapsed: 5.02, vertices: 178, facets final: 19, pending: 11683, pool: 300
I   10.08] Elapsed: 10.08, vertices: 271, facets final: 23, pending: 17001, pool: 300
I   15.12] Elapsed: 15.12, vertices: 340, facets final: 27, pending: 20913, pool: 300
I   20.18] Elapsed: 20.18, vertices: 402, facets final: 34, pending: 24135, pool: 300
I   25.25] Elapsed: 25.25, vertices: 457, facets final: 39, pending: 26795, pool: 300
I   30.33] Elapsed: 30.33, vertices: 508, facets final: 52, pending: 29118, pool: 300
I   35.35] Elapsed: 35.35, vertices: 553, facets final: 59, pending: 31243, pool: 300
I   40.43] Elapsed: 40.43, vertices: 594, facets final: 66, pending: 34412, pool: 300
I   45.49] Elapsed: 45.49, vertices: 636, facets final: 70, pending: 35843, pool: 300
I   50.59] Elapsed: 50.59, vertices: 671, facets final: 75, pending: 37421, pool: 299
I   55.62] Elapsed: 55.62, vertices: 708, facets final: 81, pending: 39248, pool: 300
I   60.66] Elapsed: 1:01, vertices: 743, facets final: 84, pending: 40584, pool: 299
I   65.76] Elapsed: 1:06, vertices: 777, facets final: 89, pending: 41689, pool: 300
I   70.89] Elapsed: 1:11, vertices: 808, facets final: 96, pending: 43170, pool: 300
I   75.91] Elapsed: 1:16, vertices: 839, facets final: 103, pending: 44652, pool: 300
I   81.03] Elapsed: 1:21, vertices: 869, facets final: 107, pending: 46020, pool: 300
I   86.14] Elapsed: 1:26, vertices: 899, facets final: 109, pending: 47131, pool: 300
I   91.24] Elapsed: 1:31, vertices: 928, facets final: 113, pending: 48314, pool: 300
I   96.44] Elapsed: 1:36, vertices: 955, facets final: 120, pending: 48927, pool: 300
I  101.58] Elapsed: 1:42, vertices: 983, facets final: 125, pending: 48936, pool: 300
I  106.61] Elapsed: 1:47, vertices: 1010, facets final: 131, pending: 49389, pool: 300
I  111.67] Elapsed: 1:52, vertices: 1034, facets final: 138, pending: 49495, pool: 300
I  116.82] Elapsed: 1:57, vertices: 1059, facets final: 143, pending: 50233, pool: 300
I  121.90] Elapsed: 2:02, vertices: 1082, facets final: 150, pending: 50405, pool: 300
I  126.92] Elapsed: 2:07, vertices: 1105, facets final: 155, pending: 50584, pool: 300
