C applying double rule rs=cd:ab;ar.br.cr.dr;a.b.cr.d for ineq.txt
I    5.02] Elapsed: 5.02, vertices: 162, facets final: 27, pending: 11780, pool: 297
I   10.03] Elapsed: 10.03, vertices: 252, facets final: 32, pending: 17327, pool: 300
I   15.03] Elapsed: 15.03, vertices: 322, facets final: 43, pending: 21485, pool: 299
I   20.10] Elapsed: 20.10, vertices: 381, facets final: 53, pending: 25069, pool: 298
I   25.13] Elapsed: 25.13, vertices: 432, facets final: 64, pending: 27864, pool: 299
I   30.14] Elapsed: 30.14, vertices: 479, facets final: 68, pending: 29658, pool: 300
I   35.21] Elapsed: 35.21, vertices: 522, facets final: 75, pending: 33332, pool: 300
I   40.23] Elapsed: 40.23, vertices: 561, facets final: 82, pending: 35471, pool: 300
I   45.29] Elapsed: 45.29, vertices: 597, facets final: 92, pending: 37687, pool: 299
I   50.35] Elapsed: 50.35, vertices: 631, facets final: 100, pending: 39807, pool: 300
I   55.44] Elapsed: 55.44, vertices: 665, facets final: 104, pending: 41884, pool: 300
I   60.58] Elapsed: 1:01, vertices: 697, facets final: 106, pending: 43153, pool: 300
I   65.59] Elapsed: 1:06, vertices: 727, facets final: 112, pending: 44703, pool: 300
I   70.64] Elapsed: 1:11, vertices: 757, facets final: 123, pending: 46411, pool: 300
I   75.78] Elapsed: 1:16, vertices: 785, facets final: 128, pending: 48234, pool: 300
I   80.95] Elapsed: 1:21, vertices: 813, facets final: 132, pending: 49857, pool: 300
I   86.09] Elapsed: 1:26, vertices: 841, facets final: 138, pending: 50846, pool: 300
I   91.09] Elapsed: 1:31, vertices: 867, facets final: 141, pending: 51730, pool: 300
I   96.20] Elapsed: 1:36, vertices: 890, facets final: 144, pending: 52649, pool: 300
I  101.26] Elapsed: 1:41, vertices: 915, facets final: 154, pending: 54762, pool: 299
I  106.40] Elapsed: 1:46, vertices: 938, facets final: 158, pending: 55655, pool: 300
I  111.49] Elapsed: 1:51, vertices: 961, facets final: 164, pending: 56780, pool: 300
I  116.62] Elapsed: 1:57, vertices: 983, facets final: 168, pending: 58028, pool: 300
I  121.74] Elapsed: 2:02, vertices: 1004, facets final: 178, pending: 58279, pool: 300
I  126.99] Elapsed: 2:07, vertices: 1025, facets final: 183, pending: 59412, pool: 299
I  132.03] Elapsed: 2:12, vertices: 1044, facets final: 188, pending: 59851, pool: 300
I  137.19] Elapsed: 2:17, vertices: 1064, facets final: 192, pending: 60804, pool: 300
I  142.21] Elapsed: 2:22, vertices: 1082, facets final: 199, pending: 61926, pool: 300
I  147.27] Elapsed: 2:27, vertices: 1101, facets final: 210, pending: 62322, pool: 300
I  152.30] Elapsed: 2:32, vertices: 1120, facets final: 213, pending: 63285, pool: 300
I  157.49] Elapsed: 2:37, vertices: 1138, facets final: 215, pending: 64919, pool: 300
I  162.62] Elapsed: 2:43, vertices: 1154, facets final: 219, pending: 65543, pool: 300
I  167.68] Elapsed: 2:48, vertices: 1172, facets final: 222, pending: 66169, pool: 300
I  172.73] Elapsed: 2:53, vertices: 1189, facets final: 228, pending: 66910, pool: 300
I  177.92] Elapsed: 2:58, vertices: 1207, facets final: 239, pending: 67732, pool: 300
I  183.13] Elapsed: 3:03, vertices: 1225, facets final: 245, pending: 67927, pool: 300
I  188.15] Elapsed: 3:08, vertices: 1242, facets final: 249, pending: 69094, pool: 300
I  193.56] Elapsed: 3:14, vertices: 1261, facets final: 256, pending: 69825, pool: 300
I  198.89] Elapsed: 3:19, vertices: 1277, facets final: 262, pending: 70939, pool: 300
I  203.91] Elapsed: 3:24, vertices: 1291, facets final: 267, pending: 71905, pool: 300
I  209.02] Elapsed: 3:29, vertices: 1306, facets final: 271, pending: 72513, pool: 300
I  214.19] Elapsed: 3:34, vertices: 1321, facets final: 273, pending: 73820, pool: 300
I  219.37] Elapsed: 3:39, vertices: 1338, facets final: 279, pending: 74121, pool: 300
I  224.96] Elapsed: 3:45, vertices: 1354, facets final: 285, pending: 75258, pool: 300
I  230.12] Elapsed: 3:50, vertices: 1369, facets final: 290, pending: 75913, pool: 300
I  235.18] Elapsed: 3:55, vertices: 1383, facets final: 294, pending: 76152, pool: 300
I  240.38] Elapsed: 4:00, vertices: 1398, facets final: 300, pending: 76151, pool: 299
I  245.62] Elapsed: 4:06, vertices: 1415, facets final: 305, pending: 76691, pool: 300
I  250.72] Elapsed: 4:11, vertices: 1431, facets final: 311, pending: 76627, pool: 300
