C applying double rule rs=cd:ab;ar.br.c.dr;ar.br.cr.d for ineq.txt
I    5.02] Elapsed: 5.02, vertices: 173, facets final: 21, pending: 11710, pool: 299
I   10.02] Elapsed: 10.02, vertices: 263, facets final: 27, pending: 17498, pool: 299
I   15.02] Elapsed: 15.02, vertices: 332, facets final: 33, pending: 21789, pool: 299
I   20.02] Elapsed: 20.02, vertices: 392, facets final: 35, pending: 24871, pool: 300
I   25.10] Elapsed: 25.10, vertices: 444, facets final: 46, pending: 27730, pool: 300
I   30.18] Elapsed: 30.18, vertices: 489, facets final: 54, pending: 30392, pool: 300
I   35.19] Elapsed: 35.19, vertices: 532, facets final: 57, pending: 32517, pool: 300
I   40.20] Elapsed: 40.20, vertices: 571, facets final: 60, pending: 33827, pool: 300
I   45.26] Elapsed: 45.26, vertices: 610, facets final: 62, pending: 35436, pool: 300
I   50.37] Elapsed: 50.37, vertices: 648, facets final: 70, pending: 37540, pool: 300
I   55.47] Elapsed: 55.47, vertices: 682, facets final: 79, pending: 38630, pool: 300
I   60.50] Elapsed: 1:01, vertices: 718, facets final: 88, pending: 39918, pool: 300
I   65.58] Elapsed: 1:06, vertices: 752, facets final: 93, pending: 40957, pool: 300
I   70.60] Elapsed: 1:11, vertices: 784, facets final: 98, pending: 42088, pool: 300
I   75.71] Elapsed: 1:16, vertices: 818, facets final: 109, pending: 42851, pool: 298
I   80.79] Elapsed: 1:21, vertices: 850, facets final: 116, pending: 43072, pool: 300
I   85.88] Elapsed: 1:26, vertices: 883, facets final: 122, pending: 44414, pool: 300
I   90.91] Elapsed: 1:31, vertices: 914, facets final: 131, pending: 45457, pool: 300
I   96.02] Elapsed: 1:36, vertices: 942, facets final: 137, pending: 45824, pool: 300
I  101.11] Elapsed: 1:41, vertices: 971, facets final: 144, pending: 46901, pool: 300
I  106.27] Elapsed: 1:46, vertices: 1001, facets final: 148, pending: 47138, pool: 300
I  111.36] Elapsed: 1:51, vertices: 1028, facets final: 151, pending: 48019, pool: 300
I  116.41] Elapsed: 1:56, vertices: 1053, facets final: 154, pending: 48670, pool: 300
I  121.53] Elapsed: 2:02, vertices: 1080, facets final: 165, pending: 49349, pool: 300
I  126.61] Elapsed: 2:07, vertices: 1103, facets final: 175, pending: 50629, pool: 300
I  131.61] Elapsed: 2:12, vertices: 1126, facets final: 184, pending: 51115, pool: 300
I  136.65] Elapsed: 2:17, vertices: 1150, facets final: 193, pending: 51456, pool: 300
