C applying double rule rs=cd:ab;a.b.cr.d;a.b.c.dr for ineq.txt
I    5.01] Elapsed: 5.01, vertices: 193, facets final: 44, pending: 11055, pool: 299
I   10.05] Elapsed: 10.05, vertices: 295, facets final: 51, pending: 17504, pool: 300
I   15.09] Elapsed: 15.09, vertices: 364, facets final: 64, pending: 23770, pool: 300
I   20.09] Elapsed: 20.09, vertices: 420, facets final: 72, pending: 27404, pool: 300
I   25.12] Elapsed: 25.12, vertices: 469, facets final: 80, pending: 29949, pool: 300
I   30.14] Elapsed: 30.14, vertices: 514, facets final: 86, pending: 32905, pool: 300
I   35.29] Elapsed: 35.29, vertices: 556, facets final: 91, pending: 35339, pool: 300
I   40.36] Elapsed: 40.36, vertices: 596, facets final: 103, pending: 38162, pool: 300
I   45.43] Elapsed: 45.43, vertices: 633, facets final: 109, pending: 40944, pool: 300
I   50.47] Elapsed: 50.47, vertices: 665, facets final: 117, pending: 43181, pool: 300
I   55.57] Elapsed: 55.57, vertices: 695, facets final: 122, pending: 45655, pool: 300
I   60.57] Elapsed: 1:01, vertices: 724, facets final: 130, pending: 47889, pool: 300
I   65.65] Elapsed: 1:06, vertices: 753, facets final: 141, pending: 49493, pool: 299
I   70.65] Elapsed: 1:11, vertices: 779, facets final: 146, pending: 50802, pool: 300
I   75.66] Elapsed: 1:16, vertices: 805, facets final: 154, pending: 52140, pool: 300
I   80.87] Elapsed: 1:21, vertices: 831, facets final: 166, pending: 53666, pool: 300
I   85.87] Elapsed: 1:26, vertices: 855, facets final: 171, pending: 54755, pool: 300
I   90.89] Elapsed: 1:31, vertices: 880, facets final: 182, pending: 55766, pool: 300
I   96.03] Elapsed: 1:36, vertices: 903, facets final: 191, pending: 56680, pool: 300
I  101.14] Elapsed: 1:41, vertices: 927, facets final: 200, pending: 57543, pool: 300
I  106.32] Elapsed: 1:46, vertices: 950, facets final: 205, pending: 59068, pool: 300
I  111.50] Elapsed: 1:52, vertices: 972, facets final: 216, pending: 60094, pool: 300
I  116.50] Elapsed: 1:57, vertices: 994, facets final: 232, pending: 61277, pool: 300
I  121.58] Elapsed: 2:02, vertices: 1017, facets final: 241, pending: 61902, pool: 300
I  126.68] Elapsed: 2:07, vertices: 1035, facets final: 246, pending: 63231, pool: 300
I  131.89] Elapsed: 2:12, vertices: 1054, facets final: 252, pending: 64459, pool: 300
I  136.99] Elapsed: 2:17, vertices: 1074, facets final: 260, pending: 65822, pool: 300
I  142.24] Elapsed: 2:22, vertices: 1093, facets final: 267, pending: 66486, pool: 300
I  147.49] Elapsed: 2:27, vertices: 1112, facets final: 278, pending: 67299, pool: 300
I  152.57] Elapsed: 2:33, vertices: 1130, facets final: 287, pending: 67740, pool: 299
I  157.82] Elapsed: 2:38, vertices: 1148, facets final: 294, pending: 68023, pool: 300
I  162.82] Elapsed: 2:43, vertices: 1167, facets final: 303, pending: 68553, pool: 300
I  167.85] Elapsed: 2:48, vertices: 1185, facets final: 311, pending: 69142, pool: 300
I  172.96] Elapsed: 2:53, vertices: 1202, facets final: 320, pending: 69911, pool: 300
