C applying double rule r=c:ab;s=a:bdr;ar.br.c.dr;ar.br.cr.d for ineq.txt
I    5.01] Elapsed: 5.01, vertices: 177, facets final: 17, pending: 11350, pool: 300
I   10.01] Elapsed: 10.01, vertices: 267, facets final: 21, pending: 17072, pool: 300
I   15.06] Elapsed: 15.06, vertices: 339, facets final: 30, pending: 21498, pool: 300
I   20.09] Elapsed: 20.09, vertices: 396, facets final: 37, pending: 24964, pool: 300
I   25.15] Elapsed: 25.15, vertices: 447, facets final: 45, pending: 27779, pool: 300
I   30.19] Elapsed: 30.19, vertices: 495, facets final: 52, pending: 30525, pool: 300
I   35.25] Elapsed: 35.25, vertices: 535, facets final: 61, pending: 33478, pool: 299
I   40.30] Elapsed: 40.30, vertices: 574, facets final: 65, pending: 35191, pool: 300
I   45.39] Elapsed: 45.39, vertices: 610, facets final: 74, pending: 38313, pool: 300
I   50.57] Elapsed: 50.57, vertices: 644, facets final: 82, pending: 40256, pool: 300
I   55.58] Elapsed: 55.58, vertices: 674, facets final: 85, pending: 41901, pool: 300
I   60.69] Elapsed: 1:01, vertices: 704, facets final: 89, pending: 43634, pool: 300
I   65.79] Elapsed: 1:06, vertices: 733, facets final: 97, pending: 45960, pool: 300
I   70.90] Elapsed: 1:11, vertices: 762, facets final: 99, pending: 47244, pool: 300
I   76.02] Elapsed: 1:16, vertices: 785, facets final: 106, pending: 49950, pool: 300
I   81.05] Elapsed: 1:21, vertices: 805, facets final: 108, pending: 52496, pool: 300
I   86.15] Elapsed: 1:26, vertices: 829, facets final: 111, pending: 54716, pool: 300
I   91.24] Elapsed: 1:31, vertices: 852, facets final: 114, pending: 55842, pool: 300
I   96.45] Elapsed: 1:36, vertices: 872, facets final: 117, pending: 57503, pool: 300
I  101.46] Elapsed: 1:41, vertices: 887, facets final: 120, pending: 59540, pool: 300
I  106.47] Elapsed: 1:46, vertices: 904, facets final: 123, pending: 60395, pool: 300
I  111.47] Elapsed: 1:51, vertices: 921, facets final: 125, pending: 61780, pool: 300
I  116.58] Elapsed: 1:57, vertices: 938, facets final: 129, pending: 63103, pool: 299
I  121.58] Elapsed: 2:02, vertices: 954, facets final: 132, pending: 64520, pool: 300
I  126.59] Elapsed: 2:07, vertices: 971, facets final: 134, pending: 65598, pool: 300
I  131.85] Elapsed: 2:12, vertices: 989, facets final: 137, pending: 66063, pool: 300
I  136.99] Elapsed: 2:17, vertices: 1003, facets final: 138, pending: 67432, pool: 300
I  142.23] Elapsed: 2:22, vertices: 1017, facets final: 140, pending: 68466, pool: 299
I  147.42] Elapsed: 2:27, vertices: 1026, facets final: 140, pending: 69916, pool: 300
I  152.83] Elapsed: 2:33, vertices: 1037, facets final: 140, pending: 70006, pool: 300
I  158.05] Elapsed: 2:38, vertices: 1051, facets final: 140, pending: 71048, pool: 300
I  163.10] Elapsed: 2:43, vertices: 1064, facets final: 141, pending: 71500, pool: 300
I  168.86] Elapsed: 2:49, vertices: 1075, facets final: 143, pending: 72863, pool: 300
I  174.07] Elapsed: 2:54, vertices: 1089, facets final: 144, pending: 74010, pool: 300
I  179.15] Elapsed: 2:59, vertices: 1100, facets final: 146, pending: 74807, pool: 300
I  184.16] Elapsed: 3:04, vertices: 1113, facets final: 148, pending: 76043, pool: 300
I  190.09] Elapsed: 3:10, vertices: 1124, facets final: 150, pending: 76749, pool: 300
I  195.55] Elapsed: 3:16, vertices: 1136, facets final: 151, pending: 77763, pool: 300
I  200.70] Elapsed: 3:21, vertices: 1147, facets final: 152, pending: 78460, pool: 300
