C applying double rule r=c:ab;s=a:bdr;a.b.cr.d;a.b.c.dr for ineq.txt
I    5.00] Elapsed: 5.00, vertices: 154, facets final: 136, pending: 9573, pool: 300
I   10.06] Elapsed: 10.06, vertices: 244, facets final: 189, pending: 16904, pool: 300
I   15.11] Elapsed: 15.11, vertices: 308, facets final: 229, pending: 21051, pool: 300
I   20.18] Elapsed: 20.18, vertices: 366, facets final: 266, pending: 24153, pool: 299
I   25.22] Elapsed: 25.22, vertices: 414, facets final: 299, pending: 27358, pool: 300
I   30.25] Elapsed: 30.25, vertices: 457, facets final: 317, pending: 30439, pool: 299
I   35.32] Elapsed: 35.32, vertices: 498, facets final: 352, pending: 32851, pool: 300
I   40.34] Elapsed: 40.34, vertices: 533, facets final: 374, pending: 35191, pool: 299
I   45.39] Elapsed: 45.39, vertices: 568, facets final: 390, pending: 37228, pool: 300
I   50.44] Elapsed: 50.44, vertices: 600, facets final: 408, pending: 39469, pool: 299
I   55.48] Elapsed: 55.48, vertices: 630, facets final: 426, pending: 41315, pool: 300
I   60.73] Elapsed: 1:01, vertices: 656, facets final: 442, pending: 42569, pool: 300
I   65.74] Elapsed: 1:06, vertices: 684, facets final: 464, pending: 44747, pool: 299
I   70.87] Elapsed: 1:11, vertices: 711, facets final: 485, pending: 45892, pool: 300
I   76.01] Elapsed: 1:16, vertices: 736, facets final: 495, pending: 48090, pool: 300
I   81.02] Elapsed: 1:21, vertices: 759, facets final: 510, pending: 50127, pool: 300
I   86.06] Elapsed: 1:26, vertices: 782, facets final: 526, pending: 50846, pool: 300
I   91.10] Elapsed: 1:31, vertices: 805, facets final: 537, pending: 52702, pool: 300
I   96.12] Elapsed: 1:36, vertices: 827, facets final: 550, pending: 53593, pool: 300
I  101.29] Elapsed: 1:41, vertices: 850, facets final: 555, pending: 55105, pool: 300
I  106.44] Elapsed: 1:46, vertices: 872, facets final: 564, pending: 56140, pool: 300
I  111.44] Elapsed: 1:51, vertices: 893, facets final: 577, pending: 57723, pool: 300
I  116.56] Elapsed: 1:57, vertices: 913, facets final: 594, pending: 58955, pool: 300
