C applying double rule rs=cd:ab;a.d.r.s;a.c.r.s for ineq.txt
I    5.01] Elapsed: 5.01, vertices: 141, facets final: 27, pending: 11637, pool: 297
I   10.04] Elapsed: 10.04, vertices: 208, facets final: 34, pending: 19082, pool: 300
I   15.12] Elapsed: 15.12, vertices: 259, facets final: 36, pending: 24080, pool: 299
I   20.14] Elapsed: 20.14, vertices: 298, facets final: 38, pending: 28024, pool: 300
I   25.18] Elapsed: 25.18, vertices: 335, facets final: 44, pending: 30768, pool: 300
I   30.31] Elapsed: 30.31, vertices: 370, facets final: 47, pending: 33613, pool: 299
I   35.39] Elapsed: 35.39, vertices: 403, facets final: 53, pending: 36079, pool: 300
I   40.39] Elapsed: 40.39, vertices: 435, facets final: 61, pending: 38065, pool: 300
I   45.41] Elapsed: 45.41, vertices: 465, facets final: 66, pending: 39420, pool: 300
I   50.48] Elapsed: 50.48, vertices: 493, facets final: 74, pending: 40879, pool: 300
I   55.50] Elapsed: 55.50, vertices: 521, facets final: 82, pending: 42246, pool: 300
I   60.56] Elapsed: 1:01, vertices: 549, facets final: 86, pending: 43866, pool: 300
I   65.59] Elapsed: 1:06, vertices: 576, facets final: 93, pending: 45951, pool: 300
I   70.77] Elapsed: 1:11, vertices: 603, facets final: 99, pending: 46893, pool: 300
I   75.78] Elapsed: 1:16, vertices: 629, facets final: 104, pending: 47955, pool: 299
I   80.79] Elapsed: 1:21, vertices: 653, facets final: 116, pending: 48335, pool: 299
I   85.89] Elapsed: 1:26, vertices: 677, facets final: 130, pending: 49383, pool: 300
I   90.90] Elapsed: 1:31, vertices: 700, facets final: 141, pending: 50115, pool: 300
I   95.90] Elapsed: 1:36, vertices: 723, facets final: 147, pending: 50497, pool: 300
I  101.06] Elapsed: 1:41, vertices: 747, facets final: 151, pending: 50633, pool: 300
I  106.17] Elapsed: 1:46, vertices: 772, facets final: 162, pending: 51166, pool: 298
I  111.32] Elapsed: 1:51, vertices: 796, facets final: 170, pending: 51591, pool: 300
I  116.44] Elapsed: 1:56, vertices: 819, facets final: 182, pending: 51934, pool: 300
I  121.61] Elapsed: 2:02, vertices: 842, facets final: 188, pending: 52362, pool: 300
I  126.70] Elapsed: 2:07, vertices: 866, facets final: 200, pending: 52558, pool: 300
I  131.71] Elapsed: 2:12, vertices: 889, facets final: 211, pending: 53310, pool: 300
I  136.87] Elapsed: 2:17, vertices: 912, facets final: 231, pending: 53820, pool: 300
I  141.89] Elapsed: 2:22, vertices: 934, facets final: 242, pending: 54380, pool: 300
I  147.07] Elapsed: 2:27, vertices: 957, facets final: 249, pending: 54686, pool: 300
I  152.18] Elapsed: 2:32, vertices: 980, facets final: 258, pending: 54829, pool: 300
I  157.21] Elapsed: 2:37, vertices: 1002, facets final: 264, pending: 55260, pool: 300
I  162.25] Elapsed: 2:42, vertices: 1022, facets final: 275, pending: 56152, pool: 300
I  167.28] Elapsed: 2:47, vertices: 1041, facets final: 283, pending: 56192, pool: 300
I  172.40] Elapsed: 2:52, vertices: 1059, facets final: 290, pending: 56506, pool: 300
I  177.42] Elapsed: 2:57, vertices: 1080, facets final: 294, pending: 56477, pool: 300
I  182.42] Elapsed: 3:02, vertices: 1100, facets final: 303, pending: 57228, pool: 299
I  187.54] Elapsed: 3:08, vertices: 1121, facets final: 312, pending: 57618, pool: 299
I  192.58] Elapsed: 3:13, vertices: 1141, facets final: 326, pending: 57356, pool: 300
I  197.75] Elapsed: 3:18, vertices: 1162, facets final: 343, pending: 57536, pool: 300
I  203.06] Elapsed: 3:23, vertices: 1182, facets final: 356, pending: 57829, pool: 300
I  208.35] Elapsed: 3:28, vertices: 1203, facets final: 364, pending: 57954, pool: 300
I  213.59] Elapsed: 3:34, vertices: 1224, facets final: 367, pending: 58035, pool: 300
I  218.66] Elapsed: 3:39, vertices: 1244, facets final: 381, pending: 58149, pool: 300
I  223.79] Elapsed: 3:44, vertices: 1265, facets final: 402, pending: 58546, pool: 300
I  228.97] Elapsed: 3:49, vertices: 1286, facets final: 414, pending: 59130, pool: 300
I  234.04] Elapsed: 3:54, vertices: 1304, facets final: 417, pending: 59543, pool: 300
I  239.35] Elapsed: 3:59, vertices: 1324, facets final: 427, pending: 60271, pool: 300
I  244.65] Elapsed: 4:05, vertices: 1344, facets final: 438, pending: 60443, pool: 300
I  249.84] Elapsed: 4:10, vertices: 1364, facets final: 453, pending: 60820, pool: 300
I  255.06] Elapsed: 4:15, vertices: 1384, facets final: 464, pending: 60698, pool: 300
