C applying double rule rs=cd:ab;a.d.r.s;b.c.r.s for ineq.txt
I    5.03] Elapsed: 5.03, vertices: 152, facets final: 62, pending: 10333, pool: 298
I   10.07] Elapsed: 10.07, vertices: 243, facets final: 92, pending: 15607, pool: 300
I   15.07] Elapsed: 15.07, vertices: 308, facets final: 107, pending: 19642, pool: 300
I   20.14] Elapsed: 20.14, vertices: 366, facets final: 117, pending: 21900, pool: 300
I   25.23] Elapsed: 25.23, vertices: 418, facets final: 125, pending: 25624, pool: 300
I   30.32] Elapsed: 30.32, vertices: 463, facets final: 133, pending: 27808, pool: 300
I   35.40] Elapsed: 35.40, vertices: 506, facets final: 151, pending: 29909, pool: 299
I   40.44] Elapsed: 40.44, vertices: 544, facets final: 166, pending: 31051, pool: 300
I   45.50] Elapsed: 45.50, vertices: 584, facets final: 174, pending: 31961, pool: 300
I   50.60] Elapsed: 50.60, vertices: 623, facets final: 188, pending: 33448, pool: 300
I   55.60] Elapsed: 55.60, vertices: 657, facets final: 199, pending: 34090, pool: 300
I   60.64] Elapsed: 1:01, vertices: 693, facets final: 210, pending: 35297, pool: 300
I   65.74] Elapsed: 1:06, vertices: 727, facets final: 219, pending: 36400, pool: 300
I   70.90] Elapsed: 1:11, vertices: 760, facets final: 235, pending: 37240, pool: 299
I   76.02] Elapsed: 1:16, vertices: 791, facets final: 245, pending: 37490, pool: 300
I   81.02] Elapsed: 1:21, vertices: 821, facets final: 250, pending: 38504, pool: 300
I   86.10] Elapsed: 1:26, vertices: 850, facets final: 259, pending: 38151, pool: 300
I   91.10] Elapsed: 1:31, vertices: 882, facets final: 272, pending: 39340, pool: 300
I   96.32] Elapsed: 1:36, vertices: 913, facets final: 289, pending: 40099, pool: 300
I  101.48] Elapsed: 1:41, vertices: 944, facets final: 301, pending: 40983, pool: 300
I  106.53] Elapsed: 1:47, vertices: 973, facets final: 316, pending: 41343, pool: 300
I  111.75] Elapsed: 1:52, vertices: 1003, facets final: 329, pending: 42390, pool: 300
I  116.93] Elapsed: 1:57, vertices: 1029, facets final: 339, pending: 43068, pool: 300
I  122.07] Elapsed: 2:02, vertices: 1055, facets final: 351, pending: 43437, pool: 300
I  127.35] Elapsed: 2:07, vertices: 1085, facets final: 365, pending: 43396, pool: 300
I  132.50] Elapsed: 2:13, vertices: 1111, facets final: 382, pending: 43705, pool: 300
I  137.58] Elapsed: 2:18, vertices: 1137, facets final: 392, pending: 44072, pool: 300
I  142.72] Elapsed: 2:23, vertices: 1162, facets final: 408, pending: 43905, pool: 299
I  148.02] Elapsed: 2:28, vertices: 1186, facets final: 419, pending: 44176, pool: 300
I  153.17] Elapsed: 2:33, vertices: 1210, facets final: 429, pending: 45062, pool: 300
I  158.19] Elapsed: 2:38, vertices: 1235, facets final: 440, pending: 45536, pool: 300
I  163.33] Elapsed: 2:43, vertices: 1261, facets final: 448, pending: 45447, pool: 300
I  168.35] Elapsed: 2:48, vertices: 1288, facets final: 459, pending: 45500, pool: 299
I  173.54] Elapsed: 2:54, vertices: 1314, facets final: 477, pending: 45574, pool: 300
I  178.72] Elapsed: 2:59, vertices: 1339, facets final: 495, pending: 46393, pool: 300
I  183.90] Elapsed: 3:04, vertices: 1362, facets final: 518, pending: 46579, pool: 300
I  189.14] Elapsed: 3:09, vertices: 1388, facets final: 530, pending: 46904, pool: 300
I  194.23] Elapsed: 3:14, vertices: 1414, facets final: 543, pending: 46898, pool: 299
I  199.37] Elapsed: 3:19, vertices: 1439, facets final: 568, pending: 46928, pool: 300
I  204.38] Elapsed: 3:24, vertices: 1464, facets final: 590, pending: 47007, pool: 300
I  209.51] Elapsed: 3:30, vertices: 1490, facets final: 603, pending: 47343, pool: 300
I  214.66] Elapsed: 3:35, vertices: 1516, facets final: 616, pending: 47454, pool: 300
I  219.68] Elapsed: 3:40, vertices: 1536, facets final: 636, pending: 48104, pool: 299
