C applying double rule rs=cd:ab;a.d.r.s;ac.bc.cr.s for ineq.txt
I    5.00] Elapsed: 5.00, vertices: 146, facets final: 44, pending: 12476, pool: 300
I   10.05] Elapsed: 10.05, vertices: 229, facets final: 70, pending: 19510, pool: 299
I   15.12] Elapsed: 15.12, vertices: 288, facets final: 88, pending: 25091, pool: 299
I   20.20] Elapsed: 20.20, vertices: 338, facets final: 98, pending: 28980, pool: 300
I   25.29] Elapsed: 25.29, vertices: 380, facets final: 106, pending: 33567, pool: 299
I   30.30] Elapsed: 30.30, vertices: 419, facets final: 117, pending: 35901, pool: 299
I   35.37] Elapsed: 35.37, vertices: 453, facets final: 123, pending: 38609, pool: 300
I   40.40] Elapsed: 40.40, vertices: 488, facets final: 128, pending: 40845, pool: 300
I   45.43] Elapsed: 45.43, vertices: 518, facets final: 133, pending: 44099, pool: 300
I   50.54] Elapsed: 50.54, vertices: 546, facets final: 135, pending: 46767, pool: 300
I   55.76] Elapsed: 55.76, vertices: 571, facets final: 139, pending: 49303, pool: 300
I   60.89] Elapsed: 1:01, vertices: 595, facets final: 145, pending: 50730, pool: 300
I   66.06] Elapsed: 1:06, vertices: 619, facets final: 148, pending: 53714, pool: 300
I   71.09] Elapsed: 1:11, vertices: 641, facets final: 156, pending: 55500, pool: 300
I   76.41] Elapsed: 1:16, vertices: 662, facets final: 161, pending: 56951, pool: 300
I   81.51] Elapsed: 1:22, vertices: 682, facets final: 163, pending: 58407, pool: 300
I   86.59] Elapsed: 1:27, vertices: 701, facets final: 169, pending: 59563, pool: 299
I   91.78] Elapsed: 1:32, vertices: 721, facets final: 170, pending: 61194, pool: 300
I   96.94] Elapsed: 1:37, vertices: 741, facets final: 173, pending: 62220, pool: 300
I  102.09] Elapsed: 1:42, vertices: 758, facets final: 180, pending: 63953, pool: 299
I  107.19] Elapsed: 1:47, vertices: 777, facets final: 186, pending: 66100, pool: 300
I  112.50] Elapsed: 1:53, vertices: 796, facets final: 191, pending: 67906, pool: 300
I  117.56] Elapsed: 1:58, vertices: 810, facets final: 193, pending: 69251, pool: 300
I  122.58] Elapsed: 2:03, vertices: 825, facets final: 196, pending: 69563, pool: 300
I  127.58] Elapsed: 2:08, vertices: 841, facets final: 201, pending: 71189, pool: 300
I  133.04] Elapsed: 2:13, vertices: 856, facets final: 206, pending: 72481, pool: 300
I  138.25] Elapsed: 2:18, vertices: 870, facets final: 209, pending: 73610, pool: 300
I  143.50] Elapsed: 2:24, vertices: 886, facets final: 211, pending: 74618, pool: 300
I  148.59] Elapsed: 2:29, vertices: 900, facets final: 216, pending: 76722, pool: 300
I  153.73] Elapsed: 2:34, vertices: 915, facets final: 217, pending: 78177, pool: 300
I  159.45] Elapsed: 2:39, vertices: 925, facets final: 222, pending: 80024, pool: 300
I  164.45] Elapsed: 2:44, vertices: 936, facets final: 222, pending: 80967, pool: 300
I  169.49] Elapsed: 2:49, vertices: 950, facets final: 226, pending: 81605, pool: 300
I  174.82] Elapsed: 2:55, vertices: 964, facets final: 229, pending: 82345, pool: 300
I  180.07] Elapsed: 3:00, vertices: 976, facets final: 230, pending: 82437, pool: 300
I  185.29] Elapsed: 3:05, vertices: 989, facets final: 234, pending: 83207, pool: 300
I  190.41] Elapsed: 3:10, vertices: 1002, facets final: 238, pending: 84262, pool: 300
I  195.82] Elapsed: 3:16, vertices: 1012, facets final: 238, pending: 85756, pool: 300
I  200.87] Elapsed: 3:21, vertices: 1024, facets final: 242, pending: 85867, pool: 300
I  206.43] Elapsed: 3:26, vertices: 1035, facets final: 249, pending: 86869, pool: 300
I  212.28] Elapsed: 3:32, vertices: 1046, facets final: 250, pending: 86921, pool: 300
recalculate_facet: numerical instability at facet 39, coord 0 (-1.01168e-06)
recalculate_facet: numerical instability at facet 39, coord 5 (1.16191e-06)
I  218.04] Elapsed: 3:38, vertices: 1057, facets final: 251, pending: 87200, pool: 300
I  223.59] Elapsed: 3:44, vertices: 1066, facets final: 253, pending: 87200, pool: 300
I  228.66] Elapsed: 3:49, vertices: 1077, facets final: 253, pending: 87701, pool: 300
recalculate_facet: numerical instability at facet 151, coord 0 (-1.50839e-06)
recalculate_facet: numerical instability at facet 151, coord 5 (1.68227e-06)
recalculate_facet: numerical instability at facet 152, coord 0 (3.6004e-06)
recalculate_facet: numerical instability at facet 152, coord 1 (-3.68522e-06)
recalculate_facet: numerical instability at facet 152, coord 2 (1.89889e-06)
recalculate_facet: numerical instability at facet 152, coord 3 (1.3153e-06)
recalculate_facet: numerical instability at facet 152, coord 4 (-2.18357e-06)
recalculate_facet: numerical instability at facet 152, coord 8 (3.70196e-06)
recalculate_facet: numerical instability at facet 155, coord 0 (-1.08003e-06)
recalculate_facet: numerical instability at facet 155, coord 4 (1.07354e-06)
recalculate_facet: numerical instability at facet 155, coord 8 (-1.5829e-06)
I  234.36] Elapsed: 3:54, vertices: 1085, facets final: 254, pending: 88045, pool: 300
I  239.36] Elapsed: 3:59, vertices: 1093, facets final: 255, pending: 88807, pool: 300
I  245.00] Elapsed: 4:05, vertices: 1103, facets final: 259, pending: 89830, pool: 300
I  250.35] Elapsed: 4:10, vertices: 1114, facets final: 265, pending: 90259, pool: 300
I  255.75] Elapsed: 4:16, vertices: 1126, facets final: 268, pending: 91207, pool: 300
I  260.94] Elapsed: 4:21, vertices: 1136, facets final: 272, pending: 91733, pool: 300
I  266.61] Elapsed: 4:27, vertices: 1145, facets final: 274, pending: 92114, pool: 300
I  272.06] Elapsed: 4:32, vertices: 1155, facets final: 274, pending: 92681, pool: 300
I  277.55] Elapsed: 4:38, vertices: 1167, facets final: 279, pending: 92574, pool: 300
I  282.91] Elapsed: 4:43, vertices: 1177, facets final: 283, pending: 92625, pool: 300
I  287.95] Elapsed: 4:48, vertices: 1188, facets final: 285, pending: 92898, pool: 300
I  293.28] Elapsed: 4:53, vertices: 1200, facets final: 287, pending: 93328, pool: 300
I  298.71] Elapsed: 4:59, vertices: 1211, facets final: 295, pending: 94540, pool: 300
I  304.03] Elapsed: 5:04, vertices: 1221, facets final: 295, pending: 94827, pool: 300
I  309.25] Elapsed: 5:09, vertices: 1230, facets final: 299, pending: 94964, pool: 300
I  314.74] Elapsed: 5:15, vertices: 1240, facets final: 301, pending: 95540, pool: 300
I  320.00] Elapsed: 5:20, vertices: 1250, facets final: 308, pending: 95688, pool: 300
I  325.12] Elapsed: 5:25, vertices: 1259, facets final: 310, pending: 96393, pool: 300
I  330.18] Elapsed: 5:30, vertices: 1271, facets final: 312, pending: 97239, pool: 300
I  335.48] Elapsed: 5:35, vertices: 1281, facets final: 312, pending: 97697, pool: 300
I  340.83] Elapsed: 5:41, vertices: 1290, facets final: 313, pending: 97114, pool: 300
I  346.14] Elapsed: 5:46, vertices: 1300, facets final: 314, pending: 98337, pool: 300
I  351.34] Elapsed: 5:51, vertices: 1308, facets final: 315, pending: 98233, pool: 300
I  356.45] Elapsed: 5:56, vertices: 1318, facets final: 319, pending: 98289, pool: 300
I  361.54] Elapsed: 6:02, vertices: 1325, facets final: 322, pending: 98470, pool: 300
I  366.73] Elapsed: 6:07, vertices: 1335, facets final: 326, pending: 98507, pool: 300
I  372.23] Elapsed: 6:12, vertices: 1343, facets final: 329, pending: 98683, pool: 300
I  377.87] Elapsed: 6:18, vertices: 1354, facets final: 333, pending: 99537, pool: 300
I  382.93] Elapsed: 6:23, vertices: 1363, facets final: 335, pending: 99641, pool: 300
I  388.15] Elapsed: 6:28, vertices: 1371, facets final: 337, pending: 99497, pool: 300
I  393.39] Elapsed: 6:33, vertices: 1380, facets final: 337, pending: 100251, pool: 300
I  399.08] Elapsed: 6:39, vertices: 1391, facets final: 337, pending: 101225, pool: 300
I  404.48] Elapsed: 6:44, vertices: 1400, facets final: 344, pending: 101132, pool: 300
I  409.83] Elapsed: 6:50, vertices: 1410, facets final: 345, pending: 102089, pool: 300
I  415.58] Elapsed: 6:56, vertices: 1422, facets final: 350, pending: 102312, pool: 300
I  420.74] Elapsed: 7:01, vertices: 1430, facets final: 356, pending: 102530, pool: 300
I  425.87] Elapsed: 7:06, vertices: 1440, facets final: 359, pending: 102891, pool: 300
I  431.02] Elapsed: 7:11, vertices: 1448, facets final: 360, pending: 103169, pool: 300
I  436.03] Elapsed: 7:16, vertices: 1458, facets final: 361, pending: 103915, pool: 300
I  441.05] Elapsed: 7:21, vertices: 1468, facets final: 361, pending: 104135, pool: 300
I  446.21] Elapsed: 7:26, vertices: 1476, facets final: 361, pending: 104069, pool: 300
I  451.52] Elapsed: 7:32, vertices: 1487, facets final: 366, pending: 104520, pool: 300
I  456.84] Elapsed: 7:37, vertices: 1498, facets final: 370, pending: 104515, pool: 300
I  461.89] Elapsed: 7:42, vertices: 1506, facets final: 372, pending: 104302, pool: 300
I  467.04] Elapsed: 7:47, vertices: 1514, facets final: 378, pending: 104059, pool: 299
I  472.04] Elapsed: 7:52, vertices: 1522, facets final: 382, pending: 104347, pool: 299
I  477.31] Elapsed: 7:57, vertices: 1532, facets final: 383, pending: 104574, pool: 300
I  483.36] Elapsed: 8:03, vertices: 1540, facets final: 383, pending: 104905, pool: 300
I  488.91] Elapsed: 8:09, vertices: 1550, facets final: 385, pending: 104844, pool: 300
I  494.21] Elapsed: 8:14, vertices: 1558, facets final: 386, pending: 104568, pool: 300
I  500.06] Elapsed: 8:20, vertices: 1569, facets final: 388, pending: 104888, pool: 300
I  505.57] Elapsed: 8:26, vertices: 1579, facets final: 388, pending: 105210, pool: 300
I  510.78] Elapsed: 8:31, vertices: 1588, facets final: 391, pending: 105357, pool: 300
I  516.01] Elapsed: 8:36, vertices: 1597, facets final: 397, pending: 105558, pool: 300
