C applying double rule rs=cd:ab;a.d.r.s;ac.bc.cr.cs for ineq.txt
I    5.03] Elapsed: 5.03, vertices: 131, facets final: 17, pending: 17374, pool: 300
I   10.03] Elapsed: 10.03, vertices: 174, facets final: 17, pending: 27295, pool: 300
I   15.09] Elapsed: 15.09, vertices: 204, facets final: 17, pending: 35199, pool: 300
I   20.18] Elapsed: 20.18, vertices: 226, facets final: 18, pending: 41961, pool: 300
I   25.30] Elapsed: 25.30, vertices: 247, facets final: 18, pending: 46705, pool: 300
I   30.33] Elapsed: 30.33, vertices: 262, facets final: 18, pending: 50576, pool: 300
I   35.48] Elapsed: 35.48, vertices: 279, facets final: 18, pending: 54872, pool: 300
I   40.55] Elapsed: 40.55, vertices: 293, facets final: 18, pending: 57554, pool: 300
I   45.88] Elapsed: 45.88, vertices: 310, facets final: 18, pending: 62490, pool: 300
I   51.36] Elapsed: 51.36, vertices: 324, facets final: 18, pending: 64860, pool: 300
I   56.58] Elapsed: 56.58, vertices: 336, facets final: 18, pending: 67429, pool: 300
recalculate_facet: numerical instability at facet 445, coord 5 (1.15582e-06)
I   62.11] Elapsed: 1:02, vertices: 349, facets final: 18, pending: 70200, pool: 300
I   67.33] Elapsed: 1:07, vertices: 363, facets final: 18, pending: 72313, pool: 300
I   72.71] Elapsed: 1:13, vertices: 375, facets final: 18, pending: 74281, pool: 300
I   78.28] Elapsed: 1:18, vertices: 385, facets final: 18, pending: 76973, pool: 300
I   83.51] Elapsed: 1:24, vertices: 395, facets final: 19, pending: 81361, pool: 300
I   88.75] Elapsed: 1:29, vertices: 404, facets final: 19, pending: 82881, pool: 300
I   93.92] Elapsed: 1:34, vertices: 414, facets final: 19, pending: 85542, pool: 300
I   99.53] Elapsed: 1:40, vertices: 424, facets final: 19, pending: 88138, pool: 300
I  105.22] Elapsed: 1:45, vertices: 432, facets final: 19, pending: 89881, pool: 300
I  110.86] Elapsed: 1:51, vertices: 440, facets final: 20, pending: 92020, pool: 300
I  115.97] Elapsed: 1:56, vertices: 449, facets final: 20, pending: 94444, pool: 300
I  121.37] Elapsed: 2:01, vertices: 458, facets final: 20, pending: 96835, pool: 300
I  127.05] Elapsed: 2:07, vertices: 466, facets final: 20, pending: 100127, pool: 300
I  132.83] Elapsed: 2:13, vertices: 474, facets final: 20, pending: 102494, pool: 300
I  138.08] Elapsed: 2:18, vertices: 482, facets final: 20, pending: 104013, pool: 300
I  143.65] Elapsed: 2:24, vertices: 490, facets final: 20, pending: 106783, pool: 300
I  149.38] Elapsed: 2:29, vertices: 497, facets final: 22, pending: 109366, pool: 300
I  154.52] Elapsed: 2:35, vertices: 503, facets final: 22, pending: 111585, pool: 300
I  160.17] Elapsed: 2:40, vertices: 510, facets final: 22, pending: 113547, pool: 300
I  165.63] Elapsed: 2:46, vertices: 516, facets final: 22, pending: 116332, pool: 300
I  171.30] Elapsed: 2:51, vertices: 522, facets final: 22, pending: 118601, pool: 300
I  177.52] Elapsed: 2:58, vertices: 528, facets final: 22, pending: 119565, pool: 300
I  183.22] Elapsed: 3:03, vertices: 534, facets final: 22, pending: 121848, pool: 300
I  188.84] Elapsed: 3:09, vertices: 542, facets final: 23, pending: 124237, pool: 300
I  194.10] Elapsed: 3:14, vertices: 546, facets final: 23, pending: 124993, pool: 300
I  199.27] Elapsed: 3:19, vertices: 552, facets final: 23, pending: 126120, pool: 300
I  204.87] Elapsed: 3:25, vertices: 558, facets final: 23, pending: 127374, pool: 299
I  210.47] Elapsed: 3:30, vertices: 564, facets final: 23, pending: 128940, pool: 300
I  216.80] Elapsed: 3:37, vertices: 570, facets final: 23, pending: 131172, pool: 300
recalculate_facet: numerical instability at facet 26, coord 0 (1.24755e-05)
recalculate_facet: numerical instability at facet 26, coord 1 (-9.18909e-06)
recalculate_facet: numerical instability at facet 26, coord 2 (1.48087e-05)
recalculate_facet: numerical instability at facet 26, coord 3 (1.87024e-06)
recalculate_facet: numerical instability at facet 26, coord 4 (5.09664e-06)
recalculate_facet: numerical instability at facet 26, coord 5 (-2.35123e-05)
recalculate_facet: numerical instability at facet 26, coord 6 (-1.54975e-06)
recalculate_facet: numerical instability at facet 26, coord 8 (-7.81882e-06)
I  222.30] Elapsed: 3:42, vertices: 574, facets final: 23, pending: 131934, pool: 300
I  228.60] Elapsed: 3:49, vertices: 579, facets final: 23, pending: 132492, pool: 300
I  233.81] Elapsed: 3:54, vertices: 583, facets final: 23, pending: 134344, pool: 300
I  239.52] Elapsed: 4:00, vertices: 587, facets final: 23, pending: 136026, pool: 300
I  245.29] Elapsed: 4:05, vertices: 593, facets final: 23, pending: 137763, pool: 300
I  251.07] Elapsed: 4:11, vertices: 600, facets final: 23, pending: 139277, pool: 300
I  256.63] Elapsed: 4:17, vertices: 605, facets final: 23, pending: 140901, pool: 300
I  262.65] Elapsed: 4:23, vertices: 611, facets final: 23, pending: 142465, pool: 300
I  267.95] Elapsed: 4:28, vertices: 616, facets final: 23, pending: 143595, pool: 300
