C applying double rule rs=cd:ab;a.b.c.dr;ad.bd.dr.ds for ineq.txt
I    5.01] Elapsed: 5.01, vertices: 168, facets final: 20, pending: 11160, pool: 299
I   10.04] Elapsed: 10.04, vertices: 266, facets final: 30, pending: 16000, pool: 300
I   15.09] Elapsed: 15.09, vertices: 342, facets final: 44, pending: 19898, pool: 299
I   20.12] Elapsed: 20.12, vertices: 407, facets final: 48, pending: 23148, pool: 299
I   25.14] Elapsed: 25.14, vertices: 464, facets final: 57, pending: 25059, pool: 300
I   30.23] Elapsed: 30.23, vertices: 519, facets final: 65, pending: 27783, pool: 300
I   35.32] Elapsed: 35.32, vertices: 569, facets final: 77, pending: 29832, pool: 299
I   40.32] Elapsed: 40.32, vertices: 615, facets final: 87, pending: 31484, pool: 300
I   45.32] Elapsed: 45.32, vertices: 656, facets final: 96, pending: 32662, pool: 300
I   50.33] Elapsed: 50.33, vertices: 696, facets final: 101, pending: 34608, pool: 299
I   55.33] Elapsed: 55.33, vertices: 732, facets final: 110, pending: 37090, pool: 300
I   60.45] Elapsed: 1:00, vertices: 768, facets final: 118, pending: 38557, pool: 300
I   65.55] Elapsed: 1:06, vertices: 803, facets final: 124, pending: 40366, pool: 300
I   70.67] Elapsed: 1:11, vertices: 837, facets final: 131, pending: 41474, pool: 300
I   75.79] Elapsed: 1:16, vertices: 870, facets final: 140, pending: 42661, pool: 299
I   80.84] Elapsed: 1:21, vertices: 902, facets final: 149, pending: 43755, pool: 300
I   85.85] Elapsed: 1:26, vertices: 932, facets final: 158, pending: 44822, pool: 299
I   90.86] Elapsed: 1:31, vertices: 959, facets final: 168, pending: 45813, pool: 300
I   95.96] Elapsed: 1:36, vertices: 988, facets final: 172, pending: 47424, pool: 300
I  101.00] Elapsed: 1:41, vertices: 1017, facets final: 180, pending: 48049, pool: 300
I  106.07] Elapsed: 1:46, vertices: 1043, facets final: 183, pending: 49224, pool: 300
I  111.21] Elapsed: 1:51, vertices: 1067, facets final: 189, pending: 49890, pool: 300
I  116.28] Elapsed: 1:56, vertices: 1089, facets final: 197, pending: 50953, pool: 300
I  121.28] Elapsed: 2:01, vertices: 1113, facets final: 200, pending: 51635, pool: 300
I  126.28] Elapsed: 2:06, vertices: 1136, facets final: 208, pending: 52981, pool: 300
I  131.28] Elapsed: 2:11, vertices: 1157, facets final: 215, pending: 54446, pool: 300
I  136.33] Elapsed: 2:16, vertices: 1179, facets final: 217, pending: 55122, pool: 300
I  141.33] Elapsed: 2:21, vertices: 1201, facets final: 218, pending: 56022, pool: 300
I  146.36] Elapsed: 2:26, vertices: 1220, facets final: 221, pending: 56392, pool: 300
I  151.56] Elapsed: 2:32, vertices: 1240, facets final: 226, pending: 57815, pool: 300
I  156.74] Elapsed: 2:37, vertices: 1259, facets final: 229, pending: 58792, pool: 300
I  161.76] Elapsed: 2:42, vertices: 1277, facets final: 232, pending: 59254, pool: 300
I  166.97] Elapsed: 2:47, vertices: 1298, facets final: 235, pending: 60449, pool: 300
I  172.19] Elapsed: 2:52, vertices: 1316, facets final: 241, pending: 61375, pool: 300
I  177.30] Elapsed: 2:57, vertices: 1334, facets final: 244, pending: 62019, pool: 300
I  182.34] Elapsed: 3:02, vertices: 1351, facets final: 247, pending: 62683, pool: 299
I  187.37] Elapsed: 3:07, vertices: 1369, facets final: 256, pending: 63261, pool: 300
I  192.43] Elapsed: 3:12, vertices: 1389, facets final: 261, pending: 64099, pool: 300
I  197.44] Elapsed: 3:17, vertices: 1407, facets final: 263, pending: 64864, pool: 300
I  202.60] Elapsed: 3:23, vertices: 1426, facets final: 268, pending: 65799, pool: 300
I  207.80] Elapsed: 3:28, vertices: 1446, facets final: 273, pending: 66828, pool: 300
I  213.34] Elapsed: 3:33, vertices: 1463, facets final: 277, pending: 68217, pool: 300
I  218.36] Elapsed: 3:38, vertices: 1477, facets final: 281, pending: 68428, pool: 300
I  223.53] Elapsed: 3:44, vertices: 1495, facets final: 284, pending: 68868, pool: 300
