C applying double rule r=a:bc;s=a:bdr;ar.br.c.dr;ar.br.cr.d for base30.txt
I    5.01] Elapsed: 5.01, vertices: 106, facets final: 30, pending: 12062, pool: 259
I   10.01] Elapsed: 10.01, vertices: 164, facets final: 54, pending: 18320, pool: 299
I   15.08] Elapsed: 15.08, vertices: 212, facets final: 64, pending: 25203, pool: 299
I   20.09] Elapsed: 20.09, vertices: 251, facets final: 73, pending: 28788, pool: 300
I   25.16] Elapsed: 25.16, vertices: 287, facets final: 78, pending: 31283, pool: 299
I   30.20] Elapsed: 30.20, vertices: 321, facets final: 87, pending: 34936, pool: 299
I   35.30] Elapsed: 35.30, vertices: 351, facets final: 94, pending: 37077, pool: 300
I   40.43] Elapsed: 40.43, vertices: 384, facets final: 100, pending: 37593, pool: 300
I   45.49] Elapsed: 45.49, vertices: 417, facets final: 100, pending: 41134, pool: 299
I   50.62] Elapsed: 50.62, vertices: 443, facets final: 111, pending: 43065, pool: 300
I   55.73] Elapsed: 55.73, vertices: 471, facets final: 116, pending: 44453, pool: 300
I   60.73] Elapsed: 1:01, vertices: 496, facets final: 120, pending: 46436, pool: 299
I   65.76] Elapsed: 1:06, vertices: 520, facets final: 123, pending: 48276, pool: 300
I   71.02] Elapsed: 1:11, vertices: 542, facets final: 126, pending: 50913, pool: 300
I   76.17] Elapsed: 1:16, vertices: 562, facets final: 132, pending: 53622, pool: 300
I   81.29] Elapsed: 1:21, vertices: 582, facets final: 137, pending: 56032, pool: 300
I   86.36] Elapsed: 1:26, vertices: 601, facets final: 142, pending: 57710, pool: 300
I   91.57] Elapsed: 1:32, vertices: 617, facets final: 143, pending: 59967, pool: 300
I   96.73] Elapsed: 1:37, vertices: 634, facets final: 145, pending: 61067, pool: 299
I  101.88] Elapsed: 1:42, vertices: 648, facets final: 151, pending: 61583, pool: 300
I  106.94] Elapsed: 1:47, vertices: 664, facets final: 157, pending: 62471, pool: 300
I  112.03] Elapsed: 1:52, vertices: 680, facets final: 160, pending: 64930, pool: 300
I  117.22] Elapsed: 1:57, vertices: 696, facets final: 162, pending: 66433, pool: 300
