C applying double rule rs=cd:ab;a.r.c.d;r.b.c.d for base30.txt
I    5.02] Elapsed: 5.02, vertices: 151, facets final: 48, pending: 9128, pool: 299
I   10.02] Elapsed: 10.02, vertices: 264, facets final: 97, pending: 13707, pool: 300
I   15.02] Elapsed: 15.02, vertices: 352, facets final: 136, pending: 18556, pool: 300
I   20.06] Elapsed: 20.06, vertices: 427, facets final: 159, pending: 21260, pool: 300
I   25.08] Elapsed: 25.08, vertices: 495, facets final: 188, pending: 23105, pool: 300
I   30.10] Elapsed: 30.10, vertices: 556, facets final: 211, pending: 25663, pool: 300
I   35.17] Elapsed: 35.17, vertices: 614, facets final: 243, pending: 27398, pool: 300
I   40.18] Elapsed: 40.18, vertices: 671, facets final: 267, pending: 27908, pool: 300
I   45.25] Elapsed: 45.25, vertices: 725, facets final: 288, pending: 29103, pool: 299
I   50.29] Elapsed: 50.29, vertices: 777, facets final: 313, pending: 29368, pool: 300
I   55.35] Elapsed: 55.35, vertices: 829, facets final: 339, pending: 29629, pool: 299
I   60.42] Elapsed: 1:00, vertices: 881, facets final: 374, pending: 30351, pool: 299
I   65.49] Elapsed: 1:05, vertices: 933, facets final: 421, pending: 30901, pool: 300
I   70.54] Elapsed: 1:11, vertices: 985, facets final: 448, pending: 31818, pool: 300
I   75.60] Elapsed: 1:16, vertices: 1035, facets final: 475, pending: 32207, pool: 300
I   80.70] Elapsed: 1:21, vertices: 1082, facets final: 499, pending: 32156, pool: 300
I   85.70] Elapsed: 1:26, vertices: 1128, facets final: 530, pending: 32011, pool: 299
I   90.77] Elapsed: 1:31, vertices: 1175, facets final: 578, pending: 32069, pool: 300
I   95.85] Elapsed: 1:36, vertices: 1223, facets final: 613, pending: 32875, pool: 300
I  100.85] Elapsed: 1:41, vertices: 1271, facets final: 640, pending: 32777, pool: 300
I  105.85] Elapsed: 1:46, vertices: 1319, facets final: 675, pending: 32627, pool: 300
I  110.90] Elapsed: 1:51, vertices: 1366, facets final: 724, pending: 32691, pool: 299
I  115.93] Elapsed: 1:56, vertices: 1412, facets final: 781, pending: 32602, pool: 300
I  120.98] Elapsed: 2:01, vertices: 1460, facets final: 836, pending: 32735, pool: 300
I  126.02] Elapsed: 2:06, vertices: 1506, facets final: 887, pending: 33153, pool: 300
I  131.08] Elapsed: 2:11, vertices: 1552, facets final: 930, pending: 32931, pool: 300
I  136.17] Elapsed: 2:16, vertices: 1598, facets final: 967, pending: 32710, pool: 300
I  141.17] Elapsed: 2:21, vertices: 1643, facets final: 1006, pending: 33044, pool: 300
I  146.24] Elapsed: 2:26, vertices: 1687, facets final: 1072, pending: 33143, pool: 300
I  151.33] Elapsed: 2:31, vertices: 1732, facets final: 1116, pending: 32972, pool: 300
I  156.38] Elapsed: 2:36, vertices: 1776, facets final: 1156, pending: 33733, pool: 300
I  161.44] Elapsed: 2:41, vertices: 1820, facets final: 1224, pending: 33423, pool: 300
I  166.44] Elapsed: 2:46, vertices: 1863, facets final: 1271, pending: 33451, pool: 300
I  171.54] Elapsed: 2:52, vertices: 1909, facets final: 1325, pending: 33459, pool: 300
I  176.57] Elapsed: 2:57, vertices: 1953, facets final: 1386, pending: 33725, pool: 300
I  181.58] Elapsed: 3:02, vertices: 1997, facets final: 1434, pending: 33851, pool: 300
I  186.58] Elapsed: 3:07, vertices: 2040, facets final: 1493, pending: 34069, pool: 299
I  191.58] Elapsed: 3:12, vertices: 2082, facets final: 1538, pending: 34039, pool: 300
I  196.62] Elapsed: 3:17, vertices: 2125, facets final: 1625, pending: 33754, pool: 299
I  201.69] Elapsed: 3:22, vertices: 2169, facets final: 1694, pending: 33753, pool: 300
I  206.76] Elapsed: 3:27, vertices: 2213, facets final: 1753, pending: 33991, pool: 300
I  211.82] Elapsed: 3:32, vertices: 2255, facets final: 1822, pending: 33709, pool: 300
I  216.85] Elapsed: 3:37, vertices: 2299, facets final: 1895, pending: 33581, pool: 300
I  221.95] Elapsed: 3:42, vertices: 2343, facets final: 1966, pending: 33535, pool: 300
I  226.99] Elapsed: 3:47, vertices: 2387, facets final: 2050, pending: 33485, pool: 300
I  232.07] Elapsed: 3:52, vertices: 2431, facets final: 2126, pending: 33287, pool: 300
