C applying double rule rs=cd:ab;a.r.c.d;ar.br.c.dr for base19.txt
I    5.02] Elapsed: 5.02, vertices: 115, facets final: 58, pending: 2653, pool: 188
I   10.02] Elapsed: 10.02, vertices: 195, facets final: 172, pending: 4457, pool: 253
I   15.03] Elapsed: 15.03, vertices: 256, facets final: 226, pending: 6674, pool: 300
I   20.05] Elapsed: 20.05, vertices: 314, facets final: 263, pending: 7761, pool: 299
I   25.15] Elapsed: 25.15, vertices: 357, facets final: 287, pending: 9385, pool: 299
I   30.30] Elapsed: 30.30, vertices: 389, facets final: 299, pending: 11391, pool: 300
I   35.33] Elapsed: 35.33, vertices: 414, facets final: 304, pending: 13123, pool: 300
I   40.41] Elapsed: 40.41, vertices: 435, facets final: 311, pending: 15269, pool: 300
I   45.58] Elapsed: 45.58, vertices: 456, facets final: 312, pending: 17061, pool: 300
I   50.80] Elapsed: 50.80, vertices: 473, facets final: 314, pending: 19183, pool: 299
I   55.81] Elapsed: 55.81, vertices: 486, facets final: 317, pending: 20932, pool: 300
I   61.42] Elapsed: 1:01, vertices: 499, facets final: 319, pending: 22415, pool: 300
I   66.45] Elapsed: 1:06, vertices: 508, facets final: 321, pending: 23063, pool: 300
I   71.67] Elapsed: 1:12, vertices: 519, facets final: 323, pending: 24616, pool: 300
I   76.96] Elapsed: 1:17, vertices: 530, facets final: 323, pending: 25866, pool: 300
I   82.26] Elapsed: 1:22, vertices: 540, facets final: 324, pending: 27365, pool: 300
I   88.01] Elapsed: 1:28, vertices: 550, facets final: 327, pending: 28416, pool: 300
I   94.28] Elapsed: 1:34, vertices: 557, facets final: 327, pending: 30190, pool: 300
I   99.62] Elapsed: 1:40, vertices: 566, facets final: 329, pending: 31123, pool: 300
I  104.92] Elapsed: 1:45, vertices: 573, facets final: 329, pending: 32511, pool: 300
I  109.96] Elapsed: 1:50, vertices: 578, facets final: 329, pending: 33493, pool: 300
I  115.36] Elapsed: 1:55, vertices: 585, facets final: 329, pending: 34335, pool: 300
I  120.95] Elapsed: 2:01, vertices: 592, facets final: 329, pending: 35289, pool: 300
I  126.30] Elapsed: 2:06, vertices: 598, facets final: 329, pending: 36315, pool: 300
I  131.58] Elapsed: 2:12, vertices: 605, facets final: 330, pending: 36970, pool: 299
I  136.98] Elapsed: 2:17, vertices: 609, facets final: 330, pending: 37865, pool: 300
I  142.42] Elapsed: 2:22, vertices: 615, facets final: 331, pending: 38678, pool: 300
I  147.87] Elapsed: 2:28, vertices: 620, facets final: 331, pending: 39732, pool: 300
I  153.83] Elapsed: 2:34, vertices: 626, facets final: 331, pending: 40909, pool: 300
I  158.93] Elapsed: 2:39, vertices: 629, facets final: 331, pending: 41551, pool: 300
I  166.37] Elapsed: 2:46, vertices: 633, facets final: 331, pending: 43084, pool: 300
I  171.67] Elapsed: 2:52, vertices: 638, facets final: 331, pending: 44116, pool: 300
I  177.55] Elapsed: 2:58, vertices: 642, facets final: 332, pending: 44805, pool: 300
I  185.33] Elapsed: 3:05, vertices: 648, facets final: 332, pending: 46049, pool: 300
I  190.75] Elapsed: 3:11, vertices: 654, facets final: 332, pending: 46810, pool: 300
I  197.67] Elapsed: 3:18, vertices: 658, facets final: 332, pending: 47678, pool: 300
I  203.56] Elapsed: 3:24, vertices: 662, facets final: 333, pending: 48651, pool: 300
I  210.23] Elapsed: 3:30, vertices: 666, facets final: 333, pending: 49471, pool: 300
I  216.27] Elapsed: 3:36, vertices: 669, facets final: 333, pending: 50195, pool: 300
I  221.84] Elapsed: 3:42, vertices: 674, facets final: 334, pending: 50724, pool: 300
I  229.38] Elapsed: 3:49, vertices: 678, facets final: 335, pending: 51446, pool: 300
I  237.84] Elapsed: 3:58, vertices: 681, facets final: 335, pending: 52233, pool: 300
I  244.10] Elapsed: 4:04, vertices: 685, facets final: 335, pending: 52917, pool: 300
I  252.76] Elapsed: 4:13, vertices: 689, facets final: 336, pending: 54562, pool: 300
I  257.76] Elapsed: 4:18, vertices: 691, facets final: 336, pending: 54992, pool: 300
I  263.13] Elapsed: 4:23, vertices: 695, facets final: 336, pending: 55565, pool: 300
I  268.24] Elapsed: 4:28, vertices: 698, facets final: 336, pending: 56472, pool: 300
recalculate_facet: numerical instability at facet 640, coord 2 (2.12102e-06)
recalculate_facet: numerical instability at facet 640, coord 3 (-3.03967e-06)
recalculate_facet: numerical instability at facet 640, coord 4 (1.00756e-06)
recalculate_facet: numerical instability at facet 640, coord 8 (-1.00229e-06)
I  277.28] Elapsed: 4:37, vertices: 701, facets final: 336, pending: 57519, pool: 300
I  282.63] Elapsed: 4:43, vertices: 703, facets final: 336, pending: 58349, pool: 300
I  288.44] Elapsed: 4:48, vertices: 707, facets final: 338, pending: 58648, pool: 300
recalculate_facet: numerical instability at facet 590, coord 0 (3.76788e-06)
recalculate_facet: numerical instability at facet 590, coord 1 (-1.999e-06)
recalculate_facet: numerical instability at facet 590, coord 2 (-1.93421e-06)
recalculate_facet: numerical instability at facet 590, coord 3 (1.78855e-05)
recalculate_facet: numerical instability at facet 590, coord 4 (-4.24558e-06)
recalculate_facet: numerical instability at facet 590, coord 5 (-1.50344e-05)
recalculate_facet: numerical instability at facet 590, coord 6 (1.55984e-06)
I  294.75] Elapsed: 4:55, vertices: 710, facets final: 338, pending: 59148, pool: 300
I  299.90] Elapsed: 5:00, vertices: 714, facets final: 338, pending: 59837, pool: 300
I  306.27] Elapsed: 5:06, vertices: 717, facets final: 338, pending: 60623, pool: 300
I  312.37] Elapsed: 5:12, vertices: 719, facets final: 338, pending: 61158, pool: 300
I  317.49] Elapsed: 5:17, vertices: 723, facets final: 338, pending: 61390, pool: 300
I  323.58] Elapsed: 5:24, vertices: 728, facets final: 338, pending: 61956, pool: 300
I  329.57] Elapsed: 5:30, vertices: 731, facets final: 338, pending: 62919, pool: 300
I  335.28] Elapsed: 5:35, vertices: 734, facets final: 338, pending: 63288, pool: 300
I  342.58] Elapsed: 5:43, vertices: 737, facets final: 338, pending: 64037, pool: 300
I  347.73] Elapsed: 5:48, vertices: 739, facets final: 338, pending: 64559, pool: 300
I  352.75] Elapsed: 5:53, vertices: 742, facets final: 338, pending: 65243, pool: 300
I  358.11] Elapsed: 5:58, vertices: 745, facets final: 338, pending: 65807, pool: 300
I  365.21] Elapsed: 6:05, vertices: 749, facets final: 339, pending: 66556, pool: 299
I  371.88] Elapsed: 6:12, vertices: 753, facets final: 340, pending: 67603, pool: 300
I  378.54] Elapsed: 6:19, vertices: 756, facets final: 340, pending: 67985, pool: 300
I  384.83] Elapsed: 6:25, vertices: 759, facets final: 340, pending: 68500, pool: 300
I  390.12] Elapsed: 6:30, vertices: 762, facets final: 341, pending: 68879, pool: 300
I  396.04] Elapsed: 6:36, vertices: 764, facets final: 341, pending: 69263, pool: 300
I  401.83] Elapsed: 6:42, vertices: 767, facets final: 341, pending: 69625, pool: 300
I  407.21] Elapsed: 6:47, vertices: 769, facets final: 341, pending: 69891, pool: 300
I  414.14] Elapsed: 6:54, vertices: 772, facets final: 341, pending: 70248, pool: 300
I  422.00] Elapsed: 7:02, vertices: 775, facets final: 341, pending: 70471, pool: 300
I  427.13] Elapsed: 7:07, vertices: 777, facets final: 341, pending: 70776, pool: 300
I  434.67] Elapsed: 7:15, vertices: 780, facets final: 341, pending: 71159, pool: 300
I  440.74] Elapsed: 7:21, vertices: 781, facets final: 341, pending: 71583, pool: 300
I  445.97] Elapsed: 7:26, vertices: 783, facets final: 341, pending: 72316, pool: 300
I  451.01] Elapsed: 7:31, vertices: 786, facets final: 342, pending: 72482, pool: 300
I  457.71] Elapsed: 7:38, vertices: 789, facets final: 342, pending: 73160, pool: 300
I  463.86] Elapsed: 7:44, vertices: 791, facets final: 342, pending: 73579, pool: 300
I  469.01] Elapsed: 7:49, vertices: 794, facets final: 342, pending: 74004, pool: 300
I  474.15] Elapsed: 7:54, vertices: 797, facets final: 342, pending: 74432, pool: 300
I  482.99] Elapsed: 8:03, vertices: 799, facets final: 342, pending: 75202, pool: 300
I  491.14] Elapsed: 8:11, vertices: 802, facets final: 342, pending: 75925, pool: 300
