C applying double rule rs=cd:ab;a.r.c.d;ar.br.cr.dr for base19.txt
I    5.00] Elapsed: 5.00, vertices: 87, facets final: 12, pending: 3424, pool: 299
I   10.04] Elapsed: 10.04, vertices: 162, facets final: 16, pending: 8691, pool: 300
I   15.04] Elapsed: 15.04, vertices: 202, facets final: 18, pending: 10528, pool: 300
I   20.05] Elapsed: 20.05, vertices: 237, facets final: 21, pending: 12764, pool: 299
I   25.09] Elapsed: 25.09, vertices: 264, facets final: 22, pending: 14714, pool: 300
I   30.31] Elapsed: 30.31, vertices: 289, facets final: 22, pending: 16149, pool: 300
I   35.48] Elapsed: 35.48, vertices: 310, facets final: 22, pending: 17120, pool: 299
I   40.51] Elapsed: 40.51, vertices: 329, facets final: 23, pending: 18181, pool: 300
I   45.70] Elapsed: 45.70, vertices: 349, facets final: 24, pending: 18900, pool: 299
I   50.84] Elapsed: 50.84, vertices: 367, facets final: 24, pending: 19919, pool: 300
I   55.99] Elapsed: 55.99, vertices: 385, facets final: 25, pending: 20467, pool: 299
I   61.16] Elapsed: 1:01, vertices: 402, facets final: 25, pending: 21127, pool: 300
I   66.19] Elapsed: 1:06, vertices: 418, facets final: 27, pending: 22296, pool: 300
I   71.32] Elapsed: 1:11, vertices: 433, facets final: 30, pending: 22848, pool: 300
I   76.32] Elapsed: 1:16, vertices: 448, facets final: 31, pending: 24235, pool: 300
I   81.40] Elapsed: 1:21, vertices: 463, facets final: 32, pending: 24823, pool: 300
I   86.58] Elapsed: 1:27, vertices: 477, facets final: 34, pending: 25495, pool: 300
I   91.68] Elapsed: 1:32, vertices: 491, facets final: 37, pending: 26294, pool: 300
I   97.09] Elapsed: 1:37, vertices: 505, facets final: 38, pending: 26831, pool: 300
I  102.34] Elapsed: 1:42, vertices: 518, facets final: 41, pending: 27481, pool: 299
I  107.90] Elapsed: 1:48, vertices: 530, facets final: 41, pending: 28258, pool: 300
I  112.98] Elapsed: 1:53, vertices: 542, facets final: 44, pending: 28870, pool: 300
I  118.29] Elapsed: 1:58, vertices: 553, facets final: 46, pending: 29342, pool: 300
I  123.41] Elapsed: 2:03, vertices: 565, facets final: 47, pending: 29847, pool: 300
I  128.75] Elapsed: 2:09, vertices: 577, facets final: 48, pending: 30501, pool: 299
I  133.77] Elapsed: 2:14, vertices: 587, facets final: 48, pending: 31127, pool: 300
I  138.90] Elapsed: 2:19, vertices: 598, facets final: 48, pending: 31627, pool: 300
I  144.42] Elapsed: 2:24, vertices: 610, facets final: 48, pending: 32035, pool: 300
I  149.63] Elapsed: 2:30, vertices: 621, facets final: 49, pending: 32554, pool: 300
I  155.00] Elapsed: 2:35, vertices: 632, facets final: 52, pending: 33419, pool: 300
I  160.19] Elapsed: 2:40, vertices: 641, facets final: 52, pending: 34305, pool: 300
I  165.48] Elapsed: 2:45, vertices: 650, facets final: 52, pending: 34760, pool: 300
I  170.80] Elapsed: 2:51, vertices: 660, facets final: 53, pending: 35449, pool: 300
I  176.18] Elapsed: 2:56, vertices: 670, facets final: 56, pending: 35765, pool: 299
I  181.70] Elapsed: 3:02, vertices: 680, facets final: 57, pending: 36286, pool: 300
I  186.83] Elapsed: 3:07, vertices: 687, facets final: 57, pending: 36763, pool: 300
I  192.10] Elapsed: 3:12, vertices: 697, facets final: 58, pending: 36927, pool: 300
I  197.25] Elapsed: 3:17, vertices: 705, facets final: 59, pending: 37153, pool: 300
I  202.50] Elapsed: 3:23, vertices: 714, facets final: 59, pending: 37266, pool: 300
I  208.38] Elapsed: 3:28, vertices: 723, facets final: 60, pending: 37313, pool: 300
I  213.87] Elapsed: 3:34, vertices: 732, facets final: 61, pending: 37857, pool: 300
I  219.66] Elapsed: 3:40, vertices: 742, facets final: 61, pending: 38339, pool: 300
I  225.03] Elapsed: 3:45, vertices: 751, facets final: 61, pending: 38510, pool: 300
I  230.53] Elapsed: 3:51, vertices: 759, facets final: 63, pending: 38700, pool: 300
I  235.98] Elapsed: 3:56, vertices: 767, facets final: 64, pending: 39079, pool: 300
I  240.98] Elapsed: 4:01, vertices: 775, facets final: 65, pending: 39266, pool: 300
I  246.46] Elapsed: 4:06, vertices: 784, facets final: 65, pending: 39861, pool: 300
I  251.55] Elapsed: 4:12, vertices: 793, facets final: 67, pending: 40382, pool: 299
I  256.94] Elapsed: 4:17, vertices: 800, facets final: 68, pending: 40906, pool: 300
I  262.03] Elapsed: 4:22, vertices: 807, facets final: 69, pending: 41156, pool: 299
I  267.54] Elapsed: 4:28, vertices: 815, facets final: 69, pending: 41661, pool: 300
I  272.64] Elapsed: 4:33, vertices: 822, facets final: 70, pending: 41568, pool: 300
I  277.84] Elapsed: 4:38, vertices: 830, facets final: 70, pending: 41800, pool: 300
I  283.70] Elapsed: 4:44, vertices: 838, facets final: 71, pending: 42107, pool: 300
I  288.87] Elapsed: 4:49, vertices: 845, facets final: 73, pending: 42724, pool: 300
I  294.24] Elapsed: 4:54, vertices: 852, facets final: 74, pending: 42771, pool: 300
I  299.88] Elapsed: 5:00, vertices: 860, facets final: 75, pending: 43184, pool: 300
I  305.38] Elapsed: 5:05, vertices: 867, facets final: 76, pending: 43533, pool: 300
I  310.83] Elapsed: 5:11, vertices: 876, facets final: 76, pending: 43904, pool: 300
I  316.27] Elapsed: 5:16, vertices: 884, facets final: 76, pending: 44378, pool: 300
I  321.27] Elapsed: 5:21, vertices: 891, facets final: 79, pending: 44925, pool: 299
I  326.30] Elapsed: 5:26, vertices: 897, facets final: 80, pending: 44880, pool: 300
I  331.50] Elapsed: 5:32, vertices: 904, facets final: 80, pending: 45083, pool: 300
I  337.37] Elapsed: 5:37, vertices: 910, facets final: 80, pending: 44981, pool: 300
I  342.63] Elapsed: 5:43, vertices: 916, facets final: 81, pending: 45209, pool: 300
I  348.25] Elapsed: 5:48, vertices: 923, facets final: 81, pending: 45481, pool: 300
I  353.97] Elapsed: 5:54, vertices: 929, facets final: 82, pending: 45758, pool: 300
I  359.22] Elapsed: 5:59, vertices: 936, facets final: 82, pending: 46199, pool: 300
I  364.50] Elapsed: 6:05, vertices: 943, facets final: 85, pending: 46483, pool: 300
I  369.95] Elapsed: 6:10, vertices: 950, facets final: 85, pending: 46843, pool: 300
I  375.48] Elapsed: 6:15, vertices: 957, facets final: 87, pending: 47164, pool: 300
I  380.58] Elapsed: 6:21, vertices: 963, facets final: 88, pending: 47279, pool: 300
I  386.00] Elapsed: 6:26, vertices: 970, facets final: 88, pending: 47219, pool: 300
I  391.43] Elapsed: 6:31, vertices: 977, facets final: 88, pending: 47789, pool: 300
I  396.97] Elapsed: 6:37, vertices: 984, facets final: 88, pending: 47971, pool: 300
I  402.25] Elapsed: 6:42, vertices: 991, facets final: 89, pending: 48358, pool: 300
I  407.61] Elapsed: 6:48, vertices: 998, facets final: 89, pending: 48661, pool: 300
I  412.72] Elapsed: 6:53, vertices: 1004, facets final: 89, pending: 48953, pool: 300
I  418.32] Elapsed: 6:58, vertices: 1011, facets final: 92, pending: 49405, pool: 300
I  424.05] Elapsed: 7:04, vertices: 1018, facets final: 92, pending: 49664, pool: 300
I  429.41] Elapsed: 7:09, vertices: 1024, facets final: 92, pending: 50107, pool: 300
I  434.51] Elapsed: 7:15, vertices: 1029, facets final: 94, pending: 50366, pool: 300
I  439.86] Elapsed: 7:20, vertices: 1035, facets final: 95, pending: 50683, pool: 300
I  445.42] Elapsed: 7:25, vertices: 1042, facets final: 95, pending: 50789, pool: 300
I  450.45] Elapsed: 7:30, vertices: 1047, facets final: 95, pending: 51089, pool: 300
I  455.67] Elapsed: 7:36, vertices: 1053, facets final: 95, pending: 51151, pool: 300
I  460.89] Elapsed: 7:41, vertices: 1059, facets final: 96, pending: 51378, pool: 299
I  466.08] Elapsed: 7:46, vertices: 1064, facets final: 97, pending: 51591, pool: 300
I  471.29] Elapsed: 7:51, vertices: 1070, facets final: 98, pending: 51911, pool: 300
I  477.25] Elapsed: 7:57, vertices: 1075, facets final: 98, pending: 52048, pool: 300
I  482.87] Elapsed: 8:03, vertices: 1082, facets final: 99, pending: 52391, pool: 300
I  488.40] Elapsed: 8:08, vertices: 1089, facets final: 102, pending: 52700, pool: 300
I  493.73] Elapsed: 8:14, vertices: 1095, facets final: 102, pending: 52914, pool: 300
I  498.85] Elapsed: 8:19, vertices: 1101, facets final: 102, pending: 52992, pool: 300
I  504.43] Elapsed: 8:24, vertices: 1108, facets final: 103, pending: 53041, pool: 300
I  510.00] Elapsed: 8:30, vertices: 1114, facets final: 103, pending: 53129, pool: 300
I  515.21] Elapsed: 8:35, vertices: 1120, facets final: 103, pending: 53633, pool: 300
I  520.64] Elapsed: 8:41, vertices: 1126, facets final: 103, pending: 53979, pool: 300
I  526.04] Elapsed: 8:46, vertices: 1131, facets final: 105, pending: 54398, pool: 300
I  532.18] Elapsed: 8:52, vertices: 1136, facets final: 106, pending: 54541, pool: 300
I  539.12] Elapsed: 8:59, vertices: 1142, facets final: 106, pending: 54691, pool: 300
I  544.56] Elapsed: 9:05, vertices: 1148, facets final: 107, pending: 54824, pool: 300
I  549.76] Elapsed: 9:10, vertices: 1153, facets final: 107, pending: 54961, pool: 300
I  555.16] Elapsed: 9:15, vertices: 1159, facets final: 107, pending: 55161, pool: 299
I  560.53] Elapsed: 9:21, vertices: 1163, facets final: 107, pending: 55484, pool: 300
I  565.55] Elapsed: 9:26, vertices: 1168, facets final: 108, pending: 55667, pool: 300
I  571.65] Elapsed: 9:32, vertices: 1174, facets final: 109, pending: 55849, pool: 300
I  577.71] Elapsed: 9:38, vertices: 1180, facets final: 110, pending: 56030, pool: 300
I  582.87] Elapsed: 9:43, vertices: 1185, facets final: 111, pending: 56144, pool: 300
I  588.82] Elapsed: 9:49, vertices: 1191, facets final: 112, pending: 56528, pool: 300
I  593.85] Elapsed: 9:54, vertices: 1196, facets final: 114, pending: 56598, pool: 299
I  599.32] Elapsed: 9:59, vertices: 1201, facets final: 114, pending: 56819, pool: 300
I  605.23] Elapsed: 10:05, vertices: 1207, facets final: 114, pending: 57157, pool: 300
I  610.47] Elapsed: 10:10, vertices: 1213, facets final: 115, pending: 57247, pool: 299
I  615.97] Elapsed: 10:16, vertices: 1219, facets final: 115, pending: 57390, pool: 300
I  622.46] Elapsed: 10:22, vertices: 1225, facets final: 115, pending: 57737, pool: 300
I  628.00] Elapsed: 10:28, vertices: 1230, facets final: 115, pending: 57787, pool: 299
I  633.15] Elapsed: 10:33, vertices: 1235, facets final: 115, pending: 58219, pool: 300
I  638.29] Elapsed: 10:38, vertices: 1240, facets final: 115, pending: 58229, pool: 300
I  644.42] Elapsed: 10:44, vertices: 1246, facets final: 115, pending: 57878, pool: 300
I  650.75] Elapsed: 10:51, vertices: 1252, facets final: 116, pending: 58070, pool: 300
I  656.66] Elapsed: 10:57, vertices: 1258, facets final: 116, pending: 58231, pool: 300
I  661.67] Elapsed: 11:02, vertices: 1262, facets final: 117, pending: 58469, pool: 300
I  667.71] Elapsed: 11:08, vertices: 1268, facets final: 120, pending: 58564, pool: 300
I  672.85] Elapsed: 11:13, vertices: 1273, facets final: 121, pending: 58791, pool: 300
I  678.67] Elapsed: 11:19, vertices: 1277, facets final: 122, pending: 59017, pool: 300
I  684.21] Elapsed: 11:24, vertices: 1282, facets final: 122, pending: 59125, pool: 300
I  689.66] Elapsed: 11:30, vertices: 1287, facets final: 127, pending: 59328, pool: 300
I  695.81] Elapsed: 11:36, vertices: 1292, facets final: 128, pending: 59552, pool: 300
I  700.87] Elapsed: 11:41, vertices: 1298, facets final: 128, pending: 59561, pool: 300
I  707.39] Elapsed: 11:47, vertices: 1303, facets final: 129, pending: 59625, pool: 300
I  713.28] Elapsed: 11:53, vertices: 1309, facets final: 131, pending: 59969, pool: 300
I  718.52] Elapsed: 11:59, vertices: 1315, facets final: 132, pending: 60057, pool: 300
I  723.56] Elapsed: 12:04, vertices: 1319, facets final: 132, pending: 60315, pool: 300
I  729.48] Elapsed: 12:09, vertices: 1325, facets final: 132, pending: 60535, pool: 300
I  734.80] Elapsed: 12:15, vertices: 1330, facets final: 132, pending: 60649, pool: 300
I  740.53] Elapsed: 12:21, vertices: 1336, facets final: 133, pending: 60871, pool: 300
I  746.09] Elapsed: 12:26, vertices: 1341, facets final: 133, pending: 61288, pool: 300
I  751.11] Elapsed: 12:31, vertices: 1346, facets final: 134, pending: 61644, pool: 299
I  756.55] Elapsed: 12:37, vertices: 1350, facets final: 137, pending: 61707, pool: 300
I  762.38] Elapsed: 12:42, vertices: 1354, facets final: 138, pending: 61912, pool: 300
I  768.58] Elapsed: 12:49, vertices: 1359, facets final: 140, pending: 62246, pool: 300
I  774.33] Elapsed: 12:54, vertices: 1363, facets final: 141, pending: 62516, pool: 300
I  779.58] Elapsed: 13:00, vertices: 1367, facets final: 141, pending: 62774, pool: 300
I  785.45] Elapsed: 13:05, vertices: 1372, facets final: 142, pending: 62904, pool: 300
I  790.46] Elapsed: 13:10, vertices: 1377, facets final: 142, pending: 63071, pool: 300
I  795.75] Elapsed: 13:16, vertices: 1382, facets final: 143, pending: 63266, pool: 300
I  801.61] Elapsed: 13:22, vertices: 1387, facets final: 144, pending: 63574, pool: 300
I  807.65] Elapsed: 13:28, vertices: 1392, facets final: 145, pending: 64012, pool: 300
I  813.23] Elapsed: 13:33, vertices: 1396, facets final: 145, pending: 64344, pool: 300
I  818.33] Elapsed: 13:38, vertices: 1399, facets final: 145, pending: 64645, pool: 300
I  823.50] Elapsed: 13:44, vertices: 1403, facets final: 145, pending: 64740, pool: 300
I  829.51] Elapsed: 13:50, vertices: 1408, facets final: 147, pending: 64886, pool: 300
I  836.24] Elapsed: 13:56, vertices: 1412, facets final: 147, pending: 64955, pool: 300
I  841.45] Elapsed: 14:01, vertices: 1416, facets final: 147, pending: 65279, pool: 300
I  847.98] Elapsed: 14:08, vertices: 1419, facets final: 148, pending: 65379, pool: 300
I  853.55] Elapsed: 14:14, vertices: 1424, facets final: 149, pending: 65764, pool: 300
I  860.64] Elapsed: 14:21, vertices: 1428, facets final: 149, pending: 65972, pool: 300
I  867.33] Elapsed: 14:27, vertices: 1432, facets final: 149, pending: 66076, pool: 300
I  872.81] Elapsed: 14:33, vertices: 1437, facets final: 151, pending: 66063, pool: 300
I  879.16] Elapsed: 14:39, vertices: 1441, facets final: 151, pending: 66016, pool: 300
I  884.68] Elapsed: 14:45, vertices: 1446, facets final: 152, pending: 66077, pool: 299
I  890.72] Elapsed: 14:51, vertices: 1450, facets final: 152, pending: 66172, pool: 300
I  896.82] Elapsed: 14:57, vertices: 1454, facets final: 154, pending: 66435, pool: 300
I  902.36] Elapsed: 15:02, vertices: 1458, facets final: 154, pending: 66577, pool: 300
I  907.43] Elapsed: 15:07, vertices: 1462, facets final: 154, pending: 66755, pool: 300
I  912.70] Elapsed: 15:13, vertices: 1466, facets final: 154, pending: 67284, pool: 300
I  918.44] Elapsed: 15:18, vertices: 1471, facets final: 154, pending: 67745, pool: 300
I  924.79] Elapsed: 15:25, vertices: 1475, facets final: 156, pending: 67926, pool: 300
I  930.07] Elapsed: 15:30, vertices: 1479, facets final: 156, pending: 68274, pool: 300
I  935.93] Elapsed: 15:36, vertices: 1482, facets final: 156, pending: 68433, pool: 300
I  941.27] Elapsed: 15:41, vertices: 1485, facets final: 156, pending: 68594, pool: 300
I  946.69] Elapsed: 15:47, vertices: 1490, facets final: 157, pending: 68517, pool: 300
I  953.41] Elapsed: 15:53, vertices: 1494, facets final: 157, pending: 68582, pool: 300
I  958.95] Elapsed: 15:59, vertices: 1497, facets final: 158, pending: 68604, pool: 300
I  964.07] Elapsed: 16:04, vertices: 1500, facets final: 158, pending: 68814, pool: 300
I  970.88] Elapsed: 16:11, vertices: 1505, facets final: 159, pending: 69124, pool: 300
I  977.02] Elapsed: 16:17, vertices: 1508, facets final: 159, pending: 69445, pool: 300
I  982.13] Elapsed: 16:22, vertices: 1512, facets final: 160, pending: 69701, pool: 300
I  987.95] Elapsed: 16:28, vertices: 1515, facets final: 161, pending: 69948, pool: 300
I  994.70] Elapsed: 16:35, vertices: 1519, facets final: 161, pending: 70108, pool: 300
I  999.87] Elapsed: 16:40, vertices: 1522, facets final: 162, pending: 70429, pool: 300
