C applying double rule r=c:ab;s=a:bdr;a.r.c.d;r.b.c.d for base30.txt
I    5.01] Elapsed: 5.01, vertices: 127, facets final: 18, pending: 13358, pool: 300
I   10.05] Elapsed: 10.05, vertices: 197, facets final: 23, pending: 21895, pool: 300
I   15.10] Elapsed: 15.10, vertices: 248, facets final: 30, pending: 28902, pool: 300
I   20.23] Elapsed: 20.23, vertices: 285, facets final: 34, pending: 33445, pool: 300
I   25.37] Elapsed: 25.37, vertices: 320, facets final: 37, pending: 36944, pool: 300
I   30.48] Elapsed: 30.48, vertices: 355, facets final: 42, pending: 40338, pool: 300
I   35.61] Elapsed: 35.61, vertices: 386, facets final: 46, pending: 42696, pool: 300
I   40.66] Elapsed: 40.66, vertices: 414, facets final: 54, pending: 44722, pool: 300
I   45.75] Elapsed: 45.75, vertices: 441, facets final: 62, pending: 47248, pool: 300
I   50.78] Elapsed: 50.78, vertices: 467, facets final: 64, pending: 48783, pool: 300
I   55.84] Elapsed: 55.84, vertices: 493, facets final: 65, pending: 49574, pool: 300
I   60.95] Elapsed: 1:01, vertices: 518, facets final: 70, pending: 50833, pool: 300
I   66.15] Elapsed: 1:06, vertices: 544, facets final: 77, pending: 51068, pool: 300
I   71.22] Elapsed: 1:11, vertices: 570, facets final: 84, pending: 51508, pool: 300
I   76.38] Elapsed: 1:16, vertices: 595, facets final: 90, pending: 51392, pool: 300
I   81.51] Elapsed: 1:22, vertices: 621, facets final: 94, pending: 51975, pool: 300
I   86.60] Elapsed: 1:27, vertices: 647, facets final: 105, pending: 52561, pool: 300
I   91.72] Elapsed: 1:32, vertices: 674, facets final: 108, pending: 53281, pool: 300
I   96.86] Elapsed: 1:37, vertices: 699, facets final: 115, pending: 53965, pool: 300
I  102.01] Elapsed: 1:42, vertices: 723, facets final: 119, pending: 54186, pool: 300
I  107.03] Elapsed: 1:47, vertices: 748, facets final: 125, pending: 55467, pool: 300
I  112.24] Elapsed: 1:52, vertices: 773, facets final: 129, pending: 56401, pool: 300
I  117.46] Elapsed: 1:57, vertices: 797, facets final: 132, pending: 56804, pool: 300
I  122.51] Elapsed: 2:03, vertices: 819, facets final: 138, pending: 57520, pool: 300
I  127.75] Elapsed: 2:08, vertices: 843, facets final: 146, pending: 58550, pool: 300
I  132.80] Elapsed: 2:13, vertices: 866, facets final: 148, pending: 58720, pool: 300
I  137.97] Elapsed: 2:18, vertices: 890, facets final: 151, pending: 59785, pool: 300
I  143.10] Elapsed: 2:23, vertices: 911, facets final: 155, pending: 60086, pool: 300
I  148.22] Elapsed: 2:28, vertices: 934, facets final: 168, pending: 60535, pool: 300
I  153.43] Elapsed: 2:33, vertices: 956, facets final: 173, pending: 60945, pool: 300
I  158.43] Elapsed: 2:38, vertices: 978, facets final: 173, pending: 61872, pool: 299
I  163.53] Elapsed: 2:44, vertices: 999, facets final: 181, pending: 62199, pool: 300
I  168.66] Elapsed: 2:49, vertices: 1018, facets final: 184, pending: 62730, pool: 300
I  173.66] Elapsed: 2:54, vertices: 1038, facets final: 195, pending: 63220, pool: 300
I  178.91] Elapsed: 2:59, vertices: 1058, facets final: 202, pending: 63692, pool: 300
I  184.59] Elapsed: 3:05, vertices: 1077, facets final: 209, pending: 63844, pool: 300
I  189.59] Elapsed: 3:10, vertices: 1095, facets final: 213, pending: 64360, pool: 300
I  194.61] Elapsed: 3:15, vertices: 1112, facets final: 217, pending: 64994, pool: 300
I  199.88] Elapsed: 3:20, vertices: 1131, facets final: 227, pending: 65604, pool: 300
I  205.12] Elapsed: 3:25, vertices: 1150, facets final: 236, pending: 66606, pool: 300
I  210.30] Elapsed: 3:30, vertices: 1168, facets final: 238, pending: 67111, pool: 300
I  215.38] Elapsed: 3:35, vertices: 1187, facets final: 245, pending: 67854, pool: 300
I  220.39] Elapsed: 3:40, vertices: 1206, facets final: 249, pending: 68096, pool: 300
I  225.54] Elapsed: 3:46, vertices: 1226, facets final: 255, pending: 67898, pool: 300
I  230.68] Elapsed: 3:51, vertices: 1246, facets final: 262, pending: 68735, pool: 300
I  235.74] Elapsed: 3:56, vertices: 1264, facets final: 272, pending: 69378, pool: 300
I  240.75] Elapsed: 4:01, vertices: 1283, facets final: 274, pending: 69252, pool: 299
I  245.87] Elapsed: 4:06, vertices: 1301, facets final: 281, pending: 69519, pool: 300
I  250.99] Elapsed: 4:11, vertices: 1320, facets final: 283, pending: 69802, pool: 299
I  256.01] Elapsed: 4:16, vertices: 1339, facets final: 297, pending: 69989, pool: 300
I  261.03] Elapsed: 4:21, vertices: 1358, facets final: 303, pending: 70610, pool: 300
I  266.32] Elapsed: 4:26, vertices: 1376, facets final: 305, pending: 71078, pool: 300
I  271.52] Elapsed: 4:32, vertices: 1394, facets final: 309, pending: 71493, pool: 300
I  276.71] Elapsed: 4:37, vertices: 1412, facets final: 315, pending: 72044, pool: 300
I  281.87] Elapsed: 4:42, vertices: 1428, facets final: 321, pending: 72018, pool: 300
I  287.00] Elapsed: 4:47, vertices: 1446, facets final: 324, pending: 72821, pool: 300
I  292.21] Elapsed: 4:52, vertices: 1465, facets final: 327, pending: 73409, pool: 299
I  297.33] Elapsed: 4:57, vertices: 1481, facets final: 339, pending: 73645, pool: 300
I  302.81] Elapsed: 5:03, vertices: 1499, facets final: 347, pending: 74183, pool: 300
I  308.22] Elapsed: 5:08, vertices: 1516, facets final: 348, pending: 74425, pool: 300
I  313.37] Elapsed: 5:13, vertices: 1531, facets final: 354, pending: 74071, pool: 300
I  318.63] Elapsed: 5:19, vertices: 1547, facets final: 358, pending: 74329, pool: 300
I  323.74] Elapsed: 5:24, vertices: 1563, facets final: 360, pending: 74564, pool: 300
I  328.86] Elapsed: 5:29, vertices: 1578, facets final: 361, pending: 74719, pool: 300
I  333.95] Elapsed: 5:34, vertices: 1594, facets final: 367, pending: 75892, pool: 300
I  339.29] Elapsed: 5:39, vertices: 1611, facets final: 370, pending: 76521, pool: 300
I  344.49] Elapsed: 5:44, vertices: 1627, facets final: 372, pending: 76451, pool: 300
I  349.70] Elapsed: 5:50, vertices: 1644, facets final: 379, pending: 76901, pool: 300
I  354.80] Elapsed: 5:55, vertices: 1660, facets final: 388, pending: 77255, pool: 299
I  359.80] Elapsed: 6:00, vertices: 1672, facets final: 389, pending: 77735, pool: 300
I  364.88] Elapsed: 6:05, vertices: 1686, facets final: 392, pending: 78048, pool: 300
I  370.08] Elapsed: 6:10, vertices: 1701, facets final: 398, pending: 78062, pool: 300
I  375.16] Elapsed: 6:15, vertices: 1717, facets final: 404, pending: 78324, pool: 299
I  380.25] Elapsed: 6:20, vertices: 1730, facets final: 409, pending: 78806, pool: 299
I  385.50] Elapsed: 6:26, vertices: 1745, facets final: 411, pending: 79301, pool: 300
I  390.55] Elapsed: 6:31, vertices: 1756, facets final: 414, pending: 79320, pool: 300
I  395.87] Elapsed: 6:36, vertices: 1768, facets final: 415, pending: 79512, pool: 300
I  401.06] Elapsed: 6:41, vertices: 1781, facets final: 420, pending: 79502, pool: 300
I  406.17] Elapsed: 6:46, vertices: 1793, facets final: 423, pending: 79952, pool: 300
I  411.20] Elapsed: 6:51, vertices: 1808, facets final: 428, pending: 80427, pool: 299
I  416.21] Elapsed: 6:56, vertices: 1820, facets final: 430, pending: 80621, pool: 299
I  421.35] Elapsed: 7:01, vertices: 1835, facets final: 433, pending: 80882, pool: 300
I  426.42] Elapsed: 7:06, vertices: 1850, facets final: 442, pending: 80979, pool: 300
I  431.54] Elapsed: 7:12, vertices: 1864, facets final: 445, pending: 81154, pool: 299
I  436.57] Elapsed: 7:17, vertices: 1878, facets final: 450, pending: 81606, pool: 299
I  441.69] Elapsed: 7:22, vertices: 1893, facets final: 456, pending: 81578, pool: 300
I  446.80] Elapsed: 7:27, vertices: 1904, facets final: 458, pending: 82325, pool: 300
I  452.11] Elapsed: 7:32, vertices: 1917, facets final: 461, pending: 82659, pool: 300
I  457.39] Elapsed: 7:37, vertices: 1930, facets final: 464, pending: 83200, pool: 300
I  462.41] Elapsed: 7:42, vertices: 1942, facets final: 467, pending: 83621, pool: 300
I  468.12] Elapsed: 7:48, vertices: 1956, facets final: 469, pending: 84262, pool: 300
I  473.22] Elapsed: 7:53, vertices: 1969, facets final: 474, pending: 84820, pool: 300
I  478.56] Elapsed: 7:59, vertices: 1981, facets final: 481, pending: 85024, pool: 300
I  483.78] Elapsed: 8:04, vertices: 1994, facets final: 485, pending: 85512, pool: 300
I  488.78] Elapsed: 8:09, vertices: 2006, facets final: 490, pending: 85860, pool: 300
I  493.92] Elapsed: 8:14, vertices: 2019, facets final: 506, pending: 85841, pool: 300
I  499.27] Elapsed: 8:19, vertices: 2032, facets final: 511, pending: 86102, pool: 300
I  504.50] Elapsed: 8:25, vertices: 2043, facets final: 514, pending: 86556, pool: 300
I  509.58] Elapsed: 8:30, vertices: 2057, facets final: 518, pending: 86547, pool: 300
I  514.75] Elapsed: 8:35, vertices: 2069, facets final: 522, pending: 87130, pool: 300
I  519.89] Elapsed: 8:40, vertices: 2081, facets final: 527, pending: 87314, pool: 300
I  525.20] Elapsed: 8:45, vertices: 2094, facets final: 534, pending: 88142, pool: 300
I  530.20] Elapsed: 8:50, vertices: 2106, facets final: 540, pending: 88411, pool: 300
I  535.25] Elapsed: 8:55, vertices: 2117, facets final: 544, pending: 88763, pool: 300
I  540.36] Elapsed: 9:00, vertices: 2128, facets final: 550, pending: 89101, pool: 300
I  545.66] Elapsed: 9:06, vertices: 2142, facets final: 555, pending: 89190, pool: 300
I  550.66] Elapsed: 9:11, vertices: 2155, facets final: 559, pending: 89493, pool: 300
I  556.09] Elapsed: 9:16, vertices: 2168, facets final: 563, pending: 90329, pool: 300
I  561.95] Elapsed: 9:22, vertices: 2180, facets final: 566, pending: 90447, pool: 300
I  567.03] Elapsed: 9:27, vertices: 2193, facets final: 571, pending: 90941, pool: 300
I  572.31] Elapsed: 9:32, vertices: 2205, facets final: 577, pending: 90970, pool: 300
I  577.80] Elapsed: 9:38, vertices: 2217, facets final: 586, pending: 91278, pool: 300
I  582.97] Elapsed: 9:43, vertices: 2228, facets final: 589, pending: 91563, pool: 300
I  588.46] Elapsed: 9:48, vertices: 2240, facets final: 596, pending: 91612, pool: 300
I  593.75] Elapsed: 9:54, vertices: 2252, facets final: 605, pending: 92512, pool: 300
I  598.99] Elapsed: 9:59, vertices: 2265, facets final: 607, pending: 92574, pool: 300
I  604.08] Elapsed: 10:04, vertices: 2275, facets final: 613, pending: 92491, pool: 300
