C applying double rule r=c:ab;s=a:bdr;a.r.c.d;ar.br.cr.d for base30.txt
I    5.00] Elapsed: 5.00, vertices: 201, facets final: 322, pending: 2422, pool: 193
I   10.00] Elapsed: 10.00, vertices: 340, facets final: 635, pending: 8365, pool: 300
I   15.08] Elapsed: 15.08, vertices: 417, facets final: 652, pending: 18134, pool: 300
I   20.22] Elapsed: 20.22, vertices: 455, facets final: 654, pending: 27451, pool: 300
I   25.30] Elapsed: 25.30, vertices: 483, facets final: 656, pending: 32036, pool: 300
I   30.43] Elapsed: 30.43, vertices: 505, facets final: 657, pending: 39708, pool: 300
I   35.46] Elapsed: 35.46, vertices: 520, facets final: 657, pending: 45377, pool: 300
I   40.65] Elapsed: 40.65, vertices: 534, facets final: 658, pending: 49732, pool: 300
I   45.78] Elapsed: 45.78, vertices: 548, facets final: 659, pending: 52089, pool: 299
I   50.94] Elapsed: 50.94, vertices: 562, facets final: 660, pending: 55597, pool: 300
I   56.12] Elapsed: 56.12, vertices: 575, facets final: 660, pending: 57708, pool: 300
I   61.13] Elapsed: 1:01, vertices: 588, facets final: 660, pending: 59401, pool: 300
I   66.17] Elapsed: 1:06, vertices: 599, facets final: 663, pending: 62909, pool: 300
I   71.23] Elapsed: 1:11, vertices: 611, facets final: 663, pending: 63978, pool: 300
I   76.37] Elapsed: 1:16, vertices: 620, facets final: 663, pending: 65995, pool: 300
I   81.58] Elapsed: 1:22, vertices: 630, facets final: 663, pending: 68678, pool: 300
I   86.58] Elapsed: 1:27, vertices: 642, facets final: 663, pending: 70167, pool: 300
I   91.71] Elapsed: 1:32, vertices: 649, facets final: 663, pending: 70957, pool: 300
I   97.18] Elapsed: 1:37, vertices: 661, facets final: 663, pending: 74347, pool: 300
I  102.70] Elapsed: 1:43, vertices: 670, facets final: 664, pending: 74913, pool: 300
I  107.70] Elapsed: 1:48, vertices: 679, facets final: 664, pending: 75992, pool: 300
I  113.29] Elapsed: 1:53, vertices: 688, facets final: 664, pending: 78332, pool: 300
I  118.34] Elapsed: 1:58, vertices: 697, facets final: 664, pending: 79973, pool: 300
recalculate_facet: numerical instability at facet 40, coord 2 (1.01711e-06)
I  123.67] Elapsed: 2:04, vertices: 706, facets final: 666, pending: 81144, pool: 300
I  128.74] Elapsed: 2:09, vertices: 714, facets final: 666, pending: 82020, pool: 300
I  133.74] Elapsed: 2:14, vertices: 721, facets final: 666, pending: 83346, pool: 300
I  139.25] Elapsed: 2:19, vertices: 729, facets final: 667, pending: 85483, pool: 300
I  145.05] Elapsed: 2:25, vertices: 735, facets final: 667, pending: 87190, pool: 300
I  150.50] Elapsed: 2:31, vertices: 742, facets final: 667, pending: 89014, pool: 300
I  156.70] Elapsed: 2:37, vertices: 750, facets final: 667, pending: 92023, pool: 300
I  161.85] Elapsed: 2:42, vertices: 755, facets final: 669, pending: 92582, pool: 300
I  167.52] Elapsed: 2:48, vertices: 762, facets final: 670, pending: 94026, pool: 300
I  173.36] Elapsed: 2:53, vertices: 771, facets final: 672, pending: 96046, pool: 300
I  178.46] Elapsed: 2:58, vertices: 778, facets final: 672, pending: 97661, pool: 300
I  184.61] Elapsed: 3:05, vertices: 785, facets final: 673, pending: 99116, pool: 300
I  190.74] Elapsed: 3:11, vertices: 792, facets final: 673, pending: 99600, pool: 300
I  196.07] Elapsed: 3:16, vertices: 797, facets final: 673, pending: 99939, pool: 300
I  201.33] Elapsed: 3:21, vertices: 805, facets final: 675, pending: 100940, pool: 300
I  206.43] Elapsed: 3:26, vertices: 814, facets final: 675, pending: 102767, pool: 300
I  212.57] Elapsed: 3:33, vertices: 820, facets final: 676, pending: 105898, pool: 300
I  217.92] Elapsed: 3:38, vertices: 823, facets final: 676, pending: 105810, pool: 300
I  223.60] Elapsed: 3:44, vertices: 829, facets final: 676, pending: 107058, pool: 300
I  229.15] Elapsed: 3:49, vertices: 835, facets final: 677, pending: 108715, pool: 300
I  234.63] Elapsed: 3:55, vertices: 841, facets final: 677, pending: 110337, pool: 300
I  240.26] Elapsed: 4:00, vertices: 846, facets final: 677, pending: 111047, pool: 300
I  245.56] Elapsed: 4:06, vertices: 850, facets final: 677, pending: 111866, pool: 300
I  251.06] Elapsed: 4:11, vertices: 857, facets final: 678, pending: 112112, pool: 300
I  256.06] Elapsed: 4:16, vertices: 861, facets final: 678, pending: 113296, pool: 300
I  261.37] Elapsed: 4:21, vertices: 866, facets final: 679, pending: 112188, pool: 299
I  266.94] Elapsed: 4:27, vertices: 870, facets final: 679, pending: 113886, pool: 300
I  272.64] Elapsed: 4:33, vertices: 874, facets final: 679, pending: 114465, pool: 300
I  277.83] Elapsed: 4:38, vertices: 879, facets final: 679, pending: 114706, pool: 300
I  282.84] Elapsed: 4:43, vertices: 884, facets final: 679, pending: 115869, pool: 300
I  288.05] Elapsed: 4:48, vertices: 888, facets final: 679, pending: 115992, pool: 300
I  293.75] Elapsed: 4:54, vertices: 893, facets final: 679, pending: 117501, pool: 300
I  298.96] Elapsed: 4:59, vertices: 897, facets final: 679, pending: 118679, pool: 300
I  305.34] Elapsed: 5:05, vertices: 903, facets final: 679, pending: 120637, pool: 300
I  310.85] Elapsed: 5:11, vertices: 909, facets final: 679, pending: 121446, pool: 300
I  315.87] Elapsed: 5:16, vertices: 911, facets final: 679, pending: 120346, pool: 300
I  321.34] Elapsed: 5:21, vertices: 915, facets final: 680, pending: 121625, pool: 300
I  327.74] Elapsed: 5:28, vertices: 920, facets final: 680, pending: 122140, pool: 300
I  332.91] Elapsed: 5:33, vertices: 924, facets final: 680, pending: 123023, pool: 300
I  338.21] Elapsed: 5:38, vertices: 927, facets final: 680, pending: 123860, pool: 300
I  343.27] Elapsed: 5:43, vertices: 931, facets final: 680, pending: 123929, pool: 300
I  348.76] Elapsed: 5:49, vertices: 936, facets final: 681, pending: 125730, pool: 300
I  355.44] Elapsed: 5:55, vertices: 941, facets final: 681, pending: 125882, pool: 300
I  360.63] Elapsed: 6:01, vertices: 945, facets final: 681, pending: 127315, pool: 300
I  365.65] Elapsed: 6:06, vertices: 950, facets final: 682, pending: 128012, pool: 300
I  371.62] Elapsed: 6:12, vertices: 954, facets final: 682, pending: 129030, pool: 300
I  377.42] Elapsed: 6:17, vertices: 959, facets final: 682, pending: 129680, pool: 300
I  384.16] Elapsed: 6:24, vertices: 963, facets final: 683, pending: 131555, pool: 300
I  390.34] Elapsed: 6:30, vertices: 967, facets final: 683, pending: 132448, pool: 300
I  395.65] Elapsed: 6:36, vertices: 972, facets final: 684, pending: 132146, pool: 300
I  401.04] Elapsed: 6:41, vertices: 978, facets final: 684, pending: 134465, pool: 300
I  407.08] Elapsed: 6:47, vertices: 983, facets final: 684, pending: 133554, pool: 300
I  413.34] Elapsed: 6:53, vertices: 989, facets final: 684, pending: 134409, pool: 300
I  418.34] Elapsed: 6:58, vertices: 992, facets final: 684, pending: 135080, pool: 300
I  423.76] Elapsed: 7:04, vertices: 998, facets final: 684, pending: 135936, pool: 300
I  429.21] Elapsed: 7:09, vertices: 1004, facets final: 684, pending: 135811, pool: 300
I  434.47] Elapsed: 7:14, vertices: 1008, facets final: 684, pending: 137484, pool: 300
