C applying double rule rs=cd:ab;ar.br.cr.dr;a.b.c.dr for base30.txt
I    5.01] Elapsed: 5.01, vertices: 150, facets final: 19, pending: 9911, pool: 300
I   10.05] Elapsed: 10.05, vertices: 242, facets final: 26, pending: 19144, pool: 300
I   15.11] Elapsed: 15.11, vertices: 303, facets final: 30, pending: 22355, pool: 300
I   20.15] Elapsed: 20.15, vertices: 358, facets final: 36, pending: 26827, pool: 299
I   25.20] Elapsed: 25.20, vertices: 407, facets final: 41, pending: 28879, pool: 300
I   30.26] Elapsed: 30.26, vertices: 453, facets final: 50, pending: 30286, pool: 300
I   35.31] Elapsed: 35.31, vertices: 498, facets final: 62, pending: 32288, pool: 299
I   40.38] Elapsed: 40.38, vertices: 540, facets final: 71, pending: 34555, pool: 300
I   45.48] Elapsed: 45.48, vertices: 582, facets final: 81, pending: 35924, pool: 300
I   50.50] Elapsed: 50.50, vertices: 620, facets final: 88, pending: 37099, pool: 300
I   55.57] Elapsed: 55.57, vertices: 656, facets final: 98, pending: 38112, pool: 300
recalculate_facet: numerical instability at facet 58, coord 5 (1.94448e-06)
I   60.62] Elapsed: 1:01, vertices: 694, facets final: 108, pending: 40183, pool: 300
I   65.66] Elapsed: 1:06, vertices: 731, facets final: 113, pending: 41174, pool: 300
I   70.67] Elapsed: 1:11, vertices: 763, facets final: 120, pending: 43102, pool: 300
I   75.81] Elapsed: 1:16, vertices: 795, facets final: 127, pending: 44824, pool: 300
I   80.83] Elapsed: 1:21, vertices: 825, facets final: 131, pending: 46034, pool: 300
I   85.87] Elapsed: 1:26, vertices: 855, facets final: 133, pending: 46882, pool: 300
I   90.92] Elapsed: 1:31, vertices: 885, facets final: 137, pending: 48271, pool: 300
I   96.12] Elapsed: 1:36, vertices: 914, facets final: 140, pending: 49571, pool: 300
I  101.29] Elapsed: 1:41, vertices: 942, facets final: 142, pending: 50933, pool: 300
I  106.43] Elapsed: 1:46, vertices: 968, facets final: 145, pending: 51616, pool: 300
I  111.49] Elapsed: 1:51, vertices: 994, facets final: 149, pending: 52978, pool: 300
I  116.83] Elapsed: 1:57, vertices: 1019, facets final: 149, pending: 53973, pool: 300
I  121.96] Elapsed: 2:02, vertices: 1041, facets final: 149, pending: 54788, pool: 300
I  127.03] Elapsed: 2:07, vertices: 1061, facets final: 152, pending: 55788, pool: 300
I  132.29] Elapsed: 2:12, vertices: 1084, facets final: 157, pending: 56853, pool: 300
I  137.61] Elapsed: 2:18, vertices: 1108, facets final: 165, pending: 57585, pool: 300
I  142.83] Elapsed: 2:23, vertices: 1131, facets final: 167, pending: 58450, pool: 300
I  147.89] Elapsed: 2:28, vertices: 1152, facets final: 171, pending: 58819, pool: 299
I  153.01] Elapsed: 2:33, vertices: 1173, facets final: 173, pending: 60081, pool: 300
I  158.05] Elapsed: 2:38, vertices: 1194, facets final: 177, pending: 61070, pool: 300
I  163.13] Elapsed: 2:43, vertices: 1213, facets final: 183, pending: 61856, pool: 300
I  168.23] Elapsed: 2:48, vertices: 1232, facets final: 187, pending: 62646, pool: 300
I  173.25] Elapsed: 2:53, vertices: 1253, facets final: 192, pending: 63682, pool: 299
I  178.46] Elapsed: 2:58, vertices: 1274, facets final: 202, pending: 64211, pool: 300
I  183.50] Elapsed: 3:04, vertices: 1295, facets final: 206, pending: 65425, pool: 300
I  188.82] Elapsed: 3:09, vertices: 1315, facets final: 211, pending: 66019, pool: 300
I  194.13] Elapsed: 3:14, vertices: 1336, facets final: 214, pending: 66450, pool: 300
I  199.29] Elapsed: 3:19, vertices: 1354, facets final: 223, pending: 66900, pool: 300
I  204.48] Elapsed: 3:24, vertices: 1376, facets final: 228, pending: 67323, pool: 300
