C applying double rule rs=cd:ab;ar.br.cr.dr;a.b.cr.d for base30.txt
I    5.01] Elapsed: 5.01, vertices: 152, facets final: 22, pending: 10071, pool: 300
I   10.08] Elapsed: 10.08, vertices: 253, facets final: 28, pending: 16298, pool: 300
I   15.12] Elapsed: 15.12, vertices: 326, facets final: 44, pending: 21451, pool: 299
I   20.16] Elapsed: 20.16, vertices: 388, facets final: 46, pending: 25100, pool: 300
I   25.17] Elapsed: 25.17, vertices: 438, facets final: 53, pending: 27353, pool: 300
I   30.20] Elapsed: 30.20, vertices: 489, facets final: 64, pending: 29039, pool: 300
I   35.24] Elapsed: 35.24, vertices: 536, facets final: 78, pending: 32153, pool: 299
I   40.25] Elapsed: 40.25, vertices: 577, facets final: 92, pending: 34546, pool: 299
I   45.29] Elapsed: 45.29, vertices: 616, facets final: 99, pending: 36021, pool: 299
I   50.41] Elapsed: 50.41, vertices: 654, facets final: 103, pending: 38701, pool: 300
I   55.46] Elapsed: 55.46, vertices: 688, facets final: 112, pending: 41111, pool: 299
I   60.51] Elapsed: 1:01, vertices: 717, facets final: 117, pending: 42348, pool: 300
I   65.62] Elapsed: 1:06, vertices: 749, facets final: 129, pending: 43740, pool: 300
I   70.69] Elapsed: 1:11, vertices: 780, facets final: 136, pending: 46604, pool: 300
I   75.98] Elapsed: 1:16, vertices: 810, facets final: 142, pending: 48394, pool: 300
I   81.05] Elapsed: 1:21, vertices: 835, facets final: 147, pending: 49992, pool: 300
I   86.17] Elapsed: 1:26, vertices: 863, facets final: 148, pending: 51316, pool: 300
I   91.24] Elapsed: 1:31, vertices: 887, facets final: 152, pending: 52758, pool: 300
I   96.34] Elapsed: 1:36, vertices: 911, facets final: 155, pending: 54070, pool: 300
I  101.55] Elapsed: 1:42, vertices: 935, facets final: 156, pending: 55561, pool: 300
I  106.66] Elapsed: 1:47, vertices: 958, facets final: 158, pending: 57260, pool: 299
I  111.87] Elapsed: 1:52, vertices: 982, facets final: 165, pending: 58846, pool: 300
I  116.91] Elapsed: 1:57, vertices: 1004, facets final: 168, pending: 60270, pool: 300
I  122.02] Elapsed: 2:02, vertices: 1026, facets final: 171, pending: 61214, pool: 300
I  127.08] Elapsed: 2:07, vertices: 1045, facets final: 176, pending: 61582, pool: 300
I  132.18] Elapsed: 2:12, vertices: 1062, facets final: 180, pending: 62154, pool: 300
I  137.35] Elapsed: 2:17, vertices: 1082, facets final: 186, pending: 63028, pool: 300
I  142.51] Elapsed: 2:23, vertices: 1103, facets final: 194, pending: 63602, pool: 300
I  147.65] Elapsed: 2:28, vertices: 1119, facets final: 199, pending: 63775, pool: 300
I  153.09] Elapsed: 2:33, vertices: 1138, facets final: 204, pending: 64502, pool: 300
I  158.09] Elapsed: 2:38, vertices: 1157, facets final: 205, pending: 64893, pool: 300
I  163.21] Elapsed: 2:43, vertices: 1177, facets final: 207, pending: 64917, pool: 300
I  168.28] Elapsed: 2:48, vertices: 1197, facets final: 210, pending: 66135, pool: 300
I  173.61] Elapsed: 2:54, vertices: 1216, facets final: 214, pending: 67365, pool: 300
I  178.79] Elapsed: 2:59, vertices: 1234, facets final: 220, pending: 68626, pool: 300
I  183.94] Elapsed: 3:04, vertices: 1253, facets final: 225, pending: 70114, pool: 300
I  188.94] Elapsed: 3:09, vertices: 1273, facets final: 228, pending: 71214, pool: 300
I  194.07] Elapsed: 3:14, vertices: 1291, facets final: 233, pending: 71942, pool: 300
I  199.19] Elapsed: 3:19, vertices: 1308, facets final: 240, pending: 72365, pool: 300
I  204.43] Elapsed: 3:24, vertices: 1325, facets final: 249, pending: 72794, pool: 300
I  209.50] Elapsed: 3:30, vertices: 1342, facets final: 255, pending: 73438, pool: 300
I  214.50] Elapsed: 3:35, vertices: 1359, facets final: 261, pending: 73745, pool: 300
I  219.70] Elapsed: 3:40, vertices: 1377, facets final: 267, pending: 74515, pool: 300
I  224.88] Elapsed: 3:45, vertices: 1393, facets final: 274, pending: 74860, pool: 300
I  230.10] Elapsed: 3:50, vertices: 1409, facets final: 277, pending: 75657, pool: 300
I  235.10] Elapsed: 3:55, vertices: 1427, facets final: 283, pending: 76282, pool: 300
I  240.31] Elapsed: 4:00, vertices: 1442, facets final: 288, pending: 76341, pool: 300
I  245.36] Elapsed: 4:05, vertices: 1458, facets final: 289, pending: 77419, pool: 300
I  250.38] Elapsed: 4:10, vertices: 1475, facets final: 292, pending: 78114, pool: 300
I  255.43] Elapsed: 4:15, vertices: 1492, facets final: 294, pending: 78837, pool: 300
I  260.55] Elapsed: 4:21, vertices: 1503, facets final: 298, pending: 79096, pool: 300
I  265.58] Elapsed: 4:26, vertices: 1518, facets final: 303, pending: 79500, pool: 300
I  270.67] Elapsed: 4:31, vertices: 1533, facets final: 308, pending: 79888, pool: 300
I  275.67] Elapsed: 4:36, vertices: 1547, facets final: 313, pending: 80319, pool: 300
I  281.02] Elapsed: 4:41, vertices: 1563, facets final: 319, pending: 81031, pool: 300
I  286.27] Elapsed: 4:46, vertices: 1579, facets final: 322, pending: 81905, pool: 300
I  291.43] Elapsed: 4:51, vertices: 1593, facets final: 325, pending: 82685, pool: 300
I  296.64] Elapsed: 4:57, vertices: 1609, facets final: 331, pending: 83304, pool: 300
I  301.85] Elapsed: 5:02, vertices: 1624, facets final: 338, pending: 83900, pool: 300
I  306.96] Elapsed: 5:07, vertices: 1638, facets final: 343, pending: 84360, pool: 300
I  312.11] Elapsed: 5:12, vertices: 1651, facets final: 346, pending: 85017, pool: 300
I  317.33] Elapsed: 5:17, vertices: 1665, facets final: 349, pending: 86012, pool: 300
I  322.64] Elapsed: 5:23, vertices: 1678, facets final: 355, pending: 86078, pool: 300
I  327.70] Elapsed: 5:28, vertices: 1690, facets final: 358, pending: 86686, pool: 300
I  332.75] Elapsed: 5:33, vertices: 1702, facets final: 360, pending: 87022, pool: 300
I  338.05] Elapsed: 5:38, vertices: 1715, facets final: 366, pending: 87173, pool: 300
I  343.28] Elapsed: 5:43, vertices: 1728, facets final: 374, pending: 87785, pool: 300
I  348.92] Elapsed: 5:49, vertices: 1741, facets final: 381, pending: 88215, pool: 300
I  354.01] Elapsed: 5:54, vertices: 1753, facets final: 386, pending: 88387, pool: 300
I  359.26] Elapsed: 5:59, vertices: 1769, facets final: 391, pending: 88729, pool: 300
I  364.49] Elapsed: 6:04, vertices: 1783, facets final: 402, pending: 89359, pool: 300
I  370.04] Elapsed: 6:10, vertices: 1797, facets final: 405, pending: 90046, pool: 300
I  375.31] Elapsed: 6:15, vertices: 1809, facets final: 410, pending: 90170, pool: 300
I  380.37] Elapsed: 6:20, vertices: 1823, facets final: 415, pending: 90357, pool: 300
I  385.60] Elapsed: 6:26, vertices: 1835, facets final: 417, pending: 90893, pool: 300
I  390.67] Elapsed: 6:31, vertices: 1848, facets final: 427, pending: 91314, pool: 300
I  395.79] Elapsed: 6:36, vertices: 1861, facets final: 429, pending: 92499, pool: 300
I  401.07] Elapsed: 6:41, vertices: 1875, facets final: 436, pending: 92945, pool: 300
I  406.29] Elapsed: 6:46, vertices: 1890, facets final: 440, pending: 93130, pool: 300
I  411.55] Elapsed: 6:52, vertices: 1903, facets final: 443, pending: 93160, pool: 300
I  416.63] Elapsed: 6:57, vertices: 1916, facets final: 450, pending: 93491, pool: 300
I  421.73] Elapsed: 7:02, vertices: 1928, facets final: 456, pending: 93831, pool: 300
I  426.79] Elapsed: 7:07, vertices: 1940, facets final: 460, pending: 94045, pool: 299
I  432.06] Elapsed: 7:12, vertices: 1955, facets final: 464, pending: 94322, pool: 300
I  437.15] Elapsed: 7:17, vertices: 1966, facets final: 471, pending: 95021, pool: 300
I  442.30] Elapsed: 7:22, vertices: 1980, facets final: 473, pending: 95053, pool: 300
I  447.62] Elapsed: 7:28, vertices: 1991, facets final: 480, pending: 95877, pool: 300
I  452.69] Elapsed: 7:33, vertices: 2001, facets final: 482, pending: 96063, pool: 300
I  457.97] Elapsed: 7:38, vertices: 2012, facets final: 487, pending: 96983, pool: 300
I  463.16] Elapsed: 7:43, vertices: 2022, facets final: 489, pending: 97217, pool: 300
I  468.27] Elapsed: 7:48, vertices: 2034, facets final: 493, pending: 97434, pool: 300
I  473.47] Elapsed: 7:53, vertices: 2047, facets final: 495, pending: 97729, pool: 300
I  478.47] Elapsed: 7:58, vertices: 2057, facets final: 497, pending: 98062, pool: 300
I  483.72] Elapsed: 8:04, vertices: 2070, facets final: 507, pending: 98580, pool: 300
I  488.83] Elapsed: 8:09, vertices: 2081, facets final: 519, pending: 99050, pool: 300
I  495.30] Elapsed: 8:15, vertices: 2092, facets final: 526, pending: 99253, pool: 300
I  500.49] Elapsed: 8:20, vertices: 2104, facets final: 532, pending: 99582, pool: 300
I  505.66] Elapsed: 8:26, vertices: 2115, facets final: 537, pending: 100039, pool: 300
I  510.72] Elapsed: 8:31, vertices: 2127, facets final: 538, pending: 100288, pool: 300
I  516.05] Elapsed: 8:36, vertices: 2139, facets final: 544, pending: 101006, pool: 300
I  521.11] Elapsed: 8:41, vertices: 2148, facets final: 547, pending: 101264, pool: 300
I  526.57] Elapsed: 8:47, vertices: 2160, facets final: 553, pending: 101671, pool: 300
I  531.80] Elapsed: 8:52, vertices: 2172, facets final: 554, pending: 102192, pool: 300
I  536.89] Elapsed: 8:57, vertices: 2183, facets final: 559, pending: 102628, pool: 300
I  542.19] Elapsed: 9:02, vertices: 2195, facets final: 562, pending: 102973, pool: 299
I  547.39] Elapsed: 9:07, vertices: 2207, facets final: 568, pending: 103240, pool: 300
I  552.76] Elapsed: 9:13, vertices: 2218, facets final: 572, pending: 103302, pool: 300
I  557.98] Elapsed: 9:18, vertices: 2228, facets final: 573, pending: 103611, pool: 300
I  563.45] Elapsed: 9:23, vertices: 2241, facets final: 581, pending: 103941, pool: 300
I  568.59] Elapsed: 9:29, vertices: 2252, facets final: 584, pending: 104478, pool: 300
I  573.64] Elapsed: 9:34, vertices: 2262, facets final: 587, pending: 104768, pool: 300
I  578.74] Elapsed: 9:39, vertices: 2272, facets final: 594, pending: 104976, pool: 300
I  583.84] Elapsed: 9:44, vertices: 2284, facets final: 596, pending: 105308, pool: 300
I  588.96] Elapsed: 9:49, vertices: 2296, facets final: 602, pending: 105694, pool: 300
I  594.26] Elapsed: 9:54, vertices: 2305, facets final: 604, pending: 106169, pool: 300
I  599.72] Elapsed: 10:00, vertices: 2318, facets final: 607, pending: 106339, pool: 300
I  604.76] Elapsed: 10:05, vertices: 2327, facets final: 612, pending: 106587, pool: 300
I  610.02] Elapsed: 10:10, vertices: 2338, facets final: 614, pending: 106803, pool: 300
I  615.22] Elapsed: 10:15, vertices: 2349, facets final: 621, pending: 107253, pool: 300
I  620.29] Elapsed: 10:20, vertices: 2360, facets final: 624, pending: 107472, pool: 300
I  625.77] Elapsed: 10:26, vertices: 2369, facets final: 630, pending: 107465, pool: 300
I  631.04] Elapsed: 10:31, vertices: 2379, facets final: 635, pending: 107699, pool: 300
I  636.38] Elapsed: 10:36, vertices: 2390, facets final: 639, pending: 107764, pool: 300
I  641.78] Elapsed: 10:42, vertices: 2399, facets final: 642, pending: 108094, pool: 300
I  647.04] Elapsed: 10:47, vertices: 2407, facets final: 644, pending: 108874, pool: 299
I  652.42] Elapsed: 10:52, vertices: 2419, facets final: 648, pending: 109102, pool: 300
I  657.61] Elapsed: 10:58, vertices: 2427, facets final: 651, pending: 109742, pool: 300
