C applying double rule rs=cd:ab;ar.br.c.dr;ar.br.cr.d for base30.txt
I    5.03] Elapsed: 5.03, vertices: 150, facets final: 18, pending: 10099, pool: 299
I   10.06] Elapsed: 10.06, vertices: 242, facets final: 19, pending: 18239, pool: 300
I   15.13] Elapsed: 15.13, vertices: 308, facets final: 20, pending: 23934, pool: 299
I   20.16] Elapsed: 20.16, vertices: 359, facets final: 22, pending: 27759, pool: 300
I   25.22] Elapsed: 25.22, vertices: 406, facets final: 27, pending: 31454, pool: 300
I   30.33] Elapsed: 30.33, vertices: 447, facets final: 30, pending: 33583, pool: 300
I   35.40] Elapsed: 35.40, vertices: 487, facets final: 35, pending: 35991, pool: 300
I   40.55] Elapsed: 40.55, vertices: 526, facets final: 40, pending: 38541, pool: 300
I   45.63] Elapsed: 45.63, vertices: 561, facets final: 44, pending: 39858, pool: 300
I   50.67] Elapsed: 50.67, vertices: 591, facets final: 50, pending: 42461, pool: 300
I   55.76] Elapsed: 55.76, vertices: 623, facets final: 52, pending: 44537, pool: 299
I   60.80] Elapsed: 1:01, vertices: 653, facets final: 57, pending: 46235, pool: 300
I   65.83] Elapsed: 1:06, vertices: 681, facets final: 63, pending: 48189, pool: 300
I   70.94] Elapsed: 1:11, vertices: 711, facets final: 65, pending: 49024, pool: 300
I   76.04] Elapsed: 1:16, vertices: 738, facets final: 69, pending: 50240, pool: 300
I   81.11] Elapsed: 1:21, vertices: 765, facets final: 72, pending: 51773, pool: 300
I   86.32] Elapsed: 1:26, vertices: 794, facets final: 76, pending: 53376, pool: 300
I   91.50] Elapsed: 1:32, vertices: 819, facets final: 82, pending: 53952, pool: 300
I   96.50] Elapsed: 1:37, vertices: 844, facets final: 89, pending: 54895, pool: 300
I  101.71] Elapsed: 1:42, vertices: 870, facets final: 95, pending: 55518, pool: 300
I  106.77] Elapsed: 1:47, vertices: 894, facets final: 101, pending: 55775, pool: 300
I  111.92] Elapsed: 1:52, vertices: 919, facets final: 109, pending: 56737, pool: 300
I  116.93] Elapsed: 1:57, vertices: 942, facets final: 111, pending: 58167, pool: 300
I  121.95] Elapsed: 2:02, vertices: 966, facets final: 114, pending: 58956, pool: 300
I  127.06] Elapsed: 2:07, vertices: 989, facets final: 118, pending: 59639, pool: 300
I  132.20] Elapsed: 2:12, vertices: 1013, facets final: 123, pending: 60318, pool: 300
I  137.41] Elapsed: 2:17, vertices: 1033, facets final: 129, pending: 60589, pool: 300
I  142.57] Elapsed: 2:23, vertices: 1052, facets final: 132, pending: 61226, pool: 300
I  147.60] Elapsed: 2:28, vertices: 1073, facets final: 134, pending: 61472, pool: 300
I  152.87] Elapsed: 2:33, vertices: 1092, facets final: 139, pending: 62295, pool: 300
I  157.91] Elapsed: 2:38, vertices: 1111, facets final: 142, pending: 62635, pool: 300
I  163.17] Elapsed: 2:43, vertices: 1130, facets final: 146, pending: 63458, pool: 300
I  168.35] Elapsed: 2:48, vertices: 1151, facets final: 147, pending: 63991, pool: 300
I  173.55] Elapsed: 2:54, vertices: 1172, facets final: 150, pending: 65042, pool: 300
I  178.70] Elapsed: 2:59, vertices: 1193, facets final: 158, pending: 65485, pool: 299
I  183.92] Elapsed: 3:04, vertices: 1214, facets final: 162, pending: 65617, pool: 300
I  189.10] Elapsed: 3:09, vertices: 1235, facets final: 166, pending: 65647, pool: 300
I  194.17] Elapsed: 3:14, vertices: 1255, facets final: 169, pending: 66074, pool: 300
I  199.20] Elapsed: 3:19, vertices: 1274, facets final: 174, pending: 66449, pool: 300
I  204.40] Elapsed: 3:24, vertices: 1293, facets final: 178, pending: 67087, pool: 300
I  209.54] Elapsed: 3:30, vertices: 1312, facets final: 184, pending: 67978, pool: 300
I  214.74] Elapsed: 3:35, vertices: 1333, facets final: 191, pending: 69167, pool: 300
I  219.90] Elapsed: 3:40, vertices: 1352, facets final: 195, pending: 69441, pool: 300
I  225.08] Elapsed: 3:45, vertices: 1371, facets final: 200, pending: 69227, pool: 300
I  230.08] Elapsed: 3:50, vertices: 1389, facets final: 207, pending: 69006, pool: 300
I  235.23] Elapsed: 3:55, vertices: 1407, facets final: 209, pending: 69261, pool: 300
I  240.36] Elapsed: 4:00, vertices: 1425, facets final: 213, pending: 69567, pool: 300
I  245.64] Elapsed: 4:06, vertices: 1444, facets final: 213, pending: 69958, pool: 300
I  250.83] Elapsed: 4:11, vertices: 1464, facets final: 224, pending: 70467, pool: 300
I  256.00] Elapsed: 4:16, vertices: 1482, facets final: 233, pending: 70538, pool: 300
I  261.20] Elapsed: 4:21, vertices: 1498, facets final: 234, pending: 70775, pool: 300
I  266.33] Elapsed: 4:26, vertices: 1516, facets final: 237, pending: 71450, pool: 300
I  271.48] Elapsed: 4:31, vertices: 1535, facets final: 240, pending: 72079, pool: 300
I  276.59] Elapsed: 4:37, vertices: 1553, facets final: 244, pending: 72391, pool: 300
I  281.60] Elapsed: 4:42, vertices: 1570, facets final: 246, pending: 72439, pool: 300
I  286.60] Elapsed: 4:47, vertices: 1588, facets final: 250, pending: 72540, pool: 300
I  291.73] Elapsed: 4:52, vertices: 1602, facets final: 257, pending: 72368, pool: 300
I  296.84] Elapsed: 4:57, vertices: 1620, facets final: 260, pending: 72667, pool: 300
I  301.93] Elapsed: 5:02, vertices: 1637, facets final: 264, pending: 72968, pool: 299
I  306.94] Elapsed: 5:07, vertices: 1653, facets final: 269, pending: 73148, pool: 300
I  312.15] Elapsed: 5:12, vertices: 1671, facets final: 271, pending: 73203, pool: 300
I  317.31] Elapsed: 5:17, vertices: 1687, facets final: 271, pending: 73260, pool: 299
I  322.58] Elapsed: 5:23, vertices: 1704, facets final: 274, pending: 73397, pool: 300
I  327.86] Elapsed: 5:28, vertices: 1722, facets final: 277, pending: 74020, pool: 300
I  332.89] Elapsed: 5:33, vertices: 1737, facets final: 284, pending: 74218, pool: 300
I  337.93] Elapsed: 5:38, vertices: 1754, facets final: 286, pending: 74419, pool: 300
recalculate_facet: numerical instability at facet 15, coord 0 (-1.04139e-06)
I  343.15] Elapsed: 5:43, vertices: 1772, facets final: 294, pending: 74417, pool: 300
I  348.23] Elapsed: 5:48, vertices: 1790, facets final: 294, pending: 74668, pool: 300
I  353.42] Elapsed: 5:53, vertices: 1808, facets final: 297, pending: 74870, pool: 300
I  358.51] Elapsed: 5:59, vertices: 1824, facets final: 303, pending: 74941, pool: 300
I  363.51] Elapsed: 6:04, vertices: 1841, facets final: 313, pending: 74928, pool: 300
I  369.14] Elapsed: 6:09, vertices: 1858, facets final: 317, pending: 75028, pool: 300
I  374.26] Elapsed: 6:14, vertices: 1876, facets final: 318, pending: 74955, pool: 299
I  379.29] Elapsed: 6:19, vertices: 1893, facets final: 322, pending: 75419, pool: 300
I  384.39] Elapsed: 6:24, vertices: 1911, facets final: 327, pending: 75547, pool: 300
I  389.63] Elapsed: 6:30, vertices: 1927, facets final: 331, pending: 76054, pool: 300
I  394.88] Elapsed: 6:35, vertices: 1943, facets final: 334, pending: 76049, pool: 300
I  400.09] Elapsed: 6:40, vertices: 1960, facets final: 336, pending: 75845, pool: 300
I  405.09] Elapsed: 6:45, vertices: 1977, facets final: 342, pending: 76480, pool: 300
I  410.31] Elapsed: 6:50, vertices: 1995, facets final: 346, pending: 76779, pool: 300
I  415.35] Elapsed: 6:55, vertices: 2010, facets final: 349, pending: 76735, pool: 300
