C applying double rule rs=cd:ab;a.b.cr.d;a.b.c.dr for base30.txt
I    5.00] Elapsed: 5.00, vertices: 170, facets final: 48, pending: 8897, pool: 298
I   10.04] Elapsed: 10.04, vertices: 279, facets final: 66, pending: 16800, pool: 300
I   15.09] Elapsed: 15.09, vertices: 353, facets final: 81, pending: 22672, pool: 300
I   20.12] Elapsed: 20.12, vertices: 409, facets final: 99, pending: 26814, pool: 300
I   25.17] Elapsed: 25.17, vertices: 461, facets final: 110, pending: 30377, pool: 300
I   30.17] Elapsed: 30.17, vertices: 509, facets final: 117, pending: 33434, pool: 300
I   35.19] Elapsed: 35.19, vertices: 550, facets final: 125, pending: 35826, pool: 300
I   40.23] Elapsed: 40.23, vertices: 591, facets final: 136, pending: 38779, pool: 300
I   45.28] Elapsed: 45.28, vertices: 628, facets final: 147, pending: 42143, pool: 300
I   50.28] Elapsed: 50.28, vertices: 660, facets final: 154, pending: 44547, pool: 300
I   55.29] Elapsed: 55.29, vertices: 691, facets final: 159, pending: 46529, pool: 299
I   60.35] Elapsed: 1:00, vertices: 723, facets final: 164, pending: 48360, pool: 300
I   65.45] Elapsed: 1:05, vertices: 753, facets final: 171, pending: 50922, pool: 299
I   70.51] Elapsed: 1:11, vertices: 780, facets final: 178, pending: 52484, pool: 300
I   75.59] Elapsed: 1:16, vertices: 807, facets final: 188, pending: 54189, pool: 300
I   80.63] Elapsed: 1:21, vertices: 832, facets final: 195, pending: 56252, pool: 300
I   85.71] Elapsed: 1:26, vertices: 857, facets final: 201, pending: 57712, pool: 300
I   90.91] Elapsed: 1:31, vertices: 881, facets final: 204, pending: 59433, pool: 300
I   96.05] Elapsed: 1:36, vertices: 904, facets final: 211, pending: 60461, pool: 300
I  101.10] Elapsed: 1:41, vertices: 926, facets final: 212, pending: 61941, pool: 300
I  106.11] Elapsed: 1:46, vertices: 947, facets final: 218, pending: 63655, pool: 300
I  111.25] Elapsed: 1:51, vertices: 969, facets final: 221, pending: 65131, pool: 300
I  116.48] Elapsed: 1:56, vertices: 990, facets final: 226, pending: 66903, pool: 300
I  121.48] Elapsed: 2:01, vertices: 1010, facets final: 233, pending: 68064, pool: 300
I  126.67] Elapsed: 2:07, vertices: 1028, facets final: 237, pending: 69190, pool: 300
I  131.73] Elapsed: 2:12, vertices: 1046, facets final: 240, pending: 70801, pool: 299
I  137.07] Elapsed: 2:17, vertices: 1064, facets final: 246, pending: 72302, pool: 300
I  142.26] Elapsed: 2:22, vertices: 1081, facets final: 249, pending: 73397, pool: 300
I  147.34] Elapsed: 2:27, vertices: 1096, facets final: 253, pending: 74470, pool: 300
I  152.43] Elapsed: 2:32, vertices: 1112, facets final: 257, pending: 74824, pool: 300
I  157.60] Elapsed: 2:38, vertices: 1128, facets final: 260, pending: 75984, pool: 300
I  162.64] Elapsed: 2:43, vertices: 1143, facets final: 261, pending: 75872, pool: 300
I  167.64] Elapsed: 2:48, vertices: 1157, facets final: 265, pending: 76358, pool: 300
I  172.73] Elapsed: 2:53, vertices: 1174, facets final: 268, pending: 77262, pool: 300
I  177.82] Elapsed: 2:58, vertices: 1190, facets final: 279, pending: 78095, pool: 300
I  183.00] Elapsed: 3:03, vertices: 1205, facets final: 285, pending: 78601, pool: 300
I  188.18] Elapsed: 3:08, vertices: 1222, facets final: 294, pending: 79390, pool: 300
I  193.25] Elapsed: 3:13, vertices: 1237, facets final: 298, pending: 79449, pool: 300
I  198.42] Elapsed: 3:18, vertices: 1254, facets final: 300, pending: 80448, pool: 300
I  203.44] Elapsed: 3:23, vertices: 1271, facets final: 305, pending: 81304, pool: 300
I  208.65] Elapsed: 3:29, vertices: 1287, facets final: 313, pending: 81691, pool: 300
I  213.67] Elapsed: 3:34, vertices: 1303, facets final: 313, pending: 82501, pool: 300
I  218.90] Elapsed: 3:39, vertices: 1320, facets final: 320, pending: 83432, pool: 300
I  224.13] Elapsed: 3:44, vertices: 1335, facets final: 322, pending: 84084, pool: 300
I  229.36] Elapsed: 3:49, vertices: 1349, facets final: 322, pending: 85046, pool: 300
I  234.63] Elapsed: 3:55, vertices: 1362, facets final: 324, pending: 86344, pool: 300
I  239.67] Elapsed: 4:00, vertices: 1377, facets final: 329, pending: 87341, pool: 300
I  244.67] Elapsed: 4:05, vertices: 1391, facets final: 335, pending: 87996, pool: 300
I  249.72] Elapsed: 4:10, vertices: 1405, facets final: 337, pending: 88191, pool: 300
I  254.78] Elapsed: 4:15, vertices: 1420, facets final: 341, pending: 88730, pool: 300
I  259.85] Elapsed: 4:20, vertices: 1434, facets final: 347, pending: 89778, pool: 300
I  264.92] Elapsed: 4:25, vertices: 1446, facets final: 353, pending: 90211, pool: 300
I  270.20] Elapsed: 4:30, vertices: 1461, facets final: 357, pending: 91493, pool: 300
I  275.20] Elapsed: 4:35, vertices: 1475, facets final: 363, pending: 92364, pool: 300
I  280.48] Elapsed: 4:40, vertices: 1487, facets final: 368, pending: 93412, pool: 300
I  285.50] Elapsed: 4:46, vertices: 1500, facets final: 373, pending: 93763, pool: 300
I  290.57] Elapsed: 4:51, vertices: 1513, facets final: 376, pending: 94252, pool: 300
I  295.63] Elapsed: 4:56, vertices: 1526, facets final: 380, pending: 95117, pool: 300
I  300.78] Elapsed: 5:01, vertices: 1539, facets final: 384, pending: 95639, pool: 300
I  306.11] Elapsed: 5:06, vertices: 1552, facets final: 386, pending: 96485, pool: 300
I  311.17] Elapsed: 5:11, vertices: 1565, facets final: 392, pending: 97104, pool: 299
I  316.54] Elapsed: 5:17, vertices: 1579, facets final: 395, pending: 97876, pool: 300
I  321.85] Elapsed: 5:22, vertices: 1592, facets final: 400, pending: 98500, pool: 300
I  327.01] Elapsed: 5:27, vertices: 1604, facets final: 403, pending: 98782, pool: 300
I  332.17] Elapsed: 5:32, vertices: 1615, facets final: 406, pending: 99646, pool: 300
I  337.47] Elapsed: 5:37, vertices: 1628, facets final: 411, pending: 100186, pool: 300
I  342.59] Elapsed: 5:43, vertices: 1639, facets final: 412, pending: 100497, pool: 300
I  347.80] Elapsed: 5:48, vertices: 1651, facets final: 420, pending: 101236, pool: 300
I  353.07] Elapsed: 5:53, vertices: 1663, facets final: 422, pending: 101798, pool: 300
I  358.26] Elapsed: 5:58, vertices: 1674, facets final: 423, pending: 102090, pool: 300
I  363.32] Elapsed: 6:03, vertices: 1687, facets final: 428, pending: 102551, pool: 299
I  368.33] Elapsed: 6:08, vertices: 1697, facets final: 436, pending: 102799, pool: 300
I  373.74] Elapsed: 6:14, vertices: 1707, facets final: 441, pending: 103278, pool: 300
I  379.45] Elapsed: 6:19, vertices: 1716, facets final: 452, pending: 103717, pool: 300
I  384.67] Elapsed: 6:25, vertices: 1727, facets final: 456, pending: 104068, pool: 300
I  389.78] Elapsed: 6:30, vertices: 1738, facets final: 460, pending: 104415, pool: 300
I  395.04] Elapsed: 6:35, vertices: 1748, facets final: 462, pending: 105168, pool: 300
I  401.00] Elapsed: 6:41, vertices: 1759, facets final: 464, pending: 105322, pool: 300
I  406.28] Elapsed: 6:46, vertices: 1771, facets final: 471, pending: 105454, pool: 300
I  411.56] Elapsed: 6:52, vertices: 1782, facets final: 472, pending: 106080, pool: 300
I  417.04] Elapsed: 6:57, vertices: 1794, facets final: 476, pending: 106497, pool: 300
I  422.34] Elapsed: 7:02, vertices: 1805, facets final: 481, pending: 107195, pool: 300
I  427.90] Elapsed: 7:08, vertices: 1816, facets final: 482, pending: 107630, pool: 300
I  433.40] Elapsed: 7:13, vertices: 1826, facets final: 485, pending: 108182, pool: 300
I  438.73] Elapsed: 7:19, vertices: 1837, facets final: 487, pending: 108211, pool: 300
I  444.00] Elapsed: 7:24, vertices: 1848, facets final: 493, pending: 109112, pool: 300
I  449.31] Elapsed: 7:29, vertices: 1859, facets final: 499, pending: 109519, pool: 300
I  454.54] Elapsed: 7:35, vertices: 1869, facets final: 511, pending: 110130, pool: 300
I  459.58] Elapsed: 7:40, vertices: 1880, facets final: 513, pending: 110499, pool: 300
I  464.67] Elapsed: 7:45, vertices: 1890, facets final: 517, pending: 111375, pool: 300
I  469.72] Elapsed: 7:50, vertices: 1900, facets final: 522, pending: 111757, pool: 300
I  475.08] Elapsed: 7:55, vertices: 1911, facets final: 523, pending: 112141, pool: 300
I  480.35] Elapsed: 8:00, vertices: 1921, facets final: 526, pending: 112648, pool: 299
I  485.61] Elapsed: 8:06, vertices: 1932, facets final: 530, pending: 112899, pool: 300
I  491.13] Elapsed: 8:11, vertices: 1942, facets final: 533, pending: 113307, pool: 300
I  496.34] Elapsed: 8:16, vertices: 1953, facets final: 536, pending: 114083, pool: 300
I  501.58] Elapsed: 8:22, vertices: 1963, facets final: 540, pending: 114459, pool: 300
I  506.69] Elapsed: 8:27, vertices: 1973, facets final: 545, pending: 114931, pool: 300
I  511.81] Elapsed: 8:32, vertices: 1983, facets final: 548, pending: 115321, pool: 300
I  517.09] Elapsed: 8:37, vertices: 1994, facets final: 551, pending: 115891, pool: 300
I  522.46] Elapsed: 8:42, vertices: 2003, facets final: 552, pending: 116322, pool: 300
I  527.69] Elapsed: 8:48, vertices: 2014, facets final: 559, pending: 116755, pool: 300
I  532.83] Elapsed: 8:53, vertices: 2024, facets final: 567, pending: 117079, pool: 300
I  537.84] Elapsed: 8:58, vertices: 2033, facets final: 568, pending: 117324, pool: 300
I  543.00] Elapsed: 9:03, vertices: 2043, facets final: 572, pending: 117805, pool: 300
I  548.04] Elapsed: 9:08, vertices: 2052, facets final: 577, pending: 118096, pool: 300
I  553.09] Elapsed: 9:13, vertices: 2061, facets final: 580, pending: 118085, pool: 300
I  558.32] Elapsed: 9:18, vertices: 2071, facets final: 586, pending: 118812, pool: 300
I  563.79] Elapsed: 9:24, vertices: 2081, facets final: 588, pending: 119250, pool: 300
I  569.14] Elapsed: 9:29, vertices: 2091, facets final: 590, pending: 119536, pool: 300
I  574.18] Elapsed: 9:34, vertices: 2100, facets final: 592, pending: 119745, pool: 300
I  579.57] Elapsed: 9:40, vertices: 2111, facets final: 597, pending: 120378, pool: 300
I  584.80] Elapsed: 9:45, vertices: 2120, facets final: 599, pending: 120550, pool: 300
I  589.88] Elapsed: 9:50, vertices: 2128, facets final: 602, pending: 121080, pool: 300
I  595.45] Elapsed: 9:55, vertices: 2139, facets final: 613, pending: 121653, pool: 300
I  600.63] Elapsed: 10:01, vertices: 2150, facets final: 618, pending: 121840, pool: 300
I  606.30] Elapsed: 10:06, vertices: 2159, facets final: 628, pending: 122095, pool: 300
I  611.46] Elapsed: 10:11, vertices: 2168, facets final: 631, pending: 122294, pool: 300
I  616.88] Elapsed: 10:17, vertices: 2177, facets final: 635, pending: 122588, pool: 300
I  622.04] Elapsed: 10:22, vertices: 2186, facets final: 637, pending: 123051, pool: 300
I  627.13] Elapsed: 10:27, vertices: 2195, facets final: 643, pending: 123246, pool: 300
I  632.44] Elapsed: 10:32, vertices: 2204, facets final: 645, pending: 123438, pool: 300
I  637.53] Elapsed: 10:38, vertices: 2211, facets final: 648, pending: 123557, pool: 300
I  642.59] Elapsed: 10:43, vertices: 2221, facets final: 651, pending: 124226, pool: 300
I  647.73] Elapsed: 10:48, vertices: 2231, facets final: 652, pending: 124272, pool: 300
I  652.87] Elapsed: 10:53, vertices: 2238, facets final: 655, pending: 124232, pool: 300
I  658.93] Elapsed: 10:59, vertices: 2245, facets final: 658, pending: 124503, pool: 300
I  664.12] Elapsed: 11:04, vertices: 2254, facets final: 660, pending: 124927, pool: 300
I  669.46] Elapsed: 11:09, vertices: 2264, facets final: 666, pending: 124976, pool: 300
I  674.55] Elapsed: 11:15, vertices: 2273, facets final: 669, pending: 125919, pool: 300
I  679.80] Elapsed: 11:20, vertices: 2280, facets final: 670, pending: 126315, pool: 300
I  685.34] Elapsed: 11:25, vertices: 2289, facets final: 673, pending: 126568, pool: 300
I  690.99] Elapsed: 11:31, vertices: 2298, facets final: 676, pending: 126902, pool: 300
I  696.27] Elapsed: 11:36, vertices: 2307, facets final: 677, pending: 127041, pool: 300
I  701.63] Elapsed: 11:42, vertices: 2316, facets final: 680, pending: 127409, pool: 300
I  707.20] Elapsed: 11:47, vertices: 2325, facets final: 683, pending: 127753, pool: 300
I  712.53] Elapsed: 11:53, vertices: 2334, facets final: 690, pending: 128061, pool: 300
I  718.06] Elapsed: 11:58, vertices: 2342, facets final: 695, pending: 128285, pool: 300
I  723.20] Elapsed: 12:03, vertices: 2351, facets final: 698, pending: 128667, pool: 300
I  728.77] Elapsed: 12:09, vertices: 2361, facets final: 702, pending: 129160, pool: 300
I  734.08] Elapsed: 12:14, vertices: 2369, facets final: 703, pending: 129473, pool: 300
I  739.24] Elapsed: 12:19, vertices: 2378, facets final: 705, pending: 129603, pool: 300
I  744.26] Elapsed: 12:24, vertices: 2387, facets final: 711, pending: 130140, pool: 300
I  749.33] Elapsed: 12:29, vertices: 2395, facets final: 714, pending: 130519, pool: 300
I  754.33] Elapsed: 12:34, vertices: 2401, facets final: 716, pending: 130605, pool: 300
I  760.00] Elapsed: 12:40, vertices: 2409, facets final: 720, pending: 130947, pool: 300
I  765.10] Elapsed: 12:45, vertices: 2418, facets final: 722, pending: 131319, pool: 300
I  770.11] Elapsed: 12:50, vertices: 2425, facets final: 727, pending: 131561, pool: 300
I  775.58] Elapsed: 12:56, vertices: 2433, facets final: 729, pending: 131939, pool: 300
I  780.96] Elapsed: 13:01, vertices: 2443, facets final: 731, pending: 132328, pool: 300
I  786.57] Elapsed: 13:07, vertices: 2452, facets final: 735, pending: 132437, pool: 300
I  791.91] Elapsed: 13:12, vertices: 2459, facets final: 743, pending: 132200, pool: 300
I  796.97] Elapsed: 13:17, vertices: 2469, facets final: 746, pending: 132564, pool: 300
I  802.12] Elapsed: 13:22, vertices: 2478, facets final: 749, pending: 132642, pool: 300
I  807.39] Elapsed: 13:27, vertices: 2488, facets final: 753, pending: 132961, pool: 300
I  812.80] Elapsed: 13:33, vertices: 2497, facets final: 758, pending: 133296, pool: 300
I  818.29] Elapsed: 13:38, vertices: 2506, facets final: 760, pending: 133813, pool: 300
I  823.38] Elapsed: 13:43, vertices: 2513, facets final: 764, pending: 134011, pool: 300
I  828.78] Elapsed: 13:49, vertices: 2521, facets final: 768, pending: 134008, pool: 300
I  834.15] Elapsed: 13:54, vertices: 2528, facets final: 769, pending: 134274, pool: 300
I  839.15] Elapsed: 13:59, vertices: 2537, facets final: 773, pending: 134515, pool: 300
I  844.45] Elapsed: 14:04, vertices: 2544, facets final: 780, pending: 134392, pool: 300
I  850.18] Elapsed: 14:10, vertices: 2553, facets final: 783, pending: 134880, pool: 300
I  855.20] Elapsed: 14:15, vertices: 2561, facets final: 786, pending: 135084, pool: 300
I  860.42] Elapsed: 14:20, vertices: 2569, facets final: 796, pending: 135431, pool: 300
I  866.19] Elapsed: 14:26, vertices: 2578, facets final: 802, pending: 135608, pool: 300
I  871.23] Elapsed: 14:31, vertices: 2588, facets final: 812, pending: 136005, pool: 300
I  876.73] Elapsed: 14:37, vertices: 2597, facets final: 817, pending: 136107, pool: 300
I  881.86] Elapsed: 14:42, vertices: 2605, facets final: 821, pending: 136444, pool: 300
I  887.07] Elapsed: 14:47, vertices: 2613, facets final: 825, pending: 136753, pool: 300
I  892.09] Elapsed: 14:52, vertices: 2622, facets final: 829, pending: 136947, pool: 300
I  897.10] Elapsed: 14:57, vertices: 2631, facets final: 833, pending: 137170, pool: 300
