C applying double rule r=c:ab;s=a:bdr;ar.br.c.dr;ar.br.cr.d for base30.txt
I    5.01] Elapsed: 5.01, vertices: 145, facets final: 19, pending: 8850, pool: 299
I   10.02] Elapsed: 10.02, vertices: 250, facets final: 29, pending: 17049, pool: 299
I   15.02] Elapsed: 15.02, vertices: 319, facets final: 33, pending: 21102, pool: 298
I   20.05] Elapsed: 20.05, vertices: 381, facets final: 39, pending: 24560, pool: 300
I   25.05] Elapsed: 25.05, vertices: 434, facets final: 42, pending: 27843, pool: 299
I   30.12] Elapsed: 30.12, vertices: 485, facets final: 48, pending: 29967, pool: 300
I   35.14] Elapsed: 35.14, vertices: 530, facets final: 55, pending: 32735, pool: 300
I   40.17] Elapsed: 40.17, vertices: 571, facets final: 58, pending: 35724, pool: 300
I   45.24] Elapsed: 45.24, vertices: 610, facets final: 64, pending: 37498, pool: 299
I   50.43] Elapsed: 50.43, vertices: 644, facets final: 70, pending: 39598, pool: 300
I   55.51] Elapsed: 55.51, vertices: 680, facets final: 75, pending: 41139, pool: 300
I   60.63] Elapsed: 1:01, vertices: 713, facets final: 78, pending: 42501, pool: 300
I   65.71] Elapsed: 1:06, vertices: 743, facets final: 79, pending: 44364, pool: 300
I   70.77] Elapsed: 1:11, vertices: 772, facets final: 82, pending: 46024, pool: 300
I   75.90] Elapsed: 1:16, vertices: 800, facets final: 87, pending: 47706, pool: 300
I   81.04] Elapsed: 1:21, vertices: 824, facets final: 89, pending: 49896, pool: 300
I   86.25] Elapsed: 1:26, vertices: 850, facets final: 92, pending: 51637, pool: 300
I   91.28] Elapsed: 1:31, vertices: 873, facets final: 97, pending: 53077, pool: 300
I   96.31] Elapsed: 1:36, vertices: 896, facets final: 100, pending: 54998, pool: 299
I  101.58] Elapsed: 1:42, vertices: 919, facets final: 104, pending: 55953, pool: 300
I  106.62] Elapsed: 1:47, vertices: 941, facets final: 105, pending: 58484, pool: 300
I  111.70] Elapsed: 1:52, vertices: 961, facets final: 109, pending: 60102, pool: 300
I  117.10] Elapsed: 1:57, vertices: 980, facets final: 111, pending: 62083, pool: 300
I  122.24] Elapsed: 2:02, vertices: 999, facets final: 114, pending: 63648, pool: 299
I  127.42] Elapsed: 2:07, vertices: 1017, facets final: 114, pending: 65267, pool: 300
I  132.51] Elapsed: 2:13, vertices: 1030, facets final: 116, pending: 67090, pool: 300
I  137.72] Elapsed: 2:18, vertices: 1043, facets final: 119, pending: 68426, pool: 300
I  142.86] Elapsed: 2:23, vertices: 1056, facets final: 120, pending: 69604, pool: 300
I  148.23] Elapsed: 2:28, vertices: 1067, facets final: 123, pending: 71500, pool: 300
I  153.58] Elapsed: 2:34, vertices: 1080, facets final: 124, pending: 73443, pool: 300
I  159.19] Elapsed: 2:39, vertices: 1093, facets final: 125, pending: 74812, pool: 300
I  164.40] Elapsed: 2:44, vertices: 1104, facets final: 127, pending: 76342, pool: 300
I  169.41] Elapsed: 2:49, vertices: 1118, facets final: 128, pending: 77680, pool: 300
I  174.82] Elapsed: 2:55, vertices: 1127, facets final: 128, pending: 78758, pool: 300
I  180.54] Elapsed: 3:01, vertices: 1140, facets final: 130, pending: 79883, pool: 300
I  186.05] Elapsed: 3:06, vertices: 1152, facets final: 130, pending: 81525, pool: 300
I  191.07] Elapsed: 3:11, vertices: 1163, facets final: 131, pending: 82763, pool: 300
I  196.65] Elapsed: 3:17, vertices: 1175, facets final: 131, pending: 83716, pool: 300
I  202.16] Elapsed: 3:22, vertices: 1187, facets final: 132, pending: 85254, pool: 300
I  207.50] Elapsed: 3:28, vertices: 1195, facets final: 134, pending: 86581, pool: 300
I  213.55] Elapsed: 3:34, vertices: 1205, facets final: 134, pending: 87556, pool: 300
I  219.23] Elapsed: 3:39, vertices: 1217, facets final: 136, pending: 88663, pool: 300
I  224.59] Elapsed: 3:45, vertices: 1228, facets final: 137, pending: 89858, pool: 300
I  229.68] Elapsed: 3:50, vertices: 1238, facets final: 137, pending: 90029, pool: 300
I  234.94] Elapsed: 3:55, vertices: 1249, facets final: 139, pending: 91262, pool: 299
I  240.25] Elapsed: 4:00, vertices: 1263, facets final: 139, pending: 92590, pool: 300
