C applying double rule r=c:ab;s=a:bdr;a.b.cr.d;a.b.c.dr for base30.txt
I    5.00] Elapsed: 5.00, vertices: 148, facets final: 32, pending: 9401, pool: 300
I   10.05] Elapsed: 10.05, vertices: 252, facets final: 62, pending: 17504, pool: 300
I   15.12] Elapsed: 15.12, vertices: 325, facets final: 78, pending: 22674, pool: 300
I   20.12] Elapsed: 20.12, vertices: 383, facets final: 98, pending: 27507, pool: 299
I   25.12] Elapsed: 25.12, vertices: 432, facets final: 126, pending: 30285, pool: 299
I   30.16] Elapsed: 30.16, vertices: 480, facets final: 147, pending: 33439, pool: 300
I   35.20] Elapsed: 35.20, vertices: 524, facets final: 167, pending: 36101, pool: 300
I   40.21] Elapsed: 40.21, vertices: 562, facets final: 196, pending: 39754, pool: 300
I   45.31] Elapsed: 45.31, vertices: 599, facets final: 220, pending: 41679, pool: 300
I   50.31] Elapsed: 50.31, vertices: 632, facets final: 236, pending: 43760, pool: 300
I   55.31] Elapsed: 55.31, vertices: 665, facets final: 254, pending: 46006, pool: 300
I   60.34] Elapsed: 1:00, vertices: 696, facets final: 276, pending: 47533, pool: 300
I   65.38] Elapsed: 1:05, vertices: 726, facets final: 297, pending: 49178, pool: 299
I   70.42] Elapsed: 1:10, vertices: 756, facets final: 312, pending: 50952, pool: 300
I   75.49] Elapsed: 1:15, vertices: 784, facets final: 334, pending: 52581, pool: 300
I   80.61] Elapsed: 1:21, vertices: 813, facets final: 351, pending: 54021, pool: 300
I   85.71] Elapsed: 1:26, vertices: 840, facets final: 364, pending: 55875, pool: 300
I   90.83] Elapsed: 1:31, vertices: 866, facets final: 389, pending: 57331, pool: 300
I   95.92] Elapsed: 1:36, vertices: 890, facets final: 410, pending: 58638, pool: 300
I  101.00] Elapsed: 1:41, vertices: 914, facets final: 431, pending: 59893, pool: 300
I  106.23] Elapsed: 1:46, vertices: 940, facets final: 446, pending: 61968, pool: 300
I  111.46] Elapsed: 1:51, vertices: 964, facets final: 467, pending: 62710, pool: 299
I  116.47] Elapsed: 1:56, vertices: 986, facets final: 482, pending: 63962, pool: 300
I  121.54] Elapsed: 2:02, vertices: 1008, facets final: 489, pending: 65220, pool: 300
I  126.68] Elapsed: 2:07, vertices: 1028, facets final: 506, pending: 66752, pool: 300
I  131.75] Elapsed: 2:12, vertices: 1047, facets final: 514, pending: 68098, pool: 299
I  136.75] Elapsed: 2:17, vertices: 1066, facets final: 526, pending: 68846, pool: 299
I  142.05] Elapsed: 2:22, vertices: 1085, facets final: 543, pending: 69928, pool: 300
I  147.21] Elapsed: 2:27, vertices: 1103, facets final: 558, pending: 70754, pool: 299
I  152.23] Elapsed: 2:32, vertices: 1121, facets final: 574, pending: 71665, pool: 300
I  157.38] Elapsed: 2:37, vertices: 1138, facets final: 587, pending: 72913, pool: 300
I  162.61] Elapsed: 2:43, vertices: 1157, facets final: 603, pending: 74184, pool: 300
I  167.97] Elapsed: 2:48, vertices: 1174, facets final: 611, pending: 75624, pool: 300
I  173.03] Elapsed: 2:53, vertices: 1191, facets final: 622, pending: 76973, pool: 300
I  178.08] Elapsed: 2:58, vertices: 1209, facets final: 634, pending: 77950, pool: 300
I  183.24] Elapsed: 3:03, vertices: 1225, facets final: 644, pending: 78611, pool: 300
I  188.29] Elapsed: 3:08, vertices: 1242, facets final: 649, pending: 79304, pool: 300
I  193.40] Elapsed: 3:13, vertices: 1260, facets final: 663, pending: 80263, pool: 299
I  198.45] Elapsed: 3:18, vertices: 1276, facets final: 668, pending: 80896, pool: 300
I  203.50] Elapsed: 3:24, vertices: 1293, facets final: 682, pending: 81514, pool: 300
I  208.82] Elapsed: 3:29, vertices: 1310, facets final: 691, pending: 82365, pool: 300
I  213.86] Elapsed: 3:34, vertices: 1326, facets final: 703, pending: 82821, pool: 300
I  219.09] Elapsed: 3:39, vertices: 1342, facets final: 723, pending: 83728, pool: 300
I  224.26] Elapsed: 3:44, vertices: 1357, facets final: 740, pending: 84740, pool: 300
I  229.33] Elapsed: 3:49, vertices: 1373, facets final: 748, pending: 85284, pool: 300
I  234.54] Elapsed: 3:55, vertices: 1389, facets final: 759, pending: 86215, pool: 300
I  239.74] Elapsed: 4:00, vertices: 1403, facets final: 769, pending: 87836, pool: 300
