C applying double rule rs=cd:ab;a.d.r.s;b.c.r.s for base30.txt
I    5.00] Elapsed: 5.00, vertices: 140, facets final: 76, pending: 9188, pool: 299
I   10.00] Elapsed: 10.00, vertices: 245, facets final: 95, pending: 15472, pool: 299
I   15.04] Elapsed: 15.04, vertices: 325, facets final: 106, pending: 19917, pool: 300
I   20.04] Elapsed: 20.04, vertices: 388, facets final: 116, pending: 23959, pool: 300
I   25.12] Elapsed: 25.12, vertices: 441, facets final: 127, pending: 27615, pool: 300
I   30.14] Elapsed: 30.14, vertices: 488, facets final: 141, pending: 30187, pool: 300
recalculate_facet: numerical instability at facet 24, coord 1 (-3.34842e-06)
recalculate_facet: numerical instability at facet 24, coord 2 (-1.47755e-06)
recalculate_facet: numerical instability at facet 24, coord 3 (-2.08659e-05)
recalculate_facet: numerical instability at facet 24, coord 4 (-7.19695e-06)
recalculate_facet: numerical instability at facet 24, coord 5 (4.64651e-05)
recalculate_facet: numerical instability at facet 24, coord 6 (-1.35763e-05)
recalculate_facet: numerical instability at facet 24, coord 8 (1.87306e-05)
recalculate_facet: numerical instability at facet 94, coord 1 (5.75562e-05)
recalculate_facet: numerical instability at facet 94, coord 2 (-2.79657e-06)
recalculate_facet: numerical instability at facet 94, coord 3 (1.11358e-05)
recalculate_facet: numerical instability at facet 94, coord 4 (1.75943e-05)
recalculate_facet: numerical instability at facet 94, coord 5 (-5.40736e-05)
recalculate_facet: numerical instability at facet 94, coord 6 (-2.9416e-05)
recalculate_facet: numerical instability at facet 94, coord 8 (-2.91011e-05)
I   35.14] Elapsed: 35.14, vertices: 533, facets final: 151, pending: 32384, pool: 300
I   40.15] Elapsed: 40.15, vertices: 575, facets final: 164, pending: 34197, pool: 300
I   45.18] Elapsed: 45.18, vertices: 614, facets final: 176, pending: 36169, pool: 300
I   50.20] Elapsed: 50.20, vertices: 649, facets final: 192, pending: 38829, pool: 300
I   55.31] Elapsed: 55.31, vertices: 684, facets final: 208, pending: 40810, pool: 300
I   60.34] Elapsed: 1:00, vertices: 717, facets final: 228, pending: 42059, pool: 300
I   65.35] Elapsed: 1:05, vertices: 749, facets final: 234, pending: 42727, pool: 300
I   70.46] Elapsed: 1:10, vertices: 781, facets final: 248, pending: 42944, pool: 300
I   75.46] Elapsed: 1:15, vertices: 814, facets final: 260, pending: 44033, pool: 300
I   80.46] Elapsed: 1:20, vertices: 846, facets final: 268, pending: 44895, pool: 300
I   85.65] Elapsed: 1:26, vertices: 878, facets final: 281, pending: 45987, pool: 300
I   90.82] Elapsed: 1:31, vertices: 909, facets final: 290, pending: 46481, pool: 300
I   95.92] Elapsed: 1:36, vertices: 938, facets final: 304, pending: 47677, pool: 300
I  100.95] Elapsed: 1:41, vertices: 967, facets final: 313, pending: 48104, pool: 300
I  105.97] Elapsed: 1:46, vertices: 996, facets final: 327, pending: 48352, pool: 300
I  111.00] Elapsed: 1:51, vertices: 1025, facets final: 336, pending: 49071, pool: 300
I  116.11] Elapsed: 1:56, vertices: 1052, facets final: 340, pending: 50066, pool: 300
I  121.12] Elapsed: 2:01, vertices: 1080, facets final: 351, pending: 50672, pool: 300
I  126.12] Elapsed: 2:06, vertices: 1105, facets final: 356, pending: 51372, pool: 300
I  131.18] Elapsed: 2:11, vertices: 1129, facets final: 363, pending: 51804, pool: 300
I  136.24] Elapsed: 2:16, vertices: 1157, facets final: 373, pending: 52199, pool: 300
I  141.27] Elapsed: 2:21, vertices: 1183, facets final: 380, pending: 53062, pool: 300
I  146.37] Elapsed: 2:26, vertices: 1209, facets final: 390, pending: 53665, pool: 300
I  151.54] Elapsed: 2:32, vertices: 1234, facets final: 404, pending: 53855, pool: 300
I  156.56] Elapsed: 2:37, vertices: 1259, facets final: 412, pending: 54193, pool: 300
I  161.68] Elapsed: 2:42, vertices: 1282, facets final: 423, pending: 54896, pool: 300
I  166.87] Elapsed: 2:47, vertices: 1307, facets final: 432, pending: 55170, pool: 300
I  172.01] Elapsed: 2:52, vertices: 1332, facets final: 440, pending: 55792, pool: 300
I  177.13] Elapsed: 2:57, vertices: 1358, facets final: 457, pending: 56229, pool: 300
I  182.13] Elapsed: 3:02, vertices: 1383, facets final: 466, pending: 56891, pool: 300
I  187.26] Elapsed: 3:07, vertices: 1407, facets final: 474, pending: 57022, pool: 300
I  192.35] Elapsed: 3:12, vertices: 1430, facets final: 490, pending: 57431, pool: 300
I  197.36] Elapsed: 3:17, vertices: 1453, facets final: 502, pending: 57901, pool: 300
I  202.47] Elapsed: 3:22, vertices: 1476, facets final: 514, pending: 57803, pool: 299
I  207.58] Elapsed: 3:28, vertices: 1500, facets final: 522, pending: 58316, pool: 300
I  212.63] Elapsed: 3:33, vertices: 1525, facets final: 535, pending: 58756, pool: 300
I  217.76] Elapsed: 3:38, vertices: 1548, facets final: 540, pending: 59498, pool: 300
I  222.86] Elapsed: 3:43, vertices: 1571, facets final: 555, pending: 59548, pool: 300
I  228.06] Elapsed: 3:48, vertices: 1594, facets final: 562, pending: 59848, pool: 300
I  233.16] Elapsed: 3:53, vertices: 1618, facets final: 571, pending: 59919, pool: 300
I  238.25] Elapsed: 3:58, vertices: 1640, facets final: 582, pending: 59871, pool: 299
I  243.29] Elapsed: 4:03, vertices: 1662, facets final: 593, pending: 59721, pool: 300
I  248.38] Elapsed: 4:08, vertices: 1684, facets final: 612, pending: 59903, pool: 300
I  253.42] Elapsed: 4:13, vertices: 1704, facets final: 620, pending: 60392, pool: 300
I  258.43] Elapsed: 4:18, vertices: 1727, facets final: 634, pending: 60694, pool: 300
I  263.43] Elapsed: 4:23, vertices: 1749, facets final: 648, pending: 61232, pool: 300
I  268.59] Elapsed: 4:29, vertices: 1770, facets final: 658, pending: 61689, pool: 300
I  273.69] Elapsed: 4:34, vertices: 1791, facets final: 678, pending: 62153, pool: 299
I  278.99] Elapsed: 4:39, vertices: 1813, facets final: 688, pending: 62497, pool: 300
I  283.99] Elapsed: 4:44, vertices: 1834, facets final: 702, pending: 62747, pool: 300
I  289.16] Elapsed: 4:49, vertices: 1857, facets final: 711, pending: 62892, pool: 300
I  294.26] Elapsed: 4:54, vertices: 1880, facets final: 726, pending: 62854, pool: 300
I  299.34] Elapsed: 4:59, vertices: 1901, facets final: 735, pending: 63090, pool: 300
I  304.45] Elapsed: 5:04, vertices: 1921, facets final: 743, pending: 63004, pool: 300
I  309.49] Elapsed: 5:09, vertices: 1942, facets final: 755, pending: 63253, pool: 300
I  314.63] Elapsed: 5:15, vertices: 1964, facets final: 762, pending: 63616, pool: 300
I  319.78] Elapsed: 5:20, vertices: 1986, facets final: 773, pending: 63845, pool: 300
I  324.85] Elapsed: 5:25, vertices: 2008, facets final: 781, pending: 64354, pool: 300
I  330.16] Elapsed: 5:30, vertices: 2030, facets final: 795, pending: 64379, pool: 300
I  335.34] Elapsed: 5:35, vertices: 2051, facets final: 811, pending: 64382, pool: 300
I  340.44] Elapsed: 5:40, vertices: 2072, facets final: 816, pending: 64307, pool: 299
I  345.44] Elapsed: 5:45, vertices: 2090, facets final: 820, pending: 64737, pool: 300
I  350.51] Elapsed: 5:51, vertices: 2110, facets final: 839, pending: 65122, pool: 300
I  355.57] Elapsed: 5:56, vertices: 2130, facets final: 853, pending: 65344, pool: 300
I  360.74] Elapsed: 6:01, vertices: 2148, facets final: 861, pending: 65638, pool: 299
I  365.96] Elapsed: 6:06, vertices: 2165, facets final: 878, pending: 66102, pool: 300
I  371.12] Elapsed: 6:11, vertices: 2185, facets final: 887, pending: 66728, pool: 300
I  376.12] Elapsed: 6:16, vertices: 2205, facets final: 894, pending: 67175, pool: 300
I  381.51] Elapsed: 6:22, vertices: 2225, facets final: 911, pending: 66868, pool: 300
I  386.62] Elapsed: 6:27, vertices: 2245, facets final: 925, pending: 67312, pool: 300
I  391.82] Elapsed: 6:32, vertices: 2263, facets final: 938, pending: 67239, pool: 300
I  397.04] Elapsed: 6:37, vertices: 2282, facets final: 946, pending: 67663, pool: 300
I  402.32] Elapsed: 6:42, vertices: 2303, facets final: 960, pending: 67717, pool: 300
I  407.48] Elapsed: 6:47, vertices: 2323, facets final: 990, pending: 67671, pool: 300
I  412.58] Elapsed: 6:53, vertices: 2345, facets final: 1003, pending: 67460, pool: 300
I  417.58] Elapsed: 6:58, vertices: 2364, facets final: 1020, pending: 67726, pool: 300
I  422.81] Elapsed: 7:03, vertices: 2382, facets final: 1035, pending: 67871, pool: 300
I  427.81] Elapsed: 7:08, vertices: 2401, facets final: 1042, pending: 68313, pool: 300
I  432.81] Elapsed: 7:13, vertices: 2419, facets final: 1052, pending: 68629, pool: 300
I  437.88] Elapsed: 7:18, vertices: 2438, facets final: 1063, pending: 68763, pool: 300
I  443.07] Elapsed: 7:23, vertices: 2456, facets final: 1078, pending: 69088, pool: 300
I  448.10] Elapsed: 7:28, vertices: 2474, facets final: 1096, pending: 69354, pool: 300
I  453.24] Elapsed: 7:33, vertices: 2492, facets final: 1110, pending: 69749, pool: 300
I  458.43] Elapsed: 7:38, vertices: 2510, facets final: 1120, pending: 69750, pool: 300
I  463.45] Elapsed: 7:43, vertices: 2530, facets final: 1132, pending: 70088, pool: 300
I  468.50] Elapsed: 7:49, vertices: 2548, facets final: 1149, pending: 70217, pool: 300
I  473.58] Elapsed: 7:54, vertices: 2566, facets final: 1165, pending: 70090, pool: 300
I  478.65] Elapsed: 7:59, vertices: 2585, facets final: 1187, pending: 70179, pool: 300
I  483.66] Elapsed: 8:04, vertices: 2603, facets final: 1198, pending: 70346, pool: 300
I  488.90] Elapsed: 8:09, vertices: 2621, facets final: 1215, pending: 70326, pool: 300
I  493.92] Elapsed: 8:14, vertices: 2639, facets final: 1236, pending: 70315, pool: 300
I  498.96] Elapsed: 8:19, vertices: 2657, facets final: 1248, pending: 70430, pool: 300
I  504.09] Elapsed: 8:24, vertices: 2676, facets final: 1268, pending: 70586, pool: 300
I  509.30] Elapsed: 8:29, vertices: 2694, facets final: 1282, pending: 70954, pool: 300
I  514.42] Elapsed: 8:34, vertices: 2713, facets final: 1296, pending: 71036, pool: 300
I  519.64] Elapsed: 8:40, vertices: 2730, facets final: 1316, pending: 71156, pool: 300
I  524.74] Elapsed: 8:45, vertices: 2747, facets final: 1319, pending: 71269, pool: 300
I  529.76] Elapsed: 8:50, vertices: 2765, facets final: 1331, pending: 71689, pool: 300
I  534.76] Elapsed: 8:55, vertices: 2784, facets final: 1343, pending: 71857, pool: 300
I  539.77] Elapsed: 9:00, vertices: 2801, facets final: 1353, pending: 72007, pool: 300
I  544.91] Elapsed: 9:05, vertices: 2818, facets final: 1364, pending: 72093, pool: 300
I  550.17] Elapsed: 9:10, vertices: 2838, facets final: 1389, pending: 72190, pool: 300
I  555.34] Elapsed: 9:15, vertices: 2856, facets final: 1414, pending: 71975, pool: 299
I  560.35] Elapsed: 9:20, vertices: 2875, facets final: 1423, pending: 72116, pool: 300
I  565.69] Elapsed: 9:26, vertices: 2893, facets final: 1430, pending: 72668, pool: 300
I  570.87] Elapsed: 9:31, vertices: 2906, facets final: 1441, pending: 72992, pool: 300
I  575.87] Elapsed: 9:36, vertices: 2923, facets final: 1455, pending: 73313, pool: 300
I  580.91] Elapsed: 9:41, vertices: 2939, facets final: 1466, pending: 73545, pool: 300
I  586.10] Elapsed: 9:46, vertices: 2955, facets final: 1474, pending: 73853, pool: 300
I  591.37] Elapsed: 9:51, vertices: 2971, facets final: 1490, pending: 74068, pool: 300
I  596.46] Elapsed: 9:56, vertices: 2988, facets final: 1500, pending: 74274, pool: 300
I  601.50] Elapsed: 10:02, vertices: 3003, facets final: 1510, pending: 74544, pool: 300
I  606.74] Elapsed: 10:07, vertices: 3017, facets final: 1522, pending: 74743, pool: 300
I  611.93] Elapsed: 10:12, vertices: 3035, facets final: 1531, pending: 74673, pool: 300
I  617.15] Elapsed: 10:17, vertices: 3053, facets final: 1549, pending: 74661, pool: 300
I  622.33] Elapsed: 10:22, vertices: 3071, facets final: 1568, pending: 74948, pool: 300
I  627.71] Elapsed: 10:28, vertices: 3089, facets final: 1588, pending: 75057, pool: 299
I  632.78] Elapsed: 10:33, vertices: 3105, facets final: 1617, pending: 75308, pool: 300
I  637.84] Elapsed: 10:38, vertices: 3119, facets final: 1629, pending: 75718, pool: 300
I  642.87] Elapsed: 10:43, vertices: 3134, facets final: 1643, pending: 75852, pool: 300
I  648.13] Elapsed: 10:48, vertices: 3148, facets final: 1655, pending: 76072, pool: 300
I  653.17] Elapsed: 10:53, vertices: 3161, facets final: 1662, pending: 76403, pool: 300
I  658.44] Elapsed: 10:58, vertices: 3176, facets final: 1678, pending: 76580, pool: 300
I  663.44] Elapsed: 11:03, vertices: 3191, facets final: 1690, pending: 76890, pool: 300
I  668.47] Elapsed: 11:08, vertices: 3208, facets final: 1709, pending: 76909, pool: 300
I  673.48] Elapsed: 11:13, vertices: 3225, facets final: 1728, pending: 77081, pool: 300
I  678.51] Elapsed: 11:19, vertices: 3240, facets final: 1750, pending: 77324, pool: 300
I  683.59] Elapsed: 11:24, vertices: 3256, facets final: 1770, pending: 77432, pool: 300
I  688.60] Elapsed: 11:29, vertices: 3274, facets final: 1786, pending: 77525, pool: 300
I  693.83] Elapsed: 11:34, vertices: 3290, facets final: 1798, pending: 77991, pool: 300
I  698.95] Elapsed: 11:39, vertices: 3305, facets final: 1811, pending: 78140, pool: 300
I  703.96] Elapsed: 11:44, vertices: 3321, facets final: 1829, pending: 78063, pool: 300
I  709.17] Elapsed: 11:49, vertices: 3337, facets final: 1843, pending: 78073, pool: 300
I  714.23] Elapsed: 11:54, vertices: 3353, facets final: 1857, pending: 77872, pool: 300
I  719.30] Elapsed: 11:59, vertices: 3367, facets final: 1868, pending: 78023, pool: 300
I  724.47] Elapsed: 12:04, vertices: 3385, facets final: 1888, pending: 78320, pool: 300
I  729.85] Elapsed: 12:10, vertices: 3401, facets final: 1898, pending: 78566, pool: 300
I  735.07] Elapsed: 12:15, vertices: 3417, facets final: 1916, pending: 78611, pool: 300
I  740.23] Elapsed: 12:20, vertices: 3435, facets final: 1944, pending: 78779, pool: 300
I  745.39] Elapsed: 12:25, vertices: 3451, facets final: 1961, pending: 79022, pool: 300
I  750.58] Elapsed: 12:31, vertices: 3466, facets final: 1972, pending: 79105, pool: 300
I  755.61] Elapsed: 12:36, vertices: 3480, facets final: 1986, pending: 79188, pool: 300
recalculate_facet: numerical instability at facet 8, coord 1 (-1.66749e-06)
recalculate_facet: numerical instability at facet 8, coord 4 (1.38377e-06)
recalculate_facet: numerical instability at facet 10, coord 1 (-1.66749e-06)
recalculate_facet: numerical instability at facet 10, coord 4 (1.38377e-06)
I  760.70] Elapsed: 12:41, vertices: 3494, facets final: 2002, pending: 79236, pool: 299
I  765.70] Elapsed: 12:46, vertices: 3507, facets final: 2018, pending: 79269, pool: 300
I  770.73] Elapsed: 12:51, vertices: 3524, facets final: 2043, pending: 79142, pool: 300
I  776.00] Elapsed: 12:56, vertices: 3540, facets final: 2057, pending: 79251, pool: 300
I  781.13] Elapsed: 13:01, vertices: 3555, facets final: 2072, pending: 79345, pool: 300
I  786.14] Elapsed: 13:06, vertices: 3572, facets final: 2085, pending: 79470, pool: 300
I  791.39] Elapsed: 13:11, vertices: 3587, facets final: 2098, pending: 79427, pool: 300
I  796.72] Elapsed: 13:17, vertices: 3603, facets final: 2108, pending: 79496, pool: 300
I  802.08] Elapsed: 13:22, vertices: 3618, facets final: 2121, pending: 79522, pool: 300
I  807.14] Elapsed: 13:27, vertices: 3633, facets final: 2130, pending: 79724, pool: 300
I  812.19] Elapsed: 13:32, vertices: 3650, facets final: 2139, pending: 79767, pool: 300
I  817.27] Elapsed: 13:37, vertices: 3664, facets final: 2153, pending: 79941, pool: 300
I  822.43] Elapsed: 13:42, vertices: 3678, facets final: 2165, pending: 80196, pool: 300
I  827.68] Elapsed: 13:48, vertices: 3693, facets final: 2182, pending: 80224, pool: 300
I  832.68] Elapsed: 13:53, vertices: 3706, facets final: 2196, pending: 80008, pool: 300
I  837.68] Elapsed: 13:58, vertices: 3722, facets final: 2214, pending: 79976, pool: 300
I  842.83] Elapsed: 14:03, vertices: 3734, facets final: 2224, pending: 79792, pool: 300
I  847.95] Elapsed: 14:08, vertices: 3749, facets final: 2240, pending: 79856, pool: 300
I  852.99] Elapsed: 14:13, vertices: 3763, facets final: 2261, pending: 79879, pool: 300
I  858.13] Elapsed: 14:18, vertices: 3779, facets final: 2276, pending: 80095, pool: 300
recalculate_facet: numerical instability at facet 6, coord 5 (-1.70062e-06)
recalculate_facet: numerical instability at facet 17, coord 5 (-1.47714e-06)
I  863.17] Elapsed: 14:23, vertices: 3797, facets final: 2293, pending: 80155, pool: 299
