C applying double rule rs=cd:ab;a.d.r.s;ac.bc.cr.s for base30.txt
I    5.01] Elapsed: 5.01, vertices: 134, facets final: 28, pending: 11201, pool: 300
I   10.06] Elapsed: 10.06, vertices: 214, facets final: 34, pending: 21490, pool: 299
I   15.14] Elapsed: 15.14, vertices: 269, facets final: 45, pending: 27773, pool: 300
I   20.20] Elapsed: 20.20, vertices: 310, facets final: 50, pending: 34321, pool: 300
I   25.22] Elapsed: 25.22, vertices: 345, facets final: 53, pending: 38615, pool: 299
I   30.28] Elapsed: 30.28, vertices: 377, facets final: 55, pending: 43135, pool: 300
I   35.36] Elapsed: 35.36, vertices: 403, facets final: 58, pending: 46853, pool: 299
I   40.48] Elapsed: 40.48, vertices: 430, facets final: 60, pending: 50070, pool: 300
I   45.59] Elapsed: 45.59, vertices: 455, facets final: 65, pending: 52364, pool: 300
I   50.65] Elapsed: 50.65, vertices: 478, facets final: 67, pending: 54990, pool: 299
I   55.84] Elapsed: 55.84, vertices: 499, facets final: 68, pending: 57238, pool: 300
I   61.02] Elapsed: 1:01, vertices: 521, facets final: 68, pending: 59921, pool: 300
I   66.29] Elapsed: 1:06, vertices: 541, facets final: 68, pending: 62013, pool: 300
I   71.32] Elapsed: 1:11, vertices: 558, facets final: 71, pending: 64891, pool: 300
I   76.46] Elapsed: 1:16, vertices: 575, facets final: 72, pending: 66642, pool: 299
I   81.47] Elapsed: 1:21, vertices: 593, facets final: 73, pending: 68294, pool: 300
I   86.68] Elapsed: 1:27, vertices: 611, facets final: 76, pending: 69311, pool: 299
I   91.70] Elapsed: 1:32, vertices: 626, facets final: 80, pending: 70456, pool: 300
I   97.63] Elapsed: 1:38, vertices: 641, facets final: 83, pending: 73109, pool: 300
I  102.76] Elapsed: 1:43, vertices: 656, facets final: 84, pending: 74458, pool: 300
I  107.80] Elapsed: 1:48, vertices: 669, facets final: 91, pending: 76476, pool: 300
I  112.87] Elapsed: 1:53, vertices: 683, facets final: 93, pending: 78207, pool: 300
I  117.94] Elapsed: 1:58, vertices: 697, facets final: 95, pending: 80351, pool: 300
I  123.34] Elapsed: 2:03, vertices: 711, facets final: 96, pending: 81449, pool: 300
I  128.49] Elapsed: 2:08, vertices: 724, facets final: 96, pending: 82137, pool: 300
I  133.59] Elapsed: 2:14, vertices: 737, facets final: 98, pending: 82258, pool: 300
I  138.62] Elapsed: 2:19, vertices: 750, facets final: 99, pending: 83438, pool: 299
I  143.70] Elapsed: 2:24, vertices: 764, facets final: 100, pending: 84786, pool: 299
I  149.29] Elapsed: 2:29, vertices: 776, facets final: 103, pending: 85488, pool: 300
I  154.49] Elapsed: 2:34, vertices: 789, facets final: 103, pending: 87117, pool: 300
I  159.90] Elapsed: 2:40, vertices: 801, facets final: 107, pending: 88577, pool: 300
I  164.98] Elapsed: 2:45, vertices: 814, facets final: 109, pending: 89082, pool: 300
I  170.08] Elapsed: 2:50, vertices: 827, facets final: 112, pending: 90172, pool: 300
I  175.42] Elapsed: 2:55, vertices: 838, facets final: 114, pending: 91762, pool: 300
I  180.66] Elapsed: 3:01, vertices: 848, facets final: 115, pending: 93422, pool: 300
I  185.87] Elapsed: 3:06, vertices: 857, facets final: 115, pending: 94264, pool: 300
I  190.87] Elapsed: 3:11, vertices: 868, facets final: 117, pending: 95358, pool: 300
I  196.08] Elapsed: 3:16, vertices: 876, facets final: 117, pending: 96428, pool: 300
I  201.31] Elapsed: 3:21, vertices: 889, facets final: 120, pending: 97662, pool: 300
I  206.69] Elapsed: 3:27, vertices: 900, facets final: 121, pending: 98958, pool: 300
I  212.20] Elapsed: 3:32, vertices: 910, facets final: 123, pending: 100061, pool: 300
I  217.22] Elapsed: 3:37, vertices: 920, facets final: 124, pending: 100596, pool: 300
I  222.46] Elapsed: 3:42, vertices: 930, facets final: 125, pending: 101594, pool: 300
I  227.55] Elapsed: 3:48, vertices: 940, facets final: 126, pending: 103007, pool: 300
I  233.13] Elapsed: 3:53, vertices: 950, facets final: 129, pending: 104039, pool: 300
I  238.13] Elapsed: 3:58, vertices: 962, facets final: 130, pending: 104487, pool: 300
I  243.54] Elapsed: 4:04, vertices: 972, facets final: 134, pending: 105711, pool: 300
I  249.41] Elapsed: 4:09, vertices: 981, facets final: 136, pending: 106426, pool: 300
I  255.12] Elapsed: 4:15, vertices: 991, facets final: 136, pending: 106636, pool: 300
I  260.15] Elapsed: 4:20, vertices: 1002, facets final: 137, pending: 107035, pool: 300
I  265.39] Elapsed: 4:25, vertices: 1011, facets final: 137, pending: 108416, pool: 300
I  271.56] Elapsed: 4:32, vertices: 1018, facets final: 137, pending: 108852, pool: 300
I  277.21] Elapsed: 4:37, vertices: 1025, facets final: 141, pending: 109517, pool: 300
I  282.40] Elapsed: 4:42, vertices: 1033, facets final: 141, pending: 110005, pool: 300
