C applying double rule rs=cd:ab;a.d.r.s;ac.bc.cr.cs for base19.txt
I    5.01] Elapsed: 5.01, vertices: 147, facets final: 21, pending: 16783, pool: 299
I   10.11] Elapsed: 10.11, vertices: 206, facets final: 22, pending: 26711, pool: 300
I   15.21] Elapsed: 15.21, vertices: 247, facets final: 24, pending: 35028, pool: 300
I   20.30] Elapsed: 20.30, vertices: 276, facets final: 24, pending: 40692, pool: 300
I   25.55] Elapsed: 25.55, vertices: 302, facets final: 26, pending: 45553, pool: 300
I   30.73] Elapsed: 30.73, vertices: 325, facets final: 29, pending: 49448, pool: 300
I   35.73] Elapsed: 35.73, vertices: 346, facets final: 29, pending: 52903, pool: 300
I   40.79] Elapsed: 40.79, vertices: 366, facets final: 30, pending: 56163, pool: 300
I   46.06] Elapsed: 46.06, vertices: 384, facets final: 30, pending: 59552, pool: 300
I   51.14] Elapsed: 51.14, vertices: 400, facets final: 32, pending: 62458, pool: 300
I   56.29] Elapsed: 56.29, vertices: 416, facets final: 33, pending: 66757, pool: 300
I   61.53] Elapsed: 1:02, vertices: 429, facets final: 33, pending: 69667, pool: 300
I   66.62] Elapsed: 1:07, vertices: 443, facets final: 35, pending: 71862, pool: 300
I   71.64] Elapsed: 1:12, vertices: 456, facets final: 39, pending: 73643, pool: 300
I   76.74] Elapsed: 1:17, vertices: 472, facets final: 39, pending: 75593, pool: 300
I   82.05] Elapsed: 1:22, vertices: 487, facets final: 39, pending: 77821, pool: 300
I   87.58] Elapsed: 1:28, vertices: 500, facets final: 41, pending: 81001, pool: 300
I   92.74] Elapsed: 1:33, vertices: 514, facets final: 41, pending: 82064, pool: 300
I   97.78] Elapsed: 1:38, vertices: 525, facets final: 41, pending: 84101, pool: 300
I  103.14] Elapsed: 1:43, vertices: 536, facets final: 41, pending: 86040, pool: 300
I  108.25] Elapsed: 1:48, vertices: 547, facets final: 41, pending: 87795, pool: 300
I  113.80] Elapsed: 1:54, vertices: 559, facets final: 41, pending: 90073, pool: 300
I  119.29] Elapsed: 1:59, vertices: 568, facets final: 41, pending: 91927, pool: 300
I  124.55] Elapsed: 2:05, vertices: 579, facets final: 41, pending: 92684, pool: 300
I  129.81] Elapsed: 2:10, vertices: 588, facets final: 42, pending: 94617, pool: 300
I  134.87] Elapsed: 2:15, vertices: 600, facets final: 43, pending: 96175, pool: 299
I  139.89] Elapsed: 2:20, vertices: 609, facets final: 43, pending: 97648, pool: 300
I  145.18] Elapsed: 2:25, vertices: 620, facets final: 43, pending: 99198, pool: 300
I  150.47] Elapsed: 2:30, vertices: 628, facets final: 43, pending: 100501, pool: 300
I  155.53] Elapsed: 2:36, vertices: 637, facets final: 45, pending: 101427, pool: 299
I  160.93] Elapsed: 2:41, vertices: 646, facets final: 45, pending: 101942, pool: 300
I  165.98] Elapsed: 2:46, vertices: 656, facets final: 45, pending: 103109, pool: 300
I  171.30] Elapsed: 2:51, vertices: 665, facets final: 46, pending: 103667, pool: 300
I  176.50] Elapsed: 2:57, vertices: 673, facets final: 46, pending: 105576, pool: 300
I  181.61] Elapsed: 3:02, vertices: 679, facets final: 46, pending: 107050, pool: 300
I  187.17] Elapsed: 3:07, vertices: 688, facets final: 46, pending: 108110, pool: 300
I  192.28] Elapsed: 3:12, vertices: 692, facets final: 46, pending: 109216, pool: 300
I  197.29] Elapsed: 3:17, vertices: 700, facets final: 47, pending: 109567, pool: 300
I  202.76] Elapsed: 3:23, vertices: 709, facets final: 48, pending: 110507, pool: 300
I  207.95] Elapsed: 3:28, vertices: 716, facets final: 48, pending: 111171, pool: 300
I  213.25] Elapsed: 3:33, vertices: 723, facets final: 48, pending: 111296, pool: 300
I  218.52] Elapsed: 3:39, vertices: 731, facets final: 49, pending: 112774, pool: 300
I  223.53] Elapsed: 3:44, vertices: 739, facets final: 49, pending: 113591, pool: 300
I  228.74] Elapsed: 3:49, vertices: 746, facets final: 49, pending: 114851, pool: 300
I  234.30] Elapsed: 3:54, vertices: 753, facets final: 49, pending: 116744, pool: 300
I  239.74] Elapsed: 4:00, vertices: 762, facets final: 49, pending: 118597, pool: 300
I  244.88] Elapsed: 4:05, vertices: 769, facets final: 49, pending: 119294, pool: 300
I  250.28] Elapsed: 4:10, vertices: 777, facets final: 50, pending: 120602, pool: 300
I  255.49] Elapsed: 4:15, vertices: 786, facets final: 50, pending: 121004, pool: 299
I  260.62] Elapsed: 4:21, vertices: 792, facets final: 50, pending: 121680, pool: 300
I  267.16] Elapsed: 4:27, vertices: 800, facets final: 50, pending: 123031, pool: 300
I  272.57] Elapsed: 4:33, vertices: 809, facets final: 51, pending: 124453, pool: 300
I  277.81] Elapsed: 4:38, vertices: 818, facets final: 53, pending: 124861, pool: 300
I  282.96] Elapsed: 4:43, vertices: 824, facets final: 53, pending: 125116, pool: 300
I  289.02] Elapsed: 4:49, vertices: 832, facets final: 54, pending: 126281, pool: 300
I  294.20] Elapsed: 4:54, vertices: 840, facets final: 54, pending: 127546, pool: 300
I  299.96] Elapsed: 5:00, vertices: 848, facets final: 55, pending: 129551, pool: 300
I  306.14] Elapsed: 5:06, vertices: 855, facets final: 56, pending: 130848, pool: 300
I  311.67] Elapsed: 5:12, vertices: 862, facets final: 57, pending: 132325, pool: 300
I  317.00] Elapsed: 5:17, vertices: 867, facets final: 57, pending: 134144, pool: 300
I  323.90] Elapsed: 5:24, vertices: 871, facets final: 57, pending: 134442, pool: 300
I  329.65] Elapsed: 5:30, vertices: 878, facets final: 57, pending: 135053, pool: 300
I  335.74] Elapsed: 5:36, vertices: 884, facets final: 57, pending: 136395, pool: 300
I  340.80] Elapsed: 5:41, vertices: 891, facets final: 57, pending: 136687, pool: 300
I  345.93] Elapsed: 5:46, vertices: 895, facets final: 57, pending: 137635, pool: 300
I  351.09] Elapsed: 5:51, vertices: 902, facets final: 57, pending: 138908, pool: 300
