C applying double rule rs=cd:ab;a.d.r.s;ac.b.r.s for base19.txt
I    5.12] Elapsed: 5.12, vertices: 151, facets final: 132, pending: 20154, pool: 290
I   10.38] Elapsed: 10.38, vertices: 177, facets final: 134, pending: 30091, pool: 300
recalculate_facet: numerical instability at facet 701, coord 0 (5.24129e-06)
recalculate_facet: numerical instability at facet 701, coord 5 (-4.08551e-06)
recalculate_facet: numerical instability at facet 701, coord 8 (2.36243e-06)
recalculate_facet: numerical instability at facet 702, coord 0 (8.69881e-06)
recalculate_facet: numerical instability at facet 702, coord 1 (-1.36841e-06)
recalculate_facet: numerical instability at facet 702, coord 5 (-6.7792e-06)
recalculate_facet: numerical instability at facet 702, coord 6 (1.23015e-06)
recalculate_facet: numerical instability at facet 702, coord 8 (3.92019e-06)
I   15.60] Elapsed: 15.60, vertices: 197, facets final: 137, pending: 37444, pool: 300
I   20.83] Elapsed: 20.83, vertices: 215, facets final: 140, pending: 41719, pool: 300
I   25.86] Elapsed: 25.86, vertices: 232, facets final: 142, pending: 42456, pool: 300
I   30.98] Elapsed: 30.98, vertices: 251, facets final: 144, pending: 45650, pool: 300
I   36.05] Elapsed: 36.05, vertices: 268, facets final: 146, pending: 48511, pool: 300
I   41.05] Elapsed: 41.05, vertices: 284, facets final: 146, pending: 50620, pool: 299
I   46.14] Elapsed: 46.14, vertices: 299, facets final: 147, pending: 52720, pool: 300
I   51.45] Elapsed: 51.45, vertices: 314, facets final: 149, pending: 53242, pool: 300
I   56.67] Elapsed: 56.67, vertices: 330, facets final: 151, pending: 56136, pool: 300
I   61.72] Elapsed: 1:02, vertices: 344, facets final: 153, pending: 58795, pool: 300
recalculate_facet: numerical instability at facet 131, coord 0 (-2.10513e-06)
recalculate_facet: numerical instability at facet 131, coord 5 (1.74945e-06)
I   66.77] Elapsed: 1:07, vertices: 359, facets final: 153, pending: 58812, pool: 299
I   71.91] Elapsed: 1:12, vertices: 375, facets final: 156, pending: 60663, pool: 300
I   77.17] Elapsed: 1:17, vertices: 390, facets final: 156, pending: 61216, pool: 300
I   82.25] Elapsed: 1:22, vertices: 404, facets final: 157, pending: 61647, pool: 300
I   87.45] Elapsed: 1:27, vertices: 418, facets final: 159, pending: 60816, pool: 300
I   92.59] Elapsed: 1:33, vertices: 435, facets final: 167, pending: 61093, pool: 300
I   97.92] Elapsed: 1:38, vertices: 453, facets final: 170, pending: 61998, pool: 300
I  103.31] Elapsed: 1:43, vertices: 468, facets final: 175, pending: 63409, pool: 300
I  108.53] Elapsed: 1:49, vertices: 485, facets final: 176, pending: 62748, pool: 300
I  113.76] Elapsed: 1:54, vertices: 501, facets final: 182, pending: 63301, pool: 300
I  119.11] Elapsed: 1:59, vertices: 516, facets final: 187, pending: 64954, pool: 300
I  124.15] Elapsed: 2:04, vertices: 533, facets final: 188, pending: 66756, pool: 300
I  129.23] Elapsed: 2:09, vertices: 549, facets final: 193, pending: 67582, pool: 299
I  134.26] Elapsed: 2:14, vertices: 563, facets final: 195, pending: 69734, pool: 300
I  139.46] Elapsed: 2:19, vertices: 576, facets final: 196, pending: 69804, pool: 299
I  144.70] Elapsed: 2:25, vertices: 592, facets final: 204, pending: 70327, pool: 300
I  150.13] Elapsed: 2:30, vertices: 606, facets final: 207, pending: 72817, pool: 300
I  155.43] Elapsed: 2:35, vertices: 620, facets final: 209, pending: 74289, pool: 300
I  160.57] Elapsed: 2:41, vertices: 632, facets final: 216, pending: 74729, pool: 299
I  166.10] Elapsed: 2:46, vertices: 645, facets final: 217, pending: 75558, pool: 300
I  171.66] Elapsed: 2:52, vertices: 659, facets final: 220, pending: 76733, pool: 300
I  176.84] Elapsed: 2:57, vertices: 669, facets final: 222, pending: 75764, pool: 299
I  181.89] Elapsed: 3:02, vertices: 683, facets final: 228, pending: 76317, pool: 300
I  187.04] Elapsed: 3:07, vertices: 698, facets final: 231, pending: 77007, pool: 300
I  192.15] Elapsed: 3:12, vertices: 711, facets final: 234, pending: 77988, pool: 299
I  197.23] Elapsed: 3:17, vertices: 726, facets final: 240, pending: 79084, pool: 300
I  202.35] Elapsed: 3:22, vertices: 741, facets final: 242, pending: 80022, pool: 300
I  207.95] Elapsed: 3:28, vertices: 753, facets final: 245, pending: 79358, pool: 300
I  213.00] Elapsed: 3:33, vertices: 764, facets final: 247, pending: 78595, pool: 300
I  218.18] Elapsed: 3:38, vertices: 777, facets final: 252, pending: 78403, pool: 300
I  223.37] Elapsed: 3:43, vertices: 791, facets final: 259, pending: 79282, pool: 299
I  228.41] Elapsed: 3:48, vertices: 802, facets final: 263, pending: 77932, pool: 300
I  234.06] Elapsed: 3:54, vertices: 818, facets final: 272, pending: 77285, pool: 300
I  239.20] Elapsed: 3:59, vertices: 832, facets final: 277, pending: 78090, pool: 300
I  244.39] Elapsed: 4:04, vertices: 845, facets final: 281, pending: 78485, pool: 300
I  249.56] Elapsed: 4:10, vertices: 860, facets final: 284, pending: 78578, pool: 300
I  254.75] Elapsed: 4:15, vertices: 874, facets final: 298, pending: 79775, pool: 300
I  259.77] Elapsed: 4:20, vertices: 884, facets final: 301, pending: 78891, pool: 300
I  264.99] Elapsed: 4:25, vertices: 900, facets final: 312, pending: 78322, pool: 299
I  270.10] Elapsed: 4:30, vertices: 914, facets final: 316, pending: 79153, pool: 300
I  275.25] Elapsed: 4:35, vertices: 926, facets final: 319, pending: 79602, pool: 299
I  280.45] Elapsed: 4:40, vertices: 940, facets final: 325, pending: 80027, pool: 299
I  285.72] Elapsed: 4:46, vertices: 954, facets final: 333, pending: 80348, pool: 300
I  291.37] Elapsed: 4:51, vertices: 969, facets final: 338, pending: 79772, pool: 300
I  296.53] Elapsed: 4:57, vertices: 984, facets final: 344, pending: 79301, pool: 300
I  301.53] Elapsed: 5:02, vertices: 1001, facets final: 347, pending: 79672, pool: 300
I  306.73] Elapsed: 5:07, vertices: 1016, facets final: 353, pending: 79744, pool: 300
I  312.04] Elapsed: 5:12, vertices: 1029, facets final: 358, pending: 80757, pool: 300
I  317.27] Elapsed: 5:17, vertices: 1041, facets final: 363, pending: 81740, pool: 300
I  322.45] Elapsed: 5:22, vertices: 1054, facets final: 372, pending: 82070, pool: 299
I  327.53] Elapsed: 5:28, vertices: 1066, facets final: 381, pending: 82498, pool: 299
I  332.53] Elapsed: 5:33, vertices: 1081, facets final: 386, pending: 83249, pool: 300
I  337.66] Elapsed: 5:38, vertices: 1095, facets final: 394, pending: 83607, pool: 300
I  342.68] Elapsed: 5:43, vertices: 1109, facets final: 404, pending: 83819, pool: 300
I  347.68] Elapsed: 5:48, vertices: 1122, facets final: 417, pending: 84766, pool: 300
I  352.93] Elapsed: 5:53, vertices: 1136, facets final: 422, pending: 85082, pool: 300
I  357.98] Elapsed: 5:58, vertices: 1149, facets final: 430, pending: 86429, pool: 300
I  363.12] Elapsed: 6:03, vertices: 1163, facets final: 441, pending: 87075, pool: 300
I  368.30] Elapsed: 6:08, vertices: 1177, facets final: 446, pending: 86845, pool: 300
I  373.33] Elapsed: 6:13, vertices: 1189, facets final: 452, pending: 87142, pool: 299
