C applying double rule rs=cd:ab;ad.bd.dr.ds;ac.bc.cr.cs for base19.txt
I    5.06] Elapsed: 5.06, vertices: 167, facets final: 15, pending: 15028, pool: 300
I   10.07] Elapsed: 10.07, vertices: 230, facets final: 18, pending: 22068, pool: 300
I   15.16] Elapsed: 15.16, vertices: 283, facets final: 24, pending: 26820, pool: 300
I   20.25] Elapsed: 20.25, vertices: 327, facets final: 28, pending: 29750, pool: 300
I   25.29] Elapsed: 25.29, vertices: 368, facets final: 33, pending: 31172, pool: 300
I   30.40] Elapsed: 30.40, vertices: 408, facets final: 38, pending: 33884, pool: 300
I   35.46] Elapsed: 35.46, vertices: 446, facets final: 44, pending: 35213, pool: 300
I   40.49] Elapsed: 40.49, vertices: 483, facets final: 46, pending: 36875, pool: 299
I   45.58] Elapsed: 45.58, vertices: 518, facets final: 49, pending: 39886, pool: 300
I   50.58] Elapsed: 50.58, vertices: 548, facets final: 53, pending: 43091, pool: 300
I   55.71] Elapsed: 55.71, vertices: 578, facets final: 58, pending: 43932, pool: 300
I   60.82] Elapsed: 1:01, vertices: 607, facets final: 62, pending: 46138, pool: 300
I   65.91] Elapsed: 1:06, vertices: 637, facets final: 66, pending: 49126, pool: 300
I   70.96] Elapsed: 1:11, vertices: 662, facets final: 71, pending: 50675, pool: 300
I   76.04] Elapsed: 1:16, vertices: 686, facets final: 74, pending: 51771, pool: 300
I   81.06] Elapsed: 1:21, vertices: 710, facets final: 76, pending: 52985, pool: 300
I   86.11] Elapsed: 1:26, vertices: 732, facets final: 80, pending: 54819, pool: 300
I   91.17] Elapsed: 1:31, vertices: 753, facets final: 82, pending: 55689, pool: 300
I   96.23] Elapsed: 1:36, vertices: 775, facets final: 87, pending: 57233, pool: 300
I  101.41] Elapsed: 1:41, vertices: 795, facets final: 95, pending: 58961, pool: 300
I  106.43] Elapsed: 1:46, vertices: 814, facets final: 102, pending: 59933, pool: 300
I  111.58] Elapsed: 1:52, vertices: 833, facets final: 106, pending: 62141, pool: 300
I  116.70] Elapsed: 1:57, vertices: 853, facets final: 108, pending: 63407, pool: 300
I  121.76] Elapsed: 2:02, vertices: 871, facets final: 112, pending: 65066, pool: 300
I  126.79] Elapsed: 2:07, vertices: 892, facets final: 117, pending: 66182, pool: 300
I  132.09] Elapsed: 2:12, vertices: 912, facets final: 122, pending: 67488, pool: 300
I  137.19] Elapsed: 2:17, vertices: 929, facets final: 123, pending: 68590, pool: 300
I  142.34] Elapsed: 2:22, vertices: 947, facets final: 127, pending: 69566, pool: 300
I  147.47] Elapsed: 2:27, vertices: 960, facets final: 128, pending: 70217, pool: 300
I  152.55] Elapsed: 2:33, vertices: 975, facets final: 133, pending: 71541, pool: 300
I  157.66] Elapsed: 2:38, vertices: 993, facets final: 135, pending: 72007, pool: 300
I  163.12] Elapsed: 2:43, vertices: 1011, facets final: 135, pending: 72712, pool: 300
I  168.24] Elapsed: 2:48, vertices: 1026, facets final: 136, pending: 74142, pool: 300
I  173.39] Elapsed: 2:53, vertices: 1039, facets final: 137, pending: 74680, pool: 300
I  178.44] Elapsed: 2:58, vertices: 1055, facets final: 139, pending: 75542, pool: 299
I  183.85] Elapsed: 3:04, vertices: 1069, facets final: 144, pending: 77485, pool: 300
I  189.35] Elapsed: 3:09, vertices: 1083, facets final: 145, pending: 78677, pool: 300
I  194.82] Elapsed: 3:15, vertices: 1095, facets final: 146, pending: 78332, pool: 300
I  200.19] Elapsed: 3:20, vertices: 1111, facets final: 149, pending: 79119, pool: 300
I  205.47] Elapsed: 3:25, vertices: 1125, facets final: 152, pending: 80375, pool: 300
I  210.71] Elapsed: 3:31, vertices: 1137, facets final: 152, pending: 80958, pool: 300
I  215.92] Elapsed: 3:36, vertices: 1150, facets final: 154, pending: 81281, pool: 300
I  221.04] Elapsed: 3:41, vertices: 1162, facets final: 155, pending: 81611, pool: 300
I  226.24] Elapsed: 3:46, vertices: 1177, facets final: 158, pending: 82239, pool: 300
I  231.35] Elapsed: 3:51, vertices: 1191, facets final: 164, pending: 82707, pool: 300
I  236.70] Elapsed: 3:57, vertices: 1202, facets final: 165, pending: 83192, pool: 300
I  241.92] Elapsed: 4:02, vertices: 1216, facets final: 166, pending: 83587, pool: 300
I  246.97] Elapsed: 4:07, vertices: 1227, facets final: 170, pending: 84105, pool: 300
I  252.48] Elapsed: 4:12, vertices: 1240, facets final: 171, pending: 84675, pool: 300
I  257.52] Elapsed: 4:18, vertices: 1254, facets final: 173, pending: 85537, pool: 300
I  262.80] Elapsed: 4:23, vertices: 1266, facets final: 174, pending: 86100, pool: 300
I  267.83] Elapsed: 4:28, vertices: 1279, facets final: 177, pending: 87392, pool: 300
I  272.87] Elapsed: 4:33, vertices: 1292, facets final: 179, pending: 87695, pool: 300
I  277.91] Elapsed: 4:38, vertices: 1303, facets final: 181, pending: 88639, pool: 300
I  282.92] Elapsed: 4:43, vertices: 1315, facets final: 185, pending: 89583, pool: 300
I  287.95] Elapsed: 4:48, vertices: 1327, facets final: 187, pending: 90620, pool: 300
I  293.19] Elapsed: 4:53, vertices: 1338, facets final: 190, pending: 90635, pool: 300
I  298.24] Elapsed: 4:58, vertices: 1349, facets final: 195, pending: 91728, pool: 300
I  303.73] Elapsed: 5:04, vertices: 1361, facets final: 198, pending: 92166, pool: 300
I  309.02] Elapsed: 5:09, vertices: 1374, facets final: 199, pending: 92669, pool: 300
I  314.06] Elapsed: 5:14, vertices: 1387, facets final: 202, pending: 93543, pool: 300
I  319.39] Elapsed: 5:19, vertices: 1398, facets final: 204, pending: 94487, pool: 300
I  324.58] Elapsed: 5:25, vertices: 1409, facets final: 209, pending: 94841, pool: 300
I  329.80] Elapsed: 5:30, vertices: 1419, facets final: 211, pending: 95335, pool: 300
I  334.80] Elapsed: 5:35, vertices: 1428, facets final: 212, pending: 95264, pool: 300
I  339.91] Elapsed: 5:40, vertices: 1438, facets final: 213, pending: 95568, pool: 300
I  345.59] Elapsed: 5:46, vertices: 1448, facets final: 215, pending: 95933, pool: 300
I  351.13] Elapsed: 5:51, vertices: 1459, facets final: 216, pending: 95952, pool: 300
I  356.24] Elapsed: 5:56, vertices: 1469, facets final: 216, pending: 95684, pool: 300
I  361.27] Elapsed: 6:01, vertices: 1481, facets final: 218, pending: 96123, pool: 299
I  366.50] Elapsed: 6:07, vertices: 1493, facets final: 220, pending: 96103, pool: 300
I  371.63] Elapsed: 6:12, vertices: 1506, facets final: 222, pending: 97428, pool: 300
I  376.93] Elapsed: 6:17, vertices: 1518, facets final: 223, pending: 97719, pool: 300
I  382.16] Elapsed: 6:22, vertices: 1528, facets final: 225, pending: 98743, pool: 300
I  387.41] Elapsed: 6:27, vertices: 1539, facets final: 234, pending: 99074, pool: 300
I  392.64] Elapsed: 6:33, vertices: 1548, facets final: 239, pending: 99675, pool: 300
I  397.79] Elapsed: 6:38, vertices: 1559, facets final: 240, pending: 99763, pool: 300
I  402.96] Elapsed: 6:43, vertices: 1569, facets final: 241, pending: 99739, pool: 300
I  408.42] Elapsed: 6:48, vertices: 1580, facets final: 243, pending: 99802, pool: 300
I  414.06] Elapsed: 6:54, vertices: 1592, facets final: 248, pending: 100404, pool: 300
I  419.21] Elapsed: 6:59, vertices: 1601, facets final: 250, pending: 101036, pool: 300
I  424.27] Elapsed: 7:04, vertices: 1611, facets final: 251, pending: 101429, pool: 300
I  429.45] Elapsed: 7:09, vertices: 1620, facets final: 253, pending: 101602, pool: 300
I  434.65] Elapsed: 7:15, vertices: 1629, facets final: 254, pending: 102169, pool: 300
I  439.81] Elapsed: 7:20, vertices: 1640, facets final: 255, pending: 102113, pool: 300
I  445.01] Elapsed: 7:25, vertices: 1650, facets final: 257, pending: 102389, pool: 300
I  450.35] Elapsed: 7:30, vertices: 1661, facets final: 257, pending: 102752, pool: 300
I  455.35] Elapsed: 7:35, vertices: 1670, facets final: 260, pending: 102832, pool: 300
I  460.57] Elapsed: 7:41, vertices: 1681, facets final: 260, pending: 103306, pool: 300
I  465.96] Elapsed: 7:46, vertices: 1691, facets final: 261, pending: 103569, pool: 300
I  471.29] Elapsed: 7:51, vertices: 1703, facets final: 265, pending: 103665, pool: 300
I  476.57] Elapsed: 7:57, vertices: 1713, facets final: 266, pending: 103695, pool: 300
I  481.89] Elapsed: 8:02, vertices: 1724, facets final: 267, pending: 104249, pool: 300
I  487.26] Elapsed: 8:07, vertices: 1735, facets final: 273, pending: 104861, pool: 300
I  493.07] Elapsed: 8:13, vertices: 1747, facets final: 277, pending: 105037, pool: 300
I  498.41] Elapsed: 8:18, vertices: 1758, facets final: 277, pending: 105575, pool: 300
I  503.85] Elapsed: 8:24, vertices: 1768, facets final: 278, pending: 105759, pool: 300
I  509.24] Elapsed: 8:29, vertices: 1779, facets final: 283, pending: 105706, pool: 300
I  514.48] Elapsed: 8:34, vertices: 1791, facets final: 286, pending: 105991, pool: 300
I  519.57] Elapsed: 8:40, vertices: 1802, facets final: 288, pending: 106476, pool: 300
I  524.89] Elapsed: 8:45, vertices: 1812, facets final: 291, pending: 107419, pool: 300
I  530.26] Elapsed: 8:50, vertices: 1823, facets final: 294, pending: 108284, pool: 300
I  535.63] Elapsed: 8:56, vertices: 1831, facets final: 297, pending: 108096, pool: 300
I  540.87] Elapsed: 9:01, vertices: 1841, facets final: 298, pending: 108551, pool: 300
I  545.95] Elapsed: 9:06, vertices: 1852, facets final: 303, pending: 108621, pool: 300
I  550.98] Elapsed: 9:11, vertices: 1861, facets final: 307, pending: 109246, pool: 300
I  556.25] Elapsed: 9:16, vertices: 1869, facets final: 308, pending: 110974, pool: 300
I  562.30] Elapsed: 9:22, vertices: 1879, facets final: 309, pending: 111535, pool: 300
I  567.62] Elapsed: 9:28, vertices: 1890, facets final: 314, pending: 111834, pool: 300
I  572.75] Elapsed: 9:33, vertices: 1897, facets final: 315, pending: 112516, pool: 300
I  578.13] Elapsed: 9:38, vertices: 1906, facets final: 317, pending: 112494, pool: 300
I  583.28] Elapsed: 9:43, vertices: 1914, facets final: 320, pending: 112725, pool: 300
I  590.41] Elapsed: 9:50, vertices: 1925, facets final: 323, pending: 113832, pool: 300
I  595.64] Elapsed: 9:56, vertices: 1930, facets final: 323, pending: 114177, pool: 300
I  600.72] Elapsed: 10:01, vertices: 1937, facets final: 324, pending: 114958, pool: 300
I  606.21] Elapsed: 10:06, vertices: 1946, facets final: 326, pending: 114947, pool: 300
I  611.36] Elapsed: 10:11, vertices: 1954, facets final: 327, pending: 115432, pool: 300
I  616.42] Elapsed: 10:16, vertices: 1963, facets final: 329, pending: 115222, pool: 300
I  621.93] Elapsed: 10:22, vertices: 1974, facets final: 333, pending: 115627, pool: 300
I  626.96] Elapsed: 10:27, vertices: 1982, facets final: 334, pending: 116706, pool: 300
I  632.02] Elapsed: 10:32, vertices: 1991, facets final: 337, pending: 116974, pool: 299
I  637.05] Elapsed: 10:37, vertices: 1999, facets final: 339, pending: 117656, pool: 300
I  642.31] Elapsed: 10:42, vertices: 2009, facets final: 343, pending: 118061, pool: 300
I  647.34] Elapsed: 10:47, vertices: 2016, facets final: 343, pending: 118556, pool: 300
I  652.44] Elapsed: 10:52, vertices: 2025, facets final: 346, pending: 119134, pool: 300
I  658.55] Elapsed: 10:59, vertices: 2033, facets final: 347, pending: 119448, pool: 300
I  663.84] Elapsed: 11:04, vertices: 2043, facets final: 347, pending: 119816, pool: 300
I  669.29] Elapsed: 11:09, vertices: 2052, facets final: 352, pending: 119903, pool: 300
I  674.44] Elapsed: 11:14, vertices: 2059, facets final: 354, pending: 119906, pool: 300
I  681.16] Elapsed: 11:21, vertices: 2067, facets final: 355, pending: 120130, pool: 300
I  687.42] Elapsed: 11:27, vertices: 2076, facets final: 355, pending: 120710, pool: 300
I  693.02] Elapsed: 11:33, vertices: 2085, facets final: 358, pending: 121531, pool: 300
I  698.04] Elapsed: 11:38, vertices: 2090, facets final: 359, pending: 121613, pool: 300
I  703.36] Elapsed: 11:43, vertices: 2100, facets final: 361, pending: 122288, pool: 300
I  708.81] Elapsed: 11:49, vertices: 2109, facets final: 361, pending: 122663, pool: 300
I  713.91] Elapsed: 11:54, vertices: 2117, facets final: 361, pending: 122806, pool: 300
I  719.28] Elapsed: 11:59, vertices: 2124, facets final: 362, pending: 122609, pool: 300
I  724.39] Elapsed: 12:04, vertices: 2129, facets final: 365, pending: 123183, pool: 300
I  729.85] Elapsed: 12:10, vertices: 2136, facets final: 367, pending: 124096, pool: 300
I  735.27] Elapsed: 12:15, vertices: 2145, facets final: 367, pending: 124661, pool: 300
I  740.44] Elapsed: 12:20, vertices: 2154, facets final: 369, pending: 124809, pool: 300
I  745.88] Elapsed: 12:26, vertices: 2163, facets final: 371, pending: 125722, pool: 300
I  751.17] Elapsed: 12:31, vertices: 2169, facets final: 371, pending: 125684, pool: 300
I  756.41] Elapsed: 12:36, vertices: 2177, facets final: 375, pending: 125919, pool: 300
I  763.01] Elapsed: 12:43, vertices: 2183, facets final: 377, pending: 126084, pool: 300
I  768.93] Elapsed: 12:49, vertices: 2189, facets final: 377, pending: 126473, pool: 300
I  774.20] Elapsed: 12:54, vertices: 2197, facets final: 379, pending: 126635, pool: 300
I  779.76] Elapsed: 13:00, vertices: 2205, facets final: 383, pending: 126913, pool: 300
I  785.08] Elapsed: 13:05, vertices: 2212, facets final: 385, pending: 127548, pool: 300
I  790.47] Elapsed: 13:10, vertices: 2216, facets final: 387, pending: 127696, pool: 300
I  796.11] Elapsed: 13:16, vertices: 2223, facets final: 392, pending: 127550, pool: 300
I  801.40] Elapsed: 13:21, vertices: 2230, facets final: 393, pending: 127446, pool: 300
I  806.69] Elapsed: 13:27, vertices: 2238, facets final: 396, pending: 127138, pool: 300
I  811.95] Elapsed: 13:32, vertices: 2246, facets final: 402, pending: 127520, pool: 300
I  817.43] Elapsed: 13:37, vertices: 2255, facets final: 405, pending: 127893, pool: 300
I  822.65] Elapsed: 13:43, vertices: 2263, facets final: 407, pending: 128313, pool: 300
I  827.99] Elapsed: 13:48, vertices: 2271, facets final: 410, pending: 128836, pool: 300
I  833.21] Elapsed: 13:53, vertices: 2278, facets final: 410, pending: 129262, pool: 300
I  838.36] Elapsed: 13:58, vertices: 2286, facets final: 410, pending: 129423, pool: 300
I  843.91] Elapsed: 14:04, vertices: 2294, facets final: 413, pending: 129907, pool: 300
I  849.16] Elapsed: 14:09, vertices: 2303, facets final: 414, pending: 130024, pool: 300
I  854.70] Elapsed: 14:15, vertices: 2310, facets final: 416, pending: 130329, pool: 300
I  860.46] Elapsed: 14:20, vertices: 2314, facets final: 417, pending: 129552, pool: 300
I  865.55] Elapsed: 14:26, vertices: 2322, facets final: 417, pending: 130068, pool: 299
I  870.87] Elapsed: 14:31, vertices: 2328, facets final: 417, pending: 130437, pool: 300
I  876.28] Elapsed: 14:36, vertices: 2336, facets final: 419, pending: 130526, pool: 300
I  881.66] Elapsed: 14:42, vertices: 2345, facets final: 419, pending: 131161, pool: 300
I  886.91] Elapsed: 14:47, vertices: 2353, facets final: 420, pending: 131068, pool: 300
I  893.09] Elapsed: 14:53, vertices: 2360, facets final: 421, pending: 131321, pool: 300
I  898.62] Elapsed: 14:59, vertices: 2369, facets final: 424, pending: 131905, pool: 300
I  903.85] Elapsed: 15:04, vertices: 2376, facets final: 426, pending: 131995, pool: 300
I  909.84] Elapsed: 15:10, vertices: 2383, facets final: 428, pending: 132700, pool: 300
I  915.26] Elapsed: 15:15, vertices: 2391, facets final: 428, pending: 132929, pool: 300
I  922.91] Elapsed: 15:23, vertices: 2399, facets final: 431, pending: 133112, pool: 300
I  928.15] Elapsed: 15:28, vertices: 2407, facets final: 433, pending: 133307, pool: 300
I  933.29] Elapsed: 15:33, vertices: 2412, facets final: 434, pending: 133484, pool: 300
I  938.46] Elapsed: 15:38, vertices: 2420, facets final: 436, pending: 133704, pool: 300
I  944.21] Elapsed: 15:44, vertices: 2427, facets final: 438, pending: 133756, pool: 300
I  949.24] Elapsed: 15:49, vertices: 2434, facets final: 440, pending: 134343, pool: 300
I  954.39] Elapsed: 15:54, vertices: 2442, facets final: 441, pending: 134443, pool: 300
I  959.70] Elapsed: 16:00, vertices: 2451, facets final: 443, pending: 134908, pool: 300
I  965.22] Elapsed: 16:05, vertices: 2458, facets final: 446, pending: 135384, pool: 300
I  970.72] Elapsed: 16:11, vertices: 2464, facets final: 448, pending: 135856, pool: 300
I  976.62] Elapsed: 16:17, vertices: 2472, facets final: 452, pending: 135979, pool: 300
I  981.77] Elapsed: 16:22, vertices: 2478, facets final: 455, pending: 135852, pool: 300
