C applying double rule rs=cd:ab;a.b.c.dr;ad.bd.dr.ds for base30.txt
I    5.00] Elapsed: 5.00, vertices: 151, facets final: 13, pending: 11839, pool: 300
I   10.02] Elapsed: 10.02, vertices: 225, facets final: 18, pending: 21341, pool: 300
I   15.07] Elapsed: 15.07, vertices: 271, facets final: 20, pending: 27809, pool: 300
I   20.08] Elapsed: 20.08, vertices: 309, facets final: 24, pending: 32713, pool: 300
I   25.10] Elapsed: 25.10, vertices: 340, facets final: 26, pending: 38534, pool: 300
I   30.16] Elapsed: 30.16, vertices: 370, facets final: 28, pending: 42704, pool: 300
I   35.20] Elapsed: 35.20, vertices: 392, facets final: 30, pending: 44165, pool: 300
I   40.44] Elapsed: 40.44, vertices: 414, facets final: 35, pending: 46298, pool: 300
I   45.45] Elapsed: 45.45, vertices: 439, facets final: 35, pending: 48437, pool: 300
I   50.78] Elapsed: 50.78, vertices: 463, facets final: 40, pending: 51354, pool: 300
I   55.81] Elapsed: 55.81, vertices: 485, facets final: 44, pending: 53509, pool: 300
I   61.06] Elapsed: 1:01, vertices: 506, facets final: 46, pending: 56048, pool: 300
I   66.11] Elapsed: 1:06, vertices: 528, facets final: 51, pending: 58097, pool: 300
I   71.25] Elapsed: 1:11, vertices: 548, facets final: 53, pending: 59259, pool: 300
I   76.44] Elapsed: 1:16, vertices: 568, facets final: 56, pending: 61221, pool: 300
I   81.80] Elapsed: 1:22, vertices: 588, facets final: 65, pending: 63603, pool: 300
I   86.80] Elapsed: 1:27, vertices: 605, facets final: 68, pending: 65726, pool: 300
I   91.94] Elapsed: 1:32, vertices: 622, facets final: 68, pending: 66560, pool: 299
I   96.94] Elapsed: 1:37, vertices: 637, facets final: 69, pending: 66983, pool: 300
I  102.20] Elapsed: 1:42, vertices: 652, facets final: 71, pending: 68884, pool: 300
I  107.42] Elapsed: 1:47, vertices: 668, facets final: 72, pending: 69754, pool: 300
I  112.63] Elapsed: 1:53, vertices: 684, facets final: 77, pending: 71000, pool: 300
I  117.90] Elapsed: 1:58, vertices: 700, facets final: 85, pending: 72434, pool: 300
I  123.06] Elapsed: 2:03, vertices: 715, facets final: 88, pending: 73700, pool: 300
I  128.17] Elapsed: 2:08, vertices: 728, facets final: 94, pending: 75054, pool: 300
I  133.30] Elapsed: 2:13, vertices: 743, facets final: 99, pending: 76747, pool: 300
I  138.44] Elapsed: 2:18, vertices: 758, facets final: 99, pending: 78098, pool: 300
I  143.46] Elapsed: 2:23, vertices: 771, facets final: 100, pending: 79113, pool: 300
I  148.48] Elapsed: 2:28, vertices: 785, facets final: 111, pending: 79611, pool: 300
I  153.49] Elapsed: 2:33, vertices: 800, facets final: 114, pending: 80359, pool: 300
