# Entropy inequalities by Dougherty-Freiling-Zeger
# First 11 numbers are the coefficients,
#   then the copy string used
#   then the id of the inequality
#   then the indication whether is has been superseded
#
# The coordinates are:
# [a,b,c,d]  (a,b|c) (a,c|b) (b,c|a)  (a,b|d) (a,d|b) (b,d|a)
#            (c,d|a) (c,d|b) (c,d) (a,b|cd)
#
1, 1,1,1, 0,0,0, 0,0,0,0, r=c:ab, dfz:0:0, S
2, 2,2,1, 1,1,0, 0,0,0,0, r=c:ab;s=r:ad, dfz:1:1
2, 1,3,1, 3,2,0, 0,0,0,0, rs=cd:ab;t=r:ad, dfz:2:2
3, 3,3,1, 3,3,0, 0,0,0,0, rs=cd:ab;t=r:ad, dfz:2:3
2, 0,0,0, 2,1,2, 0,3,0,0, rs=ac:bd;t=d:bcr, dfz:4:4
2, 1,2,3, 0,0,0, 0,0,0,0, rs=cd:ab;t=a:bcr, dfz:5:5
4, 0,1,2, 2,3,4, 0,0,0,0, rs=cd:ab;t=a:bcs, dfz:6:6
2, 0,0,0, 3,2,1, 0,0,0,0, rs=ac:bd;t=d:abr, dfz:7:7
2, 0,0,0, 2,3,1, 0,0,0,0, rs=ac:bd;t=b:adr, dfz:8:8
2, 2,1,2, 0,3,0, 0,0,0,0, rs=cd:ab;t=a:bcs, dfz:6:9
3, 4,4,1, 1,1,0, 0,0,0,0, r=c:ab;s=r:ac;t=r:ad, dfz:10:10
4, 2,11,3, 2,2,0, 0,0,0,0, r=c:ab;s=c:abr;t=a:bdrs, dfz:11:11, S
3, 1,0,1, 3,1,3, 0,5,0,0, rs=ac:bd;tu=ds:bcr, dfz:12:12
7, 1,12,12, 0,5,5, 0,0,0,0, rs=cd:ab;tuv=crs:ab, dfz:13:13
5, 9,9,1, 2,2,0, 0,0,0,0, rs=cd:ab;tu=cd:ar, dfz:14:14
6, 1,11,11, 0,3,3, 0,0,0,0, rs=cd:ab;tu=(cr)(dr):ab, dfz:15:15, S
3, 1,6,3, 3,2,0, 0,0,0,0, r=c:ab;st=cd:abr;u=(cr):at, dfz:16:16, S
11, 12,28,3, 0,7,5, 0,0,0,0, r=a:bc;st=cd:abr;u=b:acrt, dfz:17:17
5, 1,7,8, 0,2,3, 0,0,0,0, r=c:ab;st=cd:abr;u=a:bcrt, dfz:18:18
6, 6,3,6, 0,3,4, 0,0,0,0, r=a:bc;st=cd:ab;u=a:bct, dfz:19:19, S
4, 1,16,4, 6,6,0, 0,0,0,0, r=a:bc;st=ac:bdr;u=(as):bdr, dfz:20:20, S
3, 3,5,1, 2,3,0, 0,0,0,0, r=c:ab;st=ac:bdr;u=r:ads, dfz:21:21
4, 9,1,7, 0,2,2, 0,0,0,0, r=a:bc;st=cd:ab;u=b:acrs, dfz:22:22
4, 1,6,7, 0,1,1, 0,0,0,0, r=c:ab;st=cd:ab;u=a:bcrs, dfz:23:23
4, 4,1,4, 6,0,6, 0,0,0,0, r=c:ab;st=ac:bd;u=r:bs, dfz:24:24
5, 11,13,1, 0,1,1, 0,0,0,0, r=a:bc;st=cd:abr;u=s:acr, dfz:25:25
5, 1,11,11, 0,1,1, 0,0,0,0, r=c:ab;st=cd:ab;u=(cs):abr, dfz:26:26, S
2, 1,4,1, 2,5,0, 0,0,0,0, rs=cd:ab;t=c:abrs;u=a:dst, dfz:27:27
4, 0,4,2, 1,4,6, 0,0,0,0, rs=cd:ab;t=c:abrs;u=a:bdst, dfz:28:28
4, 0,1,1, 3,2,4, 0,7,0,0, rs=ac:bd;t=d:bcr;u=b:rst, dfz:29:29
2, 0,3,2, 1,3,1, 0,0,0,0, rs=cd:ab;t=c:abrs;u=a:bdst, dfz:28:30
4, 6,2,3, 5,9,0, 0,0,0,0, rs=cd:ab;t=c:as;u=r:bdst, dfz:31:31, S
