C copy string: rs=cd:ab;t=a:bcs;u=a:bcst;v=a:bcstu
Using 2 threads
I    5.78] Elapsed: 5.78, vertices: 20, facets final: 4, pending: 351, pool: 9
I   11.07] Elapsed: 11.07, vertices: 27, facets final: 13, pending: 568, pool: 14
I   16.12] Elapsed: 16.12, vertices: 36, facets final: 18, pending: 1129, pool: 41
I   21.46] Elapsed: 21.46, vertices: 45, facets final: 23, pending: 1644, pool: 66
I   26.70] Elapsed: 26.70, vertices: 64, facets final: 24, pending: 2794, pool: 79
I   31.74] Elapsed: 31.74, vertices: 110, facets final: 26, pending: 5128, pool: 80
I   36.81] Elapsed: 36.81, vertices: 152, facets final: 26, pending: 7680, pool: 80
I   41.89] Elapsed: 41.89, vertices: 198, facets final: 28, pending: 9738, pool: 80
I   46.91] Elapsed: 46.91, vertices: 240, facets final: 30, pending: 11710, pool: 80
I   51.92] Elapsed: 51.92, vertices: 283, facets final: 31, pending: 13734, pool: 80
I   56.93] Elapsed: 56.93, vertices: 323, facets final: 32, pending: 15382, pool: 80
I   61.95] Elapsed: 1:02, vertices: 363, facets final: 32, pending: 17108, pool: 80
I   66.95] Elapsed: 1:07, vertices: 405, facets final: 33, pending: 18907, pool: 80
I   71.97] Elapsed: 1:12, vertices: 442, facets final: 34, pending: 20419, pool: 80
I   77.04] Elapsed: 1:17, vertices: 483, facets final: 34, pending: 21870, pool: 80
I   82.05] Elapsed: 1:22, vertices: 524, facets final: 35, pending: 22969, pool: 80
I   87.08] Elapsed: 1:27, vertices: 561, facets final: 36, pending: 24182, pool: 80
I   92.09] Elapsed: 1:32, vertices: 596, facets final: 38, pending: 25307, pool: 80
I   97.10] Elapsed: 1:37, vertices: 629, facets final: 38, pending: 25855, pool: 80
I  102.13] Elapsed: 1:42, vertices: 664, facets final: 40, pending: 26881, pool: 80
I  107.14] Elapsed: 1:47, vertices: 697, facets final: 45, pending: 28122, pool: 80
I  112.14] Elapsed: 1:52, vertices: 726, facets final: 47, pending: 29159, pool: 80
I  117.25] Elapsed: 1:57, vertices: 757, facets final: 48, pending: 29892, pool: 80
I  122.25] Elapsed: 2:02, vertices: 786, facets final: 49, pending: 30442, pool: 80
I  127.34] Elapsed: 2:07, vertices: 816, facets final: 51, pending: 31436, pool: 80
I  132.35] Elapsed: 2:12, vertices: 847, facets final: 53, pending: 32257, pool: 80
