C copy string: rs=cd:ab;tu=cr:ab;v=a:bcstu
Using 2 threads
I    5.02] Elapsed: 5.02, vertices: 23, facets final: 12, pending: 347, pool: 17
I   10.14] Elapsed: 10.14, vertices: 51, facets final: 21, pending: 1104, pool: 29
I   15.16] Elapsed: 15.16, vertices: 130, facets final: 26, pending: 3856, pool: 30
I   20.17] Elapsed: 20.17, vertices: 210, facets final: 32, pending: 5993, pool: 30
I   25.20] Elapsed: 25.20, vertices: 287, facets final: 35, pending: 7859, pool: 30
I   30.25] Elapsed: 30.25, vertices: 352, facets final: 47, pending: 9528, pool: 30
I   35.26] Elapsed: 35.26, vertices: 430, facets final: 56, pending: 11047, pool: 30
I   40.28] Elapsed: 40.28, vertices: 498, facets final: 64, pending: 12725, pool: 30
I   45.29] Elapsed: 45.29, vertices: 565, facets final: 73, pending: 13888, pool: 30
I   50.31] Elapsed: 50.31, vertices: 632, facets final: 87, pending: 14858, pool: 30
I   55.33] Elapsed: 55.33, vertices: 705, facets final: 91, pending: 16399, pool: 30
I   60.36] Elapsed: 1:00, vertices: 765, facets final: 106, pending: 17058, pool: 30
I   65.37] Elapsed: 1:05, vertices: 826, facets final: 115, pending: 17644, pool: 30
I   70.38] Elapsed: 1:10, vertices: 892, facets final: 127, pending: 18322, pool: 30
I   75.39] Elapsed: 1:15, vertices: 952, facets final: 139, pending: 18946, pool: 30
I   80.43] Elapsed: 1:20, vertices: 1009, facets final: 152, pending: 19420, pool: 30
I   85.48] Elapsed: 1:25, vertices: 1073, facets final: 160, pending: 19507, pool: 30
I   90.50] Elapsed: 1:31, vertices: 1132, facets final: 174, pending: 19412, pool: 30
I   95.53] Elapsed: 1:36, vertices: 1187, facets final: 189, pending: 19409, pool: 30
I  100.54] Elapsed: 1:41, vertices: 1247, facets final: 198, pending: 19442, pool: 30
I  105.55] Elapsed: 1:46, vertices: 1306, facets final: 212, pending: 19205, pool: 30
I  110.63] Elapsed: 1:51, vertices: 1369, facets final: 223, pending: 19172, pool: 30
I  115.65] Elapsed: 1:56, vertices: 1434, facets final: 234, pending: 18953, pool: 30
I  120.72] Elapsed: 2:01, vertices: 1492, facets final: 249, pending: 18730, pool: 30
I  125.73] Elapsed: 2:06, vertices: 1544, facets final: 264, pending: 18507, pool: 30
I  130.73] Elapsed: 2:11, vertices: 1602, facets final: 277, pending: 18444, pool: 30
I  135.73] Elapsed: 2:16, vertices: 1655, facets final: 293, pending: 18277, pool: 30
I  140.74] Elapsed: 2:21, vertices: 1716, facets final: 308, pending: 18219, pool: 30
I  145.74] Elapsed: 2:26, vertices: 1778, facets final: 326, pending: 17990, pool: 30
I  150.79] Elapsed: 2:31, vertices: 1829, facets final: 345, pending: 17827, pool: 30
I  155.79] Elapsed: 2:36, vertices: 1879, facets final: 371, pending: 17566, pool: 30
I  160.79] Elapsed: 2:41, vertices: 1934, facets final: 389, pending: 17340, pool: 30
I  165.80] Elapsed: 2:46, vertices: 1978, facets final: 416, pending: 17038, pool: 30
I  170.82] Elapsed: 2:51, vertices: 2031, facets final: 439, pending: 16761, pool: 30
I  175.84] Elapsed: 2:56, vertices: 2085, facets final: 461, pending: 16431, pool: 30
I  180.84] Elapsed: 3:01, vertices: 2129, facets final: 486, pending: 16163, pool: 30
I  185.85] Elapsed: 3:06, vertices: 2183, facets final: 513, pending: 15780, pool: 30
I  190.86] Elapsed: 3:11, vertices: 2235, facets final: 534, pending: 15418, pool: 30
I  195.91] Elapsed: 3:16, vertices: 2280, facets final: 562, pending: 15153, pool: 30
I  200.91] Elapsed: 3:21, vertices: 2326, facets final: 589, pending: 14965, pool: 30
I  206.06] Elapsed: 3:26, vertices: 2368, facets final: 625, pending: 14625, pool: 30
I  211.09] Elapsed: 3:31, vertices: 2413, facets final: 656, pending: 14308, pool: 30
I  216.10] Elapsed: 3:36, vertices: 2453, facets final: 686, pending: 14097, pool: 30
I  221.11] Elapsed: 3:41, vertices: 2494, facets final: 724, pending: 13866, pool: 30
I  226.17] Elapsed: 3:46, vertices: 2542, facets final: 755, pending: 13609, pool: 30
I  231.22] Elapsed: 3:51, vertices: 2582, facets final: 785, pending: 13291, pool: 30
I  236.25] Elapsed: 3:56, vertices: 2620, facets final: 824, pending: 13080, pool: 30
I  241.27] Elapsed: 4:01, vertices: 2667, facets final: 859, pending: 12826, pool: 30
I  246.29] Elapsed: 4:06, vertices: 2708, facets final: 898, pending: 12707, pool: 30
I  251.33] Elapsed: 4:11, vertices: 2753, facets final: 934, pending: 12379, pool: 30
I  256.35] Elapsed: 4:16, vertices: 2789, facets final: 972, pending: 12149, pool: 30
I  261.36] Elapsed: 4:21, vertices: 2826, facets final: 1010, pending: 11999, pool: 30
I  266.40] Elapsed: 4:26, vertices: 2869, facets final: 1048, pending: 11761, pool: 30
I  271.43] Elapsed: 4:31, vertices: 2904, facets final: 1089, pending: 11569, pool: 30
I  276.50] Elapsed: 4:37, vertices: 2951, facets final: 1125, pending: 11384, pool: 30
I  281.50] Elapsed: 4:42, vertices: 2994, facets final: 1159, pending: 11233, pool: 30
I  286.53] Elapsed: 4:47, vertices: 3030, facets final: 1201, pending: 11046, pool: 30
I  291.58] Elapsed: 4:52, vertices: 3067, facets final: 1248, pending: 10824, pool: 30
I  296.58] Elapsed: 4:57, vertices: 3098, facets final: 1294, pending: 10585, pool: 30
I  301.64] Elapsed: 5:02, vertices: 3139, facets final: 1334, pending: 10341, pool: 30
I  306.64] Elapsed: 5:07, vertices: 3182, facets final: 1377, pending: 10162, pool: 30
I  311.65] Elapsed: 5:12, vertices: 3213, facets final: 1419, pending: 10006, pool: 30
I  316.68] Elapsed: 5:17, vertices: 3243, facets final: 1467, pending: 9872, pool: 30
I  321.73] Elapsed: 5:22, vertices: 3284, facets final: 1512, pending: 9625, pool: 30
I  326.79] Elapsed: 5:27, vertices: 3315, facets final: 1556, pending: 9440, pool: 30
I  331.82] Elapsed: 5:32, vertices: 3346, facets final: 1605, pending: 9266, pool: 30
I  336.83] Elapsed: 5:37, vertices: 3381, facets final: 1645, pending: 9040, pool: 30
I  341.84] Elapsed: 5:42, vertices: 3410, facets final: 1697, pending: 8863, pool: 30
I  346.85] Elapsed: 5:47, vertices: 3436, facets final: 1748, pending: 8730, pool: 30
I  351.88] Elapsed: 5:52, vertices: 3452, facets final: 1810, pending: 8600, pool: 29
I  356.90] Elapsed: 5:57, vertices: 3476, facets final: 1866, pending: 8481, pool: 30
I  361.92] Elapsed: 6:02, vertices: 3504, facets final: 1922, pending: 8303, pool: 29
I  366.94] Elapsed: 6:07, vertices: 3535, facets final: 1966, pending: 8151, pool: 30
I  371.98] Elapsed: 6:12, vertices: 3554, facets final: 2020, pending: 8029, pool: 30
I  377.02] Elapsed: 6:17, vertices: 3577, facets final: 2071, pending: 7882, pool: 30
I  382.10] Elapsed: 6:22, vertices: 3599, facets final: 2129, pending: 7766, pool: 30
I  387.14] Elapsed: 6:27, vertices: 3626, facets final: 2185, pending: 7638, pool: 30
I  392.15] Elapsed: 6:32, vertices: 3648, facets final: 2246, pending: 7488, pool: 30
I  397.17] Elapsed: 6:37, vertices: 3674, facets final: 2297, pending: 7359, pool: 30
I  402.19] Elapsed: 6:42, vertices: 3690, facets final: 2360, pending: 7232, pool: 30
I  407.24] Elapsed: 6:47, vertices: 3709, facets final: 2422, pending: 7112, pool: 30
I  412.25] Elapsed: 6:52, vertices: 3730, facets final: 2476, pending: 6993, pool: 30
I  417.25] Elapsed: 6:57, vertices: 3754, facets final: 2532, pending: 6876, pool: 30
I  422.33] Elapsed: 7:02, vertices: 3766, facets final: 2605, pending: 6766, pool: 30
I  427.36] Elapsed: 7:07, vertices: 3787, facets final: 2667, pending: 6632, pool: 30
I  432.36] Elapsed: 7:12, vertices: 3807, facets final: 2720, pending: 6541, pool: 30
I  437.39] Elapsed: 7:17, vertices: 3823, facets final: 2780, pending: 6429, pool: 30
I  442.40] Elapsed: 7:22, vertices: 3846, facets final: 2837, pending: 6338, pool: 30
I  447.44] Elapsed: 7:27, vertices: 3865, facets final: 2899, pending: 6219, pool: 30
I  452.48] Elapsed: 7:32, vertices: 3887, facets final: 2958, pending: 6100, pool: 30
I  457.49] Elapsed: 7:37, vertices: 3901, facets final: 3027, pending: 6005, pool: 30
