C copy string: rs=cd:ab;tu=cs:ab;v=a:bcrtu
Using 2 threads
I    5.67] Elapsed: 5.67, vertices: 21, facets final: 21, pending: 371, pool: 13
I   10.73] Elapsed: 10.73, vertices: 74, facets final: 26, pending: 2283, pool: 29
I   15.77] Elapsed: 15.77, vertices: 168, facets final: 28, pending: 5612, pool: 30
I   20.78] Elapsed: 20.78, vertices: 251, facets final: 31, pending: 7720, pool: 30
I   25.81] Elapsed: 25.81, vertices: 331, facets final: 33, pending: 10216, pool: 30
I   30.83] Elapsed: 30.83, vertices: 414, facets final: 37, pending: 12847, pool: 30
I   35.83] Elapsed: 35.83, vertices: 489, facets final: 41, pending: 16040, pool: 30
I   40.83] Elapsed: 40.83, vertices: 560, facets final: 46, pending: 18485, pool: 30
I   45.85] Elapsed: 45.85, vertices: 627, facets final: 52, pending: 20114, pool: 30
I   50.86] Elapsed: 50.86, vertices: 688, facets final: 56, pending: 21958, pool: 30
I   55.86] Elapsed: 55.86, vertices: 751, facets final: 62, pending: 23442, pool: 30
I   60.87] Elapsed: 1:01, vertices: 804, facets final: 69, pending: 24876, pool: 30
I   65.87] Elapsed: 1:06, vertices: 865, facets final: 70, pending: 26595, pool: 30
I   70.91] Elapsed: 1:11, vertices: 920, facets final: 74, pending: 28239, pool: 30
I   75.91] Elapsed: 1:16, vertices: 970, facets final: 76, pending: 29178, pool: 30
I   80.95] Elapsed: 1:21, vertices: 1021, facets final: 77, pending: 30226, pool: 30
I   86.01] Elapsed: 1:26, vertices: 1065, facets final: 82, pending: 31111, pool: 30
I   91.01] Elapsed: 1:31, vertices: 1108, facets final: 87, pending: 31870, pool: 30
I   96.03] Elapsed: 1:36, vertices: 1152, facets final: 92, pending: 32188, pool: 30
I  101.09] Elapsed: 1:41, vertices: 1197, facets final: 93, pending: 32829, pool: 30
I  106.10] Elapsed: 1:46, vertices: 1235, facets final: 94, pending: 33270, pool: 30
I  111.11] Elapsed: 1:51, vertices: 1280, facets final: 97, pending: 33619, pool: 30
I  116.11] Elapsed: 1:56, vertices: 1319, facets final: 99, pending: 34145, pool: 30
I  121.11] Elapsed: 2:01, vertices: 1357, facets final: 106, pending: 34556, pool: 30
I  126.13] Elapsed: 2:06, vertices: 1400, facets final: 112, pending: 34901, pool: 30
I  131.13] Elapsed: 2:11, vertices: 1441, facets final: 116, pending: 35129, pool: 30
I  136.14] Elapsed: 2:16, vertices: 1483, facets final: 119, pending: 35840, pool: 30
I  141.17] Elapsed: 2:21, vertices: 1529, facets final: 123, pending: 36351, pool: 30
I  146.19] Elapsed: 2:26, vertices: 1567, facets final: 131, pending: 36491, pool: 30
I  151.21] Elapsed: 2:31, vertices: 1605, facets final: 133, pending: 36881, pool: 30
I  156.25] Elapsed: 2:36, vertices: 1646, facets final: 140, pending: 37443, pool: 30
I  161.28] Elapsed: 2:41, vertices: 1686, facets final: 147, pending: 37568, pool: 30
I  166.31] Elapsed: 2:46, vertices: 1726, facets final: 151, pending: 37509, pool: 30
I  171.34] Elapsed: 2:51, vertices: 1764, facets final: 155, pending: 38055, pool: 30
I  176.34] Elapsed: 2:56, vertices: 1801, facets final: 158, pending: 38474, pool: 30
I  181.39] Elapsed: 3:01, vertices: 1841, facets final: 162, pending: 38964, pool: 30
I  186.43] Elapsed: 3:06, vertices: 1879, facets final: 167, pending: 39304, pool: 30
I  191.46] Elapsed: 3:11, vertices: 1916, facets final: 170, pending: 39552, pool: 30
I  196.51] Elapsed: 3:17, vertices: 1954, facets final: 174, pending: 39656, pool: 30
I  201.52] Elapsed: 3:22, vertices: 1989, facets final: 178, pending: 39925, pool: 30
I  206.52] Elapsed: 3:27, vertices: 2027, facets final: 180, pending: 40378, pool: 30
I  211.61] Elapsed: 3:32, vertices: 2063, facets final: 184, pending: 40143, pool: 30
I  216.64] Elapsed: 3:37, vertices: 2096, facets final: 188, pending: 40339, pool: 30
I  221.83] Elapsed: 3:42, vertices: 2131, facets final: 191, pending: 39984, pool: 30
I  226.86] Elapsed: 3:47, vertices: 2166, facets final: 195, pending: 39917, pool: 30
I  231.93] Elapsed: 3:52, vertices: 2201, facets final: 197, pending: 40373, pool: 30
I  237.01] Elapsed: 3:57, vertices: 2234, facets final: 203, pending: 40704, pool: 30
I  242.05] Elapsed: 4:02, vertices: 2273, facets final: 208, pending: 40821, pool: 30
I  247.05] Elapsed: 4:07, vertices: 2305, facets final: 213, pending: 40799, pool: 30
I  252.21] Elapsed: 4:12, vertices: 2337, facets final: 220, pending: 40922, pool: 30
I  257.22] Elapsed: 4:17, vertices: 2370, facets final: 222, pending: 41279, pool: 30
I  262.28] Elapsed: 4:22, vertices: 2400, facets final: 230, pending: 41638, pool: 30
I  267.33] Elapsed: 4:27, vertices: 2431, facets final: 235, pending: 41639, pool: 30
I  272.33] Elapsed: 4:32, vertices: 2464, facets final: 240, pending: 41710, pool: 30
I  277.33] Elapsed: 4:37, vertices: 2495, facets final: 240, pending: 41785, pool: 30
I  282.34] Elapsed: 4:42, vertices: 2523, facets final: 246, pending: 41742, pool: 30
I  287.49] Elapsed: 4:47, vertices: 2555, facets final: 252, pending: 41571, pool: 30
I  292.51] Elapsed: 4:53, vertices: 2583, facets final: 256, pending: 41249, pool: 30
I  297.51] Elapsed: 4:58, vertices: 2612, facets final: 261, pending: 41505, pool: 30
I  302.58] Elapsed: 5:03, vertices: 2647, facets final: 265, pending: 41367, pool: 30
I  307.60] Elapsed: 5:08, vertices: 2685, facets final: 271, pending: 41637, pool: 30
I  312.64] Elapsed: 5:13, vertices: 2715, facets final: 281, pending: 41707, pool: 30
I  317.66] Elapsed: 5:18, vertices: 2747, facets final: 289, pending: 41674, pool: 30
I  322.91] Elapsed: 5:23, vertices: 2782, facets final: 291, pending: 41572, pool: 30
I  327.92] Elapsed: 5:28, vertices: 2815, facets final: 299, pending: 41596, pool: 30
I  332.92] Elapsed: 5:33, vertices: 2855, facets final: 302, pending: 41566, pool: 30
I  337.95] Elapsed: 5:38, vertices: 2890, facets final: 311, pending: 41521, pool: 30
I  342.96] Elapsed: 5:43, vertices: 2923, facets final: 319, pending: 41478, pool: 30
I  347.98] Elapsed: 5:48, vertices: 2954, facets final: 321, pending: 41447, pool: 30
I  353.02] Elapsed: 5:53, vertices: 2985, facets final: 331, pending: 41436, pool: 30
I  358.04] Elapsed: 5:58, vertices: 3017, facets final: 339, pending: 41360, pool: 30
I  363.07] Elapsed: 6:03, vertices: 3051, facets final: 348, pending: 41169, pool: 30
I  368.08] Elapsed: 6:08, vertices: 3086, facets final: 350, pending: 41317, pool: 30
I  373.25] Elapsed: 6:13, vertices: 3115, facets final: 357, pending: 41300, pool: 30
I  378.25] Elapsed: 6:18, vertices: 3146, facets final: 364, pending: 41109, pool: 30
I  383.29] Elapsed: 6:23, vertices: 3174, facets final: 368, pending: 40968, pool: 30
I  388.34] Elapsed: 6:28, vertices: 3204, facets final: 372, pending: 40901, pool: 30
I  393.36] Elapsed: 6:33, vertices: 3237, facets final: 374, pending: 41071, pool: 30
I  398.47] Elapsed: 6:38, vertices: 3267, facets final: 380, pending: 41132, pool: 30
I  403.53] Elapsed: 6:44, vertices: 3296, facets final: 387, pending: 40918, pool: 30
I  408.56] Elapsed: 6:49, vertices: 3328, facets final: 391, pending: 40809, pool: 30
I  413.85] Elapsed: 6:54, vertices: 3356, facets final: 403, pending: 40493, pool: 30
I  418.91] Elapsed: 6:59, vertices: 3386, facets final: 406, pending: 40282, pool: 30
I  423.91] Elapsed: 7:04, vertices: 3415, facets final: 412, pending: 39859, pool: 30
I  428.94] Elapsed: 7:09, vertices: 3449, facets final: 417, pending: 39723, pool: 30
I  434.04] Elapsed: 7:14, vertices: 3485, facets final: 423, pending: 39666, pool: 30
I  439.05] Elapsed: 7:19, vertices: 3515, facets final: 429, pending: 39634, pool: 30
I  444.05] Elapsed: 7:24, vertices: 3551, facets final: 445, pending: 39551, pool: 30
I  449.07] Elapsed: 7:29, vertices: 3584, facets final: 447, pending: 39582, pool: 30
I  454.08] Elapsed: 7:34, vertices: 3620, facets final: 452, pending: 39216, pool: 30
I  459.14] Elapsed: 7:39, vertices: 3654, facets final: 460, pending: 39116, pool: 30
I  464.15] Elapsed: 7:44, vertices: 3682, facets final: 472, pending: 38927, pool: 30
I  469.16] Elapsed: 7:49, vertices: 3715, facets final: 478, pending: 38974, pool: 30
I  474.18] Elapsed: 7:54, vertices: 3750, facets final: 484, pending: 38726, pool: 30
I  479.23] Elapsed: 7:59, vertices: 3787, facets final: 492, pending: 38415, pool: 30
I  484.23] Elapsed: 8:04, vertices: 3819, facets final: 501, pending: 38199, pool: 30
I  489.34] Elapsed: 8:09, vertices: 3854, facets final: 506, pending: 38007, pool: 30
I  494.41] Elapsed: 8:14, vertices: 3889, facets final: 514, pending: 37667, pool: 30
I  499.41] Elapsed: 8:19, vertices: 3920, facets final: 527, pending: 37242, pool: 30
I  504.41] Elapsed: 8:24, vertices: 3953, facets final: 537, pending: 36923, pool: 30
I  509.44] Elapsed: 8:29, vertices: 3989, facets final: 546, pending: 36577, pool: 30
I  514.44] Elapsed: 8:34, vertices: 4024, facets final: 558, pending: 36508, pool: 30
I  519.58] Elapsed: 8:40, vertices: 4056, facets final: 573, pending: 36348, pool: 30
I  524.73] Elapsed: 8:45, vertices: 4093, facets final: 582, pending: 36334, pool: 30
I  529.75] Elapsed: 8:50, vertices: 4120, facets final: 594, pending: 36107, pool: 30
I  534.78] Elapsed: 8:55, vertices: 4158, facets final: 602, pending: 35852, pool: 30
I  539.78] Elapsed: 9:00, vertices: 4192, facets final: 612, pending: 35519, pool: 30
I  544.80] Elapsed: 9:05, vertices: 4230, facets final: 623, pending: 35322, pool: 30
I  549.80] Elapsed: 9:10, vertices: 4264, facets final: 635, pending: 35227, pool: 30
I  554.83] Elapsed: 9:15, vertices: 4303, facets final: 637, pending: 34841, pool: 30
I  559.86] Elapsed: 9:20, vertices: 4342, facets final: 646, pending: 34542, pool: 30
I  564.89] Elapsed: 9:25, vertices: 4379, facets final: 658, pending: 34614, pool: 30
I  569.89] Elapsed: 9:30, vertices: 4413, facets final: 680, pending: 34413, pool: 30
I  574.93] Elapsed: 9:35, vertices: 4445, facets final: 699, pending: 34274, pool: 30
I  579.93] Elapsed: 9:40, vertices: 4485, facets final: 704, pending: 34025, pool: 30
I  585.04] Elapsed: 9:45, vertices: 4519, facets final: 716, pending: 33750, pool: 30
I  590.06] Elapsed: 9:50, vertices: 4553, facets final: 728, pending: 33522, pool: 30
I  595.06] Elapsed: 9:55, vertices: 4586, facets final: 737, pending: 33326, pool: 30
I  600.06] Elapsed: 10:00, vertices: 4625, facets final: 746, pending: 32984, pool: 30
I  605.13] Elapsed: 10:05, vertices: 4663, facets final: 760, pending: 32813, pool: 30
I  610.17] Elapsed: 10:10, vertices: 4699, facets final: 773, pending: 32623, pool: 30
I  615.23] Elapsed: 10:15, vertices: 4739, facets final: 783, pending: 32305, pool: 30
I  620.27] Elapsed: 10:20, vertices: 4776, facets final: 801, pending: 32097, pool: 30
I  625.33] Elapsed: 10:25, vertices: 4817, facets final: 810, pending: 31752, pool: 30
I  630.36] Elapsed: 10:30, vertices: 4857, facets final: 826, pending: 31661, pool: 30
I  635.37] Elapsed: 10:35, vertices: 4893, facets final: 838, pending: 31446, pool: 30
I  640.37] Elapsed: 10:40, vertices: 4933, facets final: 849, pending: 31209, pool: 30
I  645.38] Elapsed: 10:45, vertices: 4969, facets final: 865, pending: 31040, pool: 30
I  650.44] Elapsed: 10:50, vertices: 5001, facets final: 878, pending: 30750, pool: 30
I  655.44] Elapsed: 10:55, vertices: 5032, facets final: 887, pending: 30583, pool: 30
I  660.45] Elapsed: 11:00, vertices: 5071, facets final: 906, pending: 30342, pool: 30
I  665.51] Elapsed: 11:06, vertices: 5110, facets final: 918, pending: 30059, pool: 30
I  670.54] Elapsed: 11:11, vertices: 5145, facets final: 933, pending: 29788, pool: 30
I  675.54] Elapsed: 11:16, vertices: 5181, facets final: 949, pending: 29600, pool: 30
I  680.54] Elapsed: 11:21, vertices: 5218, facets final: 963, pending: 29480, pool: 30
I  685.55] Elapsed: 11:26, vertices: 5255, facets final: 984, pending: 29295, pool: 30
I  690.57] Elapsed: 11:31, vertices: 5293, facets final: 1004, pending: 29106, pool: 30
I  695.64] Elapsed: 11:36, vertices: 5337, facets final: 1019, pending: 28939, pool: 30
I  700.66] Elapsed: 11:41, vertices: 5380, facets final: 1032, pending: 28615, pool: 30
I  705.66] Elapsed: 11:46, vertices: 5413, facets final: 1045, pending: 28554, pool: 30
I  710.70] Elapsed: 11:51, vertices: 5446, facets final: 1068, pending: 28445, pool: 30
I  715.70] Elapsed: 11:56, vertices: 5484, facets final: 1090, pending: 28142, pool: 30
I  720.72] Elapsed: 12:01, vertices: 5524, facets final: 1110, pending: 28010, pool: 30
I  725.74] Elapsed: 12:06, vertices: 5569, facets final: 1119, pending: 27910, pool: 30
I  730.78] Elapsed: 12:11, vertices: 5612, facets final: 1135, pending: 27697, pool: 30
I  735.88] Elapsed: 12:16, vertices: 5648, facets final: 1156, pending: 27414, pool: 30
I  740.93] Elapsed: 12:21, vertices: 5684, facets final: 1174, pending: 27232, pool: 30
I  745.95] Elapsed: 12:26, vertices: 5718, facets final: 1192, pending: 26906, pool: 30
I  750.98] Elapsed: 12:31, vertices: 5755, facets final: 1215, pending: 26653, pool: 30
I  756.02] Elapsed: 12:36, vertices: 5791, facets final: 1230, pending: 26471, pool: 30
I  761.08] Elapsed: 12:41, vertices: 5830, facets final: 1255, pending: 26299, pool: 30
I  766.10] Elapsed: 12:46, vertices: 5870, facets final: 1275, pending: 26012, pool: 30
I  771.17] Elapsed: 12:51, vertices: 5914, facets final: 1286, pending: 25778, pool: 30
I  776.20] Elapsed: 12:56, vertices: 5948, facets final: 1317, pending: 25576, pool: 30
I  781.22] Elapsed: 13:01, vertices: 5998, facets final: 1338, pending: 25343, pool: 30
I  786.24] Elapsed: 13:06, vertices: 6043, facets final: 1357, pending: 25169, pool: 30
I  791.25] Elapsed: 13:11, vertices: 6081, facets final: 1380, pending: 25071, pool: 30
I  796.28] Elapsed: 13:16, vertices: 6119, facets final: 1412, pending: 24809, pool: 30
I  801.31] Elapsed: 13:21, vertices: 6161, facets final: 1439, pending: 24548, pool: 30
I  806.31] Elapsed: 13:26, vertices: 6200, facets final: 1462, pending: 24416, pool: 30
I  811.31] Elapsed: 13:31, vertices: 6249, facets final: 1479, pending: 24203, pool: 30
I  816.32] Elapsed: 13:36, vertices: 6286, facets final: 1510, pending: 23942, pool: 30
I  821.34] Elapsed: 13:41, vertices: 6323, facets final: 1537, pending: 23700, pool: 30
I  826.34] Elapsed: 13:46, vertices: 6367, facets final: 1561, pending: 23543, pool: 30
I  831.36] Elapsed: 13:51, vertices: 6409, facets final: 1586, pending: 23288, pool: 30
I  836.40] Elapsed: 13:56, vertices: 6448, facets final: 1615, pending: 23124, pool: 30
I  841.42] Elapsed: 14:01, vertices: 6489, facets final: 1648, pending: 22833, pool: 30
I  846.45] Elapsed: 14:06, vertices: 6526, facets final: 1674, pending: 22656, pool: 30
I  851.47] Elapsed: 14:11, vertices: 6564, facets final: 1705, pending: 22526, pool: 30
I  856.49] Elapsed: 14:16, vertices: 6603, facets final: 1733, pending: 22315, pool: 30
I  861.49] Elapsed: 14:21, vertices: 6634, facets final: 1777, pending: 22144, pool: 30
I  866.53] Elapsed: 14:27, vertices: 6667, facets final: 1819, pending: 21968, pool: 30
I  871.53] Elapsed: 14:32, vertices: 6706, facets final: 1847, pending: 21741, pool: 30
I  876.55] Elapsed: 14:37, vertices: 6739, facets final: 1886, pending: 21537, pool: 30
I  881.55] Elapsed: 14:42, vertices: 6770, facets final: 1921, pending: 21321, pool: 30
I  886.55] Elapsed: 14:47, vertices: 6807, facets final: 1952, pending: 21149, pool: 30
I  891.55] Elapsed: 14:52, vertices: 6845, facets final: 1980, pending: 21011, pool: 30
I  896.56] Elapsed: 14:57, vertices: 6875, facets final: 2025, pending: 20837, pool: 30
I  901.56] Elapsed: 15:02, vertices: 6910, facets final: 2057, pending: 20643, pool: 30
I  906.56] Elapsed: 15:07, vertices: 6947, facets final: 2088, pending: 20451, pool: 30
I  911.56] Elapsed: 15:12, vertices: 6991, facets final: 2118, pending: 20295, pool: 30
I  916.59] Elapsed: 15:17, vertices: 7028, facets final: 2154, pending: 20190, pool: 30
I  921.62] Elapsed: 15:22, vertices: 7065, facets final: 2183, pending: 20020, pool: 30
I  926.63] Elapsed: 15:27, vertices: 7100, facets final: 2220, pending: 19879, pool: 30
I  931.64] Elapsed: 15:32, vertices: 7128, facets final: 2270, pending: 19697, pool: 30
I  936.65] Elapsed: 15:37, vertices: 7162, facets final: 2305, pending: 19569, pool: 30
I  941.66] Elapsed: 15:42, vertices: 7196, facets final: 2355, pending: 19435, pool: 30
I  946.70] Elapsed: 15:47, vertices: 7227, facets final: 2401, pending: 19257, pool: 30
I  951.71] Elapsed: 15:52, vertices: 7257, facets final: 2447, pending: 19109, pool: 30
I  956.74] Elapsed: 15:57, vertices: 7287, facets final: 2486, pending: 18954, pool: 30
I  961.76] Elapsed: 16:02, vertices: 7320, facets final: 2528, pending: 18760, pool: 30
I  966.76] Elapsed: 16:07, vertices: 7356, facets final: 2570, pending: 18591, pool: 30
I  971.77] Elapsed: 16:12, vertices: 7387, facets final: 2616, pending: 18450, pool: 30
I  976.80] Elapsed: 16:17, vertices: 7424, facets final: 2653, pending: 18236, pool: 30
I  981.83] Elapsed: 16:22, vertices: 7458, facets final: 2695, pending: 18022, pool: 30
I  986.90] Elapsed: 16:27, vertices: 7490, facets final: 2749, pending: 17839, pool: 30
I  991.92] Elapsed: 16:32, vertices: 7522, facets final: 2791, pending: 17651, pool: 30
I  996.99] Elapsed: 16:37, vertices: 7567, facets final: 2830, pending: 17551, pool: 30
I 1002.01] Elapsed: 16:42, vertices: 7602, facets final: 2877, pending: 17342, pool: 30
I 1007.03] Elapsed: 16:47, vertices: 7644, facets final: 2919, pending: 17202, pool: 30
I 1012.11] Elapsed: 16:52, vertices: 7682, facets final: 2954, pending: 17077, pool: 30
I 1017.13] Elapsed: 16:57, vertices: 7712, facets final: 3002, pending: 16951, pool: 30
