C copy string: rs=cd:ab;tu=a|a:bcs;v=a:crt
I    5.01] Elapsed: 5.01, vertices: 58, facets final: 18, pending: 2064, pool: 87
I   10.06] Elapsed: 10.06, vertices: 115, facets final: 22, pending: 5398, pool: 175
I   15.14] Elapsed: 15.14, vertices: 164, facets final: 24, pending: 9076, pool: 262
I   20.17] Elapsed: 20.17, vertices: 204, facets final: 27, pending: 11918, pool: 334
I   25.21] Elapsed: 25.21, vertices: 242, facets final: 29, pending: 14380, pool: 400
I   30.27] Elapsed: 30.27, vertices: 285, facets final: 31, pending: 17534, pool: 400
I   35.31] Elapsed: 35.31, vertices: 323, facets final: 33, pending: 20105, pool: 400
I   40.39] Elapsed: 40.39, vertices: 358, facets final: 36, pending: 22004, pool: 400
I   45.47] Elapsed: 45.47, vertices: 390, facets final: 39, pending: 23808, pool: 400
I   50.55] Elapsed: 50.55, vertices: 419, facets final: 39, pending: 25989, pool: 400
I   55.64] Elapsed: 55.64, vertices: 446, facets final: 40, pending: 28017, pool: 400
I   60.78] Elapsed: 1:01, vertices: 470, facets final: 40, pending: 29698, pool: 400
I   65.94] Elapsed: 1:06, vertices: 493, facets final: 42, pending: 31509, pool: 400
I   71.20] Elapsed: 1:11, vertices: 515, facets final: 42, pending: 32963, pool: 400
I   76.37] Elapsed: 1:16, vertices: 536, facets final: 42, pending: 34216, pool: 400
I   81.41] Elapsed: 1:21, vertices: 554, facets final: 42, pending: 35321, pool: 400
I   86.49] Elapsed: 1:26, vertices: 574, facets final: 44, pending: 36348, pool: 400
I   91.64] Elapsed: 1:32, vertices: 593, facets final: 44, pending: 37658, pool: 400
I   96.89] Elapsed: 1:37, vertices: 610, facets final: 45, pending: 38659, pool: 400
I  101.93] Elapsed: 1:42, vertices: 628, facets final: 46, pending: 40177, pool: 400
I  106.93] Elapsed: 1:47, vertices: 641, facets final: 47, pending: 40637, pool: 400
I  112.11] Elapsed: 1:52, vertices: 659, facets final: 47, pending: 41407, pool: 400
I  117.36] Elapsed: 1:57, vertices: 673, facets final: 48, pending: 42344, pool: 400
I  122.53] Elapsed: 2:03, vertices: 689, facets final: 50, pending: 43453, pool: 400
I  127.55] Elapsed: 2:08, vertices: 704, facets final: 51, pending: 44390, pool: 400
I  132.68] Elapsed: 2:13, vertices: 721, facets final: 52, pending: 45052, pool: 400
I  137.73] Elapsed: 2:18, vertices: 736, facets final: 53, pending: 46107, pool: 400
I  142.80] Elapsed: 2:23, vertices: 748, facets final: 55, pending: 46706, pool: 400
I  147.96] Elapsed: 2:28, vertices: 762, facets final: 55, pending: 47500, pool: 400
I  153.08] Elapsed: 2:33, vertices: 775, facets final: 55, pending: 48234, pool: 400
I  158.35] Elapsed: 2:38, vertices: 788, facets final: 55, pending: 49058, pool: 400
I  163.63] Elapsed: 2:44, vertices: 801, facets final: 57, pending: 49638, pool: 400
I  168.91] Elapsed: 2:49, vertices: 813, facets final: 57, pending: 50494, pool: 400
I  173.93] Elapsed: 2:54, vertices: 824, facets final: 58, pending: 50961, pool: 400
I  179.22] Elapsed: 2:59, vertices: 837, facets final: 58, pending: 51863, pool: 400
I  184.42] Elapsed: 3:04, vertices: 850, facets final: 58, pending: 52595, pool: 400
I  189.43] Elapsed: 3:09, vertices: 860, facets final: 58, pending: 53189, pool: 400
I  194.53] Elapsed: 3:15, vertices: 871, facets final: 58, pending: 53890, pool: 400
I  199.68] Elapsed: 3:20, vertices: 882, facets final: 61, pending: 54441, pool: 400
I  204.83] Elapsed: 3:25, vertices: 894, facets final: 62, pending: 55165, pool: 400
I  209.83] Elapsed: 3:30, vertices: 904, facets final: 62, pending: 55816, pool: 400
I  215.80] Elapsed: 3:36, vertices: 915, facets final: 62, pending: 56423, pool: 400
I  220.83] Elapsed: 3:41, vertices: 926, facets final: 62, pending: 57108, pool: 400
I  226.06] Elapsed: 3:46, vertices: 935, facets final: 62, pending: 57175, pool: 400
I  231.27] Elapsed: 3:51, vertices: 945, facets final: 62, pending: 57535, pool: 400
