C copy string: rs=cd:ab;tu=a|a:bcs;v=c:abrstu
I    5.01] Elapsed: 5.01, vertices: 100, facets final: 22, pending: 5187, pool: 166
I   10.01] Elapsed: 10.01, vertices: 165, facets final: 27, pending: 11555, pool: 254
I   15.02] Elapsed: 15.02, vertices: 193, facets final: 27, pending: 16709, pool: 342
I   20.03] Elapsed: 20.03, vertices: 217, facets final: 29, pending: 20664, pool: 388
I   25.14] Elapsed: 25.14, vertices: 238, facets final: 29, pending: 23539, pool: 400
I   30.31] Elapsed: 30.31, vertices: 257, facets final: 29, pending: 26272, pool: 400
I   35.41] Elapsed: 35.41, vertices: 275, facets final: 30, pending: 28212, pool: 400
I   40.61] Elapsed: 40.61, vertices: 291, facets final: 30, pending: 31538, pool: 400
I   45.92] Elapsed: 45.92, vertices: 305, facets final: 30, pending: 33250, pool: 400
I   51.00] Elapsed: 51.00, vertices: 319, facets final: 30, pending: 33660, pool: 400
I   56.18] Elapsed: 56.18, vertices: 334, facets final: 30, pending: 34250, pool: 400
I   61.37] Elapsed: 1:01, vertices: 347, facets final: 31, pending: 34625, pool: 399
I   66.74] Elapsed: 1:07, vertices: 363, facets final: 31, pending: 37012, pool: 400
I   71.82] Elapsed: 1:12, vertices: 373, facets final: 31, pending: 37834, pool: 399
I   76.90] Elapsed: 1:17, vertices: 388, facets final: 32, pending: 38433, pool: 400
I   82.28] Elapsed: 1:22, vertices: 400, facets final: 32, pending: 39263, pool: 400
I   87.40] Elapsed: 1:27, vertices: 412, facets final: 32, pending: 39977, pool: 400
I   92.44] Elapsed: 1:32, vertices: 423, facets final: 32, pending: 41661, pool: 400
I   97.67] Elapsed: 1:38, vertices: 436, facets final: 32, pending: 42270, pool: 400
I  102.81] Elapsed: 1:43, vertices: 449, facets final: 33, pending: 43214, pool: 400
I  108.09] Elapsed: 1:48, vertices: 461, facets final: 33, pending: 43559, pool: 400
I  113.31] Elapsed: 1:53, vertices: 473, facets final: 33, pending: 43397, pool: 400
I  118.62] Elapsed: 1:59, vertices: 486, facets final: 33, pending: 43928, pool: 400
I  123.89] Elapsed: 2:04, vertices: 498, facets final: 34, pending: 44027, pool: 400
I  128.89] Elapsed: 2:09, vertices: 509, facets final: 34, pending: 45244, pool: 400
I  134.19] Elapsed: 2:14, vertices: 521, facets final: 35, pending: 45520, pool: 400
I  139.22] Elapsed: 2:19, vertices: 531, facets final: 37, pending: 46714, pool: 400
I  144.48] Elapsed: 2:24, vertices: 542, facets final: 37, pending: 47626, pool: 400
I  149.73] Elapsed: 2:30, vertices: 553, facets final: 37, pending: 48289, pool: 399
I  154.99] Elapsed: 2:35, vertices: 565, facets final: 37, pending: 48776, pool: 400
I  160.43] Elapsed: 2:40, vertices: 575, facets final: 39, pending: 48965, pool: 400
I  166.33] Elapsed: 2:46, vertices: 588, facets final: 39, pending: 48748, pool: 400
I  171.37] Elapsed: 2:51, vertices: 598, facets final: 39, pending: 49080, pool: 400
I  176.54] Elapsed: 2:57, vertices: 610, facets final: 40, pending: 49286, pool: 400
I  181.93] Elapsed: 3:02, vertices: 622, facets final: 40, pending: 49940, pool: 400
I  187.01] Elapsed: 3:07, vertices: 631, facets final: 40, pending: 49115, pool: 400
I  192.33] Elapsed: 3:12, vertices: 641, facets final: 41, pending: 49490, pool: 400
I  198.42] Elapsed: 3:18, vertices: 652, facets final: 41, pending: 50093, pool: 400
I  203.64] Elapsed: 3:24, vertices: 664, facets final: 42, pending: 50530, pool: 400
I  208.84] Elapsed: 3:29, vertices: 674, facets final: 42, pending: 50747, pool: 399
I  214.05] Elapsed: 3:34, vertices: 683, facets final: 42, pending: 50869, pool: 400
I  219.12] Elapsed: 3:39, vertices: 695, facets final: 43, pending: 50989, pool: 400
I  224.47] Elapsed: 3:44, vertices: 707, facets final: 43, pending: 51110, pool: 400
I  229.60] Elapsed: 3:50, vertices: 719, facets final: 43, pending: 50601, pool: 400
I  234.84] Elapsed: 3:55, vertices: 730, facets final: 44, pending: 51617, pool: 400
I  240.00] Elapsed: 4:00, vertices: 742, facets final: 44, pending: 52075, pool: 400
I  245.01] Elapsed: 4:05, vertices: 752, facets final: 44, pending: 52008, pool: 400
I  250.36] Elapsed: 4:10, vertices: 763, facets final: 46, pending: 51897, pool: 400
I  255.66] Elapsed: 4:16, vertices: 773, facets final: 47, pending: 52446, pool: 398
I  260.96] Elapsed: 4:21, vertices: 783, facets final: 47, pending: 52686, pool: 399
I  266.08] Elapsed: 4:26, vertices: 792, facets final: 48, pending: 53020, pool: 400
I  271.14] Elapsed: 4:31, vertices: 802, facets final: 48, pending: 53118, pool: 399
I  276.26] Elapsed: 4:36, vertices: 814, facets final: 48, pending: 52648, pool: 400
I  281.35] Elapsed: 4:41, vertices: 824, facets final: 48, pending: 52978, pool: 400
I  286.58] Elapsed: 4:47, vertices: 835, facets final: 48, pending: 53636, pool: 400
I  292.14] Elapsed: 4:52, vertices: 844, facets final: 48, pending: 53583, pool: 400
I  297.52] Elapsed: 4:58, vertices: 853, facets final: 48, pending: 53730, pool: 400
I  302.92] Elapsed: 5:03, vertices: 863, facets final: 49, pending: 53593, pool: 400
I  308.15] Elapsed: 5:08, vertices: 875, facets final: 49, pending: 53775, pool: 400
I  313.50] Elapsed: 5:14, vertices: 885, facets final: 49, pending: 54437, pool: 400
I  318.75] Elapsed: 5:19, vertices: 896, facets final: 50, pending: 54371, pool: 400
recalculate_facet: numerical instability at facet 57629, coord 3 (-1.11165e-06)
recalculate_facet: numerical instability at facet 57629, coord 4 (1.28309e-06)
I  323.79] Elapsed: 5:24, vertices: 905, facets final: 50, pending: 54693, pool: 400
I  329.55] Elapsed: 5:30, vertices: 916, facets final: 52, pending: 54743, pool: 400
I  334.65] Elapsed: 5:35, vertices: 926, facets final: 52, pending: 55020, pool: 400
I  339.86] Elapsed: 5:40, vertices: 937, facets final: 52, pending: 55502, pool: 400
I  345.12] Elapsed: 5:45, vertices: 947, facets final: 54, pending: 55824, pool: 400
I  350.25] Elapsed: 5:50, vertices: 956, facets final: 54, pending: 55676, pool: 400
I  355.29] Elapsed: 5:55, vertices: 966, facets final: 54, pending: 55640, pool: 400
I  360.36] Elapsed: 6:00, vertices: 976, facets final: 54, pending: 55782, pool: 397
I  365.77] Elapsed: 6:06, vertices: 987, facets final: 55, pending: 55761, pool: 400
I  371.12] Elapsed: 6:11, vertices: 996, facets final: 56, pending: 55765, pool: 400
I  376.54] Elapsed: 6:17, vertices: 1006, facets final: 56, pending: 55676, pool: 400
I  381.70] Elapsed: 6:22, vertices: 1017, facets final: 57, pending: 55990, pool: 400
I  387.14] Elapsed: 6:27, vertices: 1029, facets final: 59, pending: 56417, pool: 400
I  392.24] Elapsed: 6:32, vertices: 1039, facets final: 59, pending: 56338, pool: 400
I  397.49] Elapsed: 6:37, vertices: 1050, facets final: 59, pending: 56612, pool: 400
I  402.63] Elapsed: 6:43, vertices: 1060, facets final: 59, pending: 57189, pool: 400
I  407.66] Elapsed: 6:48, vertices: 1069, facets final: 59, pending: 57316, pool: 400
I  412.70] Elapsed: 6:53, vertices: 1079, facets final: 61, pending: 57471, pool: 400
I  417.95] Elapsed: 6:58, vertices: 1090, facets final: 63, pending: 57765, pool: 400
I  423.40] Elapsed: 7:03, vertices: 1100, facets final: 63, pending: 58237, pool: 400
I  428.83] Elapsed: 7:09, vertices: 1109, facets final: 63, pending: 58013, pool: 400
I  434.65] Elapsed: 7:15, vertices: 1119, facets final: 64, pending: 58007, pool: 400
I  439.80] Elapsed: 7:20, vertices: 1129, facets final: 64, pending: 58291, pool: 400
I  445.15] Elapsed: 7:25, vertices: 1140, facets final: 64, pending: 58673, pool: 400
I  450.16] Elapsed: 7:30, vertices: 1149, facets final: 64, pending: 59328, pool: 400
I  455.27] Elapsed: 7:35, vertices: 1158, facets final: 68, pending: 59670, pool: 399
I  461.24] Elapsed: 7:41, vertices: 1166, facets final: 68, pending: 59407, pool: 400
I  466.53] Elapsed: 7:47, vertices: 1176, facets final: 69, pending: 59108, pool: 400
I  471.62] Elapsed: 7:52, vertices: 1186, facets final: 70, pending: 59232, pool: 400
I  476.69] Elapsed: 7:57, vertices: 1195, facets final: 70, pending: 59298, pool: 400
I  481.69] Elapsed: 8:02, vertices: 1204, facets final: 73, pending: 59454, pool: 399
I  487.09] Elapsed: 8:07, vertices: 1213, facets final: 74, pending: 59769, pool: 400
I  492.50] Elapsed: 8:13, vertices: 1223, facets final: 74, pending: 60017, pool: 400
I  498.11] Elapsed: 8:18, vertices: 1233, facets final: 75, pending: 59803, pool: 400
I  503.43] Elapsed: 8:23, vertices: 1241, facets final: 75, pending: 59664, pool: 400
I  508.73] Elapsed: 8:29, vertices: 1252, facets final: 75, pending: 59924, pool: 399
I  513.93] Elapsed: 8:34, vertices: 1262, facets final: 77, pending: 60056, pool: 400
I  519.05] Elapsed: 8:39, vertices: 1270, facets final: 79, pending: 60017, pool: 400
I  524.05] Elapsed: 8:44, vertices: 1279, facets final: 81, pending: 60079, pool: 400
I  529.32] Elapsed: 8:49, vertices: 1290, facets final: 82, pending: 60191, pool: 400
I  534.37] Elapsed: 8:54, vertices: 1300, facets final: 83, pending: 60437, pool: 400
I  539.43] Elapsed: 8:59, vertices: 1308, facets final: 84, pending: 60439, pool: 400
I  544.51] Elapsed: 9:05, vertices: 1319, facets final: 86, pending: 60746, pool: 400
I  549.78] Elapsed: 9:10, vertices: 1329, facets final: 86, pending: 60945, pool: 400
I  555.27] Elapsed: 9:15, vertices: 1338, facets final: 88, pending: 61161, pool: 400
I  560.60] Elapsed: 9:21, vertices: 1349, facets final: 89, pending: 61148, pool: 400
I  565.67] Elapsed: 9:26, vertices: 1358, facets final: 89, pending: 61137, pool: 400
I  570.82] Elapsed: 9:31, vertices: 1367, facets final: 90, pending: 61025, pool: 400
recalculate_facet: numerical instability at facet 61502, coord 2 (-1.14724e-06)
recalculate_facet: numerical instability at facet 61502, coord 3 (-1.44478e-06)
recalculate_facet: numerical instability at facet 61502, coord 7 (2.09472e-06)
recalculate_facet: numerical instability at facet 61502, coord 10 (1.02433e-06)
recalculate_facet: numerical instability at facet 61561, coord 0 (-1.03153e-06)
recalculate_facet: numerical instability at facet 61561, coord 7 (1.94829e-06)
I  576.34] Elapsed: 9:36, vertices: 1376, facets final: 91, pending: 60767, pool: 400
I  581.49] Elapsed: 9:41, vertices: 1386, facets final: 93, pending: 60878, pool: 400
I  586.66] Elapsed: 9:47, vertices: 1396, facets final: 93, pending: 60856, pool: 400
I  592.26] Elapsed: 9:52, vertices: 1405, facets final: 93, pending: 60780, pool: 400
I  597.70] Elapsed: 9:58, vertices: 1413, facets final: 93, pending: 60352, pool: 400
I  603.41] Elapsed: 10:03, vertices: 1422, facets final: 93, pending: 60241, pool: 400
I  608.66] Elapsed: 10:09, vertices: 1431, facets final: 96, pending: 60051, pool: 400
I  614.09] Elapsed: 10:14, vertices: 1440, facets final: 96, pending: 60308, pool: 400
I  619.47] Elapsed: 10:19, vertices: 1450, facets final: 97, pending: 60498, pool: 400
I  625.10] Elapsed: 10:25, vertices: 1459, facets final: 99, pending: 60722, pool: 400
I  630.50] Elapsed: 10:31, vertices: 1468, facets final: 99, pending: 60703, pool: 399
I  635.80] Elapsed: 10:36, vertices: 1478, facets final: 99, pending: 60605, pool: 400
I  641.23] Elapsed: 10:41, vertices: 1485, facets final: 99, pending: 60817, pool: 400
I  646.29] Elapsed: 10:46, vertices: 1495, facets final: 101, pending: 60626, pool: 400
I  651.33] Elapsed: 10:51, vertices: 1503, facets final: 102, pending: 60682, pool: 400
I  656.36] Elapsed: 10:56, vertices: 1512, facets final: 103, pending: 60751, pool: 399
I  661.72] Elapsed: 11:02, vertices: 1522, facets final: 104, pending: 60548, pool: 399
I  666.91] Elapsed: 11:07, vertices: 1532, facets final: 104, pending: 60496, pool: 400
I  671.91] Elapsed: 11:12, vertices: 1542, facets final: 106, pending: 60465, pool: 400
I  677.59] Elapsed: 11:18, vertices: 1553, facets final: 107, pending: 60622, pool: 400
I  682.99] Elapsed: 11:23, vertices: 1562, facets final: 107, pending: 60821, pool: 400
I  688.24] Elapsed: 11:28, vertices: 1571, facets final: 107, pending: 60746, pool: 400
I  693.54] Elapsed: 11:34, vertices: 1582, facets final: 107, pending: 60800, pool: 400
I  698.56] Elapsed: 11:39, vertices: 1590, facets final: 108, pending: 60661, pool: 400
I  703.60] Elapsed: 11:44, vertices: 1600, facets final: 109, pending: 60850, pool: 400
I  708.86] Elapsed: 11:49, vertices: 1609, facets final: 109, pending: 60884, pool: 400
I  714.26] Elapsed: 11:54, vertices: 1619, facets final: 109, pending: 61152, pool: 400
I  719.73] Elapsed: 12:00, vertices: 1627, facets final: 109, pending: 60990, pool: 400
I  725.01] Elapsed: 12:05, vertices: 1637, facets final: 109, pending: 61151, pool: 400
I  730.82] Elapsed: 12:11, vertices: 1644, facets final: 109, pending: 61085, pool: 400
I  736.09] Elapsed: 12:16, vertices: 1654, facets final: 110, pending: 61204, pool: 400
I  741.14] Elapsed: 12:21, vertices: 1662, facets final: 111, pending: 61236, pool: 400
I  746.49] Elapsed: 12:26, vertices: 1669, facets final: 111, pending: 61198, pool: 400
I  751.50] Elapsed: 12:32, vertices: 1677, facets final: 112, pending: 61194, pool: 400
I  756.50] Elapsed: 12:37, vertices: 1684, facets final: 112, pending: 61304, pool: 400
I  761.50] Elapsed: 12:42, vertices: 1691, facets final: 112, pending: 61317, pool: 400
I  766.66] Elapsed: 12:47, vertices: 1698, facets final: 112, pending: 61594, pool: 400
I  771.93] Elapsed: 12:52, vertices: 1707, facets final: 112, pending: 61755, pool: 400
I  777.09] Elapsed: 12:57, vertices: 1715, facets final: 114, pending: 61846, pool: 400
I  782.85] Elapsed: 13:03, vertices: 1724, facets final: 114, pending: 61809, pool: 400
I  788.00] Elapsed: 13:08, vertices: 1733, facets final: 114, pending: 61845, pool: 400
I  793.58] Elapsed: 13:14, vertices: 1741, facets final: 114, pending: 62022, pool: 400
I  798.72] Elapsed: 13:19, vertices: 1750, facets final: 116, pending: 61943, pool: 400
I  803.82] Elapsed: 13:24, vertices: 1758, facets final: 118, pending: 62154, pool: 400
I  809.63] Elapsed: 13:30, vertices: 1768, facets final: 119, pending: 62065, pool: 400
I  814.65] Elapsed: 13:35, vertices: 1778, facets final: 120, pending: 62127, pool: 400
I  820.03] Elapsed: 13:40, vertices: 1787, facets final: 120, pending: 62046, pool: 400
I  825.43] Elapsed: 13:45, vertices: 1795, facets final: 120, pending: 62039, pool: 400
recalculate_facet: numerical instability at facet 65564, coord 3 (-1.36895e-06)
I  830.71] Elapsed: 13:51, vertices: 1804, facets final: 121, pending: 61957, pool: 400
I  835.75] Elapsed: 13:56, vertices: 1812, facets final: 121, pending: 61746, pool: 400
I  841.04] Elapsed: 14:01, vertices: 1821, facets final: 122, pending: 61666, pool: 400
I  846.04] Elapsed: 14:06, vertices: 1830, facets final: 123, pending: 61608, pool: 400
I  851.62] Elapsed: 14:12, vertices: 1838, facets final: 123, pending: 62017, pool: 400
I  856.93] Elapsed: 14:17, vertices: 1846, facets final: 123, pending: 61968, pool: 400
I  862.21] Elapsed: 14:22, vertices: 1856, facets final: 123, pending: 61827, pool: 400
I  867.67] Elapsed: 14:28, vertices: 1865, facets final: 123, pending: 61866, pool: 400
I  873.46] Elapsed: 14:33, vertices: 1873, facets final: 124, pending: 62240, pool: 400
I  878.46] Elapsed: 14:38, vertices: 1881, facets final: 128, pending: 62202, pool: 400
I  883.90] Elapsed: 14:44, vertices: 1890, facets final: 129, pending: 62504, pool: 400
I  889.29] Elapsed: 14:49, vertices: 1900, facets final: 132, pending: 62981, pool: 400
I  894.29] Elapsed: 14:54, vertices: 1907, facets final: 134, pending: 63200, pool: 400
I  899.96] Elapsed: 15:00, vertices: 1916, facets final: 134, pending: 63199, pool: 400
I  905.35] Elapsed: 15:05, vertices: 1921, facets final: 135, pending: 63345, pool: 400
I  910.68] Elapsed: 15:11, vertices: 1930, facets final: 137, pending: 63467, pool: 400
I  916.10] Elapsed: 15:16, vertices: 1938, facets final: 138, pending: 63400, pool: 400
I  921.10] Elapsed: 15:21, vertices: 1946, facets final: 141, pending: 63467, pool: 400
I  926.13] Elapsed: 15:26, vertices: 1953, facets final: 142, pending: 63478, pool: 400
I  931.14] Elapsed: 15:31, vertices: 1961, facets final: 145, pending: 63605, pool: 400
I  936.14] Elapsed: 15:36, vertices: 1971, facets final: 146, pending: 63656, pool: 400
I  941.81] Elapsed: 15:42, vertices: 1978, facets final: 147, pending: 63797, pool: 400
I  947.36] Elapsed: 15:47, vertices: 1988, facets final: 147, pending: 63793, pool: 400
I  953.18] Elapsed: 15:53, vertices: 1997, facets final: 147, pending: 63746, pool: 400
I  958.23] Elapsed: 15:58, vertices: 2006, facets final: 148, pending: 63985, pool: 400
I  963.34] Elapsed: 16:03, vertices: 2016, facets final: 148, pending: 63859, pool: 398
I  968.57] Elapsed: 16:09, vertices: 2025, facets final: 149, pending: 63928, pool: 400
I  973.62] Elapsed: 16:14, vertices: 2034, facets final: 149, pending: 63980, pool: 400
I  979.20] Elapsed: 16:19, vertices: 2043, facets final: 149, pending: 64323, pool: 400
I  984.47] Elapsed: 16:24, vertices: 2051, facets final: 150, pending: 64455, pool: 400
I  989.98] Elapsed: 16:30, vertices: 2061, facets final: 150, pending: 64809, pool: 400
I  994.99] Elapsed: 16:35, vertices: 2069, facets final: 150, pending: 64791, pool: 400
I 1000.77] Elapsed: 16:41, vertices: 2077, facets final: 152, pending: 64761, pool: 400
I 1006.21] Elapsed: 16:46, vertices: 2084, facets final: 152, pending: 64920, pool: 400
I 1011.64] Elapsed: 16:52, vertices: 2094, facets final: 156, pending: 65239, pool: 400
I 1016.74] Elapsed: 16:57, vertices: 2100, facets final: 158, pending: 65344, pool: 400
