C copy string: rs=cd:ab;tu=cs:ab;v=a:bcrtu
I    5.00] Elapsed: 5.00, vertices: 203, facets final: 26, pending: 7026, pool: 30
I   10.01] Elapsed: 10.01, vertices: 378, facets final: 36, pending: 12508, pool: 30
I   15.01] Elapsed: 15.01, vertices: 498, facets final: 39, pending: 16958, pool: 30
I   20.03] Elapsed: 20.03, vertices: 576, facets final: 44, pending: 19840, pool: 30
I   25.04] Elapsed: 25.04, vertices: 650, facets final: 49, pending: 21700, pool: 30
I   30.04] Elapsed: 30.04, vertices: 713, facets final: 53, pending: 23628, pool: 30
I   35.09] Elapsed: 35.09, vertices: 775, facets final: 60, pending: 25078, pool: 30
I   40.17] Elapsed: 40.17, vertices: 839, facets final: 65, pending: 26971, pool: 30
I   45.29] Elapsed: 45.29, vertices: 891, facets final: 69, pending: 28043, pool: 30
I   50.39] Elapsed: 50.39, vertices: 934, facets final: 74, pending: 29111, pool: 30
I   55.40] Elapsed: 55.40, vertices: 974, facets final: 76, pending: 30134, pool: 30
I   60.48] Elapsed: 1:00, vertices: 1019, facets final: 78, pending: 31046, pool: 30
I   65.58] Elapsed: 1:06, vertices: 1061, facets final: 81, pending: 31911, pool: 30
I   70.71] Elapsed: 1:11, vertices: 1099, facets final: 85, pending: 32586, pool: 30
I   75.91] Elapsed: 1:16, vertices: 1139, facets final: 89, pending: 32921, pool: 30
I   81.03] Elapsed: 1:21, vertices: 1184, facets final: 91, pending: 33614, pool: 30
I   86.03] Elapsed: 1:26, vertices: 1223, facets final: 94, pending: 33876, pool: 30
I   91.06] Elapsed: 1:31, vertices: 1265, facets final: 97, pending: 34302, pool: 30
I   96.15] Elapsed: 1:36, vertices: 1302, facets final: 102, pending: 34643, pool: 30
I  101.17] Elapsed: 1:41, vertices: 1344, facets final: 107, pending: 34785, pool: 30
I  106.17] Elapsed: 1:46, vertices: 1383, facets final: 110, pending: 35208, pool: 30
I  111.24] Elapsed: 1:51, vertices: 1418, facets final: 113, pending: 35585, pool: 30
I  116.37] Elapsed: 1:56, vertices: 1455, facets final: 119, pending: 35807, pool: 30
I  121.63] Elapsed: 2:02, vertices: 1490, facets final: 125, pending: 36311, pool: 30
I  126.68] Elapsed: 2:07, vertices: 1526, facets final: 126, pending: 36737, pool: 30
I  131.88] Elapsed: 2:12, vertices: 1558, facets final: 130, pending: 36963, pool: 30
I  137.00] Elapsed: 2:17, vertices: 1590, facets final: 133, pending: 36832, pool: 30
I  142.05] Elapsed: 2:22, vertices: 1620, facets final: 135, pending: 36616, pool: 30
I  147.07] Elapsed: 2:27, vertices: 1654, facets final: 139, pending: 36681, pool: 30
I  152.27] Elapsed: 2:32, vertices: 1695, facets final: 142, pending: 36720, pool: 30
I  157.36] Elapsed: 2:37, vertices: 1722, facets final: 144, pending: 37230, pool: 30
I  162.43] Elapsed: 2:42, vertices: 1756, facets final: 148, pending: 37701, pool: 30
I  167.51] Elapsed: 2:48, vertices: 1785, facets final: 151, pending: 38281, pool: 30
I  172.53] Elapsed: 2:53, vertices: 1815, facets final: 154, pending: 38493, pool: 30
I  177.96] Elapsed: 2:58, vertices: 1849, facets final: 159, pending: 38839, pool: 30
I  182.96] Elapsed: 3:03, vertices: 1876, facets final: 163, pending: 39059, pool: 30
I  188.06] Elapsed: 3:08, vertices: 1904, facets final: 168, pending: 39359, pool: 30
I  193.24] Elapsed: 3:13, vertices: 1938, facets final: 173, pending: 39366, pool: 30
I  198.28] Elapsed: 3:18, vertices: 1969, facets final: 178, pending: 39552, pool: 30
I  203.30] Elapsed: 3:23, vertices: 1999, facets final: 180, pending: 39699, pool: 30
I  208.35] Elapsed: 3:28, vertices: 2030, facets final: 187, pending: 39898, pool: 30
I  213.35] Elapsed: 3:33, vertices: 2066, facets final: 191, pending: 40059, pool: 30
I  218.36] Elapsed: 3:38, vertices: 2098, facets final: 196, pending: 40201, pool: 30
I  223.41] Elapsed: 3:43, vertices: 2129, facets final: 200, pending: 40143, pool: 30
I  228.45] Elapsed: 3:48, vertices: 2167, facets final: 204, pending: 40514, pool: 30
I  233.67] Elapsed: 3:54, vertices: 2200, facets final: 207, pending: 40705, pool: 30
I  238.79] Elapsed: 3:59, vertices: 2236, facets final: 209, pending: 40863, pool: 30
I  244.04] Elapsed: 4:04, vertices: 2264, facets final: 212, pending: 40648, pool: 30
I  249.04] Elapsed: 4:09, vertices: 2293, facets final: 216, pending: 40704, pool: 30
I  254.08] Elapsed: 4:14, vertices: 2319, facets final: 221, pending: 40821, pool: 30
I  259.12] Elapsed: 4:19, vertices: 2343, facets final: 226, pending: 40800, pool: 30
I  264.17] Elapsed: 4:24, vertices: 2370, facets final: 227, pending: 40665, pool: 30
I  269.31] Elapsed: 4:29, vertices: 2400, facets final: 228, pending: 40341, pool: 30
I  274.31] Elapsed: 4:34, vertices: 2426, facets final: 232, pending: 40343, pool: 30
I  279.37] Elapsed: 4:39, vertices: 2450, facets final: 232, pending: 40381, pool: 30
I  284.47] Elapsed: 4:44, vertices: 2481, facets final: 233, pending: 40384, pool: 30
I  289.58] Elapsed: 4:50, vertices: 2515, facets final: 238, pending: 40507, pool: 30
I  294.65] Elapsed: 4:55, vertices: 2542, facets final: 243, pending: 40612, pool: 30
I  299.78] Elapsed: 5:00, vertices: 2576, facets final: 244, pending: 40743, pool: 30
I  304.79] Elapsed: 5:05, vertices: 2606, facets final: 248, pending: 40749, pool: 30
I  309.94] Elapsed: 5:10, vertices: 2636, facets final: 255, pending: 40583, pool: 30
I  315.02] Elapsed: 5:15, vertices: 2665, facets final: 256, pending: 40489, pool: 30
I  320.05] Elapsed: 5:20, vertices: 2694, facets final: 260, pending: 40658, pool: 30
I  325.06] Elapsed: 5:25, vertices: 2724, facets final: 260, pending: 41071, pool: 30
I  330.10] Elapsed: 5:30, vertices: 2759, facets final: 268, pending: 41037, pool: 30
I  335.28] Elapsed: 5:35, vertices: 2788, facets final: 278, pending: 41253, pool: 30
I  340.29] Elapsed: 5:40, vertices: 2813, facets final: 282, pending: 41275, pool: 30
I  345.37] Elapsed: 5:45, vertices: 2842, facets final: 285, pending: 41124, pool: 30
I  350.39] Elapsed: 5:50, vertices: 2870, facets final: 287, pending: 41479, pool: 30
