C copy string: rs=cd:ab;tu=cs:ab;vw=ac:bdstu
I    5.05] Elapsed: 5.05, vertices: 25, facets final: 21, pending: 403, pool: 28
I   10.06] Elapsed: 10.06, vertices: 131, facets final: 22, pending: 5448, pool: 30
I   15.06] Elapsed: 15.06, vertices: 234, facets final: 24, pending: 11191, pool: 30
I   20.06] Elapsed: 20.06, vertices: 312, facets final: 26, pending: 15714, pool: 30
I   25.06] Elapsed: 25.06, vertices: 376, facets final: 29, pending: 19201, pool: 30
I   30.06] Elapsed: 30.06, vertices: 429, facets final: 32, pending: 22247, pool: 30
I   35.08] Elapsed: 35.08, vertices: 478, facets final: 34, pending: 24778, pool: 30
I   40.25] Elapsed: 40.25, vertices: 522, facets final: 36, pending: 26360, pool: 30
I   45.29] Elapsed: 45.29, vertices: 561, facets final: 36, pending: 28398, pool: 30
I   50.31] Elapsed: 50.31, vertices: 598, facets final: 36, pending: 30391, pool: 30
I   55.42] Elapsed: 55.42, vertices: 633, facets final: 37, pending: 31824, pool: 30
I   60.50] Elapsed: 1:01, vertices: 663, facets final: 38, pending: 33236, pool: 30
I   65.59] Elapsed: 1:06, vertices: 697, facets final: 39, pending: 35346, pool: 30
I   70.95] Elapsed: 1:11, vertices: 723, facets final: 39, pending: 36883, pool: 30
I   75.97] Elapsed: 1:16, vertices: 748, facets final: 40, pending: 38106, pool: 30
I   81.19] Elapsed: 1:21, vertices: 769, facets final: 40, pending: 39458, pool: 30
I   86.59] Elapsed: 1:27, vertices: 797, facets final: 41, pending: 40837, pool: 30
I   91.65] Elapsed: 1:32, vertices: 821, facets final: 42, pending: 41957, pool: 30
I   96.93] Elapsed: 1:37, vertices: 842, facets final: 43, pending: 43350, pool: 30
I  102.16] Elapsed: 1:42, vertices: 865, facets final: 43, pending: 44424, pool: 30
I  107.22] Elapsed: 1:47, vertices: 888, facets final: 44, pending: 45499, pool: 30
I  112.24] Elapsed: 1:52, vertices: 903, facets final: 46, pending: 46421, pool: 30
I  117.37] Elapsed: 1:57, vertices: 923, facets final: 47, pending: 47570, pool: 30
I  122.51] Elapsed: 2:03, vertices: 942, facets final: 47, pending: 48339, pool: 30
I  127.70] Elapsed: 2:08, vertices: 958, facets final: 47, pending: 49233, pool: 30
I  132.93] Elapsed: 2:13, vertices: 979, facets final: 47, pending: 50118, pool: 30
I  137.98] Elapsed: 2:18, vertices: 994, facets final: 47, pending: 50646, pool: 30
I  143.01] Elapsed: 2:23, vertices: 1012, facets final: 47, pending: 51733, pool: 30
I  148.25] Elapsed: 2:28, vertices: 1025, facets final: 47, pending: 52582, pool: 30
I  153.57] Elapsed: 2:34, vertices: 1041, facets final: 47, pending: 53540, pool: 30
I  158.67] Elapsed: 2:39, vertices: 1056, facets final: 47, pending: 54353, pool: 30
I  163.75] Elapsed: 2:44, vertices: 1073, facets final: 47, pending: 54735, pool: 30
I  168.80] Elapsed: 2:49, vertices: 1092, facets final: 49, pending: 55089, pool: 30
I  174.14] Elapsed: 2:54, vertices: 1107, facets final: 50, pending: 55702, pool: 30
I  179.22] Elapsed: 2:59, vertices: 1119, facets final: 50, pending: 56097, pool: 30
I  184.35] Elapsed: 3:04, vertices: 1135, facets final: 50, pending: 56626, pool: 30
I  190.00] Elapsed: 3:10, vertices: 1148, facets final: 50, pending: 57086, pool: 30
I  195.08] Elapsed: 3:15, vertices: 1161, facets final: 50, pending: 57956, pool: 30
I  200.11] Elapsed: 3:20, vertices: 1175, facets final: 50, pending: 58589, pool: 30
I  205.33] Elapsed: 3:25, vertices: 1187, facets final: 50, pending: 59027, pool: 30
I  210.57] Elapsed: 3:31, vertices: 1200, facets final: 50, pending: 59385, pool: 30
I  215.60] Elapsed: 3:36, vertices: 1211, facets final: 50, pending: 60038, pool: 30
I  220.64] Elapsed: 3:41, vertices: 1222, facets final: 50, pending: 60520, pool: 30
I  225.97] Elapsed: 3:46, vertices: 1231, facets final: 51, pending: 61149, pool: 30
I  230.99] Elapsed: 3:51, vertices: 1244, facets final: 51, pending: 61469, pool: 30
I  236.02] Elapsed: 3:56, vertices: 1255, facets final: 51, pending: 61821, pool: 30
I  241.02] Elapsed: 4:01, vertices: 1267, facets final: 51, pending: 62680, pool: 30
I  246.15] Elapsed: 4:06, vertices: 1277, facets final: 52, pending: 63303, pool: 30
I  251.34] Elapsed: 4:11, vertices: 1291, facets final: 54, pending: 63715, pool: 30
I  256.53] Elapsed: 4:17, vertices: 1302, facets final: 55, pending: 64432, pool: 30
I  261.84] Elapsed: 4:22, vertices: 1313, facets final: 57, pending: 64706, pool: 30
I  267.22] Elapsed: 4:27, vertices: 1326, facets final: 57, pending: 65170, pool: 30
I  272.28] Elapsed: 4:32, vertices: 1337, facets final: 58, pending: 65614, pool: 30
I  277.46] Elapsed: 4:37, vertices: 1347, facets final: 59, pending: 66167, pool: 30
I  282.68] Elapsed: 4:43, vertices: 1361, facets final: 59, pending: 66626, pool: 30
I  288.22] Elapsed: 4:48, vertices: 1370, facets final: 59, pending: 67230, pool: 30
I  293.69] Elapsed: 4:54, vertices: 1380, facets final: 61, pending: 67529, pool: 30
I  298.90] Elapsed: 4:59, vertices: 1394, facets final: 63, pending: 68100, pool: 30
I  303.94] Elapsed: 5:04, vertices: 1400, facets final: 64, pending: 68758, pool: 30
I  309.32] Elapsed: 5:09, vertices: 1410, facets final: 64, pending: 69165, pool: 30
I  314.52] Elapsed: 5:15, vertices: 1421, facets final: 64, pending: 69660, pool: 30
I  319.69] Elapsed: 5:20, vertices: 1428, facets final: 64, pending: 69886, pool: 30
I  324.86] Elapsed: 5:25, vertices: 1436, facets final: 65, pending: 69996, pool: 30
I  329.87] Elapsed: 5:30, vertices: 1443, facets final: 66, pending: 70265, pool: 30
I  335.19] Elapsed: 5:35, vertices: 1453, facets final: 66, pending: 70753, pool: 30
I  340.36] Elapsed: 5:40, vertices: 1463, facets final: 67, pending: 71348, pool: 30
I  345.62] Elapsed: 5:46, vertices: 1473, facets final: 67, pending: 71745, pool: 30
I  351.23] Elapsed: 5:51, vertices: 1482, facets final: 68, pending: 72154, pool: 30
I  356.59] Elapsed: 5:57, vertices: 1491, facets final: 68, pending: 72165, pool: 30
I  361.84] Elapsed: 6:02, vertices: 1498, facets final: 68, pending: 72282, pool: 30
