C copy string: rs=cd:ab;tuvw=a|a|a|a:bcs
I    5.00] Elapsed: 5.00, vertices: 159, facets final: 45, pending: 8751, pool: 229
I   10.00] Elapsed: 10.00, vertices: 226, facets final: 51, pending: 14022, pool: 332
I   15.08] Elapsed: 15.08, vertices: 271, facets final: 60, pending: 17988, pool: 398
I   20.17] Elapsed: 20.17, vertices: 311, facets final: 62, pending: 21222, pool: 400
I   25.22] Elapsed: 25.22, vertices: 346, facets final: 62, pending: 23736, pool: 398
I   30.55] Elapsed: 30.55, vertices: 375, facets final: 62, pending: 25729, pool: 400
I   35.63] Elapsed: 35.63, vertices: 401, facets final: 63, pending: 27739, pool: 400
I   40.70] Elapsed: 40.70, vertices: 427, facets final: 66, pending: 29373, pool: 400
I   45.74] Elapsed: 45.74, vertices: 451, facets final: 67, pending: 30869, pool: 398
I   50.96] Elapsed: 50.96, vertices: 473, facets final: 69, pending: 32695, pool: 400
I   56.03] Elapsed: 56.03, vertices: 494, facets final: 69, pending: 34109, pool: 400
I   61.06] Elapsed: 1:01, vertices: 514, facets final: 70, pending: 35297, pool: 400
I   66.14] Elapsed: 1:06, vertices: 531, facets final: 72, pending: 36395, pool: 399
I   71.25] Elapsed: 1:11, vertices: 549, facets final: 72, pending: 37581, pool: 400
I   76.51] Elapsed: 1:17, vertices: 566, facets final: 72, pending: 39080, pool: 400
I   81.67] Elapsed: 1:22, vertices: 583, facets final: 73, pending: 40362, pool: 400
I   86.71] Elapsed: 1:27, vertices: 600, facets final: 74, pending: 41250, pool: 399
I   91.82] Elapsed: 1:32, vertices: 616, facets final: 74, pending: 42418, pool: 400
I   97.08] Elapsed: 1:37, vertices: 630, facets final: 75, pending: 42992, pool: 400
I  102.17] Elapsed: 1:42, vertices: 644, facets final: 77, pending: 43944, pool: 400
I  107.34] Elapsed: 1:47, vertices: 659, facets final: 77, pending: 44811, pool: 400
I  112.51] Elapsed: 1:53, vertices: 673, facets final: 78, pending: 45668, pool: 399
I  117.52] Elapsed: 1:58, vertices: 686, facets final: 79, pending: 46224, pool: 400
I  122.65] Elapsed: 2:03, vertices: 699, facets final: 79, pending: 47371, pool: 400
I  127.75] Elapsed: 2:08, vertices: 713, facets final: 79, pending: 48196, pool: 400
I  133.11] Elapsed: 2:13, vertices: 725, facets final: 80, pending: 48881, pool: 400
