C copy string: rs=cd:ab;tu=ar:bcs;vw=bt:acr
I   10.58] Elapsed: 10.58, vertices: 1, facets final: 0, pending: 0
I   22.04] Elapsed: 22.04, vertices: 1, facets final: 0, pending: 10
I   29.50] Elapsed: 29.50, vertices: 2, facets final: 1, pending: 18
I   41.12] Elapsed: 41.12, vertices: 2, facets final: 1, pending: 18
I   55.26] Elapsed: 55.26, vertices: 3, facets final: 2, pending: 21
I   69.43] Elapsed: 1:09, vertices: 3, facets final: 5, pending: 18
I   77.16] Elapsed: 1:17, vertices: 3, facets final: 6, pending: 17
I   85.08] Elapsed: 1:25, vertices: 3, facets final: 6, pending: 17
I   93.53] Elapsed: 1:34, vertices: 4, facets final: 7, pending: 26
I   99.45] Elapsed: 1:39, vertices: 4, facets final: 8, pending: 25
I  107.70] Elapsed: 1:48, vertices: 4, facets final: 8, pending: 25
I  119.26] Elapsed: 1:59, vertices: 5, facets final: 8, pending: 27
I  125.28] Elapsed: 2:05, vertices: 6, facets final: 9, pending: 40
I  132.55] Elapsed: 2:13, vertices: 6, facets final: 9, pending: 40
I  140.66] Elapsed: 2:21, vertices: 8, facets final: 10, pending: 54
I  158.37] Elapsed: 2:38, vertices: 8, facets final: 10, pending: 54
I  166.09] Elapsed: 2:46, vertices: 9, facets final: 11, pending: 54
I  172.38] Elapsed: 2:52, vertices: 9, facets final: 11, pending: 54
I  182.90] Elapsed: 3:03, vertices: 11, facets final: 12, pending: 69
I  189.76] Elapsed: 3:10, vertices: 11, facets final: 13, pending: 68
I  196.37] Elapsed: 3:16, vertices: 11, facets final: 14, pending: 67
I  203.33] Elapsed: 3:23, vertices: 11, facets final: 14, pending: 67
I  214.41] Elapsed: 3:34, vertices: 13, facets final: 15, pending: 91
I  220.35] Elapsed: 3:40, vertices: 13, facets final: 16, pending: 90
I  226.30] Elapsed: 3:46, vertices: 13, facets final: 17, pending: 89
I  231.94] Elapsed: 3:52, vertices: 13, facets final: 18, pending: 88
I  238.64] Elapsed: 3:59, vertices: 13, facets final: 19, pending: 87
I  247.62] Elapsed: 4:08, vertices: 13, facets final: 19, pending: 87
