C copy string: rs=cd:ab;a,d,r,s;a,b,c,dr; ineq: base20.txt
I    5.17] Elapsed: 5.17, vertices: 122, facets final: 22, pending: 18045, pool: 261
I   10.23] Elapsed: 10.23, vertices: 158, facets final: 28, pending: 21410, pool: 299
I   15.32] Elapsed: 15.32, vertices: 194, facets final: 31, pending: 28047, pool: 299
I   20.43] Elapsed: 20.43, vertices: 218, facets final: 33, pending: 35161, pool: 298
I   25.62] Elapsed: 25.62, vertices: 239, facets final: 36, pending: 41629, pool: 300
I   30.64] Elapsed: 30.64, vertices: 254, facets final: 37, pending: 45196, pool: 300
I   35.77] Elapsed: 35.77, vertices: 268, facets final: 37, pending: 48476, pool: 300
I   41.21] Elapsed: 41.21, vertices: 283, facets final: 39, pending: 53172, pool: 300
I   46.27] Elapsed: 46.27, vertices: 296, facets final: 39, pending: 54705, pool: 300
I   51.27] Elapsed: 51.27, vertices: 307, facets final: 39, pending: 57690, pool: 299
I   56.82] Elapsed: 56.82, vertices: 317, facets final: 39, pending: 60476, pool: 300
I   62.80] Elapsed: 1:03, vertices: 328, facets final: 39, pending: 62245, pool: 300
I   68.08] Elapsed: 1:08, vertices: 339, facets final: 39, pending: 65196, pool: 299
I   73.72] Elapsed: 1:14, vertices: 349, facets final: 41, pending: 67374, pool: 300
I   78.91] Elapsed: 1:19, vertices: 360, facets final: 41, pending: 69235, pool: 300
I   84.30] Elapsed: 1:24, vertices: 370, facets final: 41, pending: 71080, pool: 300
I   90.11] Elapsed: 1:30, vertices: 378, facets final: 43, pending: 73259, pool: 300
I   95.20] Elapsed: 1:35, vertices: 387, facets final: 45, pending: 74595, pool: 300
I  100.40] Elapsed: 1:40, vertices: 394, facets final: 45, pending: 75845, pool: 299
I  105.89] Elapsed: 1:46, vertices: 402, facets final: 45, pending: 77038, pool: 300
I  111.05] Elapsed: 1:51, vertices: 410, facets final: 46, pending: 79027, pool: 300
recalculate_facet: numerical instability at facet 33, coord 2 (-1.35772e-06)
recalculate_facet: numerical instability at facet 33, coord 10 (-1.14168e-06)
I  116.63] Elapsed: 1:57, vertices: 419, facets final: 46, pending: 80834, pool: 300
I  121.75] Elapsed: 2:02, vertices: 428, facets final: 46, pending: 81665, pool: 300
I  126.96] Elapsed: 2:07, vertices: 435, facets final: 46, pending: 83443, pool: 300
I  132.40] Elapsed: 2:12, vertices: 444, facets final: 46, pending: 84419, pool: 299
I  137.66] Elapsed: 2:18, vertices: 452, facets final: 47, pending: 85458, pool: 300
I  143.91] Elapsed: 2:24, vertices: 461, facets final: 50, pending: 87704, pool: 298
I  149.06] Elapsed: 2:29, vertices: 467, facets final: 52, pending: 88510, pool: 300
I  154.60] Elapsed: 2:35, vertices: 475, facets final: 52, pending: 90418, pool: 300
I  159.66] Elapsed: 2:40, vertices: 483, facets final: 52, pending: 91782, pool: 300
I  164.85] Elapsed: 2:45, vertices: 491, facets final: 55, pending: 93197, pool: 300
I  170.08] Elapsed: 2:50, vertices: 497, facets final: 55, pending: 93814, pool: 300
I  176.12] Elapsed: 2:56, vertices: 505, facets final: 56, pending: 94566, pool: 300
I  181.14] Elapsed: 3:01, vertices: 512, facets final: 56, pending: 95771, pool: 300
I  187.64] Elapsed: 3:08, vertices: 517, facets final: 56, pending: 95768, pool: 300
I  192.77] Elapsed: 3:13, vertices: 523, facets final: 56, pending: 96463, pool: 300
I  197.96] Elapsed: 3:18, vertices: 529, facets final: 56, pending: 97190, pool: 299
I  203.11] Elapsed: 3:23, vertices: 535, facets final: 56, pending: 96967, pool: 300
I  208.28] Elapsed: 3:28, vertices: 540, facets final: 56, pending: 97015, pool: 300
I  213.35] Elapsed: 3:33, vertices: 548, facets final: 58, pending: 98754, pool: 300
I  218.81] Elapsed: 3:39, vertices: 555, facets final: 58, pending: 99462, pool: 300
I  224.35] Elapsed: 3:44, vertices: 563, facets final: 58, pending: 101140, pool: 300
I  229.40] Elapsed: 3:49, vertices: 570, facets final: 58, pending: 101873, pool: 300
I  234.71] Elapsed: 3:55, vertices: 576, facets final: 59, pending: 103284, pool: 300
I  240.04] Elapsed: 4:00, vertices: 582, facets final: 60, pending: 103051, pool: 300
I  245.56] Elapsed: 4:06, vertices: 589, facets final: 60, pending: 104251, pool: 300
I  251.06] Elapsed: 4:11, vertices: 594, facets final: 62, pending: 104038, pool: 300
I  256.64] Elapsed: 4:17, vertices: 600, facets final: 62, pending: 103922, pool: 300
I  262.47] Elapsed: 4:22, vertices: 607, facets final: 63, pending: 105512, pool: 300
I  268.46] Elapsed: 4:28, vertices: 613, facets final: 64, pending: 105716, pool: 300
I  273.88] Elapsed: 4:34, vertices: 619, facets final: 66, pending: 106721, pool: 300
I  279.59] Elapsed: 4:40, vertices: 626, facets final: 66, pending: 108427, pool: 300
I  284.60] Elapsed: 4:45, vertices: 631, facets final: 66, pending: 109201, pool: 300
I  290.07] Elapsed: 4:50, vertices: 638, facets final: 66, pending: 110141, pool: 300
I  296.20] Elapsed: 4:56, vertices: 645, facets final: 67, pending: 111400, pool: 300
I  301.81] Elapsed: 5:02, vertices: 652, facets final: 68, pending: 112487, pool: 300
I  308.02] Elapsed: 5:08, vertices: 656, facets final: 69, pending: 113561, pool: 300
I  313.14] Elapsed: 5:13, vertices: 662, facets final: 71, pending: 114121, pool: 300
I  318.44] Elapsed: 5:18, vertices: 668, facets final: 71, pending: 115529, pool: 298
I  323.57] Elapsed: 5:24, vertices: 674, facets final: 71, pending: 115788, pool: 300
I  328.61] Elapsed: 5:29, vertices: 679, facets final: 71, pending: 116219, pool: 300
I  334.30] Elapsed: 5:34, vertices: 684, facets final: 71, pending: 116284, pool: 300
I  339.33] Elapsed: 5:39, vertices: 690, facets final: 71, pending: 116342, pool: 298
I  344.39] Elapsed: 5:44, vertices: 695, facets final: 71, pending: 116200, pool: 300
I  349.93] Elapsed: 5:50, vertices: 701, facets final: 71, pending: 115918, pool: 300
I  355.35] Elapsed: 5:55, vertices: 707, facets final: 71, pending: 116366, pool: 300
I  360.64] Elapsed: 6:01, vertices: 713, facets final: 73, pending: 116630, pool: 300
I  365.77] Elapsed: 6:06, vertices: 719, facets final: 73, pending: 117990, pool: 300
I  371.39] Elapsed: 6:11, vertices: 725, facets final: 73, pending: 118335, pool: 300
I  376.90] Elapsed: 6:17, vertices: 732, facets final: 74, pending: 118845, pool: 300
I  382.73] Elapsed: 6:23, vertices: 737, facets final: 75, pending: 119765, pool: 300
I  388.12] Elapsed: 6:28, vertices: 743, facets final: 75, pending: 119235, pool: 299
I  393.63] Elapsed: 6:34, vertices: 748, facets final: 75, pending: 119883, pool: 300
I  399.21] Elapsed: 6:39, vertices: 754, facets final: 75, pending: 120183, pool: 300
I  404.85] Elapsed: 6:45, vertices: 759, facets final: 76, pending: 120311, pool: 300
I  409.90] Elapsed: 6:50, vertices: 765, facets final: 76, pending: 120653, pool: 300
I  416.18] Elapsed: 6:56, vertices: 771, facets final: 77, pending: 120337, pool: 300
I  421.31] Elapsed: 7:01, vertices: 776, facets final: 77, pending: 120401, pool: 300
I  426.88] Elapsed: 7:07, vertices: 781, facets final: 77, pending: 121297, pool: 300
I  432.67] Elapsed: 7:13, vertices: 786, facets final: 80, pending: 121395, pool: 300
I  438.96] Elapsed: 7:19, vertices: 792, facets final: 80, pending: 122030, pool: 300
I  444.64] Elapsed: 7:25, vertices: 798, facets final: 81, pending: 122228, pool: 300
I  450.50] Elapsed: 7:31, vertices: 803, facets final: 82, pending: 122687, pool: 300
I  455.74] Elapsed: 7:36, vertices: 808, facets final: 82, pending: 123064, pool: 300
I  460.91] Elapsed: 7:41, vertices: 814, facets final: 82, pending: 123549, pool: 300
I  466.14] Elapsed: 7:46, vertices: 820, facets final: 82, pending: 123920, pool: 300
I  472.08] Elapsed: 7:52, vertices: 826, facets final: 85, pending: 123478, pool: 300
recalculate_facet: numerical instability at facet 48, coord 0 (-3.19759e-06)
recalculate_facet: numerical instability at facet 48, coord 5 (2.85058e-06)
recalculate_facet: numerical instability at facet 67, coord 0 (-1.90905e-06)
recalculate_facet: numerical instability at facet 67, coord 2 (-1.06569e-06)
recalculate_facet: numerical instability at facet 67, coord 5 (2.17709e-06)
I  477.27] Elapsed: 7:57, vertices: 829, facets final: 85, pending: 123793, pool: 299
I  482.84] Elapsed: 8:03, vertices: 833, facets final: 85, pending: 123676, pool: 300
I  488.36] Elapsed: 8:08, vertices: 838, facets final: 85, pending: 125272, pool: 300
I  494.38] Elapsed: 8:14, vertices: 844, facets final: 85, pending: 125325, pool: 300
I  499.97] Elapsed: 8:20, vertices: 851, facets final: 85, pending: 126514, pool: 300
I  505.79] Elapsed: 8:26, vertices: 857, facets final: 85, pending: 126917, pool: 300
I  511.28] Elapsed: 8:31, vertices: 862, facets final: 86, pending: 127659, pool: 300
I  516.61] Elapsed: 8:37, vertices: 867, facets final: 87, pending: 128211, pool: 300
I  521.61] Elapsed: 8:42, vertices: 872, facets final: 87, pending: 128362, pool: 300
I  526.84] Elapsed: 8:47, vertices: 878, facets final: 88, pending: 129576, pool: 299
I  532.81] Elapsed: 8:53, vertices: 882, facets final: 88, pending: 130000, pool: 300
I  537.84] Elapsed: 8:58, vertices: 886, facets final: 88, pending: 130027, pool: 300
I  543.17] Elapsed: 9:03, vertices: 890, facets final: 89, pending: 129891, pool: 300
I  548.57] Elapsed: 9:09, vertices: 895, facets final: 90, pending: 129886, pool: 300
I  554.45] Elapsed: 9:14, vertices: 901, facets final: 90, pending: 130363, pool: 300
I  560.61] Elapsed: 9:21, vertices: 905, facets final: 90, pending: 130700, pool: 300
I  565.70] Elapsed: 9:26, vertices: 910, facets final: 91, pending: 130546, pool: 299
I  571.02] Elapsed: 9:31, vertices: 915, facets final: 92, pending: 130947, pool: 300
I  576.60] Elapsed: 9:37, vertices: 920, facets final: 94, pending: 130948, pool: 300
I  582.47] Elapsed: 9:42, vertices: 925, facets final: 96, pending: 130891, pool: 300
