C copy string: r=c:ab;ar,br,cr,dr;a,b,c,dr; ineq: base20.txt
I    5.02] Elapsed: 5.02, vertices: 209, facets final: 19, pending: 10792, pool: 299
I   10.03] Elapsed: 10.03, vertices: 302, facets final: 27, pending: 15714, pool: 300
I   15.07] Elapsed: 15.07, vertices: 376, facets final: 36, pending: 19776, pool: 300
I   20.08] Elapsed: 20.08, vertices: 436, facets final: 41, pending: 21952, pool: 299
I   25.08] Elapsed: 25.08, vertices: 492, facets final: 46, pending: 24088, pool: 300
I   30.13] Elapsed: 30.13, vertices: 544, facets final: 57, pending: 25497, pool: 300
I   35.16] Elapsed: 35.16, vertices: 592, facets final: 66, pending: 27208, pool: 299
I   40.23] Elapsed: 40.23, vertices: 639, facets final: 71, pending: 29313, pool: 300
I   45.26] Elapsed: 45.26, vertices: 680, facets final: 83, pending: 30618, pool: 298
I   50.34] Elapsed: 50.34, vertices: 721, facets final: 86, pending: 31904, pool: 300
I   55.39] Elapsed: 55.39, vertices: 761, facets final: 92, pending: 33482, pool: 300
I   60.48] Elapsed: 1:00, vertices: 799, facets final: 95, pending: 35436, pool: 299
I   65.54] Elapsed: 1:06, vertices: 835, facets final: 100, pending: 35888, pool: 300
I   70.63] Elapsed: 1:11, vertices: 872, facets final: 117, pending: 36678, pool: 300
I   75.72] Elapsed: 1:16, vertices: 906, facets final: 127, pending: 37354, pool: 300
I   80.72] Elapsed: 1:21, vertices: 938, facets final: 134, pending: 37652, pool: 300
I   85.74] Elapsed: 1:26, vertices: 970, facets final: 138, pending: 37813, pool: 300
I   90.82] Elapsed: 1:31, vertices: 1003, facets final: 151, pending: 38500, pool: 300
I   95.96] Elapsed: 1:36, vertices: 1034, facets final: 159, pending: 39358, pool: 300
I  101.06] Elapsed: 1:41, vertices: 1061, facets final: 161, pending: 40296, pool: 300
I  106.07] Elapsed: 1:46, vertices: 1087, facets final: 168, pending: 40772, pool: 300
I  111.09] Elapsed: 1:51, vertices: 1115, facets final: 179, pending: 41726, pool: 299
I  116.18] Elapsed: 1:56, vertices: 1142, facets final: 184, pending: 41833, pool: 300
I  121.27] Elapsed: 2:01, vertices: 1170, facets final: 188, pending: 42547, pool: 300
I  126.46] Elapsed: 2:06, vertices: 1199, facets final: 194, pending: 43222, pool: 300
I  131.53] Elapsed: 2:12, vertices: 1226, facets final: 200, pending: 43455, pool: 300
I  136.66] Elapsed: 2:17, vertices: 1254, facets final: 201, pending: 43657, pool: 300
I  141.83] Elapsed: 2:22, vertices: 1280, facets final: 206, pending: 43951, pool: 300
I  146.84] Elapsed: 2:27, vertices: 1306, facets final: 215, pending: 44445, pool: 300
I  151.97] Elapsed: 2:32, vertices: 1335, facets final: 224, pending: 44660, pool: 300
I  157.17] Elapsed: 2:37, vertices: 1361, facets final: 229, pending: 45059, pool: 300
I  162.26] Elapsed: 2:42, vertices: 1386, facets final: 234, pending: 45222, pool: 300
I  167.34] Elapsed: 2:47, vertices: 1411, facets final: 245, pending: 45811, pool: 300
I  172.47] Elapsed: 2:52, vertices: 1438, facets final: 251, pending: 46035, pool: 300
I  177.59] Elapsed: 2:58, vertices: 1463, facets final: 260, pending: 46472, pool: 300
I  182.65] Elapsed: 3:03, vertices: 1489, facets final: 270, pending: 46848, pool: 300
I  187.74] Elapsed: 3:08, vertices: 1515, facets final: 273, pending: 46800, pool: 299
I  192.88] Elapsed: 3:13, vertices: 1541, facets final: 283, pending: 47212, pool: 300
I  198.02] Elapsed: 3:18, vertices: 1565, facets final: 290, pending: 47505, pool: 300
I  203.14] Elapsed: 3:23, vertices: 1589, facets final: 300, pending: 48131, pool: 300
I  208.29] Elapsed: 3:28, vertices: 1613, facets final: 309, pending: 48347, pool: 300
I  213.47] Elapsed: 3:33, vertices: 1636, facets final: 316, pending: 48565, pool: 300
I  218.60] Elapsed: 3:39, vertices: 1661, facets final: 325, pending: 48714, pool: 300
I  223.80] Elapsed: 3:44, vertices: 1683, facets final: 328, pending: 48987, pool: 300
I  228.97] Elapsed: 3:49, vertices: 1705, facets final: 332, pending: 48889, pool: 300
I  234.27] Elapsed: 3:54, vertices: 1728, facets final: 336, pending: 49045, pool: 300
I  239.39] Elapsed: 3:59, vertices: 1750, facets final: 340, pending: 48862, pool: 300
I  244.41] Elapsed: 4:04, vertices: 1774, facets final: 350, pending: 49275, pool: 299
I  249.47] Elapsed: 4:09, vertices: 1798, facets final: 355, pending: 49564, pool: 300
I  254.51] Elapsed: 4:15, vertices: 1821, facets final: 364, pending: 49735, pool: 299
I  259.63] Elapsed: 4:20, vertices: 1844, facets final: 372, pending: 50202, pool: 300
I  264.92] Elapsed: 4:25, vertices: 1867, facets final: 377, pending: 50258, pool: 300
I  269.98] Elapsed: 4:30, vertices: 1890, facets final: 383, pending: 50384, pool: 300
I  275.13] Elapsed: 4:35, vertices: 1913, facets final: 385, pending: 50561, pool: 300
I  280.29] Elapsed: 4:40, vertices: 1936, facets final: 396, pending: 51049, pool: 300
I  285.40] Elapsed: 4:45, vertices: 1960, facets final: 410, pending: 50907, pool: 300
I  290.65] Elapsed: 4:51, vertices: 1983, facets final: 413, pending: 51528, pool: 300
I  295.79] Elapsed: 4:56, vertices: 2005, facets final: 425, pending: 51697, pool: 300
I  300.95] Elapsed: 5:01, vertices: 2027, facets final: 433, pending: 51663, pool: 300
I  306.09] Elapsed: 5:06, vertices: 2051, facets final: 440, pending: 51563, pool: 300
I  311.21] Elapsed: 5:11, vertices: 2074, facets final: 449, pending: 51472, pool: 300
I  316.21] Elapsed: 5:16, vertices: 2097, facets final: 455, pending: 51680, pool: 300
I  321.25] Elapsed: 5:21, vertices: 2119, facets final: 469, pending: 51745, pool: 300
I  326.47] Elapsed: 5:26, vertices: 2143, facets final: 480, pending: 51641, pool: 300
I  331.47] Elapsed: 5:31, vertices: 2166, facets final: 483, pending: 51704, pool: 300
I  336.66] Elapsed: 5:37, vertices: 2190, facets final: 494, pending: 51579, pool: 300
I  341.85] Elapsed: 5:42, vertices: 2213, facets final: 506, pending: 51776, pool: 300
I  346.98] Elapsed: 5:47, vertices: 2236, facets final: 522, pending: 51677, pool: 300
I  352.03] Elapsed: 5:52, vertices: 2260, facets final: 534, pending: 51791, pool: 300
I  357.12] Elapsed: 5:57, vertices: 2284, facets final: 544, pending: 51871, pool: 300
I  362.12] Elapsed: 6:02, vertices: 2306, facets final: 554, pending: 51837, pool: 299
I  367.36] Elapsed: 6:07, vertices: 2327, facets final: 568, pending: 51798, pool: 300
I  372.48] Elapsed: 6:12, vertices: 2350, facets final: 579, pending: 51572, pool: 300
I  377.51] Elapsed: 6:18, vertices: 2373, facets final: 590, pending: 51791, pool: 300
I  382.73] Elapsed: 6:23, vertices: 2393, facets final: 596, pending: 51712, pool: 300
I  387.75] Elapsed: 6:28, vertices: 2414, facets final: 609, pending: 51605, pool: 300
I  392.86] Elapsed: 6:33, vertices: 2436, facets final: 621, pending: 51686, pool: 300
I  397.95] Elapsed: 6:38, vertices: 2460, facets final: 629, pending: 51581, pool: 300
I  403.04] Elapsed: 6:43, vertices: 2481, facets final: 640, pending: 51449, pool: 300
I  408.17] Elapsed: 6:48, vertices: 2504, facets final: 655, pending: 51374, pool: 300
I  413.21] Elapsed: 6:53, vertices: 2527, facets final: 663, pending: 51409, pool: 300
I  418.48] Elapsed: 6:58, vertices: 2550, facets final: 678, pending: 51687, pool: 300
I  423.58] Elapsed: 7:04, vertices: 2572, facets final: 691, pending: 51664, pool: 300
I  428.74] Elapsed: 7:09, vertices: 2594, facets final: 700, pending: 51523, pool: 300
I  433.91] Elapsed: 7:14, vertices: 2618, facets final: 711, pending: 51695, pool: 300
I  438.93] Elapsed: 7:19, vertices: 2641, facets final: 720, pending: 51543, pool: 300
I  444.07] Elapsed: 7:24, vertices: 2665, facets final: 733, pending: 51835, pool: 298
I  449.11] Elapsed: 7:29, vertices: 2687, facets final: 745, pending: 51707, pool: 299
I  454.33] Elapsed: 7:34, vertices: 2709, facets final: 756, pending: 51448, pool: 300
I  459.43] Elapsed: 7:39, vertices: 2733, facets final: 776, pending: 51373, pool: 300
I  464.47] Elapsed: 7:44, vertices: 2753, facets final: 790, pending: 51329, pool: 299
I  469.49] Elapsed: 7:49, vertices: 2776, facets final: 814, pending: 51334, pool: 299
I  474.49] Elapsed: 7:54, vertices: 2797, facets final: 828, pending: 51281, pool: 300
I  479.49] Elapsed: 7:59, vertices: 2820, facets final: 837, pending: 51247, pool: 300
I  484.53] Elapsed: 8:05, vertices: 2845, facets final: 854, pending: 51290, pool: 300
I  489.56] Elapsed: 8:10, vertices: 2869, facets final: 865, pending: 51394, pool: 300
I  494.76] Elapsed: 8:15, vertices: 2894, facets final: 879, pending: 51462, pool: 300
I  499.89] Elapsed: 8:20, vertices: 2918, facets final: 892, pending: 51356, pool: 300
I  504.93] Elapsed: 8:25, vertices: 2941, facets final: 899, pending: 51334, pool: 300
I  510.03] Elapsed: 8:30, vertices: 2965, facets final: 917, pending: 51793, pool: 300
I  515.24] Elapsed: 8:35, vertices: 2989, facets final: 932, pending: 52113, pool: 300
I  520.34] Elapsed: 8:40, vertices: 3012, facets final: 940, pending: 51905, pool: 300
I  525.34] Elapsed: 8:45, vertices: 3034, facets final: 949, pending: 51665, pool: 300
I  530.39] Elapsed: 8:50, vertices: 3058, facets final: 971, pending: 51556, pool: 300
I  535.52] Elapsed: 8:56, vertices: 3082, facets final: 989, pending: 51667, pool: 300
I  540.54] Elapsed: 9:01, vertices: 3104, facets final: 995, pending: 51512, pool: 300
I  545.68] Elapsed: 9:06, vertices: 3129, facets final: 1011, pending: 51644, pool: 299
I  550.72] Elapsed: 9:11, vertices: 3151, facets final: 1019, pending: 51479, pool: 300
I  555.91] Elapsed: 9:16, vertices: 3174, facets final: 1038, pending: 51634, pool: 300
I  560.94] Elapsed: 9:21, vertices: 3198, facets final: 1050, pending: 51587, pool: 300
I  566.08] Elapsed: 9:26, vertices: 3221, facets final: 1064, pending: 51536, pool: 300
I  571.13] Elapsed: 9:31, vertices: 3245, facets final: 1081, pending: 51393, pool: 300
I  576.33] Elapsed: 9:36, vertices: 3271, facets final: 1101, pending: 51407, pool: 300
I  581.43] Elapsed: 9:41, vertices: 3295, facets final: 1123, pending: 51217, pool: 300
I  586.56] Elapsed: 9:47, vertices: 3317, facets final: 1133, pending: 51315, pool: 300
I  591.78] Elapsed: 9:52, vertices: 3340, facets final: 1148, pending: 51373, pool: 300
I  596.88] Elapsed: 9:57, vertices: 3363, facets final: 1166, pending: 51469, pool: 300
I  602.09] Elapsed: 10:02, vertices: 3389, facets final: 1183, pending: 51525, pool: 300
I  607.15] Elapsed: 10:07, vertices: 3411, facets final: 1204, pending: 51426, pool: 299
I  612.18] Elapsed: 10:12, vertices: 3435, facets final: 1224, pending: 51514, pool: 300
I  617.30] Elapsed: 10:17, vertices: 3458, facets final: 1244, pending: 51548, pool: 300
I  622.41] Elapsed: 10:22, vertices: 3481, facets final: 1259, pending: 51331, pool: 300
I  627.53] Elapsed: 10:28, vertices: 3505, facets final: 1272, pending: 51230, pool: 300
I  632.63] Elapsed: 10:33, vertices: 3529, facets final: 1288, pending: 51142, pool: 300
I  637.79] Elapsed: 10:38, vertices: 3554, facets final: 1311, pending: 51087, pool: 300
I  642.92] Elapsed: 10:43, vertices: 3580, facets final: 1326, pending: 50962, pool: 300
I  647.92] Elapsed: 10:48, vertices: 3603, facets final: 1348, pending: 50968, pool: 300
I  652.98] Elapsed: 10:53, vertices: 3626, facets final: 1363, pending: 50913, pool: 300
I  658.12] Elapsed: 10:58, vertices: 3650, facets final: 1383, pending: 50911, pool: 300
I  663.22] Elapsed: 11:03, vertices: 3675, facets final: 1395, pending: 50847, pool: 300
I  668.23] Elapsed: 11:08, vertices: 3700, facets final: 1423, pending: 50685, pool: 300
I  673.30] Elapsed: 11:13, vertices: 3724, facets final: 1445, pending: 50683, pool: 300
I  678.41] Elapsed: 11:18, vertices: 3749, facets final: 1461, pending: 50771, pool: 300
I  683.49] Elapsed: 11:23, vertices: 3774, facets final: 1491, pending: 50592, pool: 300
I  688.74] Elapsed: 11:29, vertices: 3800, facets final: 1525, pending: 50476, pool: 300
I  693.88] Elapsed: 11:34, vertices: 3824, facets final: 1540, pending: 50332, pool: 300
I  698.94] Elapsed: 11:39, vertices: 3849, facets final: 1564, pending: 50253, pool: 299
I  704.00] Elapsed: 11:44, vertices: 3874, facets final: 1577, pending: 50187, pool: 300
I  709.15] Elapsed: 11:49, vertices: 3900, facets final: 1606, pending: 50004, pool: 298
I  714.15] Elapsed: 11:54, vertices: 3923, facets final: 1628, pending: 50200, pool: 300
I  719.48] Elapsed: 11:59, vertices: 3948, facets final: 1644, pending: 50097, pool: 300
I  724.64] Elapsed: 12:05, vertices: 3973, facets final: 1687, pending: 50109, pool: 300
I  729.73] Elapsed: 12:10, vertices: 3998, facets final: 1707, pending: 50071, pool: 300
I  734.91] Elapsed: 12:15, vertices: 4024, facets final: 1727, pending: 49762, pool: 300
I  739.93] Elapsed: 12:20, vertices: 4050, facets final: 1753, pending: 49733, pool: 300
I  744.93] Elapsed: 12:25, vertices: 4076, facets final: 1778, pending: 49606, pool: 300
I  750.08] Elapsed: 12:30, vertices: 4101, facets final: 1802, pending: 49568, pool: 299
I  755.15] Elapsed: 12:35, vertices: 4127, facets final: 1831, pending: 49405, pool: 299
I  760.15] Elapsed: 12:40, vertices: 4153, facets final: 1857, pending: 49194, pool: 299
I  765.30] Elapsed: 12:45, vertices: 4179, facets final: 1885, pending: 49044, pool: 300
I  770.39] Elapsed: 12:50, vertices: 4205, facets final: 1914, pending: 49126, pool: 300
I  775.39] Elapsed: 12:55, vertices: 4230, facets final: 1935, pending: 48952, pool: 300
I  780.58] Elapsed: 13:01, vertices: 4257, facets final: 1958, pending: 48955, pool: 300
I  785.66] Elapsed: 13:06, vertices: 4283, facets final: 1993, pending: 48889, pool: 300
I  790.80] Elapsed: 13:11, vertices: 4308, facets final: 2017, pending: 48732, pool: 300
I  795.88] Elapsed: 13:16, vertices: 4332, facets final: 2036, pending: 48649, pool: 300
I  801.03] Elapsed: 13:21, vertices: 4358, facets final: 2064, pending: 48445, pool: 300
I  806.08] Elapsed: 13:26, vertices: 4384, facets final: 2089, pending: 48415, pool: 300
I  811.15] Elapsed: 13:31, vertices: 4408, facets final: 2129, pending: 48424, pool: 300
I  816.26] Elapsed: 13:36, vertices: 4433, facets final: 2158, pending: 48293, pool: 300
I  821.38] Elapsed: 13:41, vertices: 4459, facets final: 2201, pending: 48060, pool: 300
I  826.50] Elapsed: 13:47, vertices: 4485, facets final: 2220, pending: 47975, pool: 300
I  831.57] Elapsed: 13:52, vertices: 4509, facets final: 2250, pending: 47756, pool: 300
I  836.71] Elapsed: 13:57, vertices: 4536, facets final: 2283, pending: 47886, pool: 300
I  841.74] Elapsed: 14:02, vertices: 4563, facets final: 2319, pending: 47735, pool: 300
I  846.76] Elapsed: 14:07, vertices: 4588, facets final: 2343, pending: 47528, pool: 300
I  851.87] Elapsed: 14:12, vertices: 4614, facets final: 2383, pending: 47220, pool: 300
I  857.11] Elapsed: 14:17, vertices: 4640, facets final: 2401, pending: 47027, pool: 300
I  862.28] Elapsed: 14:22, vertices: 4666, facets final: 2443, pending: 46901, pool: 300
I  867.49] Elapsed: 14:27, vertices: 4691, facets final: 2469, pending: 46801, pool: 300
I  872.57] Elapsed: 14:33, vertices: 4718, facets final: 2502, pending: 46754, pool: 300
I  877.69] Elapsed: 14:38, vertices: 4746, facets final: 2540, pending: 46583, pool: 300
I  882.85] Elapsed: 14:43, vertices: 4774, facets final: 2576, pending: 46430, pool: 300
I  887.89] Elapsed: 14:48, vertices: 4800, facets final: 2616, pending: 46299, pool: 300
I  892.99] Elapsed: 14:53, vertices: 4825, facets final: 2651, pending: 46091, pool: 300
I  898.13] Elapsed: 14:58, vertices: 4850, facets final: 2691, pending: 45927, pool: 300
I  903.13] Elapsed: 15:03, vertices: 4877, facets final: 2721, pending: 45843, pool: 300
I  908.40] Elapsed: 15:08, vertices: 4906, facets final: 2761, pending: 45812, pool: 300
