C copy string: r=c:ab;a,r,c,d;ar,br,c,dr; ineq: base20.txt
I    5.02] Elapsed: 5.02, vertices: 195, facets final: 35, pending: 11001, pool: 265
I   10.07] Elapsed: 10.07, vertices: 273, facets final: 42, pending: 16951, pool: 300
I   15.12] Elapsed: 15.12, vertices: 324, facets final: 45, pending: 22238, pool: 300
I   20.19] Elapsed: 20.19, vertices: 360, facets final: 50, pending: 28691, pool: 299
I   25.39] Elapsed: 25.39, vertices: 388, facets final: 50, pending: 33382, pool: 297
I   30.40] Elapsed: 30.40, vertices: 411, facets final: 52, pending: 37034, pool: 299
I   35.49] Elapsed: 35.49, vertices: 429, facets final: 52, pending: 41463, pool: 300
I   40.55] Elapsed: 40.55, vertices: 447, facets final: 53, pending: 45261, pool: 299
I   45.66] Elapsed: 45.66, vertices: 463, facets final: 53, pending: 48569, pool: 300
I   51.05] Elapsed: 51.05, vertices: 477, facets final: 53, pending: 51578, pool: 300
I   56.28] Elapsed: 56.28, vertices: 492, facets final: 55, pending: 54377, pool: 300
I   61.35] Elapsed: 1:01, vertices: 506, facets final: 55, pending: 57420, pool: 299
I   66.46] Elapsed: 1:06, vertices: 517, facets final: 56, pending: 60073, pool: 300
I   71.68] Elapsed: 1:12, vertices: 530, facets final: 56, pending: 62923, pool: 300
I   76.72] Elapsed: 1:17, vertices: 542, facets final: 57, pending: 65978, pool: 300
I   81.78] Elapsed: 1:22, vertices: 552, facets final: 58, pending: 68026, pool: 300
I   88.05] Elapsed: 1:28, vertices: 562, facets final: 58, pending: 70072, pool: 300
I   93.49] Elapsed: 1:33, vertices: 571, facets final: 58, pending: 71945, pool: 300
I   98.68] Elapsed: 1:39, vertices: 581, facets final: 58, pending: 74302, pool: 300
I  104.35] Elapsed: 1:44, vertices: 589, facets final: 60, pending: 76738, pool: 300
I  109.67] Elapsed: 1:50, vertices: 598, facets final: 60, pending: 78786, pool: 300
I  114.73] Elapsed: 1:55, vertices: 605, facets final: 60, pending: 81200, pool: 300
I  119.96] Elapsed: 2:00, vertices: 614, facets final: 60, pending: 82820, pool: 300
I  126.28] Elapsed: 2:06, vertices: 621, facets final: 60, pending: 84564, pool: 300
I  131.86] Elapsed: 2:12, vertices: 630, facets final: 60, pending: 86082, pool: 300
