C copy string: r=a:bc;a,r,c,d;ar,br,c,dr; ineq: base20.txt
I    5.02] Elapsed: 5.02, vertices: 143, facets final: 15, pending: 13329, pool: 227
I   10.02] Elapsed: 10.02, vertices: 210, facets final: 25, pending: 17246, pool: 299
I   15.14] Elapsed: 15.14, vertices: 260, facets final: 30, pending: 23251, pool: 300
I   20.23] Elapsed: 20.23, vertices: 299, facets final: 33, pending: 26593, pool: 300
I   25.33] Elapsed: 25.33, vertices: 336, facets final: 34, pending: 28339, pool: 300
I   30.33] Elapsed: 30.33, vertices: 371, facets final: 38, pending: 31026, pool: 300
I   35.51] Elapsed: 35.51, vertices: 401, facets final: 41, pending: 32691, pool: 300
I   40.54] Elapsed: 40.54, vertices: 429, facets final: 43, pending: 34127, pool: 299
I   45.60] Elapsed: 45.60, vertices: 459, facets final: 50, pending: 34386, pool: 300
I   50.72] Elapsed: 50.72, vertices: 489, facets final: 53, pending: 36450, pool: 299
I   55.85] Elapsed: 55.85, vertices: 515, facets final: 54, pending: 37509, pool: 299
I   60.97] Elapsed: 1:01, vertices: 541, facets final: 58, pending: 39283, pool: 299
I   66.11] Elapsed: 1:06, vertices: 564, facets final: 62, pending: 42678, pool: 300
I   71.22] Elapsed: 1:11, vertices: 586, facets final: 67, pending: 45345, pool: 298
I   76.28] Elapsed: 1:16, vertices: 606, facets final: 68, pending: 47814, pool: 298
I   81.32] Elapsed: 1:21, vertices: 624, facets final: 74, pending: 48470, pool: 300
I   86.37] Elapsed: 1:26, vertices: 644, facets final: 74, pending: 50465, pool: 299
I   91.86] Elapsed: 1:32, vertices: 660, facets final: 76, pending: 50648, pool: 300
I   97.10] Elapsed: 1:37, vertices: 677, facets final: 77, pending: 51737, pool: 300
I  102.21] Elapsed: 1:42, vertices: 694, facets final: 78, pending: 53900, pool: 299
I  107.44] Elapsed: 1:47, vertices: 709, facets final: 79, pending: 55624, pool: 300
I  112.47] Elapsed: 1:52, vertices: 721, facets final: 80, pending: 58399, pool: 300
I  117.64] Elapsed: 1:58, vertices: 732, facets final: 81, pending: 60603, pool: 299
I  122.75] Elapsed: 2:03, vertices: 743, facets final: 85, pending: 63004, pool: 300
I  127.75] Elapsed: 2:08, vertices: 755, facets final: 87, pending: 63619, pool: 300
I  133.39] Elapsed: 2:13, vertices: 764, facets final: 88, pending: 65888, pool: 300
I  138.99] Elapsed: 2:19, vertices: 773, facets final: 88, pending: 67403, pool: 300
I  144.18] Elapsed: 2:24, vertices: 784, facets final: 88, pending: 69436, pool: 300
I  149.19] Elapsed: 2:29, vertices: 793, facets final: 91, pending: 70879, pool: 300
I  154.49] Elapsed: 2:34, vertices: 803, facets final: 92, pending: 72794, pool: 300
I  159.84] Elapsed: 2:40, vertices: 814, facets final: 94, pending: 74544, pool: 300
I  165.78] Elapsed: 2:46, vertices: 822, facets final: 95, pending: 75337, pool: 300
