C copy string: r=c:ab;a,b,cr,d;a,b,c,dr; ineq: base20.txt
I    5.01] Elapsed: 5.01, vertices: 214, facets final: 62, pending: 12574, pool: 272
I   10.04] Elapsed: 10.04, vertices: 298, facets final: 106, pending: 17411, pool: 300
I   15.04] Elapsed: 15.04, vertices: 364, facets final: 127, pending: 21964, pool: 300
I   20.11] Elapsed: 20.11, vertices: 419, facets final: 148, pending: 25257, pool: 300
I   25.13] Elapsed: 25.13, vertices: 466, facets final: 167, pending: 28295, pool: 300
I   30.15] Elapsed: 30.15, vertices: 510, facets final: 184, pending: 30514, pool: 298
I   35.22] Elapsed: 35.22, vertices: 550, facets final: 198, pending: 32994, pool: 300
I   40.22] Elapsed: 40.22, vertices: 586, facets final: 215, pending: 35682, pool: 299
I   45.28] Elapsed: 45.28, vertices: 619, facets final: 226, pending: 38186, pool: 300
I   50.40] Elapsed: 50.40, vertices: 650, facets final: 231, pending: 39990, pool: 300
I   55.47] Elapsed: 55.47, vertices: 679, facets final: 244, pending: 42171, pool: 300
I   60.57] Elapsed: 1:01, vertices: 707, facets final: 250, pending: 44621, pool: 300
I   65.65] Elapsed: 1:06, vertices: 732, facets final: 258, pending: 46612, pool: 300
I   70.76] Elapsed: 1:11, vertices: 757, facets final: 268, pending: 48483, pool: 300
I   75.84] Elapsed: 1:16, vertices: 781, facets final: 280, pending: 50001, pool: 300
I   81.06] Elapsed: 1:21, vertices: 804, facets final: 284, pending: 51279, pool: 300
I   86.07] Elapsed: 1:26, vertices: 825, facets final: 291, pending: 52438, pool: 300
I   91.32] Elapsed: 1:31, vertices: 847, facets final: 294, pending: 53781, pool: 300
I   96.53] Elapsed: 1:37, vertices: 868, facets final: 305, pending: 55028, pool: 300
I  101.74] Elapsed: 1:42, vertices: 888, facets final: 316, pending: 55897, pool: 300
I  106.93] Elapsed: 1:47, vertices: 910, facets final: 323, pending: 57346, pool: 300
I  111.93] Elapsed: 1:52, vertices: 929, facets final: 333, pending: 58481, pool: 300
I  116.95] Elapsed: 1:57, vertices: 948, facets final: 340, pending: 60012, pool: 300
I  122.25] Elapsed: 2:02, vertices: 968, facets final: 349, pending: 61305, pool: 300
I  127.71] Elapsed: 2:08, vertices: 987, facets final: 355, pending: 62761, pool: 300
I  132.92] Elapsed: 2:13, vertices: 1004, facets final: 367, pending: 63953, pool: 300
I  138.09] Elapsed: 2:18, vertices: 1021, facets final: 372, pending: 64873, pool: 300
I  143.31] Elapsed: 2:23, vertices: 1036, facets final: 377, pending: 65356, pool: 300
I  148.45] Elapsed: 2:28, vertices: 1053, facets final: 383, pending: 66346, pool: 300
I  153.70] Elapsed: 2:34, vertices: 1069, facets final: 393, pending: 67447, pool: 300
I  158.72] Elapsed: 2:39, vertices: 1081, facets final: 400, pending: 68050, pool: 300
I  163.80] Elapsed: 2:44, vertices: 1095, facets final: 405, pending: 68394, pool: 300
I  169.03] Elapsed: 2:49, vertices: 1109, facets final: 415, pending: 68978, pool: 300
I  174.08] Elapsed: 2:54, vertices: 1125, facets final: 424, pending: 69642, pool: 299
I  179.10] Elapsed: 2:59, vertices: 1138, facets final: 429, pending: 70562, pool: 300
I  184.21] Elapsed: 3:04, vertices: 1152, facets final: 433, pending: 71273, pool: 300
I  189.36] Elapsed: 3:09, vertices: 1167, facets final: 439, pending: 71968, pool: 300
I  194.54] Elapsed: 3:15, vertices: 1183, facets final: 452, pending: 72767, pool: 300
I  199.62] Elapsed: 3:20, vertices: 1198, facets final: 460, pending: 73839, pool: 300
I  204.79] Elapsed: 3:25, vertices: 1212, facets final: 474, pending: 74105, pool: 300
I  210.40] Elapsed: 3:30, vertices: 1227, facets final: 479, pending: 74810, pool: 300
I  215.50] Elapsed: 3:36, vertices: 1241, facets final: 487, pending: 75508, pool: 300
I  220.79] Elapsed: 3:41, vertices: 1256, facets final: 502, pending: 76010, pool: 300
I  225.89] Elapsed: 3:46, vertices: 1269, facets final: 508, pending: 76695, pool: 300
I  231.19] Elapsed: 3:51, vertices: 1283, facets final: 514, pending: 77209, pool: 300
I  236.41] Elapsed: 3:56, vertices: 1296, facets final: 518, pending: 77587, pool: 300
I  241.43] Elapsed: 4:01, vertices: 1307, facets final: 535, pending: 77800, pool: 300
I  246.61] Elapsed: 4:07, vertices: 1320, facets final: 545, pending: 78389, pool: 300
I  251.84] Elapsed: 4:12, vertices: 1333, facets final: 549, pending: 78586, pool: 300
I  257.03] Elapsed: 4:17, vertices: 1347, facets final: 560, pending: 79170, pool: 300
I  262.48] Elapsed: 4:22, vertices: 1359, facets final: 573, pending: 79629, pool: 300
I  267.54] Elapsed: 4:28, vertices: 1373, facets final: 579, pending: 80137, pool: 300
I  272.66] Elapsed: 4:33, vertices: 1385, facets final: 586, pending: 80216, pool: 300
I  278.22] Elapsed: 4:38, vertices: 1399, facets final: 592, pending: 80991, pool: 300
I  283.22] Elapsed: 4:43, vertices: 1411, facets final: 603, pending: 81311, pool: 300
I  288.35] Elapsed: 4:48, vertices: 1423, facets final: 613, pending: 81598, pool: 300
I  293.43] Elapsed: 4:53, vertices: 1436, facets final: 627, pending: 82181, pool: 300
I  298.59] Elapsed: 4:59, vertices: 1450, facets final: 640, pending: 82375, pool: 299
I  303.82] Elapsed: 5:04, vertices: 1463, facets final: 647, pending: 82806, pool: 300
I  309.11] Elapsed: 5:09, vertices: 1477, facets final: 652, pending: 83467, pool: 300
