C copy string: r=c:ab;a,r,c,d;r,b,c,d; ineq: base20.txt
I    5.01] Elapsed: 5.01, vertices: 237, facets final: 104, pending: 11673, pool: 210
I   10.04] Elapsed: 10.04, vertices: 339, facets final: 177, pending: 14647, pool: 280
I   15.08] Elapsed: 15.08, vertices: 422, facets final: 237, pending: 16229, pool: 300
I   20.09] Elapsed: 20.09, vertices: 496, facets final: 285, pending: 17858, pool: 300
I   25.13] Elapsed: 25.13, vertices: 567, facets final: 322, pending: 19273, pool: 300
I   30.13] Elapsed: 30.13, vertices: 632, facets final: 373, pending: 20829, pool: 300
I   35.18] Elapsed: 35.18, vertices: 692, facets final: 430, pending: 21773, pool: 298
I   40.24] Elapsed: 40.24, vertices: 751, facets final: 470, pending: 22755, pool: 298
I   45.27] Elapsed: 45.27, vertices: 809, facets final: 503, pending: 23486, pool: 299
I   50.27] Elapsed: 50.27, vertices: 867, facets final: 537, pending: 23796, pool: 300
I   55.33] Elapsed: 55.33, vertices: 923, facets final: 573, pending: 24553, pool: 300
I   60.37] Elapsed: 1:00, vertices: 976, facets final: 620, pending: 24821, pool: 299
I   65.42] Elapsed: 1:05, vertices: 1025, facets final: 670, pending: 25361, pool: 300
I   70.48] Elapsed: 1:10, vertices: 1073, facets final: 710, pending: 25843, pool: 300
I   75.54] Elapsed: 1:16, vertices: 1121, facets final: 753, pending: 26125, pool: 299
I   80.55] Elapsed: 1:21, vertices: 1170, facets final: 788, pending: 25999, pool: 297
I   85.62] Elapsed: 1:26, vertices: 1218, facets final: 837, pending: 26248, pool: 300
I   90.68] Elapsed: 1:31, vertices: 1265, facets final: 890, pending: 26854, pool: 300
I   95.88] Elapsed: 1:36, vertices: 1312, facets final: 923, pending: 27747, pool: 300
I  100.90] Elapsed: 1:41, vertices: 1355, facets final: 969, pending: 27973, pool: 300
I  106.00] Elapsed: 1:46, vertices: 1399, facets final: 1012, pending: 28598, pool: 300
I  111.02] Elapsed: 1:51, vertices: 1443, facets final: 1055, pending: 29254, pool: 299
I  116.10] Elapsed: 1:56, vertices: 1480, facets final: 1102, pending: 30755, pool: 299
I  121.23] Elapsed: 2:01, vertices: 1518, facets final: 1129, pending: 31430, pool: 300
I  126.25] Elapsed: 2:06, vertices: 1557, facets final: 1153, pending: 31645, pool: 300
I  131.31] Elapsed: 2:11, vertices: 1594, facets final: 1182, pending: 32076, pool: 300
I  136.31] Elapsed: 2:16, vertices: 1628, facets final: 1217, pending: 32653, pool: 300
I  141.33] Elapsed: 2:21, vertices: 1663, facets final: 1254, pending: 33631, pool: 300
I  146.37] Elapsed: 2:26, vertices: 1696, facets final: 1282, pending: 34311, pool: 300
I  151.42] Elapsed: 2:31, vertices: 1726, facets final: 1308, pending: 35210, pool: 300
I  156.47] Elapsed: 2:36, vertices: 1755, facets final: 1331, pending: 36033, pool: 300
I  161.70] Elapsed: 2:42, vertices: 1785, facets final: 1349, pending: 36902, pool: 300
I  166.99] Elapsed: 2:47, vertices: 1816, facets final: 1375, pending: 37550, pool: 300
I  172.04] Elapsed: 2:52, vertices: 1843, facets final: 1393, pending: 38184, pool: 300
I  177.21] Elapsed: 2:57, vertices: 1873, facets final: 1417, pending: 38814, pool: 300
I  182.32] Elapsed: 3:02, vertices: 1901, facets final: 1442, pending: 38974, pool: 299
I  187.42] Elapsed: 3:07, vertices: 1929, facets final: 1471, pending: 39388, pool: 300
I  192.51] Elapsed: 3:13, vertices: 1957, facets final: 1485, pending: 40030, pool: 300
I  197.72] Elapsed: 3:18, vertices: 1984, facets final: 1500, pending: 40329, pool: 300
I  202.79] Elapsed: 3:23, vertices: 2007, facets final: 1516, pending: 40524, pool: 300
I  207.90] Elapsed: 3:28, vertices: 2033, facets final: 1538, pending: 41509, pool: 300
I  212.92] Elapsed: 3:33, vertices: 2058, facets final: 1560, pending: 41906, pool: 300
I  218.07] Elapsed: 3:38, vertices: 2083, facets final: 1569, pending: 42452, pool: 300
I  223.14] Elapsed: 3:43, vertices: 2107, facets final: 1588, pending: 43275, pool: 299
I  228.21] Elapsed: 3:48, vertices: 2135, facets final: 1607, pending: 43693, pool: 300
I  233.27] Elapsed: 3:53, vertices: 2158, facets final: 1620, pending: 43779, pool: 300
I  238.34] Elapsed: 3:58, vertices: 2183, facets final: 1636, pending: 43904, pool: 300
I  243.43] Elapsed: 4:03, vertices: 2205, facets final: 1653, pending: 44122, pool: 300
I  248.53] Elapsed: 4:09, vertices: 2230, facets final: 1677, pending: 44498, pool: 300
I  253.62] Elapsed: 4:14, vertices: 2252, facets final: 1697, pending: 44608, pool: 300
I  258.70] Elapsed: 4:19, vertices: 2276, facets final: 1708, pending: 44846, pool: 300
I  263.71] Elapsed: 4:24, vertices: 2298, facets final: 1732, pending: 45108, pool: 300
I  268.77] Elapsed: 4:29, vertices: 2319, facets final: 1747, pending: 45438, pool: 299
I  273.81] Elapsed: 4:34, vertices: 2339, facets final: 1768, pending: 46132, pool: 300
I  278.90] Elapsed: 4:39, vertices: 2363, facets final: 1784, pending: 46275, pool: 300
I  284.08] Elapsed: 4:44, vertices: 2386, facets final: 1807, pending: 46248, pool: 300
I  289.10] Elapsed: 4:49, vertices: 2408, facets final: 1830, pending: 46622, pool: 300
I  294.10] Elapsed: 4:54, vertices: 2431, facets final: 1845, pending: 46621, pool: 299
I  299.24] Elapsed: 4:59, vertices: 2455, facets final: 1877, pending: 46482, pool: 300
I  304.58] Elapsed: 5:05, vertices: 2479, facets final: 1904, pending: 46527, pool: 300
I  309.60] Elapsed: 5:10, vertices: 2499, facets final: 1924, pending: 46259, pool: 300
I  314.79] Elapsed: 5:15, vertices: 2521, facets final: 1953, pending: 46180, pool: 300
I  320.02] Elapsed: 5:20, vertices: 2547, facets final: 1975, pending: 46246, pool: 300
I  325.03] Elapsed: 5:25, vertices: 2570, facets final: 2004, pending: 46219, pool: 300
I  330.10] Elapsed: 5:30, vertices: 2596, facets final: 2028, pending: 46043, pool: 299
I  335.23] Elapsed: 5:35, vertices: 2621, facets final: 2057, pending: 45852, pool: 300
I  340.23] Elapsed: 5:40, vertices: 2646, facets final: 2094, pending: 45583, pool: 300
I  345.43] Elapsed: 5:45, vertices: 2671, facets final: 2134, pending: 45538, pool: 300
I  350.51] Elapsed: 5:51, vertices: 2696, facets final: 2149, pending: 45508, pool: 300
I  355.52] Elapsed: 5:56, vertices: 2722, facets final: 2171, pending: 45514, pool: 300
I  360.59] Elapsed: 6:01, vertices: 2746, facets final: 2190, pending: 45094, pool: 300
I  365.80] Elapsed: 6:06, vertices: 2770, facets final: 2214, pending: 45103, pool: 300
