C copy string: r=c:ab;ar,br,cr,dr;a,b,cr,d; ineq: base20.txt
I    5.02] Elapsed: 5.02, vertices: 201, facets final: 29, pending: 13748, pool: 222
I   10.08] Elapsed: 10.08, vertices: 273, facets final: 46, pending: 18201, pool: 291
I   15.10] Elapsed: 15.10, vertices: 333, facets final: 64, pending: 21905, pool: 300
I   20.17] Elapsed: 20.17, vertices: 386, facets final: 75, pending: 25520, pool: 300
I   25.21] Elapsed: 25.21, vertices: 432, facets final: 85, pending: 27682, pool: 299
I   30.27] Elapsed: 30.27, vertices: 475, facets final: 95, pending: 29467, pool: 300
I   35.37] Elapsed: 35.37, vertices: 514, facets final: 102, pending: 30894, pool: 300
I   40.44] Elapsed: 40.44, vertices: 553, facets final: 113, pending: 33053, pool: 300
I   45.45] Elapsed: 45.45, vertices: 587, facets final: 120, pending: 35082, pool: 300
I   50.59] Elapsed: 50.59, vertices: 622, facets final: 137, pending: 36148, pool: 300
I   55.74] Elapsed: 55.74, vertices: 656, facets final: 144, pending: 37326, pool: 300
I   60.81] Elapsed: 1:01, vertices: 688, facets final: 154, pending: 38458, pool: 300
I   65.95] Elapsed: 1:06, vertices: 720, facets final: 162, pending: 40317, pool: 299
I   71.04] Elapsed: 1:11, vertices: 751, facets final: 173, pending: 41359, pool: 300
I   76.21] Elapsed: 1:16, vertices: 780, facets final: 182, pending: 42319, pool: 300
I   81.27] Elapsed: 1:21, vertices: 808, facets final: 192, pending: 43104, pool: 300
I   86.54] Elapsed: 1:27, vertices: 836, facets final: 204, pending: 43488, pool: 300
I   91.54] Elapsed: 1:32, vertices: 864, facets final: 215, pending: 44373, pool: 300
I   96.55] Elapsed: 1:37, vertices: 890, facets final: 229, pending: 45535, pool: 299
I  101.69] Elapsed: 1:42, vertices: 916, facets final: 238, pending: 46195, pool: 300
I  106.80] Elapsed: 1:47, vertices: 942, facets final: 247, pending: 47421, pool: 300
I  111.94] Elapsed: 1:52, vertices: 967, facets final: 257, pending: 47668, pool: 299
I  116.94] Elapsed: 1:57, vertices: 994, facets final: 259, pending: 48522, pool: 300
I  122.07] Elapsed: 2:02, vertices: 1018, facets final: 266, pending: 49957, pool: 300
I  127.09] Elapsed: 2:07, vertices: 1038, facets final: 272, pending: 51261, pool: 299
I  132.09] Elapsed: 2:12, vertices: 1058, facets final: 285, pending: 52586, pool: 300
I  137.15] Elapsed: 2:17, vertices: 1074, facets final: 289, pending: 53009, pool: 300
I  142.23] Elapsed: 2:22, vertices: 1092, facets final: 299, pending: 53122, pool: 300
