C copy string: rs=cd:ab;a,d,r,s;ac,bc,cr,cs; ineq: base20.txt
I    5.00] Elapsed: 5.00, vertices: 194, facets final: 37, pending: 11700, pool: 295
I   10.02] Elapsed: 10.02, vertices: 274, facets final: 40, pending: 17968, pool: 300
I   15.09] Elapsed: 15.09, vertices: 327, facets final: 41, pending: 24217, pool: 298
I   20.18] Elapsed: 20.18, vertices: 368, facets final: 41, pending: 28892, pool: 299
I   25.40] Elapsed: 25.40, vertices: 399, facets final: 43, pending: 33126, pool: 300
I   30.44] Elapsed: 30.44, vertices: 426, facets final: 43, pending: 36361, pool: 300
I   35.70] Elapsed: 35.70, vertices: 452, facets final: 45, pending: 38684, pool: 300
I   40.82] Elapsed: 40.82, vertices: 472, facets final: 48, pending: 40628, pool: 300
I   46.11] Elapsed: 46.11, vertices: 494, facets final: 48, pending: 43404, pool: 300
I   51.11] Elapsed: 51.11, vertices: 514, facets final: 48, pending: 45869, pool: 300
I   56.27] Elapsed: 56.27, vertices: 531, facets final: 48, pending: 48946, pool: 300
I   61.57] Elapsed: 1:02, vertices: 545, facets final: 48, pending: 51624, pool: 300
I   66.70] Elapsed: 1:07, vertices: 561, facets final: 49, pending: 53168, pool: 300
I   71.74] Elapsed: 1:12, vertices: 574, facets final: 49, pending: 55159, pool: 300
I   76.76] Elapsed: 1:17, vertices: 585, facets final: 49, pending: 57773, pool: 300
I   81.87] Elapsed: 1:22, vertices: 599, facets final: 49, pending: 60257, pool: 300
I   87.22] Elapsed: 1:27, vertices: 614, facets final: 50, pending: 62406, pool: 300
I   92.51] Elapsed: 1:33, vertices: 627, facets final: 50, pending: 65198, pool: 300
I   97.67] Elapsed: 1:38, vertices: 637, facets final: 50, pending: 66721, pool: 300
I  103.00] Elapsed: 1:43, vertices: 650, facets final: 51, pending: 68943, pool: 300
I  108.36] Elapsed: 1:48, vertices: 661, facets final: 52, pending: 71488, pool: 300
I  113.41] Elapsed: 1:53, vertices: 670, facets final: 52, pending: 73013, pool: 300
I  118.77] Elapsed: 1:59, vertices: 680, facets final: 52, pending: 75117, pool: 300
I  124.08] Elapsed: 2:04, vertices: 690, facets final: 52, pending: 76733, pool: 300
I  129.08] Elapsed: 2:09, vertices: 699, facets final: 52, pending: 78467, pool: 300
I  135.04] Elapsed: 2:15, vertices: 705, facets final: 52, pending: 79293, pool: 300
I  140.37] Elapsed: 2:20, vertices: 715, facets final: 53, pending: 80833, pool: 300
I  145.95] Elapsed: 2:26, vertices: 726, facets final: 53, pending: 82774, pool: 300
I  151.35] Elapsed: 2:31, vertices: 735, facets final: 53, pending: 84623, pool: 300
I  156.43] Elapsed: 2:36, vertices: 744, facets final: 54, pending: 86531, pool: 300
I  162.11] Elapsed: 2:42, vertices: 752, facets final: 54, pending: 87614, pool: 300
I  167.57] Elapsed: 2:48, vertices: 760, facets final: 54, pending: 88653, pool: 300
I  172.59] Elapsed: 2:53, vertices: 763, facets final: 54, pending: 89013, pool: 300
I  177.91] Elapsed: 2:58, vertices: 771, facets final: 54, pending: 90502, pool: 300
I  183.22] Elapsed: 3:03, vertices: 778, facets final: 54, pending: 92167, pool: 300
I  188.59] Elapsed: 3:09, vertices: 784, facets final: 54, pending: 93533, pool: 300
I  194.67] Elapsed: 3:15, vertices: 793, facets final: 54, pending: 95468, pool: 300
I  200.01] Elapsed: 3:20, vertices: 799, facets final: 54, pending: 97325, pool: 300
I  205.24] Elapsed: 3:25, vertices: 806, facets final: 54, pending: 99096, pool: 300
I  211.33] Elapsed: 3:31, vertices: 813, facets final: 55, pending: 100086, pool: 300
I  216.73] Elapsed: 3:37, vertices: 819, facets final: 55, pending: 101204, pool: 300
I  222.52] Elapsed: 3:43, vertices: 823, facets final: 55, pending: 102006, pool: 300
I  227.65] Elapsed: 3:48, vertices: 827, facets final: 55, pending: 103601, pool: 300
I  232.95] Elapsed: 3:53, vertices: 833, facets final: 55, pending: 104274, pool: 300
I  238.33] Elapsed: 3:58, vertices: 840, facets final: 55, pending: 105448, pool: 300
I  243.63] Elapsed: 4:04, vertices: 848, facets final: 56, pending: 106918, pool: 300
I  249.18] Elapsed: 4:09, vertices: 855, facets final: 57, pending: 108476, pool: 300
I  255.45] Elapsed: 4:15, vertices: 861, facets final: 58, pending: 109564, pool: 300
I  260.84] Elapsed: 4:21, vertices: 866, facets final: 58, pending: 110431, pool: 300
I  266.42] Elapsed: 4:26, vertices: 873, facets final: 58, pending: 111570, pool: 300
I  272.31] Elapsed: 4:32, vertices: 879, facets final: 58, pending: 113162, pool: 300
I  277.39] Elapsed: 4:37, vertices: 885, facets final: 58, pending: 114471, pool: 300
I  282.92] Elapsed: 4:43, vertices: 892, facets final: 58, pending: 115514, pool: 300
I  288.39] Elapsed: 4:48, vertices: 898, facets final: 58, pending: 117140, pool: 300
I  296.28] Elapsed: 4:56, vertices: 901, facets final: 58, pending: 118181, pool: 300
I  301.74] Elapsed: 5:02, vertices: 908, facets final: 58, pending: 119259, pool: 300
I  306.83] Elapsed: 5:07, vertices: 914, facets final: 60, pending: 120451, pool: 300
I  311.96] Elapsed: 5:12, vertices: 920, facets final: 60, pending: 122115, pool: 300
I  317.49] Elapsed: 5:17, vertices: 925, facets final: 60, pending: 123329, pool: 300
I  324.94] Elapsed: 5:25, vertices: 930, facets final: 60, pending: 124954, pool: 300
I  331.07] Elapsed: 5:31, vertices: 934, facets final: 60, pending: 126659, pool: 300
I  336.67] Elapsed: 5:37, vertices: 938, facets final: 60, pending: 127433, pool: 300
I  342.86] Elapsed: 5:43, vertices: 943, facets final: 60, pending: 128963, pool: 300
I  348.38] Elapsed: 5:48, vertices: 948, facets final: 60, pending: 130198, pool: 300
I  353.69] Elapsed: 5:54, vertices: 953, facets final: 60, pending: 131145, pool: 300
I  358.98] Elapsed: 5:59, vertices: 957, facets final: 60, pending: 131549, pool: 300
I  365.45] Elapsed: 6:05, vertices: 961, facets final: 61, pending: 131837, pool: 300
I  370.62] Elapsed: 6:11, vertices: 966, facets final: 61, pending: 133019, pool: 300
I  376.45] Elapsed: 6:16, vertices: 972, facets final: 61, pending: 133620, pool: 300
I  382.23] Elapsed: 6:22, vertices: 978, facets final: 61, pending: 134729, pool: 300
I  388.13] Elapsed: 6:28, vertices: 983, facets final: 61, pending: 135401, pool: 300
I  393.15] Elapsed: 6:33, vertices: 987, facets final: 62, pending: 135675, pool: 300
I  399.35] Elapsed: 6:39, vertices: 991, facets final: 62, pending: 136762, pool: 300
I  404.63] Elapsed: 6:45, vertices: 996, facets final: 62, pending: 137727, pool: 299
I  409.80] Elapsed: 6:50, vertices: 1000, facets final: 62, pending: 138357, pool: 300
I  415.70] Elapsed: 6:56, vertices: 1007, facets final: 62, pending: 139732, pool: 300
I  421.18] Elapsed: 7:01, vertices: 1010, facets final: 62, pending: 141865, pool: 300
I  426.41] Elapsed: 7:06, vertices: 1013, facets final: 62, pending: 142237, pool: 300
I  433.04] Elapsed: 7:13, vertices: 1016, facets final: 62, pending: 143502, pool: 300
I  438.16] Elapsed: 7:18, vertices: 1019, facets final: 62, pending: 145119, pool: 300
I  444.23] Elapsed: 7:24, vertices: 1022, facets final: 62, pending: 145037, pool: 300
I  449.70] Elapsed: 7:30, vertices: 1023, facets final: 62, pending: 146161, pool: 300
I  455.92] Elapsed: 7:36, vertices: 1025, facets final: 62, pending: 147176, pool: 300
I  461.67] Elapsed: 7:42, vertices: 1026, facets final: 62, pending: 148386, pool: 300
I  466.99] Elapsed: 7:47, vertices: 1030, facets final: 62, pending: 148826, pool: 300
I  472.10] Elapsed: 7:52, vertices: 1033, facets final: 62, pending: 149698, pool: 300
I  479.26] Elapsed: 7:59, vertices: 1037, facets final: 62, pending: 150073, pool: 300
I  485.58] Elapsed: 8:06, vertices: 1041, facets final: 62, pending: 151102, pool: 300
I  491.51] Elapsed: 8:12, vertices: 1045, facets final: 62, pending: 151775, pool: 300
I  497.65] Elapsed: 8:18, vertices: 1047, facets final: 62, pending: 151728, pool: 300
I  502.82] Elapsed: 8:23, vertices: 1050, facets final: 62, pending: 152311, pool: 300
I  508.91] Elapsed: 8:29, vertices: 1055, facets final: 62, pending: 153361, pool: 300
I  518.67] Elapsed: 8:39, vertices: 1058, facets final: 62, pending: 153427, pool: 300
I  526.85] Elapsed: 8:47, vertices: 1061, facets final: 62, pending: 154525, pool: 300
I  534.26] Elapsed: 8:54, vertices: 1064, facets final: 62, pending: 154320, pool: 300
I  542.51] Elapsed: 9:03, vertices: 1068, facets final: 62, pending: 155155, pool: 300
I  549.71] Elapsed: 9:10, vertices: 1071, facets final: 62, pending: 155793, pool: 300
I  555.30] Elapsed: 9:15, vertices: 1074, facets final: 62, pending: 156629, pool: 300
I  560.59] Elapsed: 9:21, vertices: 1077, facets final: 62, pending: 156087, pool: 300
I  566.35] Elapsed: 9:26, vertices: 1080, facets final: 62, pending: 156592, pool: 300
I  573.25] Elapsed: 9:33, vertices: 1084, facets final: 62, pending: 156561, pool: 300
I  578.27] Elapsed: 9:38, vertices: 1086, facets final: 63, pending: 156736, pool: 300
I  585.47] Elapsed: 9:45, vertices: 1089, facets final: 63, pending: 157777, pool: 300
I  590.68] Elapsed: 9:51, vertices: 1091, facets final: 63, pending: 158387, pool: 300
I  596.48] Elapsed: 9:56, vertices: 1094, facets final: 63, pending: 158866, pool: 300
I  601.87] Elapsed: 10:02, vertices: 1097, facets final: 64, pending: 158983, pool: 300
I  608.07] Elapsed: 10:08, vertices: 1099, facets final: 64, pending: 159718, pool: 300
recalculate_facet: numerical instability at facet 11354, coord 4 (-1.05936e-06)
recalculate_facet: numerical instability at facet 11354, coord 10 (1.05425e-06)
recalculate_facet: numerical instability at facet 11651, coord 3 (1.04873e-06)
recalculate_facet: numerical instability at facet 11651, coord 4 (-1.32548e-06)
recalculate_facet: numerical instability at facet 11651, coord 10 (1.35567e-06)
recalculate_facet: numerical instability at facet 18498, coord 10 (1.3095e-06)
I  613.51] Elapsed: 10:14, vertices: 1102, facets final: 64, pending: 160015, pool: 300
I  620.09] Elapsed: 10:20, vertices: 1105, facets final: 64, pending: 160802, pool: 300
I  626.85] Elapsed: 10:27, vertices: 1108, facets final: 64, pending: 161242, pool: 300
I  632.01] Elapsed: 10:32, vertices: 1110, facets final: 64, pending: 162057, pool: 300
I  640.93] Elapsed: 10:41, vertices: 1115, facets final: 64, pending: 162465, pool: 300
