C copy string: rs=cd:ab;a,d,r,s;b,c,r,s; ineq: base20.txt
I    5.00] Elapsed: 5.00, vertices: 215, facets final: 78, pending: 12096, pool: 217
I   10.00] Elapsed: 10.00, vertices: 315, facets final: 138, pending: 15930, pool: 261
I   15.06] Elapsed: 15.06, vertices: 388, facets final: 191, pending: 18002, pool: 300
I   20.07] Elapsed: 20.07, vertices: 455, facets final: 218, pending: 20154, pool: 299
I   25.11] Elapsed: 25.11, vertices: 514, facets final: 262, pending: 22229, pool: 299
I   30.15] Elapsed: 30.15, vertices: 572, facets final: 297, pending: 23922, pool: 299
I   35.15] Elapsed: 35.15, vertices: 625, facets final: 329, pending: 24940, pool: 300
I   40.18] Elapsed: 40.18, vertices: 676, facets final: 350, pending: 25471, pool: 300
I   45.22] Elapsed: 45.22, vertices: 726, facets final: 393, pending: 26481, pool: 300
I   50.27] Elapsed: 50.27, vertices: 776, facets final: 420, pending: 28074, pool: 300
I   55.27] Elapsed: 55.27, vertices: 821, facets final: 450, pending: 29393, pool: 299
I   60.36] Elapsed: 1:00, vertices: 867, facets final: 468, pending: 30076, pool: 300
I   65.45] Elapsed: 1:05, vertices: 909, facets final: 501, pending: 31094, pool: 300
I   70.52] Elapsed: 1:11, vertices: 952, facets final: 529, pending: 31626, pool: 300
I   75.58] Elapsed: 1:16, vertices: 994, facets final: 559, pending: 32180, pool: 300
I   80.63] Elapsed: 1:21, vertices: 1030, facets final: 585, pending: 33198, pool: 298
I   85.63] Elapsed: 1:26, vertices: 1065, facets final: 605, pending: 33629, pool: 300
I   90.75] Elapsed: 1:31, vertices: 1100, facets final: 626, pending: 34536, pool: 300
I   95.78] Elapsed: 1:36, vertices: 1135, facets final: 656, pending: 34790, pool: 300
I  100.94] Elapsed: 1:41, vertices: 1171, facets final: 682, pending: 35323, pool: 300
I  105.97] Elapsed: 1:46, vertices: 1205, facets final: 714, pending: 35909, pool: 300
I  111.07] Elapsed: 1:51, vertices: 1240, facets final: 734, pending: 36511, pool: 300
I  116.29] Elapsed: 1:56, vertices: 1273, facets final: 755, pending: 37236, pool: 300
I  121.34] Elapsed: 2:01, vertices: 1306, facets final: 778, pending: 37205, pool: 299
I  126.41] Elapsed: 2:06, vertices: 1338, facets final: 805, pending: 37947, pool: 300
I  131.43] Elapsed: 2:11, vertices: 1370, facets final: 821, pending: 38101, pool: 300
I  136.45] Elapsed: 2:16, vertices: 1401, facets final: 858, pending: 39058, pool: 300
I  141.46] Elapsed: 2:21, vertices: 1432, facets final: 880, pending: 39586, pool: 300
I  146.67] Elapsed: 2:27, vertices: 1465, facets final: 896, pending: 40133, pool: 300
I  151.76] Elapsed: 2:32, vertices: 1496, facets final: 921, pending: 40856, pool: 300
I  156.79] Elapsed: 2:37, vertices: 1526, facets final: 947, pending: 40737, pool: 300
I  161.82] Elapsed: 2:42, vertices: 1557, facets final: 977, pending: 40819, pool: 299
I  166.85] Elapsed: 2:47, vertices: 1586, facets final: 996, pending: 40728, pool: 300
I  171.93] Elapsed: 2:52, vertices: 1615, facets final: 1026, pending: 41213, pool: 300
I  177.06] Elapsed: 2:57, vertices: 1644, facets final: 1050, pending: 41775, pool: 300
I  182.25] Elapsed: 3:02, vertices: 1674, facets final: 1079, pending: 42017, pool: 300
I  187.34] Elapsed: 3:07, vertices: 1703, facets final: 1107, pending: 42276, pool: 300
I  192.39] Elapsed: 3:12, vertices: 1732, facets final: 1134, pending: 42601, pool: 300
I  197.39] Elapsed: 3:17, vertices: 1760, facets final: 1158, pending: 42772, pool: 300
I  202.39] Elapsed: 3:22, vertices: 1788, facets final: 1187, pending: 43134, pool: 299
I  207.50] Elapsed: 3:28, vertices: 1816, facets final: 1202, pending: 43479, pool: 300
I  212.62] Elapsed: 3:33, vertices: 1843, facets final: 1227, pending: 43814, pool: 300
I  217.78] Elapsed: 3:38, vertices: 1870, facets final: 1252, pending: 44153, pool: 300
I  222.89] Elapsed: 3:43, vertices: 1898, facets final: 1280, pending: 44381, pool: 300
I  228.01] Elapsed: 3:48, vertices: 1924, facets final: 1302, pending: 44630, pool: 300
I  233.05] Elapsed: 3:53, vertices: 1950, facets final: 1346, pending: 44782, pool: 300
I  238.08] Elapsed: 3:58, vertices: 1978, facets final: 1374, pending: 44855, pool: 300
I  243.09] Elapsed: 4:03, vertices: 2002, facets final: 1400, pending: 44838, pool: 300
I  248.11] Elapsed: 4:08, vertices: 2029, facets final: 1420, pending: 44941, pool: 300
I  253.13] Elapsed: 4:13, vertices: 2056, facets final: 1434, pending: 45145, pool: 300
I  258.20] Elapsed: 4:18, vertices: 2082, facets final: 1451, pending: 45287, pool: 300
I  263.36] Elapsed: 4:23, vertices: 2109, facets final: 1484, pending: 45598, pool: 300
I  268.64] Elapsed: 4:29, vertices: 2138, facets final: 1506, pending: 45630, pool: 300
I  273.75] Elapsed: 4:34, vertices: 2164, facets final: 1548, pending: 45565, pool: 300
I  278.85] Elapsed: 4:39, vertices: 2192, facets final: 1577, pending: 45354, pool: 300
I  284.03] Elapsed: 4:44, vertices: 2219, facets final: 1610, pending: 45392, pool: 300
I  289.16] Elapsed: 4:49, vertices: 2247, facets final: 1647, pending: 45422, pool: 299
I  294.17] Elapsed: 4:54, vertices: 2272, facets final: 1677, pending: 45404, pool: 300
I  299.31] Elapsed: 4:59, vertices: 2299, facets final: 1717, pending: 45819, pool: 300
I  304.34] Elapsed: 5:04, vertices: 2325, facets final: 1753, pending: 45616, pool: 300
I  309.47] Elapsed: 5:09, vertices: 2352, facets final: 1793, pending: 45638, pool: 299
I  314.59] Elapsed: 5:15, vertices: 2380, facets final: 1842, pending: 45367, pool: 300
I  319.68] Elapsed: 5:20, vertices: 2408, facets final: 1881, pending: 45505, pool: 300
I  324.72] Elapsed: 5:25, vertices: 2436, facets final: 1911, pending: 45335, pool: 300
I  329.86] Elapsed: 5:30, vertices: 2461, facets final: 1943, pending: 45549, pool: 300
I  334.95] Elapsed: 5:35, vertices: 2489, facets final: 1991, pending: 45387, pool: 300
I  340.04] Elapsed: 5:40, vertices: 2516, facets final: 2023, pending: 45396, pool: 300
I  345.13] Elapsed: 5:45, vertices: 2543, facets final: 2052, pending: 45052, pool: 300
I  350.18] Elapsed: 5:50, vertices: 2570, facets final: 2079, pending: 44885, pool: 300
I  355.22] Elapsed: 5:55, vertices: 2597, facets final: 2124, pending: 44524, pool: 300
I  360.39] Elapsed: 6:00, vertices: 2626, facets final: 2161, pending: 44339, pool: 300
I  365.45] Elapsed: 6:05, vertices: 2653, facets final: 2196, pending: 44254, pool: 300
I  370.48] Elapsed: 6:10, vertices: 2682, facets final: 2236, pending: 44169, pool: 300
I  375.52] Elapsed: 6:16, vertices: 2710, facets final: 2288, pending: 43975, pool: 300
I  380.70] Elapsed: 6:21, vertices: 2739, facets final: 2322, pending: 43913, pool: 300
I  385.84] Elapsed: 6:26, vertices: 2768, facets final: 2364, pending: 43806, pool: 299
I  390.85] Elapsed: 6:31, vertices: 2796, facets final: 2405, pending: 43785, pool: 300
I  395.87] Elapsed: 6:36, vertices: 2824, facets final: 2444, pending: 43679, pool: 300
I  400.93] Elapsed: 6:41, vertices: 2852, facets final: 2512, pending: 43446, pool: 300
I  405.94] Elapsed: 6:46, vertices: 2881, facets final: 2564, pending: 43179, pool: 300
I  410.96] Elapsed: 6:51, vertices: 2908, facets final: 2623, pending: 43211, pool: 299
I  415.97] Elapsed: 6:56, vertices: 2937, facets final: 2675, pending: 43011, pool: 300
I  421.06] Elapsed: 7:01, vertices: 2966, facets final: 2724, pending: 42995, pool: 298
I  426.06] Elapsed: 7:06, vertices: 2993, facets final: 2776, pending: 43047, pool: 298
I  431.06] Elapsed: 7:11, vertices: 3020, facets final: 2826, pending: 42842, pool: 300
I  436.09] Elapsed: 7:16, vertices: 3048, facets final: 2895, pending: 42580, pool: 300
I  441.12] Elapsed: 7:21, vertices: 3077, facets final: 2952, pending: 42420, pool: 300
I  446.25] Elapsed: 7:26, vertices: 3106, facets final: 3032, pending: 42063, pool: 300
I  451.25] Elapsed: 7:31, vertices: 3136, facets final: 3128, pending: 41724, pool: 300
