C copy string: rs=cd:ab;a,b,c,dr;ad,bd,dr,ds; ineq: base20.txt
I    5.01] Elapsed: 5.01, vertices: 196, facets final: 27, pending: 11110, pool: 300
I   10.06] Elapsed: 10.06, vertices: 286, facets final: 33, pending: 16037, pool: 300
I   15.07] Elapsed: 15.07, vertices: 357, facets final: 45, pending: 19549, pool: 300
I   20.15] Elapsed: 20.15, vertices: 416, facets final: 47, pending: 23014, pool: 300
I   25.15] Elapsed: 25.15, vertices: 469, facets final: 51, pending: 25531, pool: 300
I   30.18] Elapsed: 30.18, vertices: 517, facets final: 59, pending: 27477, pool: 300
I   35.19] Elapsed: 35.19, vertices: 561, facets final: 67, pending: 29999, pool: 299
I   40.23] Elapsed: 40.23, vertices: 603, facets final: 67, pending: 31498, pool: 300
I   45.30] Elapsed: 45.30, vertices: 643, facets final: 73, pending: 32447, pool: 300
I   50.39] Elapsed: 50.39, vertices: 682, facets final: 79, pending: 33660, pool: 300
I   55.48] Elapsed: 55.48, vertices: 717, facets final: 82, pending: 35154, pool: 300
I   60.51] Elapsed: 1:01, vertices: 753, facets final: 90, pending: 37155, pool: 300
I   65.59] Elapsed: 1:06, vertices: 786, facets final: 96, pending: 38946, pool: 300
I   70.61] Elapsed: 1:11, vertices: 816, facets final: 102, pending: 39887, pool: 300
I   75.62] Elapsed: 1:16, vertices: 846, facets final: 105, pending: 41131, pool: 299
I   80.67] Elapsed: 1:21, vertices: 872, facets final: 111, pending: 42051, pool: 300
I   85.74] Elapsed: 1:26, vertices: 899, facets final: 120, pending: 43195, pool: 300
I   90.83] Elapsed: 1:31, vertices: 927, facets final: 123, pending: 45349, pool: 300
I   95.96] Elapsed: 1:36, vertices: 953, facets final: 127, pending: 46750, pool: 300
I  101.13] Elapsed: 1:41, vertices: 980, facets final: 130, pending: 47880, pool: 300
I  106.25] Elapsed: 1:46, vertices: 1005, facets final: 136, pending: 48638, pool: 298
I  111.52] Elapsed: 1:52, vertices: 1028, facets final: 144, pending: 49944, pool: 300
I  116.64] Elapsed: 1:57, vertices: 1046, facets final: 145, pending: 50432, pool: 300
I  121.70] Elapsed: 2:02, vertices: 1065, facets final: 147, pending: 51337, pool: 300
I  126.91] Elapsed: 2:07, vertices: 1086, facets final: 150, pending: 52215, pool: 300
I  132.09] Elapsed: 2:12, vertices: 1104, facets final: 159, pending: 53101, pool: 300
