C copy string: rs=cd:ab;a,d,r,s;ad,bd,dr,ds; ineq: base20.txt
I    5.02] Elapsed: 5.02, vertices: 150, facets final: 18, pending: 16471, pool: 243
I   10.02] Elapsed: 10.02, vertices: 199, facets final: 24, pending: 22633, pool: 300
I   15.10] Elapsed: 15.10, vertices: 241, facets final: 27, pending: 27931, pool: 298
I   20.10] Elapsed: 20.10, vertices: 273, facets final: 31, pending: 31371, pool: 299
I   25.27] Elapsed: 25.27, vertices: 304, facets final: 34, pending: 34874, pool: 300
I   30.38] Elapsed: 30.38, vertices: 332, facets final: 35, pending: 38524, pool: 299
I   35.46] Elapsed: 35.46, vertices: 357, facets final: 38, pending: 41411, pool: 300
I   40.55] Elapsed: 40.55, vertices: 380, facets final: 40, pending: 43317, pool: 300
I   45.55] Elapsed: 45.55, vertices: 401, facets final: 42, pending: 45973, pool: 299
I   50.73] Elapsed: 50.73, vertices: 421, facets final: 46, pending: 49619, pool: 300
I   55.73] Elapsed: 55.73, vertices: 439, facets final: 49, pending: 51892, pool: 300
I   61.12] Elapsed: 1:01, vertices: 458, facets final: 49, pending: 55064, pool: 300
I   66.18] Elapsed: 1:06, vertices: 475, facets final: 50, pending: 56387, pool: 300
I   71.21] Elapsed: 1:11, vertices: 490, facets final: 52, pending: 58648, pool: 300
I   76.47] Elapsed: 1:16, vertices: 505, facets final: 54, pending: 60564, pool: 299
I   81.71] Elapsed: 1:22, vertices: 519, facets final: 54, pending: 62355, pool: 299
I   86.83] Elapsed: 1:27, vertices: 533, facets final: 57, pending: 64071, pool: 300
I   92.06] Elapsed: 1:32, vertices: 544, facets final: 58, pending: 66120, pool: 300
I   97.54] Elapsed: 1:38, vertices: 557, facets final: 59, pending: 67667, pool: 300
I  102.59] Elapsed: 1:43, vertices: 568, facets final: 59, pending: 69779, pool: 300
I  107.81] Elapsed: 1:48, vertices: 580, facets final: 59, pending: 71289, pool: 300
I  113.05] Elapsed: 1:53, vertices: 593, facets final: 60, pending: 73398, pool: 300
