C copy string: r=a:bc;s=a:bdr;ars,brs,crs,drs; ineq: base20.txt
I    5.06] Elapsed: 5.06, vertices: 134, facets final: 11, pending: 18903, pool: 238
I   10.15] Elapsed: 10.15, vertices: 181, facets final: 13, pending: 23340, pool: 286
I   15.27] Elapsed: 15.27, vertices: 221, facets final: 16, pending: 26950, pool: 300
I   20.33] Elapsed: 20.33, vertices: 257, facets final: 18, pending: 29400, pool: 300
I   25.48] Elapsed: 25.48, vertices: 285, facets final: 21, pending: 33358, pool: 295
I   30.58] Elapsed: 30.58, vertices: 313, facets final: 26, pending: 35372, pool: 297
I   35.67] Elapsed: 35.67, vertices: 341, facets final: 28, pending: 37918, pool: 300
I   40.87] Elapsed: 40.87, vertices: 368, facets final: 30, pending: 40063, pool: 300
I   46.06] Elapsed: 46.06, vertices: 392, facets final: 34, pending: 41066, pool: 299
I   51.08] Elapsed: 51.08, vertices: 415, facets final: 39, pending: 42012, pool: 297
I   56.14] Elapsed: 56.14, vertices: 439, facets final: 45, pending: 41814, pool: 300
I   61.23] Elapsed: 1:01, vertices: 464, facets final: 49, pending: 42463, pool: 300
I   66.33] Elapsed: 1:06, vertices: 488, facets final: 55, pending: 42629, pool: 300
I   71.36] Elapsed: 1:11, vertices: 511, facets final: 55, pending: 43128, pool: 298
I   76.52] Elapsed: 1:17, vertices: 534, facets final: 62, pending: 43329, pool: 300
I   81.56] Elapsed: 1:22, vertices: 558, facets final: 64, pending: 42461, pool: 300
I   86.61] Elapsed: 1:27, vertices: 582, facets final: 66, pending: 41847, pool: 300
I   91.63] Elapsed: 1:32, vertices: 607, facets final: 68, pending: 42953, pool: 299
I   96.74] Elapsed: 1:37, vertices: 632, facets final: 71, pending: 42243, pool: 299
I  101.74] Elapsed: 1:42, vertices: 657, facets final: 72, pending: 42451, pool: 300
I  106.83] Elapsed: 1:47, vertices: 683, facets final: 80, pending: 41497, pool: 300
I  111.87] Elapsed: 1:52, vertices: 708, facets final: 86, pending: 41165, pool: 300
I  116.88] Elapsed: 1:57, vertices: 735, facets final: 89, pending: 39628, pool: 299
I  121.93] Elapsed: 2:02, vertices: 762, facets final: 93, pending: 40269, pool: 300
I  127.15] Elapsed: 2:07, vertices: 790, facets final: 98, pending: 41231, pool: 300
I  132.30] Elapsed: 2:12, vertices: 816, facets final: 107, pending: 40776, pool: 299
I  137.33] Elapsed: 2:17, vertices: 843, facets final: 112, pending: 40682, pool: 300
I  142.46] Elapsed: 2:22, vertices: 872, facets final: 117, pending: 40233, pool: 299
I  147.47] Elapsed: 2:27, vertices: 898, facets final: 125, pending: 39964, pool: 300
I  152.57] Elapsed: 2:33, vertices: 924, facets final: 138, pending: 39701, pool: 300
I  157.57] Elapsed: 2:38, vertices: 952, facets final: 141, pending: 38831, pool: 300
I  162.72] Elapsed: 2:43, vertices: 983, facets final: 147, pending: 38803, pool: 300
I  167.89] Elapsed: 2:48, vertices: 1013, facets final: 158, pending: 37593, pool: 300
I  173.05] Elapsed: 2:53, vertices: 1040, facets final: 165, pending: 37291, pool: 300
I  178.13] Elapsed: 2:58, vertices: 1069, facets final: 175, pending: 37282, pool: 300
I  183.18] Elapsed: 3:03, vertices: 1095, facets final: 179, pending: 37050, pool: 300
I  188.27] Elapsed: 3:08, vertices: 1122, facets final: 186, pending: 35681, pool: 300
I  193.31] Elapsed: 3:13, vertices: 1151, facets final: 190, pending: 35361, pool: 300
I  198.31] Elapsed: 3:18, vertices: 1178, facets final: 198, pending: 36108, pool: 300
I  203.31] Elapsed: 3:23, vertices: 1204, facets final: 205, pending: 36734, pool: 300
I  208.31] Elapsed: 3:28, vertices: 1232, facets final: 210, pending: 37880, pool: 300
I  213.46] Elapsed: 3:33, vertices: 1259, facets final: 226, pending: 38730, pool: 299
I  218.47] Elapsed: 3:38, vertices: 1284, facets final: 228, pending: 39001, pool: 300
I  223.55] Elapsed: 3:44, vertices: 1311, facets final: 237, pending: 39003, pool: 300
I  228.58] Elapsed: 3:49, vertices: 1335, facets final: 245, pending: 39100, pool: 299
I  233.79] Elapsed: 3:54, vertices: 1359, facets final: 247, pending: 39434, pool: 300
I  238.91] Elapsed: 3:59, vertices: 1385, facets final: 256, pending: 39697, pool: 300
I  243.97] Elapsed: 4:04, vertices: 1409, facets final: 260, pending: 39975, pool: 300
I  248.97] Elapsed: 4:09, vertices: 1437, facets final: 271, pending: 39988, pool: 299
I  254.03] Elapsed: 4:14, vertices: 1463, facets final: 283, pending: 40626, pool: 300
I  259.13] Elapsed: 4:19, vertices: 1486, facets final: 287, pending: 41685, pool: 299
I  264.14] Elapsed: 4:24, vertices: 1510, facets final: 291, pending: 41739, pool: 300
I  269.35] Elapsed: 4:29, vertices: 1534, facets final: 297, pending: 42799, pool: 300
I  274.59] Elapsed: 4:35, vertices: 1560, facets final: 306, pending: 42821, pool: 300
I  279.68] Elapsed: 4:40, vertices: 1581, facets final: 311, pending: 43807, pool: 300
I  284.80] Elapsed: 4:45, vertices: 1602, facets final: 316, pending: 44586, pool: 300
I  289.83] Elapsed: 4:50, vertices: 1624, facets final: 323, pending: 44655, pool: 300
I  294.91] Elapsed: 4:55, vertices: 1642, facets final: 328, pending: 45123, pool: 300
I  300.03] Elapsed: 5:00, vertices: 1660, facets final: 334, pending: 45778, pool: 300
I  305.15] Elapsed: 5:05, vertices: 1678, facets final: 340, pending: 46452, pool: 300
I  310.30] Elapsed: 5:10, vertices: 1699, facets final: 348, pending: 46140, pool: 300
I  315.42] Elapsed: 5:15, vertices: 1721, facets final: 353, pending: 46017, pool: 299
I  320.60] Elapsed: 5:21, vertices: 1741, facets final: 359, pending: 46540, pool: 300
I  325.60] Elapsed: 5:26, vertices: 1759, facets final: 363, pending: 47038, pool: 299
I  330.71] Elapsed: 5:31, vertices: 1777, facets final: 369, pending: 47476, pool: 300
I  335.84] Elapsed: 5:36, vertices: 1797, facets final: 380, pending: 47973, pool: 300
I  341.15] Elapsed: 5:41, vertices: 1816, facets final: 386, pending: 48531, pool: 300
I  346.39] Elapsed: 5:46, vertices: 1834, facets final: 389, pending: 48800, pool: 300
I  351.58] Elapsed: 5:52, vertices: 1855, facets final: 396, pending: 49605, pool: 300
I  356.84] Elapsed: 5:57, vertices: 1873, facets final: 401, pending: 49503, pool: 300
I  361.96] Elapsed: 6:02, vertices: 1891, facets final: 409, pending: 49728, pool: 300
I  367.18] Elapsed: 6:07, vertices: 1906, facets final: 416, pending: 50612, pool: 300
I  372.52] Elapsed: 6:13, vertices: 1923, facets final: 423, pending: 50579, pool: 300
I  377.58] Elapsed: 6:18, vertices: 1940, facets final: 433, pending: 51074, pool: 300
I  382.81] Elapsed: 6:23, vertices: 1956, facets final: 439, pending: 51219, pool: 300
I  388.24] Elapsed: 6:28, vertices: 1975, facets final: 445, pending: 50770, pool: 300
I  393.39] Elapsed: 6:33, vertices: 1992, facets final: 453, pending: 50940, pool: 300
I  398.41] Elapsed: 6:38, vertices: 2007, facets final: 460, pending: 50612, pool: 300
I  403.87] Elapsed: 6:44, vertices: 2024, facets final: 461, pending: 50442, pool: 300
I  408.98] Elapsed: 6:49, vertices: 2042, facets final: 464, pending: 50982, pool: 300
I  414.13] Elapsed: 6:54, vertices: 2061, facets final: 468, pending: 51001, pool: 300
I  419.28] Elapsed: 6:59, vertices: 2080, facets final: 474, pending: 50784, pool: 299
I  424.32] Elapsed: 7:04, vertices: 2099, facets final: 482, pending: 50811, pool: 300
I  429.70] Elapsed: 7:10, vertices: 2120, facets final: 489, pending: 50832, pool: 300
I  435.18] Elapsed: 7:15, vertices: 2138, facets final: 500, pending: 51184, pool: 300
I  440.35] Elapsed: 7:20, vertices: 2155, facets final: 509, pending: 50722, pool: 300
I  445.40] Elapsed: 7:25, vertices: 2172, facets final: 521, pending: 50702, pool: 300
I  450.50] Elapsed: 7:31, vertices: 2186, facets final: 528, pending: 50208, pool: 300
I  455.50] Elapsed: 7:36, vertices: 2206, facets final: 534, pending: 50024, pool: 300
I  460.91] Elapsed: 7:41, vertices: 2224, facets final: 541, pending: 49865, pool: 300
I  465.98] Elapsed: 7:46, vertices: 2242, facets final: 551, pending: 49611, pool: 300
I  470.99] Elapsed: 7:51, vertices: 2261, facets final: 554, pending: 49323, pool: 300
I  476.11] Elapsed: 7:56, vertices: 2282, facets final: 567, pending: 48983, pool: 299
I  481.28] Elapsed: 8:01, vertices: 2303, facets final: 574, pending: 48947, pool: 300
I  486.62] Elapsed: 8:07, vertices: 2322, facets final: 577, pending: 48838, pool: 300
I  491.89] Elapsed: 8:12, vertices: 2345, facets final: 585, pending: 49198, pool: 300
I  496.91] Elapsed: 8:17, vertices: 2364, facets final: 591, pending: 49117, pool: 299
I  502.15] Elapsed: 8:22, vertices: 2385, facets final: 595, pending: 48588, pool: 300
I  507.15] Elapsed: 8:27, vertices: 2406, facets final: 605, pending: 48560, pool: 300
