C copy string: r=c:ab;ar,br,c,dr;ar,br,cr,d; ineq: base19.txt
I    5.01] Elapsed: 5.01, vertices: 223, facets final: 22, pending: 9891, pool: 299
I   10.05] Elapsed: 10.05, vertices: 331, facets final: 35, pending: 14638, pool: 299
I   15.06] Elapsed: 15.06, vertices: 410, facets final: 40, pending: 17990, pool: 299
I   20.11] Elapsed: 20.11, vertices: 479, facets final: 51, pending: 20725, pool: 300
I   25.16] Elapsed: 25.16, vertices: 540, facets final: 61, pending: 22955, pool: 300
I   30.24] Elapsed: 30.24, vertices: 597, facets final: 75, pending: 24269, pool: 300
I   35.24] Elapsed: 35.24, vertices: 650, facets final: 87, pending: 25082, pool: 299
I   40.33] Elapsed: 40.33, vertices: 702, facets final: 110, pending: 26065, pool: 300
I   45.36] Elapsed: 45.36, vertices: 753, facets final: 125, pending: 27972, pool: 299
I   50.38] Elapsed: 50.38, vertices: 800, facets final: 136, pending: 29252, pool: 300
I   55.44] Elapsed: 55.44, vertices: 844, facets final: 142, pending: 30535, pool: 300
I   60.56] Elapsed: 1:01, vertices: 889, facets final: 152, pending: 31566, pool: 300
I   65.56] Elapsed: 1:06, vertices: 932, facets final: 160, pending: 32784, pool: 299
I   70.64] Elapsed: 1:11, vertices: 974, facets final: 170, pending: 33244, pool: 300
I   75.74] Elapsed: 1:16, vertices: 1013, facets final: 185, pending: 34035, pool: 300
I   80.82] Elapsed: 1:21, vertices: 1051, facets final: 193, pending: 34426, pool: 300
I   85.92] Elapsed: 1:26, vertices: 1088, facets final: 201, pending: 34934, pool: 300
I   90.92] Elapsed: 1:31, vertices: 1123, facets final: 222, pending: 34842, pool: 300
I   95.97] Elapsed: 1:36, vertices: 1159, facets final: 233, pending: 35120, pool: 300
I  101.05] Elapsed: 1:41, vertices: 1197, facets final: 243, pending: 35873, pool: 300
I  106.08] Elapsed: 1:46, vertices: 1233, facets final: 264, pending: 36750, pool: 300
I  111.18] Elapsed: 1:51, vertices: 1267, facets final: 282, pending: 37125, pool: 300
I  116.22] Elapsed: 1:56, vertices: 1301, facets final: 286, pending: 37718, pool: 300
I  121.22] Elapsed: 2:01, vertices: 1334, facets final: 297, pending: 38187, pool: 300
I  126.28] Elapsed: 2:06, vertices: 1366, facets final: 306, pending: 38940, pool: 300
I  131.32] Elapsed: 2:11, vertices: 1397, facets final: 314, pending: 39614, pool: 298
I  136.43] Elapsed: 2:16, vertices: 1429, facets final: 321, pending: 39744, pool: 299
I  141.45] Elapsed: 2:21, vertices: 1462, facets final: 334, pending: 39665, pool: 300
I  146.46] Elapsed: 2:26, vertices: 1496, facets final: 346, pending: 40038, pool: 300
I  151.55] Elapsed: 2:32, vertices: 1529, facets final: 353, pending: 40159, pool: 300
I  156.66] Elapsed: 2:37, vertices: 1561, facets final: 359, pending: 39853, pool: 300
I  161.66] Elapsed: 2:42, vertices: 1593, facets final: 383, pending: 40119, pool: 300
I  166.67] Elapsed: 2:47, vertices: 1624, facets final: 395, pending: 40652, pool: 300
I  171.70] Elapsed: 2:52, vertices: 1653, facets final: 399, pending: 40586, pool: 300
I  176.74] Elapsed: 2:57, vertices: 1682, facets final: 406, pending: 40679, pool: 300
I  181.78] Elapsed: 3:02, vertices: 1713, facets final: 427, pending: 40682, pool: 300
I  186.89] Elapsed: 3:07, vertices: 1746, facets final: 447, pending: 40613, pool: 300
I  191.97] Elapsed: 3:12, vertices: 1778, facets final: 462, pending: 40963, pool: 299
I  197.03] Elapsed: 3:17, vertices: 1808, facets final: 470, pending: 41243, pool: 300
I  202.11] Elapsed: 3:22, vertices: 1837, facets final: 485, pending: 41359, pool: 300
I  207.20] Elapsed: 3:27, vertices: 1866, facets final: 497, pending: 41634, pool: 300
